Word	Esperanto-eo	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	abako	0.385	0.407	0.288
abacus	abako	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	forlasi	0.052	0.519	0.245
abandoned	forlasita	0.046	0.481	0.130
abandonment	forlaso	0.128	0.430	0.202
abashed	premis	0.177	0.644	0.307
abate	malaperu	0.255	0.696	0.604
abatement	forigo	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abatejo	0.580	0.367	0.444
abbot	abato	0.427	0.321	0.483
abbreviate	abreviate	0.531	0.375	0.330
abbreviation	mallongigo	0.469	0.306	0.345
abdomen	abdomeno	0.469	0.462	0.471
abdominal	abdominales	0.490	0.456	0.445
abduct	akuzi	0.173	0.720	0.615
abduction	kidnapo	0.062	0.990	0.673
aberrant	aberrante	0.146	0.765	0.431
aberration	abero	0.125	0.816	0.417
abeyance	afero	0.330	0.510	0.292
abhor	abomenu	0.125	0.602	0.349
abhorrence	abomeno	0.167	0.684	0.420
abhorrent	abomeninda	0.229	0.750	0.474
abide	restu	0.635	0.354	0.705
abiding	restanta	0.796	0.327	0.750
ability	kapableco	0.875	0.510	0.816
abject	malakceptas	0.354	0.590	0.417
ablation	ablacio	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	kapabla	0.786	0.500	0.810
abnormal	nenormala	0.137	0.604	0.309
abnormality	anormalidad	0.092	0.655	0.383
aboard	surŝipe	0.698	0.284	0.481
abode	loĝis	0.620	0.302	0.500
abolish	abolicii	0.448	0.615	0.529
abolition	abolicio	0.323	0.690	0.529
abominable	abomeninda	0.120	0.731	0.482
abominate	abomeninda	0.198	0.788	0.366
abomination	abomenindajxo	0.078	0.755	0.518
aboriginal	aborigen	0.448	0.427	0.542
abort	aborti	0.153	0.686	0.429
abortion	abortas	0.082	0.770	0.283
abortive	abortiva	0.090	0.776	0.280
abound	abundas	0.704	0.490	0.681
abovementioned	menciite	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasio	0.406	0.592	0.441
abrasive	abrasivo	0.392	0.610	0.593
abreast	bone	0.635	0.380	0.519
abroad	eksterlande	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	bruska	0.271	0.819	0.545
abruptly	bruske	0.250	0.808	0.556
abscess	absceso	0.154	0.451	0.349
absence	foresto	0.153	0.235	0.266
absent	forestas	0.177	0.221	0.116
absentee	forestante	0.235	0.330	0.279
absenteeism	absentismo	0.404	0.273	0.357
absinthe	Absinthe	0.481	0.510	0.462
absolute	absoluta	0.526	0.510	0.827
absolution	absolvo	0.715	0.500	0.664
absolve	absolvi	0.684	0.449	0.660
absorb	sorbi	0.469	0.558	0.670
absorbed	sorbita	0.490	0.471	0.519
absorbent	sorbaj	0.552	0.394	0.718
absorbing	sorbante	0.490	0.490	0.578
absorption	absorción	0.609	0.422	0.446
abstain	abstino	0.385	0.385	0.427
abstention	sindeteno	0.271	0.264	0.509
abstinence	abstino	0.260	0.392	0.429
abstract	abstrakta	0.438	0.292	0.444
abstraction	abstraktaĵo	0.469	0.439	0.525
absurd	absurda	0.188	0.656	0.284
absurdity	absurda	0.115	0.528	0.227
abundance	abundo	0.812	0.690	0.852
abundant	abunda	0.958	0.590	0.760
abuse	misuzo	0.071	0.873	0.469
abused	trouzita	0.021	0.874	0.235
abusive	maltrankvila	0.125	0.903	0.567
abutment	abutmento	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abismo	0.250	0.710	0.598
abyss	abismo	0.353	0.725	0.296
academic	akademia	0.781	0.420	0.812
academy	akademio	0.704	0.473	0.792
accede	aliri	0.698	0.510	0.537
accelerant	akcelilo	0.643	0.844	0.802
accelerate	akceli	0.615	0.902	0.759
accelerated	akcelita	0.610	0.812	0.682
acceleration	akcelo	0.704	0.905	0.843
accelerator	akcelilo	0.593	0.830	0.812
accent	akcento	0.598	0.357	0.509
accentuate	akcenti	0.673	0.556	0.667
accept	akceptu	0.847	0.286	0.565
acceptable	akceptebla	0.812	0.286	0.583
acceptance	akcepto	0.833	0.287	0.755
acceptances	akceptoj	0.847	0.413	0.648
access	aliro	0.714	0.472	0.567
accessible	atingebla	0.796	0.410	0.645
accession	aliĝo	0.612	0.383	0.636
accessory	akcesora	0.562	0.292	0.445
accident	akcidento	0.125	0.908	0.336
accidental	hazarda	0.319	0.784	0.307
accidentally	akcidente	0.333	0.741	0.333
acclaim	aklamu	0.562	0.809	0.718
accolade	aklazo	0.688	0.591	0.775
accommodate	akomodi	0.844	0.375	0.566
accommodation	loĝejo	0.817	0.415	0.587
accompaniment	akompano	0.740	0.479	0.695
accompany	akompanu	0.833	0.406	0.585
accompanying	akompananta	0.787	0.460	0.582
accomplice	komplico	0.408	0.580	0.510
accomplish	plenumi	0.929	0.673	0.816
accomplished	plenumita	0.870	0.520	0.798
accomplishment	realigo	0.917	0.694	0.888
accord	akordo	0.898	0.264	0.382
accordance	konsekvenco	0.659	0.349	0.600
accordion	akordiono	0.604	0.490	0.361
account	rimarki	0.531	0.347	0.472
accountability	respondeco	0.755	0.537	0.833
accountable	respondecaj	0.709	0.282	0.777
accountant	kontentanto	0.625	0.450	0.639
accounting	librotenado	0.552	0.390	0.677
accounts	kontoj	0.592	0.340	0.471
accredited	akredititaj	0.669	0.479	0.768
accretion	akrecio	0.448	0.519	0.672
accrue	akuzi	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	amasigi	0.573	0.536	0.607
accumulation	amaso	0.479	0.527	0.600
accuracy	precizeco	0.604	0.481	0.802
accurate	preciza	0.743	0.360	0.737
accursed	malbenita	0.135	0.745	0.345
accusation	akuzo	0.073	0.718	0.564
accusative	akuzativo	0.198	0.755	0.482
accuse	akuzi	0.133	0.752	0.500
accused	akuzita	0.130	0.670	0.420
accuser	akuzanto	0.122	0.779	0.615
accusing	akuzante	0.156	0.745	0.324
accustomed	kutimitaj	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acetika	0.333	0.420	0.519
acetylene	acetileno	0.306	0.469	0.509
ache	doloron	0.146	0.760	0.312
achieve	atingi	0.816	0.545	0.843
achieved	sukcesita	0.896	0.519	0.775
achievement	atingo	0.896	0.808	0.759
aching	kuraĝante	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acida	0.265	0.642	0.566
acidity	acidez	0.156	0.663	0.360
acknowledge	agnoski	0.786	0.370	0.661
acknowledged	agnoskita	0.714	0.443	0.765
acknowledgement	rekono	0.819	0.539	0.830
acknowledgment	rekono	0.796	0.528	0.777
acme	ak	0.408	0.435	0.375
acne	akno	0.167	0.474	0.308
acorn	greno	0.448	0.198	0.192
acoustic	akustika	0.542	0.462	0.536
acoustics	akustiko	0.611	0.330	0.509
acquaint	konata	0.646	0.491	0.639
acquaintance	konata	0.656	0.290	0.670
acquainted	konata	0.906	0.358	0.632
acquiescence	acquiescencia	0.542	0.480	0.554
acquire	akiri	0.833	0.468	0.700
acquiring	akirante	0.735	0.510	0.817
acquisition	akiraĵo	0.698	0.509	0.736
acquisitions	akiraĵoj	0.773	0.660	0.790
acquit	absolvo	0.583	0.571	0.611
acquittal	absolvo	0.760	0.497	0.700
acre	akre	0.583	0.387	0.423
acreage	akreo	0.741	0.450	0.528
acres	akreoj	0.510	0.363	0.500
acrobat	akrobato	0.708	0.828	0.602
acrylic	akrila	0.582	0.279	0.420
act	akto	0.656	0.704	0.735
acting	agante	0.698	0.643	0.500
action	ago	0.760	0.898	0.802
action figure	ago figuro	0.615	0.774	0.611
actionable	agrable	0.673	0.702	0.613
activate	aktivigi	0.764	0.650	0.806
activation	aktivigo	0.781	0.800	0.754
active	aktiva	0.847	0.730	0.731
activist	aktivisto	0.531	0.653	0.877
activity	aktiveco	0.701	0.660	0.807
actor	aktoro	0.653	0.561	0.629
actress	aktorino	0.633	0.556	0.596
actual	fakta	0.729	0.400	0.716
actuality	realaĵo	0.750	0.464	0.600
actuary	aktuario	0.510	0.404	0.491
acuity	akveco	0.469	0.378	0.741
acumen	akumen	0.564	0.660	0.679
acupuncture	akupunkturo	0.531	0.324	0.549
acute	akra	0.427	0.652	0.534
acutely	akre	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamanto	0.344	0.529	0.575
adapt	adapti	0.740	0.355	0.551
adaptable	adaptebla	0.735	0.423	0.641
adaptation	adapto	0.663	0.365	0.609
add	aldonu	0.728	0.490	0.554
added	aldonis	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	aldonilo	0.388	0.461	0.588
addict	toksomaniulo	0.075	0.696	0.327
addicted	toksomaniulo	0.156	0.712	0.483
addiction	toksomanio	0.180	0.806	0.420
addictive	adictivo	0.302	0.683	0.472
addition	aldonita	0.562	0.373	0.471
additional	pliaj	0.673	0.462	0.526
additive	aditivo	0.561	0.633	0.691
address	adreso	0.650	0.327	0.567
addressee	Provizanto	0.622	0.382	0.538
addresses	adresoj	0.510	0.354	0.450
adept	adepto	0.594	0.539	0.789
adequacy	taŭgeco	0.615	0.435	0.702
adequate	taŭga	0.854	0.264	0.705
adhere	aliĝi	0.633	0.339	0.554
adherence	adherenco	0.760	0.307	0.630
adherent	adherente	0.561	0.385	0.555
adhering	aliĝante	0.612	0.561	0.537
adhesion	adhesión	0.521	0.445	0.586
adhesive	vosto	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	apudeco	0.365	0.417	0.375
adjacent	apudaj	0.645	0.276	0.536
