Word	Estonian-et	Valence	Arousal	Dominance
aaaaaaah	aaaaaaha	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	kummitus	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	kallis	0.500	0.480	0.412
abandon	loobuma	0.052	0.519	0.245
abandoned	mahajäetud	0.046	0.481	0.130
abandonment	loobumine	0.128	0.430	0.202
abashed	väsinud	0.177	0.644	0.307
abate	vähendama	0.255	0.696	0.604
abatement	vähendamine	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	klooster	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	lühenda	0.531	0.375	0.330
abbreviation	lühend	0.469	0.306	0.345
abdomen	kõht	0.469	0.462	0.471
abdominal	kõhuõõne	0.490	0.456	0.445
abduct	röövitud	0.173	0.720	0.615
abduction	röövimine	0.062	0.990	0.673
aberrant	ebaselge	0.146	0.765	0.431
aberration	aberratsioon	0.125	0.816	0.417
abeyance	peatamine	0.330	0.510	0.292
abhor	kummardama	0.125	0.602	0.349
abhorrence	hirmus	0.167	0.684	0.420
abhorrent	kohutav	0.229	0.750	0.474
abide	järgige	0.635	0.354	0.705
abiding	kinni pidades	0.796	0.327	0.750
ability	võime	0.875	0.510	0.816
abject	imelik	0.354	0.590	0.417
ablation	ablatsioon	0.418	0.500	0.500
ablaze	põlema	0.240	0.847	0.525
able	võimeline	0.786	0.500	0.810
abnormal	ebanormaalne	0.137	0.604	0.309
abnormality	ebanormaalsus	0.092	0.655	0.383
aboard	pardal	0.698	0.284	0.481
abode	elama	0.620	0.302	0.500
abolish	kaotada	0.448	0.615	0.529
abolition	kaotamine	0.323	0.690	0.529
abominable	hirmutav	0.120	0.731	0.482
abominate	kõhklema	0.198	0.788	0.366
abomination	hullumeelsus	0.078	0.755	0.518
aboriginal	aborigeen	0.448	0.427	0.542
abort	katkestama	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	ebatavaline	0.090	0.776	0.280
abound	külluses	0.704	0.490	0.681
abovementioned	eespool nimetatud	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasioon	0.406	0.592	0.441
abrasive	abrasiivne	0.392	0.610	0.593
abreast	loe edasi	0.635	0.380	0.519
abroad	välismaal	0.677	0.596	0.561
abrogate	tühistada	0.327	0.510	0.594
abrupt	järsku	0.271	0.819	0.545
abruptly	järsku	0.250	0.808	0.556
abscess	abstsess	0.154	0.451	0.349
absence	puudumine	0.153	0.235	0.266
absent	puudub	0.177	0.221	0.116
absentee	lahkumata	0.235	0.330	0.279
absenteeism	töölt puudumine	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absoluutne	0.526	0.510	0.827
absolution	vabanemine	0.715	0.500	0.664
absolve	vabastama	0.684	0.449	0.660
absorb	imenduda	0.469	0.558	0.670
absorbed	imendunud	0.490	0.471	0.519
absorbent	absorbeeriv	0.552	0.394	0.718
absorbing	neelavad	0.490	0.490	0.578
absorption	imendumine	0.609	0.422	0.446
abstain	hoiduma	0.385	0.385	0.427
abstention	erapooletu	0.271	0.264	0.509
abstinence	meeleheide	0.260	0.392	0.429
abstract	abstraktne	0.438	0.292	0.444
abstraction	abstraktsioon	0.469	0.439	0.525
absurd	absurdne	0.188	0.656	0.284
absurdity	absurdne	0.115	0.528	0.227
abundance	arvukus	0.812	0.690	0.852
abundant	rohke	0.958	0.590	0.760
abuse	kuritarvitamine	0.071	0.873	0.469
abused	kuritarvitatud	0.021	0.874	0.235
abusive	kuritahtlik	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	kõhn	0.250	0.710	0.598
abyss	kaste	0.353	0.725	0.296
academic	Akadeemiline	0.781	0.420	0.812
academy	akadeemia	0.704	0.473	0.792
accede	ühine	0.698	0.510	0.537
accelerant	kiirendamine	0.643	0.844	0.802
accelerate	kiirendama	0.615	0.902	0.759
accelerated	kiirendatud	0.610	0.812	0.682
acceleration	kiirendus	0.704	0.905	0.843
accelerator	kiirendaja	0.593	0.830	0.812
accent	aktsent	0.598	0.357	0.509
accentuate	rõhutage	0.673	0.556	0.667
accept	aktsepteerima	0.847	0.286	0.565
acceptable	vastuvõetav	0.812	0.286	0.583
acceptance	vastuvõtmine	0.833	0.287	0.755
acceptances	aktseptid	0.847	0.413	0.648
access	juurdepääs	0.714	0.472	0.567
accessible	juurdepääsetav	0.796	0.410	0.645
accession	ühinemine	0.612	0.383	0.636
accessory	lisaseade	0.562	0.292	0.445
accident	õnnetus	0.125	0.908	0.336
accidental	juhuslik	0.319	0.784	0.307
accidentally	juhuslikult	0.333	0.741	0.333
acclaim	tunnustama	0.562	0.809	0.718
accolade	auhinda	0.688	0.591	0.775
accommodate	majutama	0.844	0.375	0.566
