Word	French-fr	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	abasourdi	0.385	0.407	0.288
abacus	abaque	0.510	0.276	0.485
abalone	ormeau	0.500	0.480	0.412
abandon	abandonner	0.052	0.519	0.245
abandoned	abandonné	0.046	0.481	0.130
abandonment	abandon	0.128	0.430	0.202
abashed	confus	0.177	0.644	0.307
abate	diminuer	0.255	0.696	0.604
abatement	réduction	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	une abbaye	0.580	0.367	0.444
abbot	abbé	0.427	0.321	0.483
abbreviate	abréger	0.531	0.375	0.330
abbreviation	abréviation	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	enlever	0.173	0.720	0.615
abduction	enlèvement	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	situation en suspens	0.330	0.510	0.292
abhor	abhorrer	0.125	0.602	0.349
abhorrence	horreur	0.167	0.684	0.420
abhorrent	odieux	0.229	0.750	0.474
abide	respecter	0.635	0.354	0.705
abiding	respectueux	0.796	0.327	0.750
ability	aptitude	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	en feu	0.240	0.847	0.525
able	capable	0.786	0.500	0.810
abnormal	anormal	0.137	0.604	0.309
abnormality	anomalie	0.092	0.655	0.383
aboard	une planche	0.698	0.284	0.481
abode	demeure	0.620	0.302	0.500
abolish	abolir	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominer	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	Aborigène	0.448	0.427	0.542
abort	avorter	0.153	0.686	0.429
abortion	Avortement	0.082	0.770	0.283
abortive	abortif	0.090	0.776	0.280
abound	abonder	0.704	0.490	0.681
abovementioned	mentionné ci-dessus	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasif	0.392	0.610	0.593
abreast	au courant	0.635	0.380	0.519
abroad	à l'étranger	0.677	0.596	0.561
abrogate	abroger	0.327	0.510	0.594
abrupt	brusque	0.271	0.819	0.545
abruptly	brusquement	0.250	0.808	0.556
abscess	abcès	0.154	0.451	0.349
absence	absence	0.153	0.235	0.266
absent	absent	0.177	0.221	0.116
absentee	absent	0.235	0.330	0.279
absenteeism	absentéisme	0.404	0.273	0.357
absinthe	Absinthe	0.481	0.510	0.462
absolute	absolu	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	absoudre	0.684	0.449	0.660
absorb	absorber	0.469	0.558	0.670
absorbed	absorbé	0.490	0.471	0.519
absorbent	absorbant	0.552	0.394	0.718
absorbing	absorbant	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	abstention	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	abstrait	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	absurde	0.188	0.656	0.284
absurdity	absurdité	0.115	0.528	0.227
abundance	abondance	0.812	0.690	0.852
abundant	abondant	0.958	0.590	0.760
abuse	abuser de	0.071	0.873	0.469
abused	abusé	0.021	0.874	0.235
abusive	injurieux	0.125	0.903	0.567
abutment	butée	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	épouvantable	0.250	0.710	0.598
abyss	abîme	0.353	0.725	0.296
academic	académique	0.781	0.420	0.812
academy	académie	0.704	0.473	0.792
accede	adhérer	0.698	0.510	0.537
accelerant	accélérateur	0.643	0.844	0.802
accelerate	accélérer	0.615	0.902	0.759
accelerated	accéléré	0.610	0.812	0.682
acceleration	accélération	0.704	0.905	0.843
accelerator	accélérateur	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentuer	0.673	0.556	0.667
accept	Acceptez	0.847	0.286	0.565
acceptable	acceptable	0.812	0.286	0.583
acceptance	acceptation	0.833	0.287	0.755
acceptances	acceptations	0.847	0.413	0.648
access	accès	0.714	0.472	0.567
accessible	accessible	0.796	0.410	0.645
accession	accession	0.612	0.383	0.636
accessory	accessoire	0.562	0.292	0.445
accident	accident	0.125	0.908	0.336
accidental	accidentel	0.319	0.784	0.307
accidentally	accidentellement	0.333	0.741	0.333
acclaim	acclamer	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	accommoder	0.844	0.375	0.566
accommodation	hébergement	0.817	0.415	0.587
accompaniment	accompagnement	0.740	0.479	0.695
accompany	accompagner	0.833	0.406	0.585
accompanying	accompagnement	0.787	0.460	0.582
accomplice	complice	0.408	0.580	0.510
accomplish	accomplir	0.929	0.673	0.816
accomplished	accompli	0.870	0.520	0.798
accomplishment	accomplissement	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	conformité	0.659	0.349	0.600
accordion	accordéon	0.604	0.490	0.361
account	Compte	0.531	0.347	0.472
accountability	responsabilité	0.755	0.537	0.833
accountable	responsable	0.709	0.282	0.777
accountant	comptable	0.625	0.450	0.639
accounting	comptabilité	0.552	0.390	0.677
accounts	comptes	0.592	0.340	0.471
accredited	accrédité	0.669	0.479	0.768
accretion	accumulation	0.448	0.519	0.672
accrue	accumuler	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	accumuler	0.573	0.536	0.607
accumulation	accumulation	0.479	0.527	0.600
accuracy	précision	0.604	0.481	0.802
accurate	précis	0.743	0.360	0.737
accursed	maudit	0.135	0.745	0.345
accusation	accusation	0.073	0.718	0.564
accusative	accusatif	0.198	0.755	0.482
accuse	accuser	0.133	0.752	0.500
accused	accusé	0.130	0.670	0.420
accuser	accusateur	0.122	0.779	0.615
accusing	accuser	0.156	0.745	0.324
accustomed	habitué	0.542	0.365	0.441
ace	as	0.643	0.481	0.546
acetic	acétique	0.333	0.420	0.519
acetylene	acétylène	0.306	0.469	0.509
ache	mal	0.146	0.760	0.312
achieve	atteindre	0.816	0.545	0.843
achieved	atteint	0.896	0.519	0.775
achievement	réussite	0.896	0.808	0.759
aching	douloureux	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acide	0.265	0.642	0.566
acidity	acidité	0.156	0.663	0.360
acknowledge	reconnaître	0.786	0.370	0.661
acknowledged	reconnu	0.714	0.443	0.765
acknowledgement	reconnaissance	0.819	0.539	0.830
acknowledgment	reconnaissance	0.796	0.528	0.777
acme	acmé	0.408	0.435	0.375
acne	acné	0.167	0.474	0.308
acorn	gland	0.448	0.198	0.192
acoustic	acoustique	0.542	0.462	0.536
acoustics	acoustique	0.611	0.330	0.509
acquaint	informer	0.646	0.491	0.639
acquaintance	connaissance	0.656	0.290	0.670
acquainted	connaissance	0.906	0.358	0.632
acquiescence	consentement	0.542	0.480	0.554
acquire	acquérir	0.833	0.468	0.700
acquiring	acquérir	0.735	0.510	0.817
acquisition	acquisition	0.698	0.509	0.736
acquisitions	les acquisitions	0.773	0.660	0.790
acquit	acquitter	0.583	0.571	0.611
acquittal	acquittement	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	superficie	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobate	0.708	0.828	0.602
acrylic	acrylique	0.582	0.279	0.420
act	acte	0.656	0.704	0.735
acting	agissant	0.698	0.643	0.500
action	action	0.760	0.898	0.802
action figure	figurine	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	Activer	0.764	0.650	0.806
activation	Activation	0.781	0.800	0.754
active	actif	0.847	0.730	0.731
activist	activiste	0.531	0.653	0.877
activity	activité	0.701	0.660	0.807
actor	acteur	0.653	0.561	0.629
actress	actrice	0.633	0.556	0.596
actual	réel	0.729	0.400	0.716
actuality	actualité	0.750	0.464	0.600
actuary	actuaire	0.510	0.404	0.491
acuity	acuité	0.469	0.378	0.741
acumen	perspicacité	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	aigu	0.427	0.652	0.534
acutely	intensément	0.417	0.543	0.491
ad	un d	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	catégorique	0.344	0.529	0.575
adapt	adapter	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	adaptation	0.663	0.365	0.609
add	ajouter	0.728	0.490	0.554
added	ajoutée	0.562	0.405	0.509
addendum	Addenda	0.392	0.370	0.418
adder	additionneur	0.388	0.461	0.588
addict	toxicomane	0.075	0.696	0.327
addicted	intoxiqué	0.156	0.712	0.483
addiction	dépendance	0.180	0.806	0.420
addictive	addictif	0.302	0.683	0.472
addition	une addition	0.562	0.373	0.471
additional	Additionnel	0.673	0.462	0.526
additive	additif	0.561	0.633	0.691
address	adresse	0.650	0.327	0.567
addressee	destinataire	0.622	0.382	0.538
addresses	adresses	0.510	0.354	0.450
adept	expert	0.594	0.539	0.789
adequacy	adéquation	0.615	0.435	0.702
adequate	adéquat	0.854	0.264	0.705
adhere	adhérer	0.633	0.339	0.554
adherence	adhérence	0.760	0.307	0.630
adherent	adhérent	0.561	0.385	0.555
adhering	adhérant	0.612	0.561	0.537
adhesion	adhésion	0.521	0.445	0.586
adhesive	adhésif	0.604	0.350	0.413
adieu	Adieu	0.250	0.471	0.342
adipose	adipeux	0.333	0.350	0.391
adjacency	proximité	0.365	0.417	0.375
adjacent	adjacent	0.645	0.276	0.536
adjective	adjectif	0.570	0.316	0.569
adjoining	attenant	0.520	0.400	0.393
adjourn	ajourner	0.385	0.456	0.475
adjournment	ajournement	0.438	0.510	0.370
