Word	Georgian-ka	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	აარვარვაკი	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	აბაკუსი	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	უარი თქე	0.052	0.519	0.245
abandoned	მიტოვებული	0.046	0.481	0.130
abandonment	მიტოვება	0.128	0.430	0.202
abashed	შეურაცხყოფა	0.177	0.644	0.307
abate	შეჩერდება	0.255	0.696	0.604
abatement	შეჩერება	0.388	0.338	0.336
abba	აბბა	0.562	0.500	0.480
abbey	აბიმე	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	მოკლე	0.531	0.375	0.330
abbreviation	აბრევიატურა	0.469	0.306	0.345
abdomen	მუცელი	0.469	0.462	0.471
abdominal	მუცლის ღრუს	0.490	0.456	0.445
abduct	გატაცება	0.173	0.720	0.615
abduction	გატაცება	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	შეცდომა	0.125	0.816	0.417
abeyance	მიტოვება	0.330	0.510	0.292
abhor	ბოროტი	0.125	0.602	0.349
abhorrence	ბოროტება	0.167	0.684	0.420
abhorrent	უკმაყოფილო	0.229	0.750	0.474
abide	დაიცვან	0.635	0.354	0.705
abiding	მდგრადობა	0.796	0.327	0.750
ability	უნარი	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	აბლაცია	0.418	0.500	0.500
ablaze	აბლაზმა	0.240	0.847	0.525
able	შეუძლია	0.786	0.500	0.810
abnormal	არანორმალური	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	ბორტზე	0.698	0.284	0.481
abode	ცხოვრობს	0.620	0.302	0.500
abolish	გააუქმოს	0.448	0.615	0.529
abolition	გაუქმება	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	უმსგავსოება	0.078	0.755	0.518
aboriginal	აბორიგენული	0.448	0.427	0.542
abort	გაუქმება	0.153	0.686	0.429
abortion	აბორტი	0.082	0.770	0.283
abortive	შეწყვეტა	0.090	0.776	0.280
abound	abound	0.704	0.490	0.681
abovementioned	როგორც უკვე ავღნიშნე	0.541	0.298	0.509
abracadabra	აბრაკადაბრა	0.673	0.632	0.434
abrasion	აბრაზიას	0.406	0.592	0.441
abrasive	აბრაზიული	0.392	0.610	0.593
abreast	ინფორმირება	0.635	0.380	0.519
abroad	საზღვარგარეთ	0.677	0.596	0.561
abrogate	გაუქმება	0.327	0.510	0.594
abrupt	მკვეთრი	0.271	0.819	0.545
abruptly	მოულოდნელად	0.250	0.808	0.556
abscess	აბსცესი	0.154	0.451	0.349
absence	არარსებობა	0.153	0.235	0.266
absent	არდამსწრე	0.177	0.221	0.116
absentee	არყოფნა	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	აბსენტი	0.481	0.510	0.462
absolute	აბსოლუტური	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	სრულად	0.684	0.449	0.660
absorb	აღიქვას	0.469	0.558	0.670
absorbed	შეიწოვება	0.490	0.471	0.519
absorbent	შთამნთქმელი	0.552	0.394	0.718
absorbing	შთამნთქმელი	0.490	0.490	0.578
absorption	შთანთქმის	0.609	0.422	0.446
abstain	თავი შეიკავონ	0.385	0.385	0.427
abstention	თავი შეიკავა	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	აბსტრაქტული	0.438	0.292	0.444
abstraction	აბსტრაქცია	0.469	0.439	0.525
absurd	აბსურდული	0.188	0.656	0.284
absurdity	აბსურდული	0.115	0.528	0.227
abundance	სიუხვე	0.812	0.690	0.852
abundant	უხვი	0.958	0.590	0.760
abuse	ბოროტად	0.071	0.873	0.469
abused	შეურაცხყოფა	0.021	0.874	0.235
abusive	შეურაცხმყოფელი	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	უფსკრულს	0.353	0.725	0.296
academic	აკადემიური	0.781	0.420	0.812
academy	აკადემია	0.704	0.473	0.792
accede	მიერთება	0.698	0.510	0.537
accelerant	დაჩქარება	0.643	0.844	0.802
accelerate	დააჩქაროს	0.615	0.902	0.759
accelerated	დაჩქარდა	0.610	0.812	0.682
acceleration	დაჩქარება	0.704	0.905	0.843
accelerator	ამაჩქარებელი	0.593	0.830	0.812
accent	აქცენტი	0.598	0.357	0.509
accentuate	აქცენტირება	0.673	0.556	0.667
accept	მიიღოს	0.847	0.286	0.565
acceptable	მისაღებია	0.812	0.286	0.583
acceptance	მიღება	0.833	0.287	0.755
acceptances	მიღება	0.847	0.413	0.648
access	ხელმისაწვდომობა	0.714	0.472	0.567
accessible	ხელმისაწვდომი	0.796	0.410	0.645
accession	მიერთება	0.612	0.383	0.636
accessory	აქსესუარი	0.562	0.292	0.445
accident	უბედური შემთხვევა	0.125	0.908	0.336
accidental	შემთხვევითი	0.319	0.784	0.307
accidentally	შემთხვევით	0.333	0.741	0.333
acclaim	აღიარება	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	განთავსება	0.844	0.375	0.566
accommodation	საცხოვრებელი ფართი	0.817	0.415	0.587
accompaniment	თანხლებით	0.740	0.479	0.695
accompany	ერთად	0.833	0.406	0.585
accompanying	კომპანიის გაწევა	0.787	0.460	0.582
accomplice	თანამონაწილე	0.408	0.580	0.510
accomplish	განახორციელოს	0.929	0.673	0.816
accomplished	დასრულდა	0.870	0.520	0.798
accomplishment	კეთილმოწყობა	0.917	0.694	0.888
accord	ა	0.898	0.264	0.382
accordance	შესაბამისად	0.659	0.349	0.600
accordion	აკორდეონი	0.604	0.490	0.361
account	ანგარიში	0.531	0.347	0.472
accountability	ანგარიშვალდებულება	0.755	0.537	0.833
accountable	ანგარიშვალდებული	0.709	0.282	0.777
accountant	ბუღალტერი	0.625	0.450	0.639
accounting	აღრიცხვა	0.552	0.390	0.677
accounts	ანგარიშები	0.592	0.340	0.471
accredited	აკრედიტირებული	0.669	0.479	0.768
accretion	აკრედიტაცია	0.448	0.519	0.672
accrue	დარიცხვა	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	დაგროვება	0.573	0.536	0.607
accumulation	დაგროვება	0.479	0.527	0.600
accuracy	სიზუსტე	0.604	0.481	0.802
accurate	ზუსტი	0.743	0.360	0.737
accursed	შეჭამეს	0.135	0.745	0.345
accusation	ბრალდება	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	ადანაშაულებენ	0.133	0.752	0.500
accused	დაადანაშაულა	0.130	0.670	0.420
accuser	დამნაშავე	0.122	0.779	0.615
accusing	დაადანაშაულეს	0.156	0.745	0.324
accustomed	მიჩვეული	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	აცეტიკური	0.333	0.420	0.519
acetylene	აცეტილენი	0.306	0.469	0.509
ache	ტკივილი	0.146	0.760	0.312
achieve	მიღწევა	0.816	0.545	0.843
achieved	მიღწეული	0.896	0.519	0.775
achievement	მიღწევა	0.896	0.808	0.759
aching	აჩრდილი	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	მჟავა	0.265	0.642	0.566
acidity	მჟავიანობა	0.156	0.663	0.360
acknowledge	აღიარებთ	0.786	0.370	0.661
acknowledged	აღიარა	0.714	0.443	0.765
acknowledgement	აღიარება	0.819	0.539	0.830
acknowledgment	აღიარება	0.796	0.528	0.777
acme	აკმ	0.408	0.435	0.375
acne	აკნე	0.167	0.474	0.308
acorn	რკო	0.448	0.198	0.192
acoustic	აკუსტიკური	0.542	0.462	0.536
acoustics	აკუსტიკა	0.611	0.330	0.509
acquaint	გაცნობა	0.646	0.491	0.639
acquaintance	გაცნობა	0.656	0.290	0.670
acquainted	გაეცნო	0.906	0.358	0.632
acquiescence	თანხმობა	0.542	0.480	0.554
acquire	შეიძინოს	0.833	0.468	0.700
acquiring	იძენს	0.735	0.510	0.817
acquisition	შეძენა	0.698	0.509	0.736
acquisitions	შეძენა	0.773	0.660	0.790
acquit	გათავისუფლება	0.583	0.571	0.611
acquittal	გამამართლებელი განაჩენი	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	ჰექტარი	0.510	0.363	0.500
acrobat	აკრობატული	0.708	0.828	0.602
acrylic	აკრილის	0.582	0.279	0.420
act	იმოქმედოს	0.656	0.704	0.735
acting	მოქმედება	0.698	0.643	0.500
action	აქცია	0.760	0.898	0.802
action figure	სამოქმედო ფიგურა	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	გააქტიურება	0.764	0.650	0.806
activation	გააქტიურება	0.781	0.800	0.754
active	აქტიური	0.847	0.730	0.731
activist	აქტივისტი	0.531	0.653	0.877
activity	საქმიანობა	0.701	0.660	0.807
actor	მსახიობი	0.653	0.561	0.629
actress	მსახიობი	0.633	0.556	0.596
actual	ფაქტობრივი	0.729	0.400	0.716
actuality	აქტუალობა	0.750	0.464	0.600
actuary	აქტიური	0.510	0.404	0.491
acuity	სიჯიუტე	0.469	0.378	0.741
acumen	აკუმულაცია	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	მწვავე	0.427	0.652	0.534
acutely	მწვავე	0.417	0.543	0.491
ad	რეკლამა	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	დარწმუნებულია	0.344	0.529	0.575
adapt	ადაპტირება	0.740	0.355	0.551
adaptable	ადაპტირებადი	0.735	0.423	0.641
adaptation	ადაპტაცია	0.663	0.365	0.609
add	დაამატეთ	0.728	0.490	0.554
