Word	Greek-el	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	μυρμηγκοφάγο θηλαστικό	0.427	0.490	0.437
aback	προς τα πίσω	0.385	0.407	0.288
abacus	άβακας	0.510	0.276	0.485
abalone	αυτί της θάλασσας	0.500	0.480	0.412
abandon	εγκαταλείπω	0.052	0.519	0.245
abandoned	εγκαταλειμμένος	0.046	0.481	0.130
abandonment	εγκατάλειψη	0.128	0.430	0.202
abashed	σαν χαμένος	0.177	0.644	0.307
abate	μειώνω	0.255	0.696	0.604
abatement	μείωση	0.388	0.338	0.336
abba	αβάς	0.562	0.500	0.480
abbey	μονή	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	βραχύνω	0.531	0.375	0.330
abbreviation	συντομογραφία	0.469	0.306	0.345
abdomen	κοιλιά	0.469	0.462	0.471
abdominal	κοιλιακός	0.490	0.456	0.445
abduct	απάγω	0.173	0.720	0.615
abduction	απαγωγή	0.062	0.990	0.673
aberrant	ανώμαλος	0.146	0.765	0.431
aberration	εκτροπή	0.125	0.816	0.417
abeyance	αναστολή	0.330	0.510	0.292
abhor	απεχθάνομαι	0.125	0.602	0.349
abhorrence	αποστροφή	0.167	0.684	0.420
abhorrent	απεχθής	0.229	0.750	0.474
abide	συμμορφώνομαι	0.635	0.354	0.705
abiding	αμετάβλητος	0.796	0.327	0.750
ability	ικανότητα	0.875	0.510	0.816
abject	άθλιος	0.354	0.590	0.417
ablation	εκτομή	0.418	0.500	0.500
ablaze	λάμπων	0.240	0.847	0.525
able	ικανός	0.786	0.500	0.810
abnormal	ασυνήθιστος	0.137	0.604	0.309
abnormality	ανωμαλία	0.092	0.655	0.383
aboard	ένας πίνακας	0.698	0.284	0.481
abode	κατοικία	0.620	0.302	0.500
abolish	καταργώ	0.448	0.615	0.529
abolition	κατάργηση	0.323	0.690	0.529
abominable	απαίσιος	0.120	0.731	0.482
abominate	αποστρέφομαι	0.198	0.788	0.366
abomination	βδέλυγμα	0.078	0.755	0.518
aboriginal	ιθαγενής	0.448	0.427	0.542
abort	αμβλώνω	0.153	0.686	0.429
abortion	άμβλωση	0.082	0.770	0.283
abortive	ανεπιτυχής	0.090	0.776	0.280
abound	βρίθω	0.704	0.490	0.681
abovementioned	τα προαναφερθέντα	0.541	0.298	0.509
abracadabra	μυστηριώδης ή μαγική λέξη	0.673	0.632	0.434
abrasion	τριβή	0.406	0.592	0.441
abrasive	αποξεστικό	0.392	0.610	0.593
abreast	κατά μέτωπο	0.635	0.380	0.519
abroad	στο εξωτερικο	0.677	0.596	0.561
abrogate	ακυρώνω	0.327	0.510	0.594
abrupt	απότομος	0.271	0.819	0.545
abruptly	απότομα	0.250	0.808	0.556
abscess	απόστημα	0.154	0.451	0.349
absence	απουσία	0.153	0.235	0.266
absent	απών	0.177	0.221	0.116
absentee	απών	0.235	0.330	0.279
absenteeism	κατά συνήθεια απουσία	0.404	0.273	0.357
absinthe	αψέντι	0.481	0.510	0.462
absolute	απόλυτος	0.526	0.510	0.827
absolution	απαλλαγή	0.715	0.500	0.664
absolve	απαλλάσσω	0.684	0.449	0.660
absorb	απορροφώ	0.469	0.558	0.670
absorbed	απορροφηθεί	0.490	0.471	0.519
absorbent	απορροφητικό	0.552	0.394	0.718
absorbing	απορρόφηση	0.490	0.490	0.578
absorption	απορρόφηση	0.609	0.422	0.446
abstain	απέχω	0.385	0.385	0.427
abstention	αποχή	0.271	0.264	0.509
abstinence	αποχή	0.260	0.392	0.429
abstract	αφηρημένη	0.438	0.292	0.444
abstraction	αφαίρεση	0.469	0.439	0.525
absurd	παράλογος	0.188	0.656	0.284
absurdity	παραλογισμός	0.115	0.528	0.227
abundance	αφθονία	0.812	0.690	0.852
abundant	άφθονος	0.958	0.590	0.760
abuse	κατάχρηση	0.071	0.873	0.469
abused	κατάχρηση	0.021	0.874	0.235
abusive	υβριστικός	0.125	0.903	0.567
abutment	στήριγμα	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	αβυσσαλέες	0.250	0.710	0.598
abyss	άβυσσος	0.353	0.725	0.296
academic	ακαδημαϊκός	0.781	0.420	0.812
academy	ακαδημία	0.704	0.473	0.792
accede	ανέρχομαι	0.698	0.510	0.537
accelerant	επιταχυντή	0.643	0.844	0.802
accelerate	επιταχύνω	0.615	0.902	0.759
accelerated	επιτάχυνση	0.610	0.812	0.682
acceleration	επιτάχυνση	0.704	0.905	0.843
accelerator	επιταχυντής	0.593	0.830	0.812
accent	προφορά	0.598	0.357	0.509
accentuate	τονίζω	0.673	0.556	0.667
accept	αποδέχομαι	0.847	0.286	0.565
acceptable	δεκτός	0.812	0.286	0.583
acceptance	αποδοχή	0.833	0.287	0.755
acceptances	αποδοχές	0.847	0.413	0.648
access	πρόσβαση	0.714	0.472	0.567
accessible	προσιτός	0.796	0.410	0.645
accession	ένταξη	0.612	0.383	0.636
accessory	αξεσουάρ	0.562	0.292	0.445
accident	ατύχημα	0.125	0.908	0.336
accidental	τυχαίος	0.319	0.784	0.307
accidentally	κατά λάθος	0.333	0.741	0.333
acclaim	επευφημώ	0.562	0.809	0.718
accolade	χειροτονία ιππότου	0.688	0.591	0.775
accommodate	φιλοξενώ	0.844	0.375	0.566
accommodation	κατάλυμα	0.817	0.415	0.587
accompaniment	συνοδεία	0.740	0.479	0.695
accompany	συνοδεύω	0.833	0.406	0.585
accompanying	συνοδευτικά	0.787	0.460	0.582
accomplice	συνένοχος	0.408	0.580	0.510
accomplish	ολοκληρώσει	0.929	0.673	0.816
accomplished	τέλειος	0.870	0.520	0.798
accomplishment	εκπλήρωση	0.917	0.694	0.888
accord	συμφωνία	0.898	0.264	0.382
accordance	συμφωνία	0.659	0.349	0.600
accordion	ακορντεόν	0.604	0.490	0.361
account	λογαριασμός	0.531	0.347	0.472
accountability	Ευθύνη	0.755	0.537	0.833
accountable	υπεύθυνος	0.709	0.282	0.777
accountant	λογιστής	0.625	0.450	0.639
accounting	λογιστική	0.552	0.390	0.677
accounts	λογαριασμούς	0.592	0.340	0.471
accredited	διαπιστευμένος	0.669	0.479	0.768
accretion	επικάθηση	0.448	0.519	0.672
accrue	αυξάνω	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	συσσωρεύω	0.573	0.536	0.607
accumulation	συσσώρευση	0.479	0.527	0.600
accuracy	ακρίβεια	0.604	0.481	0.802
accurate	ακριβής	0.743	0.360	0.737
accursed	αθεόφοβος	0.135	0.745	0.345
accusation	κατηγορία	0.073	0.718	0.564
accusative	αιτιατική	0.198	0.755	0.482
accuse	κατηγορώ	0.133	0.752	0.500
accused	κατηγορούμενος	0.130	0.670	0.420
accuser	κατήγορος	0.122	0.779	0.615
accusing	κατηγορώντας	0.156	0.745	0.324
accustomed	συνηθισμένος	0.542	0.365	0.441
ace	άσσος	0.643	0.481	0.546
acetic	οξικός	0.333	0.420	0.519
acetylene	ασετυλίνη	0.306	0.469	0.509
ache	πόνος	0.146	0.760	0.312
achieve	φέρνω σε πέρας	0.816	0.545	0.843
achieved	επιτευχθεί	0.896	0.519	0.775
achievement	κατόρθωμα	0.896	0.808	0.759
aching	οδυνηρός	0.053	0.880	0.348
achy	αβολα	0.167	0.840	0.373
acid	οξύ	0.265	0.642	0.566
acidity	οξύτητα	0.156	0.663	0.360
acknowledge	αναγνωρίζω	0.786	0.370	0.661
acknowledged	αναγνωρίζεται	0.714	0.443	0.765
acknowledgement	αναγνώριση	0.819	0.539	0.830
acknowledgment	αναγνώριση	0.796	0.528	0.777
acme	ακμή	0.408	0.435	0.375
acne	ακμή	0.167	0.474	0.308
acorn	βελανίδι	0.448	0.198	0.192
acoustic	ακουστικός	0.542	0.462	0.536
acoustics	ακουστική	0.611	0.330	0.509
acquaint	κάνω γνωστό	0.646	0.491	0.639
acquaintance	γνωριμία	0.656	0.290	0.670
acquainted	γνωστός	0.906	0.358	0.632
acquiescence	συναίνεση	0.542	0.480	0.554
acquire	αποκτώ	0.833	0.468	0.700
acquiring	απόκτηση	0.735	0.510	0.817
acquisition	απόκτηση	0.698	0.509	0.736
acquisitions	εξαγορές	0.773	0.660	0.790
acquit	αθωώνω	0.583	0.571	0.611
acquittal	αθώωση	0.760	0.497	0.700
acre	στρέμμα	0.583	0.387	0.423
acreage	έμβαδο στρεμμάτων	0.741	0.450	0.528
acres	στρέμματα	0.510	0.363	0.500
acrobat	ακροβάτης	0.708	0.828	0.602
acrylic	ακρυλικό	0.582	0.279	0.420
act	ενεργω	0.656	0.704	0.735
acting	ηθοποιία	0.698	0.643	0.500
action	δράση	0.760	0.898	0.802
action figure	φιγούρα δράσης	0.615	0.774	0.611
actionable	δικάσιμος	0.673	0.702	0.613
activate	θέτω εις ενέργειαν	0.764	0.650	0.806
activation	δραστηριοποίηση	0.781	0.800	0.754
active	ενεργός	0.847	0.730	0.731
activist	ακτιβιστής	0.531	0.653	0.877
activity	δραστηριότητα	0.701	0.660	0.807
actor	ηθοποιός	0.653	0.561	0.629
actress	ηθοποιός	0.633	0.556	0.596
actual	πραγματικός	0.729	0.400	0.716
actuality	πραγματικότητα	0.750	0.464	0.600
actuary	αναλογιστής	0.510	0.404	0.491
acuity	οξύτητα	0.469	0.378	0.741
acumen	οξύνοια	0.564	0.660	0.679
acupuncture	βελονισμός	0.531	0.324	0.549
acute	οξύς	0.427	0.652	0.534
acutely	οξεία	0.417	0.543	0.491
ad	Ενα δ	0.521	0.705	0.558
adage	παροιμία	0.517	0.415	0.566
adamant	αμετάπειστος	0.344	0.529	0.575
adapt	προσαρμόζω	0.740	0.355	0.551
adaptable	προσαρμόσιμος	0.735	0.423	0.641
