Word	Hausa-ha	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	ƙaura	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	watsi	0.052	0.519	0.245
abandoned	watsi	0.046	0.481	0.130
abandonment	watsi	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	raguwa	0.469	0.306	0.345
abdomen	ciki	0.469	0.462	0.471
abdominal	ciki	0.490	0.456	0.445
abduct	sace	0.173	0.720	0.615
abduction	sata	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	lalata	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	hauka	0.167	0.684	0.420
abhorrent	m	0.229	0.750	0.474
abide	zauna	0.635	0.354	0.705
abiding	zaune	0.796	0.327	0.750
ability	damar	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	iya	0.786	0.500	0.810
abnormal	mahaukaci	0.137	0.604	0.309
abnormality	rashin ciwo	0.092	0.655	0.383
aboard	a cikin jirgin	0.698	0.284	0.481
abode	gidan zama	0.620	0.302	0.500
abolish	soke	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abin ƙyama	0.120	0.731	0.482
abominate	baƙanci	0.198	0.788	0.366
abomination	abin ƙyama	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	zubar da ciki	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	yawa	0.704	0.490	0.681
abovementioned	abovementioned	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	kasashen waje	0.677	0.596	0.561
abrogate	soke	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	abruptly	0.250	0.808	0.556
abscess	ƙurji	0.154	0.451	0.349
absence	babu	0.153	0.235	0.266
absent	babu	0.177	0.221	0.116
absentee	babu	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	cikakke	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	sha	0.469	0.558	0.670
absorbed	tunawa	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	shawa	0.490	0.490	0.578
absorption	sha	0.609	0.422	0.446
abstain	dakata	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	m	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	m	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	yawa	0.812	0.690	0.852
abundant	m	0.958	0.590	0.760
abuse	zagi	0.071	0.873	0.469
abused	azaba	0.021	0.874	0.235
abusive	m	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	ilimi	0.781	0.420	0.812
academy	makarantar kimiyya	0.704	0.473	0.792
accede	amincewa	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	hanzarta	0.615	0.902	0.759
accelerated	kara	0.610	0.812	0.682
acceleration	hanzari	0.704	0.905	0.843
accelerator	matatar	0.593	0.830	0.812
accent	sanarwa	0.598	0.357	0.509
accentuate	ƙaddamar	0.673	0.556	0.667
accept	karɓa	0.847	0.286	0.565
acceptable	yarda	0.812	0.286	0.583
acceptance	yarda	0.833	0.287	0.755
acceptances	yarda	0.847	0.413	0.648
access	damar shiga	0.714	0.472	0.567
accessible	m	0.796	0.410	0.645
accession	karɓa	0.612	0.383	0.636
accessory	kayan aiki	0.562	0.292	0.445
accident	hadari	0.125	0.908	0.336
accidental	hadari	0.319	0.784	0.307
accidentally	ba zato ba tsammani	0.333	0.741	0.333
acclaim	acclaim	0.562	0.809	0.718
accolade	karɓa	0.688	0.591	0.775
accommodate	saukarwa	0.844	0.375	0.566
accommodation	masauki	0.817	0.415	0.587
accompaniment	kunnawa	0.740	0.479	0.695
accompany	bi	0.833	0.406	0.585
accompanying	tare	0.787	0.460	0.582
accomplice	haɓakawa	0.408	0.580	0.510
accomplish	cika	0.929	0.673	0.816
accomplished	cika	0.870	0.520	0.798
accomplishment	cika	0.917	0.694	0.888
accord	yarjejeniya	0.898	0.264	0.382
accordance	daidai	0.659	0.349	0.600
accordion	ƙulla	0.604	0.490	0.361
account	asusu	0.531	0.347	0.472
accountability	lissafin kuɗi	0.755	0.537	0.833
accountable	lissafin kuɗi	0.709	0.282	0.777
accountant	lissafin	0.625	0.450	0.639
accounting	lissafin kuɗi	0.552	0.390	0.677
accounts	asusun	0.592	0.340	0.471
accredited	an yarda	0.669	0.479	0.768
accretion	haɓaka	0.448	0.519	0.672
accrue	kara	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	tara	0.573	0.536	0.607
accumulation	tarawa	0.479	0.527	0.600
accuracy	daidaito	0.604	0.481	0.802
accurate	daidai	0.743	0.360	0.737
accursed	la'ananne	0.135	0.745	0.345
accusation	zargi	0.073	0.718	0.564
accusative	m	0.198	0.755	0.482
accuse	zargi	0.133	0.752	0.500
accused	zargi	0.130	0.670	0.420
accuser	mai zargi	0.122	0.779	0.615
accusing	zargin	0.156	0.745	0.324
accustomed	saba	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ciwo	0.146	0.760	0.312
achieve	cimma	0.816	0.545	0.843
achieved	cimma	0.896	0.519	0.775
achievement	nasara	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	amince	0.786	0.370	0.661
acknowledged	yarda	0.714	0.443	0.765
acknowledgement	yarda	0.819	0.539	0.830
acknowledgment	yarda	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	kuraje	0.167	0.474	0.308
acorn	tsirara	0.448	0.198	0.192
acoustic	m	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	sanarwa	0.646	0.491	0.639
acquaintance	sanarwa	0.656	0.290	0.670
acquainted	masani	0.906	0.358	0.632
acquiescence	amincewa	0.542	0.480	0.554
acquire	saya	0.833	0.468	0.700
acquiring	samuwa	0.735	0.510	0.817
acquisition	saye	0.698	0.509	0.736
acquisitions	Acquisitions	0.773	0.660	0.790
acquit	cikakke	0.583	0.571	0.611
acquittal	kwance	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	kadada	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	yi aiki	0.656	0.704	0.735
acting	aiki	0.698	0.643	0.500
action	mataki	0.760	0.898	0.802
action figure	nau'i na aiki	0.615	0.774	0.611
actionable	aiki	0.673	0.702	0.613
activate	kunna	0.764	0.650	0.806
activation	kunnawa	0.781	0.800	0.754
active	aiki	0.847	0.730	0.731
activist	mai aiki	0.531	0.653	0.877
activity	aiki	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actress	0.633	0.556	0.596
actual	ainihin	0.729	0.400	0.716
actuality	ainihin	0.750	0.464	0.600
actuary	asibiti	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	m	0.427	0.652	0.534
acutely	lafiya	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	misali	0.517	0.415	0.566
adamant	m	0.344	0.529	0.575
adapt	daidaitawa	0.740	0.355	0.551
adaptable	daidaitacce	0.735	0.423	0.641
adaptation	gyare-gyare	0.663	0.365	0.609
add	ƙara	0.728	0.490	0.554
added	kara da cewa	0.562	0.405	0.509
addendum	ƙarawa	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	magunguna	0.075	0.696	0.327
addicted	m	0.156	0.712	0.483
addiction	buri	0.180	0.806	0.420
addictive	jaraba	0.302	0.683	0.472
addition	Bugu da kari	0.562	0.373	0.471
additional	ƙarin	0.673	0.462	0.526
additive	Ƙari	0.561	0.633	0.691
address	adireshin	0.650	0.327	0.567
addressee	addresse	0.622	0.382	0.538
addresses	adiresoshin	0.510	0.354	0.450
adept	mara kyau	0.594	0.539	0.789
adequacy	dace	0.615	0.435	0.702
adequate	isasshen	0.854	0.264	0.705
adhere	bi	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	m	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	kusa	0.645	0.276	0.536
adjective	m	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	jinkirta	0.385	0.456	0.475
