Word	Igbo-ig	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	gbahapụ	0.052	0.519	0.245
abandoned	agbahapụ	0.046	0.481	0.130
abandonment	agbahapụ	0.128	0.430	0.202
abashed	ihere	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	iwepụ	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	abbreviation	0.469	0.306	0.345
abdomen	afọ	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	abata	0.173	0.720	0.615
abduction	ntinye	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	ịbịa	0.330	0.510	0.292
abhor	ihere	0.125	0.602	0.349
abhorrence	asọpụrụ	0.167	0.684	0.420
abhorrent	ihere	0.229	0.750	0.474
abide	nọgide	0.635	0.354	0.705
abiding	na-erube isi	0.796	0.327	0.750
ability	ike	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ọkụ	0.240	0.847	0.525
able	ike	0.786	0.500	0.810
abnormal	ihe ojoo	0.137	0.604	0.309
abnormality	adịghị mma	0.092	0.655	0.383
aboard	n'ime	0.698	0.284	0.481
abode	obibi	0.620	0.302	0.500
abolish	wezuga	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	kpọrọ asị	0.198	0.788	0.366
abomination	ihe arụ	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	ite ime	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	baa ụba	0.704	0.490	0.681
abovementioned	n'elumentioned	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	mba	0.677	0.596	0.561
abrogate	ehichapu	0.327	0.510	0.594
abrupt	ngwa ngwa	0.271	0.819	0.545
abruptly	ngwa ngwa	0.250	0.808	0.556
abscess	ezighi	0.154	0.451	0.349
absence	enweghị	0.153	0.235	0.266
absent	enweghị	0.177	0.221	0.116
absentee	enweghi	0.235	0.330	0.279
absenteeism	ezighi ezi	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	zuru	0.526	0.510	0.827
absolution	ezighi ezi	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	banye	0.469	0.558	0.670
absorbed	etinye uche	0.490	0.471	0.519
absorbent	emetụta	0.552	0.394	0.718
absorbing	na-ekpo ọkụ	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	zere	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	nkịtị	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	ezighi ezi	0.188	0.656	0.284
absurdity	ezighi ezi	0.115	0.528	0.227
abundance	ụba	0.812	0.690	0.852
abundant	otutu	0.958	0.590	0.760
abuse	mmegbu	0.071	0.873	0.469
abused	emegbu	0.021	0.874	0.235
abusive	mkparị	0.125	0.903	0.567
abutment	nkwụsị	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	dị egwu	0.250	0.710	0.598
abyss	abis	0.353	0.725	0.296
academic	agụmakwụkwọ	0.781	0.420	0.812
academy	agụmakwụkwọ	0.704	0.473	0.792
accede	kwadoro	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	mee ngwa ngwa	0.615	0.902	0.759
accelerated	accelerated	0.610	0.812	0.682
acceleration	ọganihu	0.704	0.905	0.843
accelerator	onye nhazi	0.593	0.830	0.812
accent	ụda	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	kwenye	0.847	0.286	0.565
acceptable	anabata	0.812	0.286	0.583
acceptance	anabata	0.833	0.287	0.755
acceptances	anabata	0.847	0.413	0.648
access	ohere	0.714	0.472	0.567
accessible	nwere ike ịnweta	0.796	0.410	0.645
accession	nbanye	0.612	0.383	0.636
accessory	ngwa	0.562	0.292	0.445
accident	ihe mberede	0.125	0.908	0.336
accidental	mberede	0.319	0.784	0.307
accidentally	na mberede	0.333	0.741	0.333
acclaim	na-eti mkpu	0.562	0.809	0.718
accolade	adalata	0.688	0.591	0.775
accommodate	nabata	0.844	0.375	0.566
accommodation	ebe obibi	0.817	0.415	0.587
accompaniment	egwu egwu	0.740	0.479	0.695
accompany	soro	0.833	0.406	0.585
accompanying	soro ya	0.787	0.460	0.582
accomplice	arụ ọrụ	0.408	0.580	0.510
accomplish	mezuo	0.929	0.673	0.816
accomplished	mezuru	0.870	0.520	0.798
accomplishment	mmezu	0.917	0.694	0.888
accord	nkwenye	0.898	0.264	0.382
accordance	dị	0.659	0.349	0.600
accordion	ekwekọrịtara	0.604	0.490	0.361
account	akaụntụ	0.531	0.347	0.472
accountability	aza ajụjụ	0.755	0.537	0.833
accountable	aza ajụjụ	0.709	0.282	0.777
accountant	akaụntụ	0.625	0.450	0.639
accounting	nyocha	0.552	0.390	0.677
accounts	akaụntụ	0.592	0.340	0.471
accredited	akwado	0.669	0.479	0.768
accretion	nzaba	0.448	0.519	0.672
accrue	mụbaa	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	chịkọta	0.573	0.536	0.607
accumulation	ngwakọta	0.479	0.527	0.600
accuracy	ziri ezi	0.604	0.481	0.802
accurate	ezi	0.743	0.360	0.737
accursed	bụrụ ndị a bụrụ ọnụ	0.135	0.745	0.345
accusation	ebubo	0.073	0.718	0.564
accusative	ebubo	0.198	0.755	0.482
accuse	ebubo	0.133	0.752	0.500
accused	ebubo	0.130	0.670	0.420
accuser	ebubo	0.122	0.779	0.615
accusing	ebubo	0.156	0.745	0.324
accustomed	na-emekarị	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ọrịa	0.146	0.760	0.312
achieve	mezuo	0.816	0.545	0.843
achieved	nweta	0.896	0.519	0.775
achievement	mmezu	0.896	0.808	0.759
aching	ahụhụ	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	kweta	0.786	0.370	0.661
acknowledged	kwetara	0.714	0.443	0.765
acknowledgement	nkwupụta	0.819	0.539	0.830
acknowledgment	nkwupụta	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	ihe otutu	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	obi ụtọ	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	mara	0.646	0.491	0.639
acquaintance	mara	0.656	0.290	0.670
acquainted	mara	0.906	0.358	0.632
acquiescence	nkwenye	0.542	0.480	0.554
acquire	nweta	0.833	0.468	0.700
acquiring	nweta	0.735	0.510	0.817
acquisition	nnweta	0.698	0.509	0.736
acquisitions	ihe	0.773	0.660	0.790
acquit	kweta	0.583	0.571	0.611
acquittal	ịkwụ ụgwọ	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	eme	0.656	0.704	0.735
acting	eme	0.698	0.643	0.500
action	edinam	0.760	0.898	0.802
action figure	eme ihe	0.615	0.774	0.611
actionable	eme ihe	0.673	0.702	0.613
activate	rụọ ọrụ	0.764	0.650	0.806
activation	mmalite	0.781	0.800	0.754
active	arụ ọrụ	0.847	0.730	0.731
activist	onye mmume	0.531	0.653	0.877
activity	ọrụ	0.701	0.660	0.807
actor	omee	0.653	0.561	0.629
actress	omee	0.633	0.556	0.596
actual	n'ezie	0.729	0.400	0.716
actuality	eziokwu	0.750	0.464	0.600
actuary	omeewu	0.510	0.404	0.491
acuity	aghara	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	nnukwu	0.427	0.652	0.534
acutely	dị mma	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	okwu	0.517	0.415	0.566
adamant	ndi mmadu	0.344	0.529	0.575
adapt	gbanwee	0.740	0.355	0.551
adaptable	eme mgbanwe	0.735	0.423	0.641
adaptation	mmegharị	0.663	0.365	0.609
add	tinye	0.728	0.490	0.554
added	gbakwunyere	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	ọgwụ ọjọọ	0.075	0.696	0.327
addicted	ọgwụ ọjọọ	0.156	0.712	0.483
addiction	ịṅụ ọgwụ ọjọọ	0.180	0.806	0.420
addictive	na-eri ahụ	0.302	0.683	0.472
addition	mgbakwunye	0.562	0.373	0.471
additional	ọzọ	0.673	0.462	0.526
additive	agbakwunye	0.561	0.633	0.691
address	adreesị	0.650	0.327	0.567
addressee	onye nnọchiteanya	0.622	0.382	0.538
addresses	adreesị	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	ezigbo ego	0.615	0.435	0.702
adequate	ezuru	0.854	0.264	0.705
adhere	rube isi	0.633	0.339	0.554
adherence	nrube isi	0.760	0.307	0.630
