Word	Indonesian-id	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	kembali	0.385	0.407	0.288
abacus	sempoa	0.510	0.276	0.485
abalone	pauhi	0.500	0.480	0.412
abandon	mengabaikan	0.052	0.519	0.245
abandoned	ditinggalkan	0.046	0.481	0.130
abandonment	pengabaian	0.128	0.430	0.202
abashed	malu	0.177	0.644	0.307
abate	mereda	0.255	0.696	0.604
abatement	pengurangan	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	biara	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	menyingkat	0.531	0.375	0.330
abbreviation	singkatan	0.469	0.306	0.345
abdomen	perut	0.469	0.462	0.471
abdominal	perut	0.490	0.456	0.445
abduct	menculik	0.173	0.720	0.615
abduction	penculikan	0.062	0.990	0.673
aberrant	menyimpang	0.146	0.765	0.431
aberration	penyimpangan	0.125	0.816	0.417
abeyance	penundaan	0.330	0.510	0.292
abhor	benci	0.125	0.602	0.349
abhorrence	kebencian	0.167	0.684	0.420
abhorrent	mengerikan	0.229	0.750	0.474
abide	tinggal	0.635	0.354	0.705
abiding	kekal	0.796	0.327	0.750
ability	kemampuan	0.875	0.510	0.816
abject	hina	0.354	0.590	0.417
ablation	ablasi	0.418	0.500	0.500
ablaze	terang benderang	0.240	0.847	0.525
able	sanggup	0.786	0.500	0.810
abnormal	abnormal	0.137	0.604	0.309
abnormality	kelainan	0.092	0.655	0.383
aboard	naik kapal	0.698	0.284	0.481
abode	tempat tinggal	0.620	0.302	0.500
abolish	menghapuskan	0.448	0.615	0.529
abolition	penghapusan	0.323	0.690	0.529
abominable	mengerikan	0.120	0.731	0.482
abominate	merasa jijik	0.198	0.788	0.366
abomination	kekejian	0.078	0.755	0.518
aboriginal	asli	0.448	0.427	0.542
abort	menggugurkan	0.153	0.686	0.429
abortion	abortus	0.082	0.770	0.283
abortive	gagal	0.090	0.776	0.280
abound	berlimpah	0.704	0.490	0.681
abovementioned	disebutkan di atas	0.541	0.298	0.509
abracadabra	omong kosong	0.673	0.632	0.434
abrasion	abrasi	0.406	0.592	0.441
abrasive	kasar	0.392	0.610	0.593
abreast	sejajar	0.635	0.380	0.519
abroad	di luar negeri	0.677	0.596	0.561
abrogate	membatalkan	0.327	0.510	0.594
abrupt	mendadak	0.271	0.819	0.545
abruptly	tiba-tiba	0.250	0.808	0.556
abscess	abses	0.154	0.451	0.349
absence	ketiadaan	0.153	0.235	0.266
absent	tidak hadir	0.177	0.221	0.116
absentee	absen	0.235	0.330	0.279
absenteeism	ketidakhadiran	0.404	0.273	0.357
absinthe	Absinth	0.481	0.510	0.462
absolute	mutlak	0.526	0.510	0.827
absolution	absolusi	0.715	0.500	0.664
absolve	membebaskan	0.684	0.449	0.660
absorb	menyerap	0.469	0.558	0.670
absorbed	terserap	0.490	0.471	0.519
absorbent	penyerap	0.552	0.394	0.718
absorbing	mengasyikkan	0.490	0.490	0.578
absorption	penyerapan	0.609	0.422	0.446
abstain	menjauhkan diri	0.385	0.385	0.427
abstention	abstensi	0.271	0.264	0.509
abstinence	pantang	0.260	0.392	0.429
abstract	abstrak	0.438	0.292	0.444
abstraction	abstraksi	0.469	0.439	0.525
absurd	konyol	0.188	0.656	0.284
absurdity	kemustahilan	0.115	0.528	0.227
abundance	kelimpahan	0.812	0.690	0.852
abundant	berlimpah	0.958	0.590	0.760
abuse	penyalahgunaan	0.071	0.873	0.469
abused	disalahgunakan	0.021	0.874	0.235
abusive	kasar	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	bukan kepalang	0.250	0.710	0.598
abyss	neraka	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	menyetujui	0.698	0.510	0.537
accelerant	akselerator	0.643	0.844	0.802
accelerate	mempercepat	0.615	0.902	0.759
accelerated	dipercepat	0.610	0.812	0.682
acceleration	percepatan	0.704	0.905	0.843
accelerator	akselerator	0.593	0.830	0.812
accent	aksen	0.598	0.357	0.509
accentuate	menonjolkan	0.673	0.556	0.667
accept	menerima	0.847	0.286	0.565
acceptable	diterima	0.812	0.286	0.583
acceptance	penerimaan	0.833	0.287	0.755
acceptances	akseptasi	0.847	0.413	0.648
access	mengakses	0.714	0.472	0.567
accessible	dapat diakses	0.796	0.410	0.645
accession	pencapaian	0.612	0.383	0.636
accessory	tambahan	0.562	0.292	0.445
accident	kecelakaan	0.125	0.908	0.336
accidental	kebetulan	0.319	0.784	0.307
accidentally	tanpa sengaja	0.333	0.741	0.333
acclaim	tepuk tangan sorak	0.562	0.809	0.718
accolade	penghargaan	0.688	0.591	0.775
accommodate	menampung	0.844	0.375	0.566
accommodation	akomodasi	0.817	0.415	0.587
accompaniment	iringan	0.740	0.479	0.695
accompany	menemani	0.833	0.406	0.585
accompanying	menemani	0.787	0.460	0.582
accomplice	kaki tangan	0.408	0.580	0.510
accomplish	menyelesaikan	0.929	0.673	0.816
accomplished	ulung	0.870	0.520	0.798
accomplishment	prestasi	0.917	0.694	0.888
accord	sesuai	0.898	0.264	0.382
accordance	sesuai	0.659	0.349	0.600
accordion	akordeon	0.604	0.490	0.361
account	rekening	0.531	0.347	0.472
accountability	akuntabilitas	0.755	0.537	0.833
accountable	bertanggung jawab	0.709	0.282	0.777
accountant	akuntan	0.625	0.450	0.639
accounting	akuntansi	0.552	0.390	0.677
accounts	akun	0.592	0.340	0.471
accredited	terakreditasi	0.669	0.479	0.768
accretion	pertambahan	0.448	0.519	0.672
accrue	bertambah	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	mengumpulkan	0.573	0.536	0.607
accumulation	akumulasi	0.479	0.527	0.600
accuracy	ketepatan	0.604	0.481	0.802
accurate	tepat	0.743	0.360	0.737
accursed	terkutuk	0.135	0.745	0.345
accusation	tuduhan	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	menuduh	0.133	0.752	0.500
accused	dituduh	0.130	0.670	0.420
accuser	penuduh	0.122	0.779	0.615
accusing	menuduh	0.156	0.745	0.324
accustomed	biasa	0.542	0.365	0.441
ace	kartu as	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	asetilen	0.306	0.469	0.509
ache	sakit	0.146	0.760	0.312
achieve	mencapai	0.816	0.545	0.843
achieved	tercapai	0.896	0.519	0.775
achievement	prestasi	0.896	0.808	0.759
aching	sakit	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	AC id	0.265	0.642	0.566
acidity	keasaman	0.156	0.663	0.360
acknowledge	mengakui	0.786	0.370	0.661
acknowledged	diakui	0.714	0.443	0.765
acknowledgement	pengakuan	0.819	0.539	0.830
acknowledgment	pengakuan	0.796	0.528	0.777
acme	puncak	0.408	0.435	0.375
acne	jerawat	0.167	0.474	0.308
acorn	biji pohon ek	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustik	0.611	0.330	0.509
acquaint	memperkenalkan	0.646	0.491	0.639
acquaintance	kenalan	0.656	0.290	0.670
acquainted	berkenalan	0.906	0.358	0.632
acquiescence	persetujuan	0.542	0.480	0.554
acquire	memperoleh	0.833	0.468	0.700
acquiring	memperoleh	0.735	0.510	0.817
acquisition	perolehan	0.698	0.509	0.736
acquisitions	akuisisi	0.773	0.660	0.790
acquit	membebaskan	0.583	0.571	0.611
acquittal	pembebasan	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	hektar	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akrilik	0.582	0.279	0.420
act	bertindak	0.656	0.704	0.735
acting	akting	0.698	0.643	0.500
action	tindakan	0.760	0.898	0.802
action figure	figur aksi	0.615	0.774	0.611
actionable	dapat ditindaklanjuti	0.673	0.702	0.613
activate	mengaktifkan	0.764	0.650	0.806
activation	pengaktifan	0.781	0.800	0.754
active	aktif	0.847	0.730	0.731
activist	aktivis	0.531	0.653	0.877
activity	aktivitas	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	aktris	0.633	0.556	0.596
actual	sebenarnya	0.729	0.400	0.716
actuality	aktualitas	0.750	0.464	0.600
actuary	aktuaris	0.510	0.404	0.491
acuity	ketajaman	0.469	0.378	0.741
acumen	ketajaman	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	iklan	0.521	0.705	0.558
adage	pepatah	0.517	0.415	0.566
adamant	bersikukuh	0.344	0.529	0.575
adapt	menyesuaikan	0.740	0.355	0.551
adaptable	mudah beradaptasi	0.735	0.423	0.641
adaptation	adaptasi	0.663	0.365	0.609
add	menambahkan	0.728	0.490	0.554
added	ditambahkan	0.562	0.405	0.509
addendum	tambahan	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	pecandu	0.075	0.696	0.327
addicted	kecanduan	0.156	0.712	0.483
addiction	kecanduan	0.180	0.806	0.420
addictive	Ketagihan	0.302	0.683	0.472
addition	tambahan	0.562	0.373	0.471
additional	tambahan	0.673	0.462	0.526
additive	aditif	0.561	0.633	0.691
address	alamat	0.650	0.327	0.567
addressee	penerima	0.622	0.382	0.538
addresses	alamat	0.510	0.354	0.450
adept	mahir	0.594	0.539	0.789
adequacy	kecukupan	0.615	0.435	0.702
adequate	memadai	0.854	0.264	0.705
adhere	mengikuti	0.633	0.339	0.554
adherence	ketaatan	0.760	0.307	0.630
adherent	penganut	0.561	0.385	0.555
adhering	mengikuti	0.612	0.561	0.537
