Word	Javanese-jw	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	nglirwaaken	0.052	0.519	0.245
abandoned	ditinggal	0.046	0.481	0.130
abandonment	abandonment	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	biara	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ringkes	0.531	0.375	0.330
abbreviation	singkatan	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	weteng	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	penculikan	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	nesu	0.125	0.602	0.349
abhorrence	nesu	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	manggon	0.635	0.354	0.705
abiding	manggon	0.796	0.327	0.750
ability	kemampuan	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	nylametake	0.240	0.847	0.525
able	bisa	0.786	0.500	0.810
abnormal	ora normal	0.137	0.604	0.309
abnormality	abnormality	0.092	0.655	0.383
aboard	ing prau	0.698	0.284	0.481
abode	abode	0.620	0.302	0.500
abolish	mungkasi	0.448	0.615	0.529
abolition	penghancuran	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	nistha	0.078	0.755	0.518
aboriginal	aborigin	0.448	0.427	0.542
abort	mbatalake	0.153	0.686	0.429
abortion	aborsi	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	tambah akeh	0.704	0.490	0.681
abovementioned	seng kasebut ning ndhuwur	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	nggoleki	0.635	0.380	0.519
abroad	ing luar negeri	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	sacara tiba-tiba	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	ora ana	0.153	0.235	0.266
absent	ora ana	0.177	0.221	0.116
absentee	absen	0.235	0.330	0.279
absenteeism	absen	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	mutlak	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	nyerep	0.469	0.558	0.670
absorbed	diserep	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	nyerep	0.490	0.490	0.578
absorption	panyerepan	0.609	0.422	0.446
abstain	nyegah	0.385	0.385	0.427
abstention	nolak	0.271	0.264	0.509
abstinence	pantangan	0.260	0.392	0.429
abstract	abstrak	0.438	0.292	0.444
abstraction	abstraksi	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	kelimpahan	0.812	0.690	0.852
abundant	akeh banget	0.958	0.590	0.760
abuse	penyalahgunaan	0.071	0.873	0.469
abused	dilecehke	0.021	0.874	0.235
abusive	penyalah gunaan	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	akademik	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	ngakoni	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	akselerasi	0.615	0.902	0.759
accelerated	cepet	0.610	0.812	0.682
acceleration	percepatan	0.704	0.905	0.843
accelerator	akselerator	0.593	0.830	0.812
accent	aksen	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	nampa	0.847	0.286	0.565
acceptable	ditrima	0.812	0.286	0.583
acceptance	acceptance	0.833	0.287	0.755
acceptances	nampa	0.847	0.413	0.648
access	akses	0.714	0.472	0.567
accessible	bisa diakses	0.796	0.410	0.645
accession	aksesi	0.612	0.383	0.636
accessory	aksesoris	0.562	0.292	0.445
accident	kecelakaan	0.125	0.908	0.336
accidental	sengaja	0.319	0.784	0.307
accidentally	sengaja	0.333	0.741	0.333
acclaim	panjaluk	0.562	0.809	0.718
accolade	pinunjul	0.688	0.591	0.775
accommodate	nyepakake	0.844	0.375	0.566
accommodation	akomodasi	0.817	0.415	0.587
accompaniment	accompaniment	0.740	0.479	0.695
accompany	ngancani	0.833	0.406	0.585
accompanying	gawan	0.787	0.460	0.582
accomplice	nglampahi	0.408	0.580	0.510
accomplish	ngrampungake	0.929	0.673	0.816
accomplished	wis rampung	0.870	0.520	0.798
accomplishment	prestasi	0.917	0.694	0.888
accord	kasepakatan	0.898	0.264	0.382
accordance	miturut	0.659	0.349	0.600
accordion	akordion	0.604	0.490	0.361
account	akun	0.531	0.347	0.472
accountability	tanggung jawab	0.755	0.537	0.833
accountable	tanggung jawab	0.709	0.282	0.777
accountant	akuntan	0.625	0.450	0.639
accounting	akuntansi	0.552	0.390	0.677
accounts	akun	0.592	0.340	0.471
accredited	akreditasi	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	diakoni	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	nglumpukake	0.573	0.536	0.607
accumulation	akumulasi	0.479	0.527	0.600
accuracy	akurasi	0.604	0.481	0.802
accurate	akurat	0.743	0.360	0.737
accursed	kacilakan	0.135	0.745	0.345
accusation	accusation	0.073	0.718	0.564
accusative	accusative	0.198	0.755	0.482
accuse	nyalahake	0.133	0.752	0.500
accused	dipuntudhuh	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	nyalahake	0.156	0.745	0.324
accustomed	rakulinan	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	asetilena	0.306	0.469	0.509
ache	nyenyet	0.146	0.760	0.312
achieve	entuk	0.816	0.545	0.843
achieved	ngrambah	0.896	0.519	0.775
achievement	prestasi	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	sakit	0.167	0.840	0.373
acid	asam	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	ngakoni	0.786	0.370	0.661
acknowledged	ngakoni	0.714	0.443	0.765
acknowledgement	ngakoni	0.819	0.539	0.830
acknowledgment	ngakoni	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	kukul	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	akustik	0.542	0.462	0.536
acoustics	akustik	0.611	0.330	0.509
acquaint	acquaint	0.646	0.491	0.639
acquaintance	acquaintance	0.656	0.290	0.670
acquainted	acquainted	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	ndarbeni	0.833	0.468	0.700
acquiring	éntuk	0.735	0.510	0.817
acquisition	akehe	0.698	0.509	0.736
acquisitions	Akuisisi	0.773	0.660	0.790
acquit	mbebasake	0.583	0.571	0.611
acquittal	mbebasake	0.760	0.497	0.700
acre	hektar	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	hektar	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akrilik	0.582	0.279	0.420
act	tumindak	0.656	0.704	0.735
acting	tumindak	0.698	0.643	0.500
action	tumindak	0.760	0.898	0.802
action figure	tokoh aksi	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	aktifake	0.764	0.650	0.806
activation	aktifitas	0.781	0.800	0.754
active	aktif	0.847	0.730	0.731
activist	aktivis	0.531	0.653	0.877
activity	kegiatan	0.701	0.660	0.807
actor	aktor	0.653	0.561	0.629
actress	aktris	0.633	0.556	0.596
actual	nyata	0.729	0.400	0.716
actuality	tumindak	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	Akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	iklan	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	adaptasi	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	adaptasi	0.663	0.365	0.609
add	nambah	0.728	0.490	0.554
added	ditambahake	0.562	0.405	0.509
addendum	tambahan	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	pecandu	0.075	0.696	0.327
addicted	ketagihan	0.156	0.712	0.483
addiction	kecanduan	0.180	0.806	0.420
addictive	ketagihan	0.302	0.683	0.472
addition	Kajaba iku	0.562	0.373	0.471
additional	tambahan	0.673	0.462	0.526
additive	aditif	0.561	0.633	0.691
address	alamat	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	alamat	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	kecukupan	0.615	0.435	0.702
adequate	cukup	0.854	0.264	0.705
adhere	adhere	0.633	0.339	0.554
adherence	kepeksa	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	adhine	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
