Word	Khmer-km	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	ធ្មេញ	0.500	0.480	0.412
abandon	បោះបង់	0.052	0.519	0.245
abandoned	បោះបង់	0.046	0.481	0.130
abandonment	បោះបង់	0.128	0.430	0.202
abashed	អាក់អន់ចិត្ត	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	ការថយចុះ	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	វត្តអារាម	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	អក្សរកាត់	0.531	0.375	0.330
abbreviation	អក្សរកាត់	0.469	0.306	0.345
abdomen	ពោះ	0.469	0.462	0.471
abdominal	ពោះ	0.490	0.456	0.445
abduct	ចាប់ពង្រត់	0.173	0.720	0.615
abduction	ចាប់ពង្រត់	0.062	0.990	0.673
aberrant	អវិជ្ជមាន	0.146	0.765	0.431
aberration	កំហុសឆ្គង	0.125	0.816	0.417
abeyance	ភាពធុញទ្រាន់	0.330	0.510	0.292
abhor	ស្អប់ខ្ពើម	0.125	0.602	0.349
abhorrence	ការស្អប់ខ្ពើម	0.167	0.684	0.420
abhorrent	ស្អប់ខ្ពើម	0.229	0.750	0.474
abide	ប្រកាន់ខ្ជាប់	0.635	0.354	0.705
abiding	ប្រកាន់ខ្ជាប់	0.796	0.327	0.750
ability	សមត្ថភាព	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ឆាបឆេះ	0.240	0.847	0.525
able	អាច	0.786	0.500	0.810
abnormal	មិនធម្មតា	0.137	0.604	0.309
abnormality	ភាពមិនធម្មតា	0.092	0.655	0.383
aboard	ជិះលើ	0.698	0.284	0.481
abode	ស្នាក់នៅ	0.620	0.302	0.500
abolish	លុបចោល	0.448	0.615	0.529
abolition	លុបបំបាត់	0.323	0.690	0.529
abominable	គួរស្អប់ខ្ពើម	0.120	0.731	0.482
abominate	ស្អប់ខ្ពើម	0.198	0.788	0.366
abomination	គួរស្អប់ខ្ពើម	0.078	0.755	0.518
aboriginal	ដើម	0.448	0.427	0.542
abort	បោះបង់	0.153	0.686	0.429
abortion	ការរំលូតកូន	0.082	0.770	0.283
abortive	រំលូតកូន	0.090	0.776	0.280
abound	មានពាសពេញ	0.704	0.490	0.681
abovementioned	ខាងលើ	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	ធ្មេញ	0.406	0.592	0.441
abrasive	សំណឹក	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	នៅបរទេស	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	ខឹង	0.271	0.819	0.545
abruptly	យ៉ាងឆាប់រហ័ស	0.250	0.808	0.556
abscess	អាប់ស	0.154	0.451	0.349
absence	អវត្តមាន	0.153	0.235	0.266
absent	អវត្តមាន	0.177	0.221	0.116
absentee	អវត្តមាន	0.235	0.330	0.279
absenteeism	អវត្តមាន	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	ដាច់ខាត	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	ជម្រះ	0.684	0.449	0.660
absorb	ស្រូបយក	0.469	0.558	0.670
absorbed	ស្រូបយក	0.490	0.471	0.519
absorbent	ស្រូបយក	0.552	0.394	0.718
absorbing	ស្រូបយក	0.490	0.490	0.578
absorption	ស្រូបយក	0.609	0.422	0.446
abstain	ជៀសវាង	0.385	0.385	0.427
abstention	ការជៀសវាង	0.271	0.264	0.509
abstinence	ការតម	0.260	0.392	0.429
abstract	អរូបី	0.438	0.292	0.444
abstraction	អរូបី	0.469	0.439	0.525
absurd	មិនទំនង	0.188	0.656	0.284
absurdity	មិនសមហេតុផល	0.115	0.528	0.227
abundance	សម្បូរបែប	0.812	0.690	0.852
abundant	សម្បូរបែប	0.958	0.590	0.760
abuse	ការរំលោភបំពាន	0.071	0.873	0.469
abused	រំលោភបំពាន	0.021	0.874	0.235
abusive	រំលោភបំពាន	0.125	0.903	0.567
abutment	ទ្រង	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	ការសិក្សា	0.781	0.420	0.812
academy	សាលា	0.704	0.473	0.792
accede	ចូល	0.698	0.510	0.537
accelerant	សំទុះ	0.643	0.844	0.802
accelerate	បង្កើនល្បឿន	0.615	0.902	0.759
accelerated	ពន្លឿន	0.610	0.812	0.682
acceleration	ការបង្កើនល្បឿន	0.704	0.905	0.843
accelerator	បង្កើនល្បឿន	0.593	0.830	0.812
accent	សំដី	0.598	0.357	0.509
accentuate	សង្កត់ធ្ងន់	0.673	0.556	0.667
accept	ទទួលយក	0.847	0.286	0.565
acceptable	អាចទទួលយកបាន	0.812	0.286	0.583
acceptance	ការទទួលយក	0.833	0.287	0.755
acceptances	ការទទួលយក	0.847	0.413	0.648
access	ចូល	0.714	0.472	0.567
accessible	អាចចូលបាន	0.796	0.410	0.645
accession	ចូល	0.612	0.383	0.636
accessory	គ្រឿងបន្លាស់	0.562	0.292	0.445
accident	គ្រោះថ្នាក់	0.125	0.908	0.336
accidental	ដោយចៃដន្យ	0.319	0.784	0.307
accidentally	ដោយចៃដន្យ	0.333	0.741	0.333
acclaim	សរសើរ	0.562	0.809	0.718
accolade	សរសើរ	0.688	0.591	0.775
accommodate	សម្រុះសម្រួល	0.844	0.375	0.566
accommodation	កន្លែងស្នាក់នៅ	0.817	0.415	0.587
accompaniment	បន្ទរ	0.740	0.479	0.695
accompany	អមដំណើរ	0.833	0.406	0.585
accompanying	ជាមួយ	0.787	0.460	0.582
accomplice	សហការី	0.408	0.580	0.510
accomplish	សម្រេច	0.929	0.673	0.816
accomplished	សម្រេច	0.870	0.520	0.798
accomplishment	សមិទ្ធផល	0.917	0.694	0.888
accord	យល់ព្រម	0.898	0.264	0.382
accordance	ស្រប	0.659	0.349	0.600
accordion	អង្កាញ់	0.604	0.490	0.361
account	គណនី	0.531	0.347	0.472
accountability	គណនេយ្យភាព	0.755	0.537	0.833
accountable	គណនេយ្យ	0.709	0.282	0.777
accountant	គណនេយ្យ	0.625	0.450	0.639
accounting	គណនេយ្យ	0.552	0.390	0.677
accounts	គណនី	0.592	0.340	0.471
accredited	ទទួលស្គាល់	0.669	0.479	0.768
accretion	កើនឡើង	0.448	0.519	0.672
accrue	បង្កើន	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	កកកុញ	0.573	0.536	0.607
accumulation	ការប្រមូលផ្តុំ	0.479	0.527	0.600
accuracy	ភាព​ត្រឹមត្រូវ	0.604	0.481	0.802
accurate	ត្រឹមត្រូវ	0.743	0.360	0.737
accursed	ត្រូវបានគេធ្វើបាប	0.135	0.745	0.345
accusation	ការចោទប្រកាន់	0.073	0.718	0.564
accusative	ចោទប្រកាន់	0.198	0.755	0.482
accuse	ចោទប្រកាន់	0.133	0.752	0.500
accused	ចោទ	0.130	0.670	0.420
accuser	អ្នកចោទប្រកាន់	0.122	0.779	0.615
accusing	ចោទប្រកាន់	0.156	0.745	0.324
accustomed	ទម្លាប់ធ្វើការកត់សំគាល់	0.542	0.365	0.441
ace	សន្លឹកអាត់	0.643	0.481	0.546
acetic	អាសេទិក	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ឈឺចាប់	0.146	0.760	0.312
achieve	សម្រេចបាន	0.816	0.545	0.843
achieved	សម្រេច	0.896	0.519	0.775
achievement	សមិទ្ធផល	0.896	0.808	0.759
aching	ឈឺចាប់	0.053	0.880	0.348
achy	ឈឺចាប់	0.167	0.840	0.373
acid	អាស៊ីត	0.265	0.642	0.566
acidity	អាសុីត	0.156	0.663	0.360
acknowledge	ទទួលស្គាល់	0.786	0.370	0.661
acknowledged	បានទទួលស្គាល់	0.714	0.443	0.765
acknowledgement	ការទទួលស្គាល់	0.819	0.539	0.830
acknowledgment	ការទទួលស្គាល់	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	មុន	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	សូរស័ព្ទ	0.542	0.462	0.536
acoustics	សូរស័ព្ទ	0.611	0.330	0.509
acquaint	ស្គាល់	0.646	0.491	0.639
acquaintance	ស្គាល់	0.656	0.290	0.670
acquainted	ស្គាល់	0.906	0.358	0.632
acquiescence	ការលះបង់	0.542	0.480	0.554
acquire	ទទួលបាន	0.833	0.468	0.700
acquiring	ទទួលបាន	0.735	0.510	0.817
acquisition	ទិញ	0.698	0.509	0.736
acquisitions	ការទិញ	0.773	0.660	0.790
acquit	រួចខ្លួន	0.583	0.571	0.611
acquittal	ការដោះលែង	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	ហិចតា	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ទង្វើ	0.656	0.704	0.735
acting	សម្ដែង	0.698	0.643	0.500
action	សកម្មភាព	0.760	0.898	0.802
action figure	តួលេខសកម្មភាព	0.615	0.774	0.611
actionable	សកម្មភាព	0.673	0.702	0.613
activate	ធ្វើឱ្យសកម្ម	0.764	0.650	0.806
activation	សកម្មភាព	0.781	0.800	0.754
active	សកម្ម	0.847	0.730	0.731
activist	សកម្មជន	0.531	0.653	0.877
activity	សកម្មភាព	0.701	0.660	0.807
actor	តារាសម្តែង	0.653	0.561	0.629
actress	តារាសម្តែង	0.633	0.556	0.596
