Word	Korean-ko	Valence	Arousal	Dominance
aaaaaaah	아아아아아	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	지루한 마음	0.427	0.490	0.437
aback	허풍	0.385	0.407	0.288
abacus	주판	0.510	0.276	0.485
abalone	전복	0.500	0.480	0.412
abandon	버리다	0.052	0.519	0.245
abandoned	버려진	0.046	0.481	0.130
abandonment	포기	0.128	0.430	0.202
abashed	부끄러워	0.177	0.644	0.307
abate	약화시키다	0.255	0.696	0.604
abatement	감소	0.388	0.338	0.336
abba	아바	0.562	0.500	0.480
abbey	대사원	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	줄여 쓰다	0.531	0.375	0.330
abbreviation	약어	0.469	0.306	0.345
abdomen	복부	0.469	0.462	0.471
abdominal	복부의	0.490	0.456	0.445
abduct	납치하다	0.173	0.720	0.615
abduction	유 괴	0.062	0.990	0.673
aberrant	이상한	0.146	0.765	0.431
aberration	수차	0.125	0.816	0.417
abeyance	중지	0.330	0.510	0.292
abhor	싫어하다	0.125	0.602	0.349
abhorrence	혐오	0.167	0.684	0.420
abhorrent	혐오스러운	0.229	0.750	0.474
abide	머물다	0.635	0.354	0.705
abiding	준수하다	0.796	0.327	0.750
ability	능력	0.875	0.510	0.816
abject	비열한	0.354	0.590	0.417
ablation	제거	0.418	0.500	0.500
ablaze	불타는	0.240	0.847	0.525
able	할 수 있는	0.786	0.500	0.810
abnormal	비정상적인	0.137	0.604	0.309
abnormality	이상	0.092	0.655	0.383
aboard	배로	0.698	0.284	0.481
abode	주소	0.620	0.302	0.500
abolish	폐하다	0.448	0.615	0.529
abolition	폐지	0.323	0.690	0.529
abominable	가증스러운	0.120	0.731	0.482
abominate	가증 한	0.198	0.788	0.366
abomination	질색	0.078	0.755	0.518
aboriginal	원주민	0.448	0.427	0.542
abort	중단하다	0.153	0.686	0.429
abortion	유산	0.082	0.770	0.283
abortive	불완전한	0.090	0.776	0.280
abound	많이 있다	0.704	0.490	0.681
abovementioned	위에서 언급 한	0.541	0.298	0.509
abracadabra	헛소리	0.673	0.632	0.434
abrasion	연마	0.406	0.592	0.441
abrasive	연마제	0.392	0.610	0.593
abreast	나란히	0.635	0.380	0.519
abroad	널리	0.677	0.596	0.561
abrogate	폐지하다	0.327	0.510	0.594
abrupt	험준한	0.271	0.819	0.545
abruptly	갑자기	0.250	0.808	0.556
abscess	농양	0.154	0.451	0.349
absence	부재	0.153	0.235	0.266
absent	없는	0.177	0.221	0.116
absentee	부재자	0.235	0.330	0.279
absenteeism	장기 결석	0.404	0.273	0.357
absinthe	압생트	0.481	0.510	0.462
absolute	순수한	0.526	0.510	0.827
absolution	사면	0.715	0.500	0.664
absolve	면제하다	0.684	0.449	0.660
absorb	없애다	0.469	0.558	0.670
absorbed	흡수 된	0.490	0.471	0.519
absorbent	흡착제	0.552	0.394	0.718
absorbing	흡수하는	0.490	0.490	0.578
absorption	흡수	0.609	0.422	0.446
abstain	기권하다	0.385	0.385	0.427
abstention	기권	0.271	0.264	0.509
abstinence	절제	0.260	0.392	0.429
abstract	추상	0.438	0.292	0.444
abstraction	추출	0.469	0.439	0.525
absurd	불합리한	0.188	0.656	0.284
absurdity	부조리	0.115	0.528	0.227
abundance	풍부	0.812	0.690	0.852
abundant	풍부한	0.958	0.590	0.760
abuse	남용	0.071	0.873	0.469
abused	학대받는	0.021	0.874	0.235
abusive	남용	0.125	0.903	0.567
abutment	인접	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	최악의	0.250	0.710	0.598
abyss	심연	0.353	0.725	0.296
academic	학생	0.781	0.420	0.812
academy	학원	0.704	0.473	0.792
accede	액트	0.698	0.510	0.537
accelerant	촉진제	0.643	0.844	0.802
accelerate	가속하다	0.615	0.902	0.759
accelerated	가속 된	0.610	0.812	0.682
acceleration	가속	0.704	0.905	0.843
accelerator	촉진 신경	0.593	0.830	0.812
accent	악센트	0.598	0.357	0.509
accentuate	강조하다	0.673	0.556	0.667
accept	받아 들인다	0.847	0.286	0.565
acceptable	수용 가능한	0.812	0.286	0.583
acceptance	수락	0.833	0.287	0.755
acceptances	수락	0.847	0.413	0.648
access	접속하다	0.714	0.472	0.567
accessible	얻기 쉬운	0.796	0.410	0.645
accession	가입	0.612	0.383	0.636
accessory	종범	0.562	0.292	0.445
accident	사고	0.125	0.908	0.336
accidental	우연한	0.319	0.784	0.307
accidentally	우윤히	0.333	0.741	0.333
acclaim	환호	0.562	0.809	0.718
accolade	영예	0.688	0.591	0.775
accommodate	수용하다	0.844	0.375	0.566
accommodation	적응	0.817	0.415	0.587
accompaniment	반주	0.740	0.479	0.695
accompany	따르게 하다	0.833	0.406	0.585
accompanying	따르는	0.787	0.460	0.582
accomplice	공범자	0.408	0.580	0.510
accomplish	달하다	0.929	0.673	0.816
accomplished	뛰어난	0.870	0.520	0.798
accomplishment	성취	0.917	0.694	0.888
accord	일치	0.898	0.264	0.382
accordance	일치	0.659	0.349	0.600
accordion	아코디언	0.604	0.490	0.361
account	계정	0.531	0.347	0.472
accountability	책임	0.755	0.537	0.833
accountable	책임감있는	0.709	0.282	0.777
accountant	회계사	0.625	0.450	0.639
accounting	회계	0.552	0.390	0.677
accounts	계정	0.592	0.340	0.471
accredited	공인 된	0.669	0.479	0.768
accretion	증가	0.448	0.519	0.672
accrue	생기다	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	모으다	0.573	0.536	0.607
accumulation	축적	0.479	0.527	0.600
accuracy	정확성	0.604	0.481	0.802
accurate	정확한	0.743	0.360	0.737
accursed	저주 받은	0.135	0.745	0.345
accusation	고발	0.073	0.718	0.564
accusative	대격	0.198	0.755	0.482
accuse	고소하다	0.133	0.752	0.500
accused	고발 당한	0.130	0.670	0.420
accuser	고발인	0.122	0.779	0.615
accusing	비난하는	0.156	0.745	0.324
accustomed	익숙한	0.542	0.365	0.441
ace	에이스	0.643	0.481	0.546
acetic	초의	0.333	0.420	0.519
acetylene	아세틸렌	0.306	0.469	0.509
ache	아픔	0.146	0.760	0.312
achieve	이루다	0.816	0.545	0.843
achieved	달성 된	0.896	0.519	0.775
achievement	성취	0.896	0.808	0.759
aching	아프다	0.053	0.880	0.348
achy	아픈	0.167	0.840	0.373
acid	산	0.265	0.642	0.566
acidity	신맛	0.156	0.663	0.360
acknowledge	인정하다	0.786	0.370	0.661
acknowledged	인정한	0.714	0.443	0.765
acknowledgement	승인	0.819	0.539	0.830
acknowledgment	승인	0.796	0.528	0.777
acme	절정	0.408	0.435	0.375
acne	좌창	0.167	0.474	0.308
acorn	도토리	0.448	0.198	0.192
acoustic	음향학	0.542	0.462	0.536
