Word	Kyrgyz-ky	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	артка кетенчиктей	0.385	0.407	0.288
abacus	Эдгар	0.510	0.276	0.485
abalone	зоот	0.500	0.480	0.412
abandon	баш	0.052	0.519	0.245
abandoned	таштап кеткен	0.046	0.481	0.130
abandonment	баш тартуу	0.128	0.430	0.202
abashed	кызарып,	0.177	0.644	0.307
abate	Abate	0.255	0.696	0.604
abatement	каршы күрөшүүчү	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	Эби	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	кыскартуу	0.531	0.375	0.330
abbreviation	аббревиатура	0.469	0.306	0.345
abdomen	курсак	0.469	0.462	0.471
abdominal	Курсак	0.490	0.456	0.445
abduct	уурдап кетүү	0.173	0.720	0.615
abduction	уурдоо	0.062	0.990	0.673
aberrant	бузук	0.146	0.765	0.431
aberration	бурмалануу	0.125	0.816	0.417
abeyance	тогон	0.330	0.510	0.292
abhor	жек	0.125	0.602	0.349
abhorrence	жек	0.167	0.684	0.420
abhorrent	жийиркеничтүү	0.229	0.750	0.474
abide	баш ийүүсү	0.635	0.354	0.705
abiding	Кечиримдүү	0.796	0.327	0.750
ability	жөндөмдүүлүгү	0.875	0.510	0.816
abject	жек көрүмчү	0.354	0.590	0.417
ablation	кыскарышына	0.418	0.500	0.500
ablaze	жалтыраган	0.240	0.847	0.525
able	алат	0.786	0.500	0.810
abnormal	нормада болбогон	0.137	0.604	0.309
abnormality	бузулуулар	0.092	0.655	0.383
aboard	бортунда	0.698	0.284	0.481
abode	жайы	0.620	0.302	0.500
abolish	жокко чыгаруу	0.448	0.615	0.529
abolition	алып салуу	0.323	0.690	0.529
abominable	жийиркеничтүү	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	жийиркеничтүү	0.078	0.755	0.518
aboriginal	жергиликтүү	0.448	0.427	0.542
abort	жокко чыгаруу	0.153	0.686	0.429
abortion	боюнан алдыруу	0.082	0.770	0.283
abortive	болбой калды	0.090	0.776	0.280
abound	көп	0.704	0.490	0.681
abovementioned	Көрсөтүлгөн	0.541	0.298	0.509
abracadabra	Abracadabra	0.673	0.632	0.434
abrasion	майдалоо	0.406	0.592	0.441
abrasive	кесек	0.392	0.610	0.593
abreast	кабардар	0.635	0.380	0.519
abroad	чет	0.677	0.596	0.561
abrogate	насх	0.327	0.510	0.594
abrupt	тике	0.271	0.819	0.545
abruptly	кескин	0.250	0.808	0.556
abscess	туюк жара	0.154	0.451	0.349
absence	жок болуу	0.153	0.235	0.266
absent	келбей калган	0.177	0.221	0.116
absentee	тизмеден чыгуу	0.235	0.330	0.279
absenteeism	барбайт	0.404	0.273	0.357
absinthe	пихталуу	0.481	0.510	0.462
absolute	абсолюттук	0.526	0.510	0.827
absolution	акталууну	0.715	0.500	0.664
absolve	аруулайм	0.684	0.449	0.660
absorb	сиңдирүү	0.469	0.558	0.670
absorbed	арна	0.490	0.471	0.519
absorbent	тизесинде	0.552	0.394	0.718
absorbing	кызыктуу	0.490	0.490	0.578
absorption	жутуу	0.609	0.422	0.446
abstain	өзүн өзү тыйуу	0.385	0.385	0.427
abstention	кечиримдүүлүк	0.271	0.264	0.509
abstinence	кармануу	0.260	0.392	0.429
abstract	жалпылаган	0.438	0.292	0.444
abstraction	суу	0.469	0.439	0.525
absurd	мааниси жок	0.188	0.656	0.284
absurdity	орунсуз	0.115	0.528	0.227
abundance	кенч	0.812	0.690	0.852
abundant	мол	0.958	0.590	0.760
abuse	кыянаттык	0.071	0.873	0.469
abused	кыянаттык	0.021	0.874	0.235
abusive	кордогон	0.125	0.903	0.567
abutment	машаларга	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	пастыктан	0.250	0.710	0.598
abyss	түпсүз	0.353	0.725	0.296
academic	академиялык	0.781	0.420	0.812
academy	академия	0.704	0.473	0.792
accede	кошула	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	тездетүү	0.615	0.902	0.759
accelerated	тездетилген	0.610	0.812	0.682
acceleration	ылдамдатуу	0.704	0.905	0.843
accelerator	тездеткич	0.593	0.830	0.812
accent	туура айтуу	0.598	0.357	0.509
accentuate	буруу	0.673	0.556	0.667
accept	кабыл алуу	0.847	0.286	0.565
acceptable	алгылыктуу	0.812	0.286	0.583
acceptance	таануу	0.833	0.287	0.755
acceptances	кабыл алуу	0.847	0.413	0.648
access	мүмкүндүк алуу	0.714	0.472	0.567
accessible	мүмкүн болгон	0.796	0.410	0.645
accession	кошулуу	0.612	0.383	0.636
accessory	шерик	0.562	0.292	0.445
accident	кокустук	0.125	0.908	0.336
accidental	кокус	0.319	0.784	0.307
accidentally	кокустан	0.333	0.741	0.333
acclaim	Acclaim	0.562	0.809	0.718
accolade	ТААНУУ	0.688	0.591	0.775
accommodate	ылайыкташтыруу	0.844	0.375	0.566
accommodation	жайлуулук	0.817	0.415	0.587
accompaniment	узатуу	0.740	0.479	0.695
accompany	кошо жүрүү	0.833	0.406	0.585
accompanying	коштоочу	0.787	0.460	0.582
accomplice	көмөкчү	0.408	0.580	0.510
accomplish	аткаруу	0.929	0.673	0.816
accomplished	Аткарылды	0.870	0.520	0.798
accomplishment	оорундоо	0.917	0.694	0.888
accord	юнча	0.898	0.264	0.382
accordance	ылайык	0.659	0.349	0.600
accordion	аккордеон	0.604	0.490	0.361
account	каттоо эсеби	0.531	0.347	0.472
accountability	жоопкерчилик	0.755	0.537	0.833
accountable	жооптуу	0.709	0.282	0.777
accountant	эсепчи эркек	0.625	0.450	0.639
accounting	эсепке алуу	0.552	0.390	0.677
accounts	каттоо	0.592	0.340	0.471
accredited	аккредиттелген	0.669	0.479	0.768
accretion	кёбёйъъ	0.448	0.519	0.672
accrue	жыйноо	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	чогултуу	0.573	0.536	0.607
accumulation	чогултуу	0.479	0.527	0.600
accuracy	тактык	0.604	0.481	0.802
accurate	так	0.743	0.360	0.737
accursed	каргышка	0.135	0.745	0.345
accusation	айыптоо	0.073	0.718	0.564
accusative	табыш жөндөмө	0.198	0.755	0.482
accuse	айыптоо	0.133	0.752	0.500
accused	айыпталуучу	0.130	0.670	0.420
accuser	айыптоочу	0.122	0.779	0.615
accusing	айыпташты	0.156	0.745	0.324
accustomed	мактанчаак	0.542	0.365	0.441
ace	карта ойунундагы туз	0.643	0.481	0.546
acetic	уксус	0.333	0.420	0.519
acetylene	менен иштөөчү	0.306	0.469	0.509
ache	оору	0.146	0.760	0.312
achieve	жетүү	0.816	0.545	0.843
achieved	жетишилди	0.896	0.519	0.775
achievement	жетишкендик	0.896	0.808	0.759
aching	ооруп	0.053	0.880	0.348
achy	Ачы	0.167	0.840	0.373
acid	кислота	0.265	0.642	0.566
acidity	кычкылдыгы	0.156	0.663	0.360
acknowledge	моюнга	0.786	0.370	0.661
acknowledged	мойнуна алды	0.714	0.443	0.765
acknowledgement	тааныгандык	0.819	0.539	0.830
acknowledgment	тааныгандык	0.796	0.528	0.777
acme	акматикалык	0.408	0.435	0.375
acne	бетке чыккан ысык	0.167	0.474	0.308
acorn	желудь	0.448	0.198	0.192
acoustic	акустикалык	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	тааныштыруу	0.646	0.491	0.639
acquaintance	таанышчылык	0.656	0.290	0.670
acquainted	тааныш	0.906	0.358	0.632
acquiescence	катышмайынча	0.542	0.480	0.554
acquire	ээ болуу	0.833	0.468	0.700
acquiring	сатып алуу	0.735	0.510	0.817
acquisition	табылга	0.698	0.509	0.736
acquisitions	сатып алуулар	0.773	0.660	0.790
acquit	ак деп табуу	0.583	0.571	0.611
acquittal	актоо	0.760	0.497	0.700
acre	акр	0.583	0.387	0.423
acreage	гадан	0.741	0.450	0.528
acres	акр	0.510	0.363	0.500
acrobat	акробат эркек	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	иш	0.656	0.704	0.735
acting	актердук	0.698	0.643	0.500
action	иш-аракеттер	0.760	0.898	0.802
action figure	иш-көрсөткүч	0.615	0.774	0.611
actionable	иш жүзүнө	0.673	0.702	0.613
activate	жандыруу	0.764	0.650	0.806
activation	жандандыруу	0.781	0.800	0.754
active	активдүү	0.847	0.730	0.731
activist	активист аял	0.531	0.653	0.877
activity	иш	0.701	0.660	0.807
actor	актер	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	чыныгы	0.729	0.400	0.716
actuality	актуалдуулугу	0.750	0.464	0.600
actuary	актуардык	0.510	0.404	0.491
acuity	көчүүсү	0.469	0.378	0.741
acumen	Хунайнда	0.564	0.660	0.679
acupuncture	акупунктура	0.531	0.324	0.549
acute	курч	0.427	0.652	0.534
acutely	тийет	0.417	0.543	0.491
ad	жарнама	0.521	0.705	0.558
adage	деген сөздү	0.517	0.415	0.566
adamant	адамант / катуу	0.344	0.529	0.575
adapt	көнүү	0.740	0.355	0.551
adaptable	көнүмдүү	0.735	0.423	0.641
adaptation	кайра жасоо	0.663	0.365	0.609
add	кошуу	0.728	0.490	0.554
added	Досторду кошо элек	0.562	0.405	0.509
addendum	толуктоо	0.392	0.370	0.418
adder	үрөйүн учурат	0.388	0.461	0.588
addict	бир нерсеге берилген аял	0.075	0.696	0.327
addicted	көз каранды	0.156	0.712	0.483
addiction	зыян нерсеге берилүү	0.180	0.806	0.420
addictive	көз каранды	0.302	0.683	0.472
addition	толуктоо	0.562	0.373	0.471
additional	кошумча	0.673	0.462	0.526
additive	кошумча	0.561	0.633	0.691
address	дарек	0.650	0.327	0.567
