Word	Lao-lo	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	ງົດງາມ	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	ອືດ	0.500	0.480	0.412
abandon	ຍົກເລີກ	0.052	0.519	0.245
abandoned	ຖືກປະຖິ້ມໄວ້	0.046	0.481	0.130
abandonment	ການຍົກເລີກ	0.128	0.430	0.202
abashed	ຂັດຂວາງ	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	ໂບດ	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ຫຍໍ້	0.531	0.375	0.330
abbreviation	abbreviation	0.469	0.306	0.345
abdomen	ທ້ອງ	0.469	0.462	0.471
abdominal	ທ້ອງ	0.490	0.456	0.445
abduct	ການລ່ວງລະເມີດ	0.173	0.720	0.615
abduction	ການລ່ວງລະເມີດ	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	ຄວາມຊົ່ວຄາວ	0.330	0.510	0.292
abhor	ຂີ້ລັກ	0.125	0.602	0.349
abhorrence	ຫນ້າກຽດຊັງ	0.167	0.684	0.420
abhorrent	ຫນ້າກຽດຊັງ	0.229	0.750	0.474
abide	ປະຕິບັດຕາມ	0.635	0.354	0.705
abiding	abiding	0.796	0.327	0.750
ability	ຄວາມສາມາດ	0.875	0.510	0.816
abject	ຂີ້ຮ້າຍ	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ເຜົາ	0.240	0.847	0.525
able	ສາມາດ	0.786	0.500	0.810
abnormal	ຜິດປົກກະຕິ	0.137	0.604	0.309
abnormality	ຄວາມຜິດປົກກະຕິ	0.092	0.655	0.383
aboard	ເທິງເຮືອ	0.698	0.284	0.481
abode	ອາໃສຢູ່	0.620	0.302	0.500
abolish	ຍົກເລີກ	0.448	0.615	0.529
abolition	abolition	0.323	0.690	0.529
abominable	ຫນ້າກຽດຊັງ	0.120	0.731	0.482
abominate	ຂີ້ລັກ	0.198	0.788	0.366
abomination	ຄວາມຫນ້າກຽດຊັງ	0.078	0.755	0.518
aboriginal	native	0.448	0.427	0.542
abort	ຍົກເລີກ	0.153	0.686	0.429
abortion	ການທໍາແທ້ງ	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	ອຸດົມສົມບູນ	0.704	0.490	0.681
abovementioned	ຂ້າງເທິງນີ້	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	ຢູ່ຕ່າງປະເທດ	0.677	0.596	0.561
abrogate	ຍົກເລີກ	0.327	0.510	0.594
abrupt	ຢ່າງກະທັນຫັນ	0.271	0.819	0.545
abruptly	ຢ່າງລວດໄວ	0.250	0.808	0.556
abscess	ຂີ້ຝຸ່ນ	0.154	0.451	0.349
absence	ຂາດ	0.153	0.235	0.266
absent	ບໍ່ມີ	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	ຢ່າງແທ້ຈິງ	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	ຍົກເວັ້ນ	0.684	0.449	0.660
absorb	ດູດເອົາ	0.469	0.558	0.670
absorbed	ດູດຊຶມ	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	ດູດດື່ມ	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	ຫ້າມ	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	ໂງ່	0.188	0.656	0.284
absurdity	absurdity	0.115	0.528	0.227
abundance	ອຸດົມສົມບູນ	0.812	0.690	0.852
abundant	ອຸດົມສົມບູນ	0.958	0.590	0.760
abuse	ການຂົ່ມເຫັງ	0.071	0.873	0.469
abused	ຖືກທາລຸນ	0.021	0.874	0.235
abusive	ລ່ວງລະເມີດ	0.125	0.903	0.567
abutment	ຕໍາແຫນ່ງ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	ການສຶກສາ	0.781	0.420	0.812
academy	ໂຮງຮຽນ	0.704	0.473	0.792
accede	accede	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	ເລັ່ງ	0.615	0.902	0.759
accelerated	ເລັ່ງລັດ	0.610	0.812	0.682
acceleration	ການເລັ່ງ	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	ເນັ້ນຫນັກ	0.673	0.556	0.667
accept	ຍອມ​ຮັບ	0.847	0.286	0.565
acceptable	acceptable	0.812	0.286	0.583
acceptance	ການຍອມຮັບ	0.833	0.287	0.755
acceptances	ການຍອມຮັບ	0.847	0.413	0.648
access	ເຂົ້າເຖິງ	0.714	0.472	0.567
accessible	ສາມາດເຂົ້າເຖິງໄດ້	0.796	0.410	0.645
accession	ເຂົ້າຮ່ວມ	0.612	0.383	0.636
accessory	ອຸປະກອນເສີມ	0.562	0.292	0.445
accident	ອຸບັດຕິເຫດ	0.125	0.908	0.336
accidental	accidental	0.319	0.784	0.307
accidentally	ໂດຍບັງເອີນ	0.333	0.741	0.333
acclaim	ຊົມເຊີຍ	0.562	0.809	0.718
accolade	ຊົມເຊີຍ	0.688	0.591	0.775
accommodate	ຮອງຮັບ	0.844	0.375	0.566
accommodation	ທີ່ພັກອາໄສ	0.817	0.415	0.587
accompaniment	accompaniment	0.740	0.479	0.695
accompany	ມາພ້ອມກັບ	0.833	0.406	0.585
accompanying	accompanying	0.787	0.460	0.582
accomplice	ສົມຈິງ	0.408	0.580	0.510
accomplish	ປະສົບຜົນສໍາເລັດ	0.929	0.673	0.816
accomplished	accomplished	0.870	0.520	0.798
accomplishment	ຜົນສໍາເລັດ	0.917	0.694	0.888
accord	ສອດຄ້ອງ	0.898	0.264	0.382
accordance	ສອດຄ້ອງ	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	ບັນຊີ	0.531	0.347	0.472
accountability	ຄວາມຮັບຜິດຊອບ	0.755	0.537	0.833
accountable	ຮັບຜິດຊອບ	0.709	0.282	0.777
accountant	ບັນຊີ	0.625	0.450	0.639
accounting	ການບັນຊີ	0.552	0.390	0.677
accounts	ບັນຊີ	0.592	0.340	0.471
accredited	accredited	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	ເພີ່ມຂຶ້ນ	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	ສະສົມ	0.573	0.536	0.607
accumulation	ການເພີ່ມຂື້ນ	0.479	0.527	0.600
accuracy	ຄວາມຖືກຕ້ອງ	0.604	0.481	0.802
accurate	ຖືກຕ້ອງ	0.743	0.360	0.737
accursed	ຖືກກຽດຊັງ	0.135	0.745	0.345
accusation	ຂໍ້ກ່າວຫາ	0.073	0.718	0.564
accusative	ຂໍ້ກ່າວຫາ	0.198	0.755	0.482
accuse	ກ່າວຫາ	0.133	0.752	0.500
accused	ຖືກກ່າວຫາ	0.130	0.670	0.420
accuser	accuser	0.122	0.779	0.615
accusing	ການກ່າວຫາ	0.156	0.745	0.324
accustomed	ຄຸ້ນເຄີຍກັບ	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ເຈັບປວດ	0.146	0.760	0.312
achieve	ປະສົບຜົນສໍາເລັດ	0.816	0.545	0.843
achieved	ບັນລຸໄດ້	0.896	0.519	0.775
achievement	ຜົນສໍາເລັດ	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	ອາຊິດ	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	ຮັບຮູ້	0.786	0.370	0.661
acknowledged	ຍອມຮັບ	0.714	0.443	0.765
acknowledgement	ການຍອມຮັບ	0.819	0.539	0.830
acknowledgment	ການຍອມຮັບ	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	ຮູ້ຈັກ	0.646	0.491	0.639
acquaintance	ຄົນຮູ້ຈັກ	0.656	0.290	0.670
acquainted	ຮູ້ຈັກ	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	acquire	0.833	0.468	0.700
acquiring	acquiring	0.735	0.510	0.817
acquisition	ການໄດ້ມາ	0.698	0.509	0.736
acquisitions	ການຊື້ຂາຍ	0.773	0.660	0.790
acquit	acquit	0.583	0.571	0.611
acquittal	ການຍົກເວັ້ນ	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ປະຕິບັດ	0.656	0.704	0.735
acting	acting	0.698	0.643	0.500
action	ການປະຕິບັດ	0.760	0.898	0.802
action figure	ຕົວເລກການປະຕິບັດ	0.615	0.774	0.611
actionable	ສາມາດປະຕິບັດໄດ້	0.673	0.702	0.613
