Word	Latvian-lv	Valence	Arousal	Dominance
aaaaaaah	aaaaaaha	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	dīvains	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	cāli	0.500	0.480	0.412
abandon	pamest	0.052	0.519	0.245
abandoned	pamesta	0.046	0.481	0.130
abandonment	atmešana	0.128	0.430	0.202
abashed	saudzīgs	0.177	0.644	0.307
abate	saīsināt	0.255	0.696	0.604
abatement	samazināšana	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abatija	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	saīsināt	0.531	0.375	0.330
abbreviation	abreviatūra	0.469	0.306	0.345
abdomen	vēders	0.469	0.462	0.471
abdominal	vēdera	0.490	0.456	0.445
abduct	nolaupīt	0.173	0.720	0.615
abduction	nolaupīšana	0.062	0.990	0.673
aberrant	neatbilstošs	0.146	0.765	0.431
aberration	aberācija	0.125	0.816	0.417
abeyance	apturēšana	0.330	0.510	0.292
abhor	niknums	0.125	0.602	0.349
abhorrence	negodīgums	0.167	0.684	0.420
abhorrent	negodīgi	0.229	0.750	0.474
abide	paliec	0.635	0.354	0.705
abiding	paliekoša	0.796	0.327	0.750
ability	spēja	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablācija	0.418	0.500	0.500
ablaze	apslāpēt	0.240	0.847	0.525
able	spējīgs	0.786	0.500	0.810
abnormal	patoloģiska	0.137	0.604	0.309
abnormality	anomālija	0.092	0.655	0.383
aboard	uz borta	0.698	0.284	0.481
abode	mītne	0.620	0.302	0.500
abolish	atcelt	0.448	0.615	0.529
abolition	atcelšana	0.323	0.690	0.529
abominable	negodīgi	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abominācija	0.078	0.755	0.518
aboriginal	aborigēns	0.448	0.427	0.542
abort	pārtraukt	0.153	0.686	0.429
abortion	aborts	0.082	0.770	0.283
abortive	abortu	0.090	0.776	0.280
abound	abound	0.704	0.490	0.681
abovementioned	Augstāk minēts	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	nodilums	0.406	0.592	0.441
abrasive	abrazīvs	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	ārzemēs	0.677	0.596	0.561
abrogate	atcelt	0.327	0.510	0.594
abrupt	pēkšņi	0.271	0.819	0.545
abruptly	pēkšņi	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	prombūtne	0.153	0.235	0.266
absent	prombūtne	0.177	0.221	0.116
absentee	prombūtne	0.235	0.330	0.279
absenteeism	prombūtne	0.404	0.273	0.357
absinthe	absints	0.481	0.510	0.462
absolute	absolūti	0.526	0.510	0.827
absolution	atmešana	0.715	0.500	0.664
absolve	atlaist	0.684	0.449	0.660
absorb	absorbēt	0.469	0.558	0.670
absorbed	uzsūcas	0.490	0.471	0.519
absorbent	absorbējošs	0.552	0.394	0.718
absorbing	absorbējot	0.490	0.490	0.578
absorption	absorbcija	0.609	0.422	0.446
abstain	atturēties	0.385	0.385	0.427
abstention	atturēšanās	0.271	0.264	0.509
abstinence	atturība	0.260	0.392	0.429
abstract	abstrakts	0.438	0.292	0.444
abstraction	abstrakcija	0.469	0.439	0.525
absurd	absurds	0.188	0.656	0.284
absurdity	absurds	0.115	0.528	0.227
abundance	pārpilnība	0.812	0.690	0.852
abundant	bagātīgs	0.958	0.590	0.760
abuse	ļaunprātīgi izmantot	0.071	0.873	0.469
abused	ļaunprātīgi	0.021	0.874	0.235
abusive	ļaunprātīgs	0.125	0.903	0.567
abutment	abatment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	bezgalīgs	0.250	0.710	0.598
abyss	bezdibenis	0.353	0.725	0.296
academic	akadēmiskā	0.781	0.420	0.812
academy	akadēmija	0.704	0.473	0.792
accede	pievienoties	0.698	0.510	0.537
accelerant	paātrinātājs	0.643	0.844	0.802
accelerate	paātrināt	0.615	0.902	0.759
accelerated	paātrināta	0.610	0.812	0.682
acceleration	paātrinājums	0.704	0.905	0.843
accelerator	paātrinātājs	0.593	0.830	0.812
accent	akcents	0.598	0.357	0.509
accentuate	akcentēt	0.673	0.556	0.667
accept	pieņemt	0.847	0.286	0.565
acceptable	pieņemams	0.812	0.286	0.583
acceptance	pieņemšana	0.833	0.287	0.755
acceptances	pieņemšana	0.847	0.413	0.648
access	piekļuvi	0.714	0.472	0.567
accessible	pieejams	0.796	0.410	0.645
accession	pievienošanās	0.612	0.383	0.636
accessory	aksesuārs	0.562	0.292	0.445
accident	nelaimes gadījums	0.125	0.908	0.336
accidental	nejauša	0.319	0.784	0.307
accidentally	nejauši	0.333	0.741	0.333
acclaim	atzinību	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
