Word	Lithuanian-lt	Valence	Arousal	Dominance
aaaaaaah	aaaaaaha	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	atsimenu	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	garbanotas	0.500	0.480	0.412
abandon	apleisti	0.052	0.519	0.245
abandoned	paliktas	0.046	0.481	0.130
abandonment	atsisakymas	0.128	0.430	0.202
abashed	nuobodus	0.177	0.644	0.307
abate	susilpninti	0.255	0.696	0.604
abatement	mažinimas	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abatija	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	sutrumpinti	0.531	0.375	0.330
abbreviation	santrumpa	0.469	0.306	0.345
abdomen	pilvas	0.469	0.462	0.471
abdominal	pilvasis	0.490	0.456	0.445
abduct	pagrobti	0.173	0.720	0.615
abduction	pagrobimas	0.062	0.990	0.673
aberrant	netinkamas	0.146	0.765	0.431
aberration	aberacija	0.125	0.816	0.417
abeyance	sustabdymas	0.330	0.510	0.292
abhor	šmeižti	0.125	0.602	0.349
abhorrence	baimė	0.167	0.684	0.420
abhorrent	nepatogus	0.229	0.750	0.474
abide	laikykis	0.635	0.354	0.705
abiding	laikantis	0.796	0.327	0.750
ability	gebėjimas	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	abliacija	0.418	0.500	0.500
ablaze	gaisras	0.240	0.847	0.525
able	galingas	0.786	0.500	0.810
abnormal	nenormalus	0.137	0.604	0.309
abnormality	anomalija	0.092	0.655	0.383
aboard	laive	0.698	0.284	0.481
abode	gyventi	0.620	0.302	0.500
abolish	panaikinti	0.448	0.615	0.529
abolition	panaikinimas	0.323	0.690	0.529
abominable	bjaurus	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	bjaurystė	0.078	0.755	0.518
aboriginal	aborigenai	0.448	0.427	0.542
abort	nutraukti	0.153	0.686	0.429
abortion	abortas	0.082	0.770	0.283
abortive	neveikianti	0.090	0.776	0.280
abound	gausu	0.704	0.490	0.681
abovementioned	anksčiau paminėtas	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	trintis	0.406	0.592	0.441
abrasive	abrazyvinis	0.392	0.610	0.593
abreast	be abejo	0.635	0.380	0.519
abroad	užsienyje	0.677	0.596	0.561
abrogate	atšaukti	0.327	0.510	0.594
abrupt	staiga	0.271	0.819	0.545
abruptly	staiga	0.250	0.808	0.556
abscess	pūlinys	0.154	0.451	0.349
absence	nebuvimas	0.153	0.235	0.266
absent	nėra	0.177	0.221	0.116
absentee	absentee	0.235	0.330	0.279
absenteeism	nebuvimas	0.404	0.273	0.357
absinthe	absentas	0.481	0.510	0.462
absolute	absoliutus	0.526	0.510	0.827
absolution	atleidimas	0.715	0.500	0.664
absolve	atleisk	0.684	0.449	0.660
absorb	sugerti	0.469	0.558	0.670
absorbed	sugeria	0.490	0.471	0.519
absorbent	sugeriantis	0.552	0.394	0.718
absorbing	sugeriantis	0.490	0.490	0.578
absorption	absorbcija	0.609	0.422	0.446
abstain	susilaikyti	0.385	0.385	0.427
abstention	susilaikymas	0.271	0.264	0.509
abstinence	susilaikymas	0.260	0.392	0.429
abstract	abstraktus	0.438	0.292	0.444
abstraction	abstrakcija	0.469	0.439	0.525
absurd	absurdas	0.188	0.656	0.284
absurdity	absurdas	0.115	0.528	0.227
abundance	gausa	0.812	0.690	0.852
abundant	gausu	0.958	0.590	0.760
abuse	piktnaudžiavimas	0.071	0.873	0.469
abused	piktnaudžiaujama	0.021	0.874	0.235
abusive	užgaulus	0.125	0.903	0.567
abutment	atrama	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	apgailėtinas	0.250	0.710	0.598
abyss	bedugnė	0.353	0.725	0.296
academic	akademinis	0.781	0.420	0.812
academy	akademija	0.704	0.473	0.792
accede	prisijungti	0.698	0.510	0.537
accelerant	pagreitis	0.643	0.844	0.802
accelerate	paspartinti	0.615	0.902	0.759
accelerated	pagreitintas	0.610	0.812	0.682
acceleration	pagreitis	0.704	0.905	0.843
accelerator	greitintuvas	0.593	0.830	0.812
accent	akcentas	0.598	0.357	0.509
accentuate	pabrėžti	0.673	0.556	0.667
accept	priimti	0.847	0.286	0.565
acceptable	priimtinas	0.812	0.286	0.583
acceptance	priėmimas	0.833	0.287	0.755
acceptances	priėmimai	0.847	0.413	0.648
access	prieiga	0.714	0.472	0.567
accessible	prieinama	0.796	0.410	0.645
accession	įstojimas	0.612	0.383	0.636
accessory	aksesuaras	0.562	0.292	0.445
accident	avarija	0.125	0.908	0.336
accidental	atsitiktinis	0.319	0.784	0.307
accidentally	atsitiktinai	0.333	0.741	0.333
acclaim	pripažinimas	0.562	0.809	0.718
accolade	apdovanojimas	0.688	0.591	0.775
