Word	Malagasy-mg	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	gaga	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	hanary	0.052	0.519	0.245
abandoned	nandao	0.046	0.481	0.130
abandonment	fandaozana	0.128	0.430	0.202
abashed	hangaihay	0.177	0.644	0.307
abate	hampitony	0.255	0.696	0.604
abatement	fiafarana	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	Abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	fanafohezana	0.469	0.306	0.345
abdomen	kibony	0.469	0.462	0.471
abdominal	kibo	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	fakàna an-keriny	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	mankahalà	0.125	0.602	0.349
abhorrence	rikoriko	0.167	0.684	0.420
abhorrent	maharikoriko	0.229	0.750	0.474
abide	mitoera	0.635	0.354	0.705
abiding	maharitra	0.796	0.327	0.750
ability	fahaizana	0.875	0.510	0.816
abject	faraidiny	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	nirehetan'ny	0.240	0.847	0.525
able	afaka	0.786	0.500	0.810
abnormal	ara-dalàna	0.137	0.604	0.309
abnormality	ara-dalàna,	0.092	0.655	0.383
aboard	sambo	0.698	0.284	0.481
abode	nitoetra	0.620	0.302	0.500
abolish	hanafoana	0.448	0.615	0.529
abolition	fanafoanana	0.323	0.690	0.529
abominable	fahavetavetana	0.120	0.731	0.482
abominate	zava-betaveta	0.198	0.788	0.366
abomination	fahavetavetana	0.078	0.755	0.518
aboriginal	Aboriginal	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	fanalan-jaza	0.082	0.770	0.283
abortive	abortive	0.090	0.776	0.280
abound	betsaka	0.704	0.490	0.681
abovementioned	abovementioned	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	Marokoroko	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	any ivelany	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	tampoka	0.271	0.819	0.545
abruptly	tampoka	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	tsy fisian'ny	0.153	0.235	0.266
absent	tsy eo	0.177	0.221	0.116
absentee	tsy tonga	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	tanteraka	0.526	0.510	0.827
absolution	famotsoran-keloka	0.715	0.500	0.664
absolve	hanafaka	0.684	0.449	0.660
absorb	mandray	0.469	0.558	0.670
absorbed	variana	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	mitroka	0.490	0.490	0.578
absorption	hisakana ny fiasan'ireny	0.609	0.422	0.446
abstain	hifady	0.385	0.385	0.427
abstention	koa nilaza hoe mpankahala	0.271	0.264	0.509
abstinence	tsy nihinan-kanina	0.260	0.392	0.429
abstract	saro-takarina	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	tsy mitombina	0.188	0.656	0.284
absurdity	hadalàna	0.115	0.528	0.227
abundance	be dia be	0.812	0.690	0.852
abundant	be	0.958	0.590	0.760
abuse	fanararaotana	0.071	0.873	0.469
abused	nanararaotra	0.021	0.874	0.235
abusive	ratsy	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	nahatsiravina ny	0.250	0.710	0.598
abyss	lavaka tsy hita noanoa	0.353	0.725	0.296
academic	akademika	0.781	0.420	0.812
academy	Akademia	0.704	0.473	0.792
accede	accede	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	haingana	0.615	0.902	0.759
accelerated	haingana	0.610	0.812	0.682
acceleration	haingana	0.704	0.905	0.843
accelerator	Mandehana mafimafy kokoa	0.593	0.830	0.812
accent	lantom-peony	0.598	0.357	0.509
accentuate	Asongadin'ireny	0.673	0.556	0.667
accept	manaiky	0.847	0.286	0.565
acceptable	azo ekena	0.812	0.286	0.583
acceptance	fanekena	0.833	0.287	0.755
acceptances	acceptances	0.847	0.413	0.648
access	fidirana	0.714	0.472	0.567
accessible	azo idirana	0.796	0.410	0.645
accession	fidirana	0.612	0.383	0.636
accessory	fanampin-javatra	0.562	0.292	0.445
accident	loza	0.125	0.908	0.336
accidental	nahy	0.319	0.784	0.307
accidentally	tsy nahy	0.333	0.741	0.333
acclaim	laza	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	handraisana	0.844	0.375	0.566
accommodation	zavatra ilaina	0.817	0.415	0.587
accompaniment	arahina	0.740	0.479	0.695
accompany	hiaraka	0.833	0.406	0.585
accompanying	laoka	0.787	0.460	0.582
accomplice	mpiray tsikombakomba	0.408	0.580	0.510
accomplish	hanatanteraka	0.929	0.673	0.816
accomplished	tanteraka	0.870	0.520	0.798
accomplishment	zava-bita	0.917	0.694	0.888
accord	mifanaraka	0.898	0.264	0.382
accordance	mifanaraka	0.659	0.349	0.600
accordion	angorodao	0.604	0.490	0.361
account	kaonty	0.531	0.347	0.472
accountability	andraikitra	0.755	0.537	0.833
accountable	tompon 'andraikitra	0.709	0.282	0.777
accountant	kaonty	0.625	0.450	0.639
accounting	fitantanam-bola	0.552	0.390	0.677
accounts	kaonty	0.592	0.340	0.471
accredited	ofisialy	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	hampitombo	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	hanangonany	0.573	0.536	0.607
accumulation	fanangonan-karena	0.479	0.527	0.600
accuracy	araka ny marina	0.604	0.481	0.802
accurate	marina	0.743	0.360	0.737
accursed	voaozona	0.135	0.745	0.345
accusation	fiampangana	0.073	0.718	0.564
accusative	Zavatra	0.198	0.755	0.482
accuse	miampanga	0.133	0.752	0.500
accused	voampanga	0.130	0.670	0.420
accuser	mpiampanga	0.122	0.779	0.615
accusing	niampanga	0.156	0.745	0.324
accustomed	zatra	0.542	0.365	0.441
ace	abidy	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ache	0.146	0.760	0.312
achieve	hanatrarana	0.816	0.545	0.843
achieved	tratra	0.896	0.519	0.775
achievement	zava-bitany	0.896	0.808	0.759
aching	Nanaintaina	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asidra	0.265	0.642	0.566
acidity	asidra	0.156	0.663	0.360
acknowledge	manaiky	0.786	0.370	0.661
acknowledged	niaiky	0.714	0.443	0.765
acknowledgement	fiekena	0.819	0.539	0.830
acknowledgment	fiekena	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	refin-	0.167	0.474	0.308
acorn	voa kelin'ny fangatahana	0.448	0.198	0.192
acoustic	Acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	hampahafantarana	0.646	0.491	0.639
acquaintance	olom-pantany	0.656	0.290	0.670
acquainted	mahafantatra	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	hahazo	0.833	0.468	0.700
acquiring	mahazo	0.735	0.510	0.817
acquisition	fahazoana	0.698	0.509	0.736
acquisitions	novidiny	0.773	0.660	0.790
acquit	manafaka	0.583	0.571	0.611
acquittal	fanafahana	0.760	0.497	0.700
acre	hektara	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	hektara	0.510	0.363	0.500
acrobat	Acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	fihetsika	0.656	0.704	0.735
acting	hanao zavatra	0.698	0.643	0.500
action	hetsika	0.760	0.898	0.802
action figure	hetsika endrika	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	hampavitrika	0.764	0.650	0.806
activation	fampahavitrihana	0.781	0.800	0.754
active	active	0.847	0.730	0.731
activist	mafana fo	0.531	0.653	0.877
activity	asa	0.701	0.660	0.807
actor	mpilalao	0.653	0.561	0.629
actress	mpilalao sarimihetsika	0.633	0.556	0.596
actual	tena	0.729	0.400	0.716
actuality	raha ny marina	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	fahaizana manamboatra	0.564	0.660	0.679
acupuncture	tsindrona volamena	0.531	0.324	0.549
acute	maranitra	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	taorian 'i jk	0.521	0.705	0.558
adage	fomba fiteny	0.517	0.415	0.566
adamant	nanaiky	0.344	0.529	0.575
adapt	mampifanaraka	0.740	0.355	0.551
adaptable	hilefitra	0.735	0.423	0.641
adaptation	fampifanarahana	0.663	0.365	0.609
add	hametraka	0.728	0.490	0.554
added	nanampy	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	menarana	0.388	0.461	0.588
addict	-mahadomelina	0.075	0.696	0.327
addicted	nandevozin'ny	0.156	0.712	0.483
addiction	fiankinan-doha	0.180	0.806	0.420
addictive	doha	0.302	0.683	0.472
addition	koa	0.562	0.373	0.471
additional	fanampiny	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	adiresy	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	adiresy	0.510	0.354	0.450
adept	zatra	0.594	0.539	0.789
adequacy	adequacy	0.615	0.435	0.702
