Word	Malayalam-ml	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	അസാധാരണമായ	0.385	0.407	0.288
abacus	അബാകസ്	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	ഉപേക്ഷിക്കുക	0.052	0.519	0.245
abandoned	ഉപേക്ഷിച്ചു	0.046	0.481	0.130
abandonment	ഉപേക്ഷിക്കൽ	0.128	0.430	0.202
abashed	വിഭജിച്ചു	0.177	0.644	0.307
abate	അവസാനിക്കുക	0.255	0.696	0.604
abatement	അപഹരണം	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	അപ്പേ	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ചുരുക്കുക	0.531	0.375	0.330
abbreviation	ചുരുക്കെഴുത്ത്	0.469	0.306	0.345
abdomen	ഉദരം	0.469	0.462	0.471
abdominal	വയറുവേദന	0.490	0.456	0.445
abduct	തട്ടിക്കൊണ്ടുപോകുക	0.173	0.720	0.615
abduction	തട്ടിക്കൊണ്ടുപോകൽ	0.062	0.990	0.673
aberrant	തെറ്റായ	0.146	0.765	0.431
aberration	അപരാധം	0.125	0.816	0.417
abeyance	നിരാകരണം	0.330	0.510	0.292
abhor	വെറുക്കുക	0.125	0.602	0.349
abhorrence	അപമാനം	0.167	0.684	0.420
abhorrent	വെറുക്കുന്നു	0.229	0.750	0.474
abide	നിലനിൽക്കുക	0.635	0.354	0.705
abiding	നിലനിൽക്കുന്നു	0.796	0.327	0.750
ability	കഴിവ്	0.875	0.510	0.816
abject	നിശബ്ദമായി	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	ചുഴലിക്കാറ്റ്	0.240	0.847	0.525
able	കഴിവുള്ളവൻ	0.786	0.500	0.810
abnormal	അസാധാരണമായ	0.137	0.604	0.309
abnormality	അസാധാരണത	0.092	0.655	0.383
aboard	കപ്പൽ	0.698	0.284	0.481
abode	താമസിക്കുക	0.620	0.302	0.500
abolish	ഇല്ലാതാക്കുക	0.448	0.615	0.529
abolition	നിർത്തലാക്കൽ	0.323	0.690	0.529
abominable	വെറുപ്പുളവാക്കുന്നതാണ്	0.120	0.731	0.482
abominate	വെറുക്കുക	0.198	0.788	0.366
abomination	മ്ളേച്ഛത	0.078	0.755	0.518
aboriginal	ആദിമ	0.448	0.427	0.542
abort	ഉപേക്ഷിക്കുക	0.153	0.686	0.429
abortion	ഗർഭഛിദ്രം	0.082	0.770	0.283
abortive	നിർത്തൂ	0.090	0.776	0.280
abound	സമൃദ്ധമായി	0.704	0.490	0.681
abovementioned	മുകളിൽ പറഞ്ഞിരിക്കുന്നു	0.541	0.298	0.509
abracadabra	അബ്രകദാബ്ര	0.673	0.632	0.434
abrasion	രാസവളം	0.406	0.592	0.441
abrasive	അസ്വസ്ഥത	0.392	0.610	0.593
abreast	ആപേക്ഷികം	0.635	0.380	0.519
abroad	വിദേശത്ത്	0.677	0.596	0.561
abrogate	ദുർവ്വർത്തമാനം	0.327	0.510	0.594
abrupt	പെട്ടെന്ന്	0.271	0.819	0.545
abruptly	പെട്ടന്ന്	0.250	0.808	0.556
abscess	കുരുക്ക്	0.154	0.451	0.349
absence	അഭാവം	0.153	0.235	0.266
absent	ഹാജരല്ല	0.177	0.221	0.116
absentee	ഹാജരാകരുത്	0.235	0.330	0.279
absenteeism	വിഭജനം	0.404	0.273	0.357
absinthe	അസ്തിത്വം	0.481	0.510	0.462
absolute	കേവലമായ	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	വിട്ടുകളയുക	0.684	0.449	0.660
absorb	ആഗിരണം	0.469	0.558	0.670
absorbed	ആഗിരണം	0.490	0.471	0.519
absorbent	ആഗിരണം	0.552	0.394	0.718
absorbing	ആഗിരണം	0.490	0.490	0.578
absorption	ആഗിരണം	0.609	0.422	0.446
abstain	വിട്ടുനിൽക്കുക	0.385	0.385	0.427
abstention	വിട്ടുനിന്നു	0.271	0.264	0.509
abstinence	സല്ലാപം	0.260	0.392	0.429
abstract	അമൂർത്തമായ	0.438	0.292	0.444
abstraction	അമൂർത്തീകരണം	0.469	0.439	0.525
absurd	അസംബന്ധം	0.188	0.656	0.284
absurdity	അസംബന്ധം	0.115	0.528	0.227
abundance	സമൃദ്ധി	0.812	0.690	0.852
abundant	സമൃദ്ധമായ	0.958	0.590	0.760
abuse	ദുരുപയോഗം	0.071	0.873	0.469
abused	ദുരുപയോഗം ചെയ്തു	0.021	0.874	0.235
abusive	ദുരുപയോഗം ചെയ്യുന്ന	0.125	0.903	0.567
abutment	വഞ്ചന	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	അസംബന്ധം	0.250	0.710	0.598
abyss	അഗാധം	0.353	0.725	0.296
academic	അക്കാഡമിക്	0.781	0.420	0.812
academy	അക്കാദമി	0.704	0.473	0.792
accede	ഒത്തുപോകുന്നു	0.698	0.510	0.537
accelerant	ത്വരണം	0.643	0.844	0.802
accelerate	വേഗത്തിലാക്കുക	0.615	0.902	0.759
accelerated	ത്വരിതപ്പെടുത്തി	0.610	0.812	0.682
acceleration	ത്വരണം	0.704	0.905	0.843
accelerator	ആക്സലറേറ്റർ	0.593	0.830	0.812
accent	ആക്സന്റ്	0.598	0.357	0.509
accentuate	ഉദ്ദീപിപ്പിക്കുക	0.673	0.556	0.667
accept	സ്വീകരിക്കൂ	0.847	0.286	0.565
acceptable	സ്വീകാര്യമായ	0.812	0.286	0.583
acceptance	സ്വീകാര്യത	0.833	0.287	0.755
acceptances	സ്വീകാര്യമായ	0.847	0.413	0.648
access	പ്രവേശനം	0.714	0.472	0.567
accessible	ലഭ്യമാ	0.796	0.410	0.645
accession	പ്രവേശനം	0.612	0.383	0.636
accessory	ഉപസാധനം	0.562	0.292	0.445
accident	അപകടം	0.125	0.908	0.336
accidental	ആകസ്മികമായ	0.319	0.784	0.307
accidentally	ആകസ്മികമായി	0.333	0.741	0.333
acclaim	അഭിനന്ദനം	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	ഉൾക്കൊള്ളിക്കുക	0.844	0.375	0.566
accommodation	താമസ സൌകര്യം	0.817	0.415	0.587
accompaniment	സഹകരണം	0.740	0.479	0.695
accompany	കൂടെപ്പോവുക	0.833	0.406	0.585
accompanying	അനുഗമിക്കൽ	0.787	0.460	0.582
accomplice	സഹകരണം	0.408	0.580	0.510
accomplish	നിവർത്തിക്കുക	0.929	0.673	0.816
accomplished	പൂർത്തീകരിച്ചു	0.870	0.520	0.798
accomplishment	നേട്ടങ്ങൾ	0.917	0.694	0.888
accord	സമ്മതം	0.898	0.264	0.382
accordance	അനുസൃതമായി	0.659	0.349	0.600
accordion	കൈകിന്നാരം	0.604	0.490	0.361
account	അക്കൗണ്ട്	0.531	0.347	0.472
accountability	ഉത്തരവാദിത്തം	0.755	0.537	0.833
accountable	കണക്ക്	0.709	0.282	0.777
accountant	അക്കൗണ്ടന്റ്	0.625	0.450	0.639
accounting	അക്കൌണ്ടിംഗ്	0.552	0.390	0.677
accounts	അക്കൗണ്ടുകൾ	0.592	0.340	0.471
accredited	അംഗീകാരം നൽകി	0.669	0.479	0.768
accretion	അക്രീഷൻ	0.448	0.519	0.672
accrue	എ	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	കുന്നുകൂടുക	0.573	0.536	0.607
accumulation	സംഭരണം	0.479	0.527	0.600
accuracy	കൃത്യത	0.604	0.481	0.802
accurate	കൃത്യമായ	0.743	0.360	0.737
accursed	ശപിക്കപ്പെട്ടത്	0.135	0.745	0.345
accusation	കുറ്റാരോപണം	0.073	0.718	0.564
accusative	ആരോപണം	0.198	0.755	0.482
accuse	ബോധിപ്പിക്കുന്ന	0.133	0.752	0.500
accused	കുറ്റാരോപിതൻ	0.130	0.670	0.420
accuser	കുറ്റാരോപിതൻ	0.122	0.779	0.615
accusing	ആരോപണം	0.156	0.745	0.324
accustomed	ശീലിച്ചു	0.542	0.365	0.441
ace	ഏസ്	0.643	0.481	0.546
acetic	അസറ്റിക്	0.333	0.420	0.519
acetylene	അസറ്റലീൻ	0.306	0.469	0.509
ache	ആര	0.146	0.760	0.312
achieve	നേടിയെടുക്കാൻ	0.816	0.545	0.843
achieved	നേടി	0.896	0.519	0.775
achievement	നേട്ടം	0.896	0.808	0.759
aching	വേദന	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	ആസിഡ്	0.265	0.642	0.566
acidity	അസിഡിറ്റി	0.156	0.663	0.360
acknowledge	സമ്മതിക്കുക	0.786	0.370	0.661
acknowledged	സമ്മതിച്ചു	0.714	0.443	0.765
acknowledgement	അംഗീകാരം	0.819	0.539	0.830
acknowledgment	അംഗീകാരം	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	മുഖക്കുരു	0.167	0.474	0.308
acorn	അക്രോൺ	0.448	0.198	0.192
acoustic	ശബ്ദിക	0.542	0.462	0.536
acoustics	ശബ്ദശാസ്ത്രം	0.611	0.330	0.509
acquaint	പരിചയപ്പെടുത്തുക	0.646	0.491	0.639
acquaintance	പരിചയം	0.656	0.290	0.670
acquainted	അറിവുണ്ടായിരുന്നു	0.906	0.358	0.632
acquiescence	സമ്മതം	0.542	0.480	0.554
acquire	ഏറ്റെടുക്കുക	0.833	0.468	0.700
acquiring	ഏറ്റെടുക്കുന്നു	0.735	0.510	0.817
acquisition	കൈവശപ്പെടുത്തൽ	0.698	0.509	0.736
acquisitions	ഏറ്റെടുക്കലുകൾ	0.773	0.660	0.790
acquit	ഏറ്റെടുത്തു	0.583	0.571	0.611
