Word	Maltese-mt	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abakus	0.510	0.276	0.485
abalone	widnet il-baħar	0.500	0.480	0.412
abandon	tabbanduna	0.052	0.519	0.245
abandoned	abbandunat	0.046	0.481	0.130
abandonment	abbandun	0.128	0.430	0.202
abashed	abashed	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	tnaqqis	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	Abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	agħżel	0.531	0.375	0.330
abbreviation	taqsira	0.469	0.306	0.345
abdomen	addome	0.469	0.462	0.471
abdominal	addominali	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	ħtif	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberrazzjoni	0.125	0.816	0.417
abeyance	sospensjoni	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	jirrispettaw	0.635	0.354	0.705
abiding	jobdu	0.796	0.327	0.750
ability	abbiltà	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablazzjoni	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	kapaċi	0.786	0.500	0.810
abnormal	anormali	0.137	0.604	0.309
abnormality	anormalità	0.092	0.655	0.383
aboard	abbord	0.698	0.284	0.481
abode	joqgħod	0.620	0.302	0.500
abolish	abolix	0.448	0.615	0.529
abolition	abolizzjoni	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomination	0.078	0.755	0.518
aboriginal	aboriġinali	0.448	0.427	0.542
abort	abort	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	aborti	0.090	0.776	0.280
abound	naraw	0.704	0.490	0.681
abovementioned	hawn fuq imsemmi	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	brix	0.406	0.592	0.441
abrasive	li joborxu	0.392	0.610	0.593
abreast	aġġornat	0.635	0.380	0.519
abroad	barra mill-pajjiż	0.677	0.596	0.561
abrogate	irrevoka	0.327	0.510	0.594
abrupt	f'daqqa	0.271	0.819	0.545
abruptly	f'daqqa	0.250	0.808	0.556
abscess	axxess	0.154	0.451	0.349
absence	nuqqas	0.153	0.235	0.266
absent	assenti	0.177	0.221	0.116
absentee	assenti	0.235	0.330	0.279
absenteeism	assenteiżmu	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	assoluta	0.526	0.510	0.827
absolution	assoluzzjoni	0.715	0.500	0.664
absolve	jeħles	0.684	0.449	0.660
absorb	jassorbu	0.469	0.558	0.670
absorbed	assorbita	0.490	0.471	0.519
absorbent	assorbenti	0.552	0.394	0.718
absorbing	assorbiment	0.490	0.490	0.578
absorption	assorbiment	0.609	0.422	0.446
abstain	jastjenu	0.385	0.385	0.427
abstention	astensjoni	0.271	0.264	0.509
abstinence	astinenza	0.260	0.392	0.429
abstract	astratt	0.438	0.292	0.444
abstraction	astrazzjoni	0.469	0.439	0.525
absurd	assurd	0.188	0.656	0.284
absurdity	assurdità	0.115	0.528	0.227
abundance	abbundanza	0.812	0.690	0.852
abundant	abbundanti	0.958	0.590	0.760
abuse	abbuż	0.071	0.873	0.469
abused	abbużat	0.021	0.874	0.235
abusive	abbużiv	0.125	0.903	0.567
abutment	ta 'kontra	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	mhux normali	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	akkademiku	0.781	0.420	0.812
academy	akkademja	0.704	0.473	0.792
accede	taċċedi	0.698	0.510	0.537
accelerant	aċċelerant	0.643	0.844	0.802
accelerate	taċċellera	0.615	0.902	0.759
accelerated	Aċċelerat	0.610	0.812	0.682
acceleration	aċċelerazzjoni	0.704	0.905	0.843
accelerator	aċċeleratur	0.593	0.830	0.812
accent	aċċent	0.598	0.357	0.509
accentuate	aċċentwat	0.673	0.556	0.667
accept	taċċetta	0.847	0.286	0.565
acceptable	aċċettabbli	0.812	0.286	0.583
acceptance	aċċettazzjoni	0.833	0.287	0.755
acceptances	aċċettazzjonijiet	0.847	0.413	0.648
access	aċċess	0.714	0.472	0.567
accessible	aċċessibbli	0.796	0.410	0.645
accession	adeżjoni	0.612	0.383	0.636
accessory	aċċessorju	0.562	0.292	0.445
accident	aċċident	0.125	0.908	0.336
accidental	aċċidentali	0.319	0.784	0.307
accidentally	aċċidentalment	0.333	0.741	0.333
acclaim	akklamazzjoni	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	jakkomoda	0.844	0.375	0.566
accommodation	akkomodazzjoni	0.817	0.415	0.587
accompaniment	akkumpanjament	0.740	0.479	0.695
accompany	jakkumpanjaw	0.833	0.406	0.585
accompanying	li takkumpanja	0.787	0.460	0.582
accomplice	kompliċi	0.408	0.580	0.510
accomplish	twettaq	0.929	0.673	0.816
accomplished	mwettqa	0.870	0.520	0.798
accomplishment	tlestija	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	b'konformità	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	kont	0.531	0.347	0.472
accountability	responsabilità	0.755	0.537	0.833
accountable	responsabbli	0.709	0.282	0.777
accountant	accountant	0.625	0.450	0.639
accounting	kontabilità	0.552	0.390	0.677
accounts	kontijiet	0.592	0.340	0.471
accredited	akkreditat	0.669	0.479	0.768
accretion	akkrezjoni	0.448	0.519	0.672
accrue	jakkumula	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	jakkumulaw	0.573	0.536	0.607
accumulation	akkumulazzjoni	0.479	0.527	0.600
accuracy	preċiżjoni	0.604	0.481	0.802
accurate	preċiża	0.743	0.360	0.737
accursed	imdejqa	0.135	0.745	0.345
accusation	akkuża	0.073	0.718	0.564
accusative	akkużat	0.198	0.755	0.482
accuse	akkuża	0.133	0.752	0.500
accused	akkużat	0.130	0.670	0.420
accuser	akkużatur	0.122	0.779	0.615
accusing	akkuża	0.156	0.745	0.324
accustomed	imdorrija	0.542	0.365	0.441
ace	ass	0.643	0.481	0.546
acetic	aċetiku	0.333	0.420	0.519
acetylene	aċitilena	0.306	0.469	0.509
ache	uġigħ	0.146	0.760	0.312
achieve	tikseb	0.816	0.545	0.843
achieved	miksub	0.896	0.519	0.775
achievement	kisba	0.896	0.808	0.759
aching	uġigħ	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	aċidu	0.265	0.642	0.566
acidity	Aċidità	0.156	0.663	0.360
acknowledge	nirrikonoxxi	0.786	0.370	0.661
acknowledged	rikonoxxut	0.714	0.443	0.765
acknowledgement	rikonoxximent	0.819	0.539	0.830
acknowledgment	rikonoxximent	0.796	0.528	0.777
acme	Acme	0.408	0.435	0.375
acne	akne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	akustiku	0.542	0.462	0.536
acoustics	akustika	0.611	0.330	0.509
acquaint	familjari	0.646	0.491	0.639
acquaintance	familjarità	0.656	0.290	0.670
acquainted	familjari	0.906	0.358	0.632
acquiescence	kunsens	0.542	0.480	0.554
acquire	jakkwistaw	0.833	0.468	0.700
acquiring	takkwista	0.735	0.510	0.817
acquisition	akkwist	0.698	0.509	0.736
acquisitions	akkwisti	0.773	0.660	0.790
acquit	acquit	0.583	0.571	0.611
acquittal	liberazzjoni	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	qisien	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	akriliku	0.582	0.279	0.420
act	att	0.656	0.704	0.735
acting	jaġixxi	0.698	0.643	0.500
action	azzjoni	0.760	0.898	0.802
action figure	figura ta 'azzjoni	0.615	0.774	0.611
actionable	azzjonabbli	0.673	0.702	0.613
activate	attivat	0.764	0.650	0.806
activation	attivazzjoni	0.781	0.800	0.754
active	attiva	0.847	0.730	0.731
activist	attivist	0.531	0.653	0.877
activity	attività	0.701	0.660	0.807
actor	attur	0.653	0.561	0.629
actress	attriċi	0.633	0.556	0.596
actual	attwali	0.729	0.400	0.716
actuality	realtà	0.750	0.464	0.600
actuary	attwarju	0.510	0.404	0.491
acuity	akutezza	0.469	0.378	0.741
acumen	dehen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	akuta	0.427	0.652	0.534
acutely	b'mod akut	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	qawl	0.517	0.415	0.566
adamant	b'saħħtu	0.344	0.529	0.575
adapt	tadatta	0.740	0.355	0.551
adaptable	adattabbli	0.735	0.423	0.641
adaptation	adattament	0.663	0.365	0.609
add	żid	0.728	0.490	0.554
added	miżjud	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	ivvizzjat	0.075	0.696	0.327
addicted	vizzju	0.156	0.712	0.483
addiction	vizzju	0.180	0.806	0.420
addictive	vizzju	0.302	0.683	0.472
addition	żieda	0.562	0.373	0.471
additional	addizzjonali	0.673	0.462	0.526
additive	addittiv	0.561	0.633	0.691
address	indirizz	0.650	0.327	0.567
addressee	destinatarju	0.622	0.382	0.538
addresses	Indirizzi	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adegwatezza	0.615	0.435	0.702
adequate	adegwat	0.854	0.264	0.705
adhere	jaderixxu	0.633	0.339	0.554
adherence	aderenza	0.760	0.307	0.630
