Word	Maori-mi	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	Tuhinga o mua	0.385	0.407	0.288
abacus	Tuhinga	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	whakarerea	0.052	0.519	0.245
abandoned	ka whakarerea	0.046	0.481	0.130
abandonment	Tuhinga	0.128	0.430	0.202
abashed	Tuhinga o mua	0.177	0.644	0.307
abate	Tuhinga	0.255	0.696	0.604
abatement	whakaheke	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	poto	0.531	0.375	0.330
abbreviation	whakawhitinga	0.469	0.306	0.345
abdomen	puku	0.469	0.462	0.471
abdominal	Tuhinga	0.490	0.456	0.445
abduct	tohaina	0.173	0.720	0.615
abduction	whakaheke	0.062	0.990	0.673
aberrant	whakaheke	0.146	0.765	0.431
aberration	whakaheke	0.125	0.816	0.417
abeyance	Tuhinga o mua	0.330	0.510	0.292
abhor	whakarihariha	0.125	0.602	0.349
abhorrence	whakahianga	0.167	0.684	0.420
abhorrent	whakahiahia	0.229	0.750	0.474
abide	noho	0.635	0.354	0.705
abiding	e noho ana	0.796	0.327	0.750
ability	te kaha	0.875	0.510	0.816
abject	whakaiti	0.354	0.590	0.417
ablation	Tuhinga	0.418	0.500	0.500
ablaze	whakawera	0.240	0.847	0.525
able	taea	0.786	0.500	0.810
abnormal	he kino	0.137	0.604	0.309
abnormality	kino	0.092	0.655	0.383
aboard	i runga	0.698	0.284	0.481
abode	noho	0.620	0.302	0.500
abolish	whakakorea	0.448	0.615	0.529
abolition	whakakore	0.323	0.690	0.529
abominable	whakarihariha	0.120	0.731	0.482
abominate	whakarihariha	0.198	0.788	0.366
abomination	mea whakarihariha	0.078	0.755	0.518
aboriginal	Tuhinga o mua	0.448	0.427	0.542
abort	takahi	0.153	0.686	0.429
abortion	mate mate	0.082	0.770	0.283
abortive	whakaheke	0.090	0.776	0.280
abound	nui	0.704	0.490	0.681
abovementioned	i runga ake nei	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	aprasive	0.392	0.610	0.593
abreast	Tuhinga	0.635	0.380	0.519
abroad	i waho	0.677	0.596	0.561
abrogate	whakakorea	0.327	0.510	0.594
abrupt	Tuhinga o mua	0.271	0.819	0.545
abruptly	Tuhinga o mua	0.250	0.808	0.556
abscess	Tuhinga o mua	0.154	0.451	0.349
absence	te kore	0.153	0.235	0.266
absent	ngaro	0.177	0.221	0.116
absentee	ngaro	0.235	0.330	0.279
absenteeism	absenteeism	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	tino	0.526	0.510	0.827
absolution	Tuhinga o mua	0.715	0.500	0.664
absolve	Tuhinga	0.684	0.449	0.660
absorb	tohua	0.469	0.558	0.670
absorbed	ka kaha	0.490	0.471	0.519
absorbent	kaipupuri	0.552	0.394	0.718
absorbing	pakaru	0.490	0.490	0.578
absorption	te whakamahinga	0.609	0.422	0.446
abstain	aukati	0.385	0.385	0.427
abstention	Tuhinga	0.271	0.264	0.509
abstinence	Tuhinga	0.260	0.392	0.429
abstract	Tuhinga	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	kore he	0.188	0.656	0.284
absurdity	Tuhinga o mua	0.115	0.528	0.227
abundance	nui	0.812	0.690	0.852
abundant	nui	0.958	0.590	0.760
abuse	tukino	0.071	0.873	0.469
abused	tukino	0.021	0.874	0.235
abusive	whakapehapeha	0.125	0.903	0.567
abutment	Tuhinga	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	Tuhinga	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	mātauranga	0.781	0.420	0.812
academy	mātauranga	0.704	0.473	0.792
accede	Tuhinga	0.698	0.510	0.537
accelerant	tere	0.643	0.844	0.802
accelerate	whakatere	0.615	0.902	0.759
accelerated	kua whakanuia	0.610	0.812	0.682
acceleration	whakatere	0.704	0.905	0.843
accelerator	whakatere	0.593	0.830	0.812
accent	reo	0.598	0.357	0.509
accentuate	whakanui	0.673	0.556	0.667
accept	whakaae	0.847	0.286	0.565
acceptable	whakaaetia	0.812	0.286	0.583
acceptance	whakaaetanga	0.833	0.287	0.755
acceptances	whakaaetanga	0.847	0.413	0.648
access	uru	0.714	0.472	0.567
accessible	wātea	0.796	0.410	0.645
accession	Tuhinga	0.612	0.383	0.636
accessory	taputapu	0.562	0.292	0.445
accident	aituā	0.125	0.908	0.336
accidental	haumaru	0.319	0.784	0.307
accidentally	i te mate	0.333	0.741	0.333
acclaim	whakanui	0.562	0.809	0.718
accolade	Tuhinga	0.688	0.591	0.775
accommodate	whakauru	0.844	0.375	0.566
accommodation	nohoanga	0.817	0.415	0.587
accompaniment	Tuhinga	0.740	0.479	0.695
accompany	haere tahi	0.833	0.406	0.585
accompanying	whai tahi	0.787	0.460	0.582
accomplice	kaihautanga	0.408	0.580	0.510
accomplish	whakatutuki	0.929	0.673	0.816
accomplished	kua oti	0.870	0.520	0.798
accomplishment	te whakatutukitanga	0.917	0.694	0.888
accord	whakaaetanga	0.898	0.264	0.382
accordance	tika	0.659	0.349	0.600
accordion	Tuhinga	0.604	0.490	0.361
account	pūkete	0.531	0.347	0.472
accountability	te kawenga takohanga	0.755	0.537	0.833
accountable	whakautu	0.709	0.282	0.777
accountant	kaute	0.625	0.450	0.639
accounting	kaute	0.552	0.390	0.677
accounts	nama	0.592	0.340	0.471
accredited	i whakaaetia	0.669	0.479	0.768
accretion	whakawhitinga	0.448	0.519	0.672
accrue	nui ake	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kohikohi	0.573	0.536	0.607
accumulation	kohikohi	0.479	0.527	0.600
accuracy	tika	0.604	0.481	0.802
accurate	tika	0.743	0.360	0.737
accursed	kua kanga	0.135	0.745	0.345
accusation	whakapae	0.073	0.718	0.564
accusative	Tuhinga o mua	0.198	0.755	0.482
accuse	whakapae	0.133	0.752	0.500
accused	whakapae	0.130	0.670	0.420
accuser	kaiwhakapae	0.122	0.779	0.615
accusing	whakapae	0.156	0.745	0.324
accustomed	e mohiotia ana	0.542	0.365	0.441
ace	Tuhinga o mua	0.643	0.481	0.546
acetic	Tuhinga	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	mate	0.146	0.760	0.312
achieve	whakatutuki	0.816	0.545	0.843
achieved	kua tutuki	0.896	0.519	0.775
achievement	paetae	0.896	0.808	0.759
aching	Tuhinga o mua	0.053	0.880	0.348
achy	Tuhinga	0.167	0.840	0.373
acid	waikawa	0.265	0.642	0.566
acidity	waikawa	0.156	0.663	0.360
acknowledge	whakaae	0.786	0.370	0.661
acknowledged	i whakaaetia	0.714	0.443	0.765
acknowledgement	whakaaetanga	0.819	0.539	0.830
acknowledgment	whakaaetanga	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	Tuhinga	0.167	0.474	0.308
acorn	Tuhinga o mua	0.448	0.198	0.192
acoustic	Tuhinga	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	mohio	0.646	0.491	0.639
acquaintance	mohio	0.656	0.290	0.670
acquainted	mohio	0.906	0.358	0.632
acquiescence	whakaaetanga	0.542	0.480	0.554
acquire	whiwhi	0.833	0.468	0.700
acquiring	whiwhi	0.735	0.510	0.817
acquisition	te hoko	0.698	0.509	0.736
acquisitions	hokohoko	0.773	0.660	0.790
acquit	Tuhinga o mua	0.583	0.571	0.611
acquittal	Tuhinga o mua	0.760	0.497	0.700
acre	eka	0.583	0.387	0.423
acreage	Tuhinga	0.741	0.450	0.528
acres	eka	0.510	0.363	0.500
acrobat	Tuhinga	0.708	0.828	0.602
acrylic	karaka	0.582	0.279	0.420
act	mahi	0.656	0.704	0.735
acting	mahi	0.698	0.643	0.500
action	mahi	0.760	0.898	0.802
action figure	tohu mahi	0.615	0.774	0.611
actionable	mahi	0.673	0.702	0.613
activate	whakahohe	0.764	0.650	0.806
activation	whakahohe	0.781	0.800	0.754
active	kaha	0.847	0.730	0.731
activist	kaitautoko	0.531	0.653	0.877
activity	mahi	0.701	0.660	0.807
actor	kaiwhakaari	0.653	0.561	0.629
actress	kaiwhakaari	0.633	0.556	0.596
actual	Tuhinga	0.729	0.400	0.716
actuality	Tuhinga	0.750	0.464	0.600
actuary	kaupapa mahi	0.510	0.404	0.491
acuity	Tuhinga	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	Tuhinga	0.427	0.652	0.534
acutely	Tuhinga	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	Tuhinga	0.517	0.415	0.566
adamant	Tuhinga o mua	0.344	0.529	0.575
adapt	te urutau	0.740	0.355	0.551
adaptable	ka taea te whakarerekē	0.735	0.423	0.641
adaptation	te urupare	0.663	0.365	0.609
add	tāpiri	0.728	0.490	0.554
added	tapiritia	0.562	0.405	0.509
addendum	Tuhinga	0.392	0.370	0.418
adder	Tuhinga	0.388	0.461	0.588
addict	kaitohutohu	0.075	0.696	0.327
addicted	ka whakahekehia	0.156	0.712	0.483
addiction	pangia	0.180	0.806	0.420
addictive	pakihi	0.302	0.683	0.472
addition	tāpiri	0.562	0.373	0.471
additional	atu	0.673	0.462	0.526
additive	tāpiri	0.561	0.633	0.691
address	wāhitau	0.650	0.327	0.567
addressee	kaiwawao	0.622	0.382	0.538
addresses	wāhitau	0.510	0.354	0.450
adept	he pai	0.594	0.539	0.789
