Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	ပေသီး	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	စွန့်ပစ်	0.052	0.519	0.245
abandoned	စွန့်ပစ်	0.046	0.481	0.130
abandonment	စွန့်ခွာ	0.128	0.430	0.202
abashed	ရှကျကှဲ	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	အဗ္ဗ	0.562	0.500	0.480
abbey	Abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	တိုစေ	0.531	0.375	0.330
abbreviation	အကျဉ်း	0.469	0.306	0.345
abdomen	ဝမ်း	0.469	0.462	0.471
abdominal	ဝမ်းဗိုက်	0.490	0.456	0.445
abduct	ခေါ်ဆောင်သွား	0.173	0.720	0.615
abduction	ခေါ်ဆောင်သွားခြင်း	0.062	0.990	0.673
aberrant	ထစ်အငေါ့	0.146	0.765	0.431
aberration	ထစ်အငေါ့	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	ရွံရှာ	0.125	0.602	0.349
abhorrence	ရွံရှာဘွယ်	0.167	0.684	0.420
abhorrent	စက်ဆုတ်ရွံ့ရှာ	0.229	0.750	0.474
abide	စောင့်နေ	0.635	0.354	0.705
abiding	လိုက်နာ	0.796	0.327	0.750
ability	စွမ်းအား	0.875	0.510	0.816
abject	ဆင်း	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	မီးတောက်သော	0.240	0.847	0.525
able	တတ်နိုင်	0.786	0.500	0.810
abnormal	ထူးခြားသော	0.137	0.604	0.309
abnormality	မူမမှန်	0.092	0.655	0.383
aboard	သင်္ဘော	0.698	0.284	0.481
abode	နကွေ၏	0.620	0.302	0.500
abolish	ဖျက်ပယ်	0.448	0.615	0.529
abolition	ဖျက်သိမ်း	0.323	0.690	0.529
abominable	စက်ဆုပ်ရွံ့ရှာဘွယ်သော	0.120	0.731	0.482
abominate	စက်ဆုပ်ရွံရှာဘွယ်သော	0.198	0.788	0.366
abomination	စက်ဆုပ်ရွံရှာတော်မူ၏	0.078	0.755	0.518
aboriginal	ဘော်ရီဂျင်နီ	0.448	0.427	0.542
abort	ဖျက်သိမ်းသည်	0.153	0.686	0.429
abortion	သားလြှောခွငျး	0.082	0.770	0.283
abortive	မအောင်မြင်သော	0.090	0.776	0.280
abound	ကြွယ်ဝ	0.704	0.490	0.681
abovementioned	ယခုတင်ပြသော	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	ပွန်းပဲ့	0.406	0.592	0.441
abrasive	ပွန်းစားခြင်း	0.392	0.610	0.593
abreast	ရင်ပေါင်တန်း	0.635	0.380	0.519
abroad	ပြည်ပမှာ	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	ရုတ်တရက်ဖြစ်သော	0.271	0.819	0.545
abruptly	ရုတ်တရက်	0.250	0.808	0.556
abscess	အိုင်းနာ	0.154	0.451	0.349
absence	မရှိခြင်း	0.153	0.235	0.266
absent	မရှိသော	0.177	0.221	0.116
absentee	အဲတော့	0.235	0.330	0.279
absenteeism	ပျက်ကွက်	0.404	0.273	0.357
absinthe	Absinthe	0.481	0.510	0.462
absolute	အကြွင်းမဲ့အာဏာ	0.526	0.510	0.827
absolution	Absolution	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	စုပ်ယူ	0.469	0.558	0.670
absorbed	စုပ်ယူ	0.490	0.471	0.519
absorbent	စုပ်	0.552	0.394	0.718
absorbing	စုပ်ယူ	0.490	0.490	0.578
absorption	စုပ်ယူမှု	0.609	0.422	0.446
abstain	ရှောငျကွဉျ	0.385	0.385	0.427
abstention	ကကြားနေ	0.271	0.264	0.509
abstinence	abstinence	0.260	0.392	0.429
abstract	ြဒပ်မဲ့သော	0.438	0.292	0.444
abstraction	abstraction	0.469	0.439	0.525
absurd	မဟုတ်နိုင်သော	0.188	0.656	0.284
absurdity	အဓိပ္ပါယ်မဲ့	0.115	0.528	0.227
abundance	ကြွယ်ဝခြင်း	0.812	0.690	0.852
abundant	ကြွယ်ဝသော	0.958	0.590	0.760
abuse	အလွဲသုံးစားမှု	0.071	0.873	0.469
abused	အလွဲသုံးစားလုပ်	0.021	0.874	0.235
abusive	မသငျ့မလျြောသော	0.125	0.903	0.567
abutment	abutment	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	ဆိုးရွားသော	0.250	0.710	0.598
abyss	အနက်ဆုံးသောတွင်း	0.353	0.725	0.296
academic	ပညာရေးဆိုင်ရာ	0.781	0.420	0.812
academy	အကယ်ဒမီ	0.704	0.473	0.792
accede	သဘောတူ	0.698	0.510	0.537
accelerant	တိုး။ မြန်စေသောအရာ	0.643	0.844	0.802
accelerate	တိုး။ မြန်စေ	0.615	0.902	0.759
accelerated	အရှိန်	0.610	0.812	0.682
acceleration	အရှိန်	0.704	0.905	0.843
accelerator	တိုး။ မြန်စေသောအရာ	0.593	0.830	0.812
accent	ဂရုသံ	0.598	0.357	0.509
accentuate	ပေါ်လွင်	0.673	0.556	0.667
accept	accept	0.847	0.286	0.565
acceptable	လက်ခံနိုင်ဖွယ်	0.812	0.286	0.583
acceptance	လက်ခံခြင်း	0.833	0.287	0.755
acceptances	လက်ခံခြင်း	0.847	0.413	0.648
access	ဝင်ရောက်ခွင့်	0.714	0.472	0.567
accessible	လက်လှမ်း	0.796	0.410	0.645
accession	်	0.612	0.383	0.636
accessory	အပေါင်းပါ	0.562	0.292	0.445
accident	မတော်တဆထိခိုက်မှု	0.125	0.908	0.336
accidental	အမှတ်မဲ့ဖြစ်သော	0.319	0.784	0.307
accidentally	မတော်တဆ	0.333	0.741	0.333
acclaim	ကောင်းချီး	0.562	0.809	0.718
accolade	ဂုဏ်ပြုခံရခြင်းများ	0.688	0.591	0.775
accommodate	သငျ့လျြောအောငျပွု	0.844	0.375	0.566
accommodation	နေရာထိုင်ခင်း	0.817	0.415	0.587
accompaniment	အတူပါခြင်း	0.740	0.479	0.695
accompany	အတူလိုက်	0.833	0.406	0.585
accompanying	နှင့်အတူလိုက်ပါသည်	0.787	0.460	0.582
accomplice	ကြံရာ	0.408	0.580	0.510
accomplish	ပွီးမွောကျစေ	0.929	0.673	0.816
accomplished	ပြည့်စုံ	0.870	0.520	0.798
accomplishment	ပွီးမွောကျစခွေငျး	0.917	0.694	0.888
accord	အညီ	0.898	0.264	0.382
accordance	အညီ	0.659	0.349	0.600
accordion	အကော်ဒီယန်	0.604	0.490	0.361
account	အကောင့်	0.531	0.347	0.472
accountability	တာဝန်ခံမှု	0.755	0.537	0.833
accountable	တာဝန်ခံ	0.709	0.282	0.777
accountant	စာရင်းကိုင်	0.625	0.450	0.639
accounting	စာရင်းကိုင်	0.552	0.390	0.677
accounts	အကောင့်	0.592	0.340	0.471
accredited	အသိအမှတ်ပြု	0.669	0.479	0.768
accretion	ချဲ့	0.448	0.519	0.672
accrue	ပွါးများ	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	စု	0.573	0.536	0.607
accumulation	စုပုံခြင်း	0.479	0.527	0.600
accuracy	ဟုတ်မှန်ရေး	0.604	0.481	0.802
accurate	တိကျမှု	0.743	0.360	0.737
accursed	ကျိန်	0.135	0.745	0.345
accusation	စှပျစှဲခွငျး	0.073	0.718	0.564
accusative	ကမ္မကာရက	0.198	0.755	0.482
accuse	စှပျစှဲ	0.133	0.752	0.500
accused	တရားခံ	0.130	0.670	0.420
accuser	ဘက်	0.122	0.779	0.615
accusing	စွပ်စွဲ	0.156	0.745	0.324
accustomed	နေသားတကျ	0.542	0.365	0.441
ace	တပေါက်	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	အက်စီတလင်း	0.306	0.469	0.509
ache	နာခြင်း	0.146	0.760	0.312
achieve	အောင်မြင်ရန်	0.816	0.545	0.843
achieved	အောင်မြင်	0.896	0.519	0.775
achievement	အောင်မြင်ချက်	0.896	0.808	0.759
aching	နာကျင်ကိုက်ခဲ	0.053	0.880	0.348
achy	Achi	0.167	0.840	0.373
acid	အက်ဆစ်	0.265	0.642	0.566
acidity	အချဉ်ဓာတ်	0.156	0.663	0.360
acknowledge	ဝန်ခံ	0.786	0.370	0.661
acknowledged	အသိအမှတ်ပြု	0.714	0.443	0.765
acknowledgement	ဝန်ခံချက်	0.819	0.539	0.830
acknowledgment	ဝန်ခံချက်	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	ဝက်ခြံ	0.167	0.474	0.308
acorn	ဝက်သစ်ချသီး	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	အသံပညာ	0.611	0.330	0.509
acquaint	သိကျွမ်းစေ	0.646	0.491	0.639
acquaintance	သိခြင်း	0.656	0.290	0.670
acquainted	ခင်မင်သိကျွမ်း	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	ရရှိ	0.833	0.468	0.700
acquiring	လေးလည်း	0.735	0.510	0.817
acquisition	ရယူခြင်း	0.698	0.509	0.736
acquisitions	ရင်နှီးမြှုပ်နှံမှုများ	0.773	0.660	0.790
acquit	လွှတ်	0.583	0.571	0.611
acquittal	တရားသေလွှတ်ခြင်း	0.760	0.497	0.700
acre	ဧက	0.583	0.387	0.423
acreage	ဧက	0.741	0.450	0.528
acres	ဧက	0.510	0.363	0.500
acrobat	ဘားဂျွမ်းမယ်	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
