Word	Nyanja (Chichewa)-ny	Valence	Arousal	Dominance
aaaaaaah	aaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	onyoza	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	kusiya	0.052	0.519	0.245
abandoned	anasiya	0.046	0.481	0.130
abandonment	kusiya	0.128	0.430	0.202
abashed	kunyozedwa	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	kuwombera	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	mwachidule	0.531	0.375	0.330
abbreviation	kufotokoza	0.469	0.306	0.345
abdomen	mimba	0.469	0.462	0.471
abdominal	m'mimba	0.490	0.456	0.445
abduct	kuwombera	0.173	0.720	0.615
abduction	kutenga	0.062	0.990	0.673
aberrant	zovuta	0.146	0.765	0.431
aberration	kuchotsedwa	0.125	0.816	0.417
abeyance	kusungulumwa	0.330	0.510	0.292
abhor	kudana	0.125	0.602	0.349
abhorrence	kudana	0.167	0.684	0.420
abhorrent	zonyansa	0.229	0.750	0.474
abide	khalani	0.635	0.354	0.705
abiding	kukhala	0.796	0.327	0.750
ability	luso	0.875	0.510	0.816
abject	zovuta	0.354	0.590	0.417
ablation	kupuma	0.418	0.500	0.500
ablaze	kutentha	0.240	0.847	0.525
able	amatha	0.786	0.500	0.810
abnormal	zachilendo	0.137	0.604	0.309
abnormality	kusalongosoka	0.092	0.655	0.383
aboard	kukwera	0.698	0.284	0.481
abode	amakhala	0.620	0.302	0.500
abolish	kuthetseratu	0.448	0.615	0.529
abolition	kuthetsa	0.323	0.690	0.529
abominable	zonyansa	0.120	0.731	0.482
abominate	zonyansa	0.198	0.788	0.366
abomination	chonyansa	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	kubwezeretsa	0.153	0.686	0.429
abortion	kuchotsa mimba	0.082	0.770	0.283
abortive	kuchotsa mimba	0.090	0.776	0.280
abound	wochuluka	0.704	0.490	0.681
abovementioned	pamwambapa	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	zovuta	0.392	0.610	0.593
abreast	zovuta	0.635	0.380	0.519
abroad	kunja	0.677	0.596	0.561
abrogate	kubwetsani	0.327	0.510	0.594
abrupt	mofulumira	0.271	0.819	0.545
abruptly	mwadzidzidzi	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	kupezeka	0.153	0.235	0.266
absent	palibe	0.177	0.221	0.116
absentee	palibe	0.235	0.330	0.279
absenteeism	kupezeka	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	mtheradi	0.526	0.510	0.827
absolution	kusinthika	0.715	0.500	0.664
absolve	tsimikizani	0.684	0.449	0.660
absorb	atenge	0.469	0.558	0.670
absorbed	adatengeka	0.490	0.471	0.519
absorbent	kulandira	0.552	0.394	0.718
absorbing	kumvetsera	0.490	0.490	0.578
absorption	kuyamwa	0.609	0.422	0.446
abstain	pewani	0.385	0.385	0.427
abstention	kusasamala	0.271	0.264	0.509
abstinence	kudziletsa	0.260	0.392	0.429
abstract	zovuta	0.438	0.292	0.444
abstraction	kuchoka	0.469	0.439	0.525
absurd	zopanda pake	0.188	0.656	0.284
absurdity	zopanda pake	0.115	0.528	0.227
abundance	kuchuluka	0.812	0.690	0.852
abundant	wochuluka	0.958	0.590	0.760
abuse	nkhanza	0.071	0.873	0.469
abused	amachitira nkhanza	0.021	0.874	0.235
abusive	amwano	0.125	0.903	0.567
abutment	chigamulo	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	zovuta	0.250	0.710	0.598
abyss	kuphompho	0.353	0.725	0.296
academic	wophunzira	0.781	0.420	0.812
academy	academy	0.704	0.473	0.792
accede	kuvomereza	0.698	0.510	0.537
accelerant	imathandizira	0.643	0.844	0.802
accelerate	fulumira	0.615	0.902	0.759
accelerated	inapita patsogolo	0.610	0.812	0.682
acceleration	kuthamanga	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	kulapa	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	kuvomereza	0.847	0.286	0.565
acceptable	zovomerezeka	0.812	0.286	0.583
acceptance	kuvomereza	0.833	0.287	0.755
acceptances	zovomerezeka	0.847	0.413	0.648
access	kupeza	0.714	0.472	0.567
accessible	kupezeka	0.796	0.410	0.645
accession	kufalitsa	0.612	0.383	0.636
accessory	zofikira	0.562	0.292	0.445
accident	ngozi	0.125	0.908	0.336
accidental	mwangozi	0.319	0.784	0.307
accidentally	mwangozi	0.333	0.741	0.333
acclaim	ayamikike	0.562	0.809	0.718
accolade	kuvomereza	0.688	0.591	0.775
accommodate	malo	0.844	0.375	0.566
accommodation	malo ogona	0.817	0.415	0.587
accompaniment	pamodzi	0.740	0.479	0.695
accompany	tsatirani	0.833	0.406	0.585
accompanying	motsatana ndi	0.787	0.460	0.582
accomplice	chiyanjano	0.408	0.580	0.510
accomplish	kukwaniritsa	0.929	0.673	0.816
accomplished	zatheka	0.870	0.520	0.798
accomplishment	zopindulitsa	0.917	0.694	0.888
accord	mogwirizana	0.898	0.264	0.382
accordance	malinga	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	akaunti	0.531	0.347	0.472
accountability	kuyankha	0.755	0.537	0.833
accountable	ndikuyankha	0.709	0.282	0.777
accountant	wowerengera	0.625	0.450	0.639
accounting	zowerengera	0.552	0.390	0.677
accounts	nkhani	0.592	0.340	0.471
accredited	ovomerezeka	0.669	0.479	0.768
accretion	kuvomereza	0.448	0.519	0.672
accrue	yowonjezera	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	gwirani	0.573	0.536	0.607
accumulation	kudzikundikira	0.479	0.527	0.600
accuracy	molondola	0.604	0.481	0.802
accurate	zolondola	0.743	0.360	0.737
accursed	wotembereredwa	0.135	0.745	0.345
accusation	mlandu	0.073	0.718	0.564
accusative	wotsutsa	0.198	0.755	0.482
accuse	amatsutsa	0.133	0.752	0.500
accused	amatsutsidwa	0.130	0.670	0.420
accuser	wotsutsa	0.122	0.779	0.615
accusing	akuimba mlandu	0.156	0.745	0.324
accustomed	ankazoloŵera	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
