Word	Persian-fa	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	ناراحت	0.385	0.407	0.288
abacus	همسر	0.510	0.276	0.485
abalone	مرطوب کننده	0.500	0.480	0.412
abandon	رها کردن	0.052	0.519	0.245
abandoned	رها شده	0.046	0.481	0.130
abandonment	رها کردن	0.128	0.430	0.202
abashed	ناراحتی	0.177	0.644	0.307
abate	کاهش می یابد	0.255	0.696	0.604
abatement	کمبود	0.388	0.338	0.336
abba	آبا	0.562	0.500	0.480
abbey	ابی	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	مختصر	0.531	0.375	0.330
abbreviation	اختصار	0.469	0.306	0.345
abdomen	شکم	0.469	0.462	0.471
abdominal	شکم	0.490	0.456	0.445
abduct	ربوده شدن	0.173	0.720	0.615
abduction	آدم ربایی	0.062	0.990	0.673
aberrant	نادرست	0.146	0.765	0.431
aberration	انحراف	0.125	0.816	0.417
abeyance	تعطیلات	0.330	0.510	0.292
abhor	خجالت زده	0.125	0.602	0.349
abhorrence	نفرت انگیز	0.167	0.684	0.420
abhorrent	غم انگیز	0.229	0.750	0.474
abide	ثابت قدم ماندن	0.635	0.354	0.705
abiding	پایبند	0.796	0.327	0.750
ability	توانایی	0.875	0.510	0.816
abject	شگفت انگیز	0.354	0.590	0.417
ablation	تخریب	0.418	0.500	0.500
ablaze	سوزش	0.240	0.847	0.525
able	توانایی	0.786	0.500	0.810
abnormal	غیر طبیعی	0.137	0.604	0.309
abnormality	بی نظمی	0.092	0.655	0.383
aboard	روی صندلی	0.698	0.284	0.481
abode	محل سکونت	0.620	0.302	0.500
abolish	لغو کردن	0.448	0.615	0.529
abolition	لغو	0.323	0.690	0.529
abominable	منحرف	0.120	0.731	0.482
abominate	مرده	0.198	0.788	0.366
abomination	بی حوصلگی	0.078	0.755	0.518
aboriginal	بومی	0.448	0.427	0.542
abort	قطع شدن	0.153	0.686	0.429
abortion	سقط جنین	0.082	0.770	0.283
abortive	سقط جنین	0.090	0.776	0.280
abound	فراوان است	0.704	0.490	0.681
abovementioned	ذکر شده در بالا	0.541	0.298	0.509
abracadabra	ابراکادابرا	0.673	0.632	0.434
abrasion	سایش	0.406	0.592	0.441
abrasive	ساینده	0.392	0.610	0.593
abreast	متقابلا	0.635	0.380	0.519
abroad	خارج از کشور	0.677	0.596	0.561
abrogate	لغو کردن	0.327	0.510	0.594
abrupt	ناگهان	0.271	0.819	0.545
abruptly	ناگهان	0.250	0.808	0.556
abscess	آبسه	0.154	0.451	0.349
absence	غیبت	0.153	0.235	0.266
absent	غایب	0.177	0.221	0.116
absentee	غیبت	0.235	0.330	0.279
absenteeism	غیبت	0.404	0.273	0.357
absinthe	بنزین	0.481	0.510	0.462
absolute	مطلق	0.526	0.510	0.827
absolution	عزت نفس	0.715	0.500	0.664
absolve	آزادی	0.684	0.449	0.660
absorb	جذب	0.469	0.558	0.670
absorbed	جذب شده است	0.490	0.471	0.519
absorbent	جاذب	0.552	0.394	0.718
absorbing	جذب	0.490	0.490	0.578
absorption	جذب	0.609	0.422	0.446
abstain	استراحت کن	0.385	0.385	0.427
abstention	مخالفت	0.271	0.264	0.509
abstinence	استراحت	0.260	0.392	0.429
abstract	چکیده	0.438	0.292	0.444
abstraction	انتزاع - مفهوم - برداشت	0.469	0.439	0.525
absurd	چرند	0.188	0.656	0.284
absurdity	پوچ بودن	0.115	0.528	0.227
abundance	فراوانی	0.812	0.690	0.852
abundant	فراوان	0.958	0.590	0.760
abuse	سو استفاده کردن	0.071	0.873	0.469
abused	مورد آزار قرار گرفته	0.021	0.874	0.235
abusive	سوءاستفاده	0.125	0.903	0.567
abutment	آستانه	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	شرم آور	0.250	0.710	0.598
abyss	پرتگاه	0.353	0.725	0.296
academic	علمی	0.781	0.420	0.812
academy	آکادمی	0.704	0.473	0.792
accede	پیوستن	0.698	0.510	0.537
accelerant	شتاب	0.643	0.844	0.802
accelerate	سرعت بخشیدن	0.615	0.902	0.759
accelerated	تسریع شد	0.610	0.812	0.682
acceleration	شتاب	0.704	0.905	0.843
accelerator	شتاب دهنده	0.593	0.830	0.812
accent	لهجه	0.598	0.357	0.509
accentuate	برجسته کردن	0.673	0.556	0.667
accept	تایید کنید	0.847	0.286	0.565
acceptable	قابل قبول است	0.812	0.286	0.583
acceptance	پذیرش	0.833	0.287	0.755
acceptances	پذیرش	0.847	0.413	0.648
access	دسترسی به	0.714	0.472	0.567
accessible	در دسترس	0.796	0.410	0.645
accession	پیوستن	0.612	0.383	0.636
accessory	لوازم جانبی	0.562	0.292	0.445
accident	تصادف	0.125	0.908	0.336
accidental	تصادفی	0.319	0.784	0.307
accidentally	به طور تصادفی	0.333	0.741	0.333
acclaim	تحسین	0.562	0.809	0.718
accolade	تقدیر	0.688	0.591	0.775
accommodate	تطبیق	0.844	0.375	0.566
accommodation	محل اقامت	0.817	0.415	0.587
accompaniment	همراهی	0.740	0.479	0.695
accompany	همراهی کردن	0.833	0.406	0.585
accompanying	مشایعت	0.787	0.460	0.582
accomplice	همدستان	0.408	0.580	0.510
accomplish	انجام دادن	0.929	0.673	0.816
accomplished	انجام شده است	0.870	0.520	0.798
accomplishment	دستاورد	0.917	0.694	0.888
accord	توافق	0.898	0.264	0.382
accordance	مطابق با	0.659	0.349	0.600
accordion	آکوردئون	0.604	0.490	0.361
account	حساب	0.531	0.347	0.472
accountability	مسئوليت	0.755	0.537	0.833
accountable	پاسخگو	0.709	0.282	0.777
accountant	حسابدار	0.625	0.450	0.639
accounting	حسابداری	0.552	0.390	0.677
accounts	حساب ها	0.592	0.340	0.471
accredited	معتبر	0.669	0.479	0.768
accretion	افزایش	0.448	0.519	0.672
accrue	جمع کن	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	انباشتن	0.573	0.536	0.607
accumulation	تجمع	0.479	0.527	0.600
accuracy	دقت	0.604	0.481	0.802
accurate	دقیق	0.743	0.360	0.737
accursed	نفرین شده	0.135	0.745	0.345
accusation	اتهام	0.073	0.718	0.564
accusative	اتهامی	0.198	0.755	0.482
accuse	متهم	0.133	0.752	0.500
accused	متهم	0.130	0.670	0.420
accuser	متهم	0.122	0.779	0.615
accusing	متهم	0.156	0.745	0.324
accustomed	عادت کرده است	0.542	0.365	0.441
ace	آقا	0.643	0.481	0.546
acetic	استیک	0.333	0.420	0.519
acetylene	استیلن	0.306	0.469	0.509
ache	درد	0.146	0.760	0.312
achieve	رسیدن	0.816	0.545	0.843
achieved	به دست آورد	0.896	0.519	0.775
achievement	دستاورد	0.896	0.808	0.759
aching	درد	0.053	0.880	0.348
achy	آهی کشیدم	0.167	0.840	0.373
acid	اسید	0.265	0.642	0.566
acidity	اسیدیته	0.156	0.663	0.360
acknowledge	اذعان	0.786	0.370	0.661
acknowledged	اذعان کرد	0.714	0.443	0.765
acknowledgement	تصدیق	0.819	0.539	0.830
acknowledgment	تصدیق	0.796	0.528	0.777
acme	آه	0.408	0.435	0.375
acne	آکنه	0.167	0.474	0.308
acorn	بلوط	0.448	0.198	0.192
acoustic	صوتی	0.542	0.462	0.536
acoustics	آکوستیک	0.611	0.330	0.509
acquaint	آشنایی	0.646	0.491	0.639
acquaintance	آشنایی	0.656	0.290	0.670
acquainted	آشنا	0.906	0.358	0.632
acquiescence	تساهل	0.542	0.480	0.554
acquire	به دست آوردن	0.833	0.468	0.700
acquiring	دستیابی به	0.735	0.510	0.817
acquisition	اکتساب، حاکمیت	0.698	0.509	0.736
acquisitions	دستاوردها	0.773	0.660	0.790
acquit	تبرئه	0.583	0.571	0.611
acquittal	تبرئه	0.760	0.497	0.700
acre	هکتار	0.583	0.387	0.423
acreage	زمین	0.741	0.450	0.528
acres	هکتار	0.510	0.363	0.500
acrobat	آکروبات	0.708	0.828	0.602
acrylic	اکریلیک	0.582	0.279	0.420
act	عمل کن	0.656	0.704	0.735
acting	بازیگری	0.698	0.643	0.500
action	عمل	0.760	0.898	0.802
action figure	شکل عمل	0.615	0.774	0.611
actionable	عملی است	0.673	0.702	0.613
activate	فعال کردن	0.764	0.650	0.806
activation	فعال سازی	0.781	0.800	0.754
active	فعال	0.847	0.730	0.731
activist	فعال	0.531	0.653	0.877
activity	فعالیت	0.701	0.660	0.807
actor	بازیگر	0.653	0.561	0.629
actress	بازیگر	0.633	0.556	0.596
actual	واقعی	0.729	0.400	0.716
actuality	واقعیت	0.750	0.464	0.600
actuary	حواله	0.510	0.404	0.491
acuity	شدت	0.469	0.378	0.741
acumen	تیزفهمی	0.564	0.660	0.679
acupuncture	طب سوزنی	0.531	0.324	0.549
acute	حاد	0.427	0.652	0.534
acutely	شدید	0.417	0.543	0.491
ad	آگهی	0.521	0.705	0.558
adage	ادای احترام	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	انطباق	0.740	0.355	0.551
adaptable	سازگار	0.735	0.423	0.641
adaptation	انطباق	0.663	0.365	0.609
add	اضافه کردن	0.728	0.490	0.554
added	اضافه	0.562	0.405	0.509
addendum	افزودن	0.392	0.370	0.418
adder	کمد	0.388	0.461	0.588
addict	معتاد	0.075	0.696	0.327
addicted	معتاد	0.156	0.712	0.483
addiction	اعتیاد	0.180	0.806	0.420
addictive	اعتیاد آور	0.302	0.683	0.472
addition	علاوه بر این	0.562	0.373	0.471
additional	اضافی	0.673	0.462	0.526
additive	افزودنی	0.561	0.633	0.691
address	نشانی	0.650	0.327	0.567
addressee	آدرس گیرنده	0.622	0.382	0.538
addresses	آدرس	0.510	0.354	0.450
adept	متخصص	0.594	0.539	0.789
