Word	Scots Gaelic-gd	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	s an Iar-	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	air bheag	0.500	0.480	0.412
abandon	thrèig	0.052	0.519	0.245
abandoned	thrèigte	0.046	0.481	0.130
abandonment	thrèigsinn	0.128	0.430	0.202
abashed	sgaoileadh	0.177	0.644	0.307
abate	tighinn	0.255	0.696	0.604
abatement	sgaoileadh	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abaid	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	s an Iar-	0.531	0.375	0.330
abbreviation	giorrachadh	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	bhoilg	0.490	0.456	0.445
abduct	smuaineachadh	0.173	0.720	0.615
abduction	a 'goid	0.062	0.990	0.673
aberrant	s an Iar-	0.146	0.765	0.431
aberration	ionaltradh	0.125	0.816	0.417
abeyance	stad	0.330	0.510	0.292
abhor	gràin	0.125	0.602	0.349
abhorrence	gràdh	0.167	0.684	0.420
abhorrent	sàmhach	0.229	0.750	0.474
abide	cumail suas	0.635	0.354	0.705
abiding	fuireach	0.796	0.327	0.750
ability	comas	0.875	0.510	0.816
abject	air falbh	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	fuasgladh	0.240	0.847	0.525
able	comasach	0.786	0.500	0.810
abnormal	neo-àbhaisteach	0.137	0.604	0.309
abnormality	neo-àbhaisteach	0.092	0.655	0.383
aboard	air bòrd	0.698	0.284	0.481
abode	fuireach	0.620	0.302	0.500
abolish	cur às dha	0.448	0.615	0.529
abolition	cur às dha	0.323	0.690	0.529
abominable	gràineil	0.120	0.731	0.482
abominate	gràineil	0.198	0.788	0.366
abomination	gràineileachd	0.078	0.755	0.518
aboriginal	tùsanach	0.448	0.427	0.542
abort	stad	0.153	0.686	0.429
abortion	gort	0.082	0.770	0.283
abortive	sguir	0.090	0.776	0.280
abound	mòran	0.704	0.490	0.681
abovementioned	air an ainmeachadh	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	ionnsaigh	0.406	0.592	0.441
abrasive	sgiobalta	0.392	0.610	0.593
abreast	an-diugh	0.635	0.380	0.519
abroad	thall thairis	0.677	0.596	0.561
abrogate	ath-ghairm	0.327	0.510	0.594
abrupt	brusnach	0.271	0.819	0.545
abruptly	ainneamh	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	neo-làthaireachd	0.153	0.235	0.266
absent	neo-làthaireach	0.177	0.221	0.116
absentee	neo-làthaireach	0.235	0.330	0.279
absenteeism	neo-làthaireachd	0.404	0.273	0.357
absinthe	s an Iar-	0.481	0.510	0.462
absolute	iomlan	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	dìoghaltas	0.684	0.449	0.660
absorb	sguabadh às	0.469	0.558	0.670
absorbed	sgaoileadh	0.490	0.471	0.519
absorbent	sgaoileadh	0.552	0.394	0.718
absorbing	a 'gabhail a-steach	0.490	0.490	0.578
absorption	iongnadh	0.609	0.422	0.446
abstain	abstain	0.385	0.385	0.427
abstention	gealladh	0.271	0.264	0.509
abstinence	dìoghaltas	0.260	0.392	0.429
abstract	abairtean	0.438	0.292	0.444
abstraction	tarraing	0.469	0.439	0.525
absurd	annasach	0.188	0.656	0.284
absurdity	annasach	0.115	0.528	0.227
abundance	pailteas	0.812	0.690	0.852
abundant	pailteas	0.958	0.590	0.760
abuse	mì-ghnàthachadh	0.071	0.873	0.469
abused	mì-ghnàthachadh	0.021	0.874	0.235
abusive	mì-ghnàthach	0.125	0.903	0.567
abutment	sgaoileadh	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	dìomhaireachd	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	acadaimigeach	0.781	0.420	0.812
academy	acadamaidh	0.704	0.473	0.792
accede	aontaich	0.698	0.510	0.537
accelerant	luathachadh	0.643	0.844	0.802
accelerate	luathaich	0.615	0.902	0.759
accelerated	luathaichte	0.610	0.812	0.682
acceleration	luathachadh	0.704	0.905	0.843
accelerator	luathadair	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	ag atharrachadh	0.673	0.556	0.667
accept	gabhail	0.847	0.286	0.565
acceptable	iomchaidh	0.812	0.286	0.583
acceptance	gabhail ris	0.833	0.287	0.755
acceptances	gabhail ris	0.847	0.413	0.648
access	ruigsinneachd	0.714	0.472	0.567
accessible	ruigsinneach	0.796	0.410	0.645
accession	ruigsinneachd	0.612	0.383	0.636
accessory	uisge	0.562	0.292	0.445
accident	tubaist	0.125	0.908	0.336
accidental	tubaist	0.319	0.784	0.307
accidentally	gu dona	0.333	0.741	0.333
acclaim	cliù	0.562	0.809	0.718
accolade	s an Iar-	0.688	0.591	0.775
accommodate	gabh àite	0.844	0.375	0.566
accommodation	àite-fuirich	0.817	0.415	0.587
accompaniment	coise	0.740	0.479	0.695
accompany	gabh còmhla	0.833	0.406	0.585
accompanying	a 'dol còmhla	0.787	0.460	0.582
accomplice	coimheach	0.408	0.580	0.510
accomplish	deàrn	0.929	0.673	0.816
accomplished	air a choileanadh	0.870	0.520	0.798
accomplishment	coileanadh	0.917	0.694	0.888
accord	bòrd	0.898	0.264	0.382
accordance	rèir	0.659	0.349	0.600
accordion	bogsa-ciùil	0.604	0.490	0.361
account	cunntas	0.531	0.347	0.472
accountability	cunntachalachd	0.755	0.537	0.833
accountable	cunntachail	0.709	0.282	0.777
accountant	cunntasach	0.625	0.450	0.639
accounting	cunntasachd	0.552	0.390	0.677
accounts	cunntasan	0.592	0.340	0.471
accredited	dearbhaichte	0.669	0.479	0.768
accretion	creachadh	0.448	0.519	0.672
accrue	a 'fàs	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	cruinneachadh	0.573	0.536	0.607
accumulation	cruinneachadh	0.479	0.527	0.600
accuracy	cruinneas	0.604	0.481	0.802
accurate	ceart	0.743	0.360	0.737
accursed	mallaichte	0.135	0.745	0.345
accusation	casaid	0.073	0.718	0.564
accusative	cùis-laghail	0.198	0.755	0.482
accuse	casaid	0.133	0.752	0.500
accused	a chaidh a chasaid	0.130	0.670	0.420
accuser	neach-casaid	0.122	0.779	0.615
accusing	a 'cur an cèill	0.156	0.745	0.324
accustomed	cleachdte	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	diadhaidh	0.146	0.760	0.312
achieve	coileanadh	0.816	0.545	0.843
achieved	air a choileanadh	0.896	0.519	0.775
achievement	coileanadh	0.896	0.808	0.759
aching	a 'caoidh	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acfhainn	0.156	0.663	0.360
acknowledge	ag aithneachadh	0.786	0.370	0.661
acknowledged	ag aithneachadh	0.714	0.443	0.765
acknowledgement	aideachadh	0.819	0.539	0.830
acknowledgment	aideachadh	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	dearcan	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	eòlach	0.646	0.491	0.639
acquaintance	eòlach	0.656	0.290	0.670
acquainted	eòlach	0.906	0.358	0.632
acquiescence	eòlas	0.542	0.480	0.554
acquire	faighinn	0.833	0.468	0.700
acquiring	faighinn	0.735	0.510	0.817
acquisition	togail	0.698	0.509	0.736
acquisitions	togail	0.773	0.660	0.790
acquit	dìoghaltas	0.583	0.571	0.611
acquittal	sgaoileadh	0.760	0.497	0.700
acre	acair	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acair	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	act	0.656	0.704	0.735
acting	cleasachd	0.698	0.643	0.500
action	gnìomh	0.760	0.898	0.802
action figure	àireamh gnìomha	0.615	0.774	0.611
actionable	gnìomhach	0.673	0.702	0.613
activate	gnìomhaich	0.764	0.650	0.806
activation	gnìomhachd	0.781	0.800	0.754
active	gnìomhach	0.847	0.730	0.731
activist	gnìomhaiche	0.531	0.653	0.877
activity	gnìomhachd	0.701	0.660	0.807
actor	actar	0.653	0.561	0.629
actress	bana-chleasaiche	0.633	0.556	0.596
actual	fìor	0.729	0.400	0.716
actuality	Truailleadh	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	giùlan	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	acute	0.427	0.652	0.534
acutely	gu math	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	s an Iar-	0.344	0.529	0.575
adapt	atharrachadh	0.740	0.355	0.551
adaptable	sùbailte	0.735	0.423	0.641
adaptation	atharrachadh	0.663	0.365	0.609
add	cuir	0.728	0.490	0.554
added	a bharrachd	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	nathair	0.388	0.461	0.588
addict	ionnsaigh	0.075	0.696	0.327
addicted	glic	0.156	0.712	0.483
addiction	fulangas	0.180	0.806	0.420
addictive	duilich	0.302	0.683	0.472
addition	a bharrachd	0.562	0.373	0.471
additional	a bharrachd	0.673	0.462	0.526
additive	sgaoileadh	0.561	0.633	0.691
address	seòladh	0.650	0.327	0.567
addressee	neach-amharc	0.622	0.382	0.538
addresses	seòlaidhean	0.510	0.354	0.450
