Word	Sesotho-st	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	back	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	balone	0.500	0.480	0.412
abandon	tlohela	0.052	0.519	0.245
abandoned	e tlohetsoe	0.046	0.481	0.130
abandonment	ho lahla	0.128	0.430	0.202
abashed	ba ferekane	0.177	0.644	0.307
abate	khaotsa	0.255	0.696	0.604
abatement	ho fokotseha	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	sefubedu	0.531	0.375	0.330
abbreviation	tlhaloso	0.469	0.306	0.345
abdomen	mpa	0.469	0.462	0.471
abdominal	mpa	0.490	0.456	0.445
abduct	ho hapa	0.173	0.720	0.615
abduction	ho nkuoa	0.062	0.990	0.673
aberrant	e hlahelletseng	0.146	0.765	0.431
aberration	ho senya	0.125	0.816	0.417
abeyance	ho ba mahlahahlaha	0.330	0.510	0.292
abhor	nyonya	0.125	0.602	0.349
abhorrence	ho nyonya	0.167	0.684	0.420
abhorrent	e nyonyehang	0.229	0.750	0.474
abide	lula	0.635	0.354	0.705
abiding	ho lula	0.796	0.327	0.750
ability	bokhoni	0.875	0.510	0.816
abject	e sithabetse	0.354	0.590	0.417
ablation	ho tlohela	0.418	0.500	0.500
ablaze	hlahisa	0.240	0.847	0.525
able	e khona	0.786	0.500	0.810
abnormal	e sa tloaelehang	0.137	0.604	0.309
abnormality	ho sa tloaelehang	0.092	0.655	0.383
aboard	kena	0.698	0.284	0.481
abode	a lula	0.620	0.302	0.500
abolish	felisa	0.448	0.615	0.529
abolition	ho felisoa	0.323	0.690	0.529
abominable	e nyonyehang	0.120	0.731	0.482
abominate	e nyonyehang	0.198	0.788	0.366
abomination	e nyonyehang	0.078	0.755	0.518
aboriginal	bo-avorijene	0.448	0.427	0.542
abort	ho senya	0.153	0.686	0.429
abortion	ho nts'a mpa	0.082	0.770	0.283
abortive	ho ntša mpa	0.090	0.776	0.280
abound	e ngata	0.704	0.490	0.681
abovementioned	ho boletsoe ka holimo	0.541	0.298	0.509
abracadabra	e tsoetseng pele lapeng tshireletso	0.673	0.632	0.434
abrasion	ho senya	0.406	0.592	0.441
abrasive	ho senya	0.392	0.610	0.593
abreast	e fokolang	0.635	0.380	0.519
abroad	hohle	0.677	0.596	0.561
abrogate	hlakola	0.327	0.510	0.594
abrupt	ka tšohanyetso	0.271	0.819	0.545
abruptly	hang-hang	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	ho se be teng	0.153	0.235	0.266
absent	ha e eo	0.177	0.221	0.116
absentee	ha ho letho	0.235	0.330	0.279
absenteeism	ho se be teng	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	e feletseng	0.526	0.510	0.827
absolution	ho se lumellane	0.715	0.500	0.664
absolve	felisa	0.684	0.449	0.660
absorb	amohela	0.469	0.558	0.670
absorbed	kenngoa	0.490	0.471	0.519
absorbent	amohele	0.552	0.394	0.718
absorbing	ho monya	0.490	0.490	0.578
absorption	ho amoheleha	0.609	0.422	0.446
abstain	ipehe	0.385	0.385	0.427
abstention	ho se khaotse	0.271	0.264	0.509
abstinence	ho ithiba	0.260	0.392	0.429
abstract	tse sa utloahaleng	0.438	0.292	0.444
abstraction	ho fapana	0.469	0.439	0.525
absurd	e sa utloahaleng	0.188	0.656	0.284
absurdity	ho hloka boikutlo	0.115	0.528	0.227
abundance	ho hongata	0.812	0.690	0.852
abundant	e ngata	0.958	0.590	0.760
abuse	ho hlekefetsoa	0.071	0.873	0.469
abused	ba hlekefetsoe	0.021	0.874	0.235
abusive	ho hlekefetsa	0.125	0.903	0.567
abutment	sekhobo	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	e hlabang	0.250	0.710	0.598
abyss	mohohlong	0.353	0.725	0.296
academic	sekolo	0.781	0.420	0.812
academy	sekolo	0.704	0.473	0.792
accede	lumella	0.698	0.510	0.537
accelerant	ho potlakisa	0.643	0.844	0.802
accelerate	ho potlakisa	0.615	0.902	0.759
accelerated	e potlakileng	0.610	0.812	0.682
acceleration	ho potlaka	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	ho bua hantle	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	amohela	0.847	0.286	0.565
acceptable	e amohelehang	0.812	0.286	0.583
acceptance	ho amohela	0.833	0.287	0.755
acceptances	li amoheleha	0.847	0.413	0.648
access	ho fihlella	0.714	0.472	0.567
accessible	ho fihlella	0.796	0.410	0.645
accession	ho ba teng	0.612	0.383	0.636
accessory	lisebelisoa	0.562	0.292	0.445
accident	kotsi	0.125	0.908	0.336
accidental	kotsi	0.319	0.784	0.307
accidentally	ka phoso	0.333	0.741	0.333
acclaim	khalemeloa	0.562	0.809	0.718
accolade	ho kopa	0.688	0.591	0.775
accommodate	ho amohela	0.844	0.375	0.566
accommodation	bolulo	0.817	0.415	0.587
accompaniment	hammoho	0.740	0.479	0.695
accompany	tsamaea le bona	0.833	0.406	0.585
accompanying	e tsamaeang le	0.787	0.460	0.582
accomplice	motsoalle	0.408	0.580	0.510
accomplish	phetha	0.929	0.673	0.816
accomplished	e finyelitsoe	0.870	0.520	0.798
accomplishment	se finyelloang	0.917	0.694	0.888
accord	ho lumellana	0.898	0.264	0.382
accordance	ho latela	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	akhaonto	0.531	0.347	0.472
accountability	boikarabello	0.755	0.537	0.833
accountable	ikarabella	0.709	0.282	0.777
accountant	mookameli	0.625	0.450	0.639
accounting	litlaleho	0.552	0.390	0.677
accounts	litlaleho	0.592	0.340	0.471
accredited	ba amohelehang	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	eketseha	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	bokella	0.573	0.536	0.607
accumulation	ho bokella	0.479	0.527	0.600
accuracy	ho nepahala	0.604	0.481	0.802
accurate	e nepahetse	0.743	0.360	0.737
accursed	e rohakiloe	0.135	0.745	0.345
accusation	qoso	0.073	0.718	0.564
accusative	moqosi	0.198	0.755	0.482
accuse	qosa	0.133	0.752	0.500
accused	ba qosoa	0.130	0.670	0.420
accuser	moqosi	0.122	0.779	0.615
accusing	ho qosa	0.156	0.745	0.324
accustomed	tloaetse	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	bohale	0.146	0.760	0.312
achieve	finyella	0.816	0.545	0.843
achieved	e fihlile	0.896	0.519	0.775
achievement	katleho	0.896	0.808	0.759
aching	ho opa	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	acid	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	lumela	0.786	0.370	0.661
acknowledged	a lumela	0.714	0.443	0.765
acknowledgement	ho lumela	0.819	0.539	0.830
acknowledgment	ho lumela	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	li-acne	0.167	0.474	0.308
acorn	ho hlaba	0.448	0.198	0.192
acoustic	mofuthu	0.542	0.462	0.536
acoustics	li-acoustics	0.611	0.330	0.509
acquaint	tloaelane	0.646	0.491	0.639
acquaintance	tloaelano	0.656	0.290	0.670
acquainted	tloaelane	0.906	0.358	0.632
acquiescence	amohela	0.542	0.480	0.554
acquire	fumana	0.833	0.468	0.700
acquiring	ho fumana	0.735	0.510	0.817
acquisition	ho fumana	0.698	0.509	0.736
acquisitions	thepa	0.773	0.660	0.790
acquit	hlaphoheloa	0.583	0.571	0.611
acquittal	ho ahlola	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	ho tsuba	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ketso	0.656	0.704	0.735
acting	e sebetsang	0.698	0.643	0.500
action	ketso	0.760	0.898	0.802
action figure	setšoantšo sa liketso	0.615	0.774	0.611
actionable	e sebetsang	0.673	0.702	0.613
activate	ikoetlisa	0.764	0.650	0.806
activation	ts'ebetso	0.781	0.800	0.754
active	e sebetsang	0.847	0.730	0.731
activist	sehlaseli	0.531	0.653	0.877
activity	mosebetsi	0.701	0.660	0.807
actor	sebapali	0.653	0.561	0.629
actress	setšoantšisi	0.633	0.556	0.596
actual	e le hantle	0.729	0.400	0.716
actuality	hona joale	0.750	0.464	0.600
actuary	hona joale	0.510	0.404	0.491
acuity	mahlahahlaha	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	ho entsoe ka majoe	0.531	0.324	0.549
acute	e thata	0.427	0.652	0.534
acutely	e le hantle	0.417	0.543	0.491
ad	mocha	0.521	0.705	0.558
adage	khabiso	0.517	0.415	0.566
adamant	khaotsa	0.344	0.529	0.575
adapt	ikamahanya le maemo	0.740	0.355	0.551
adaptable	fetoha	0.735	0.423	0.641
adaptation	tloaelo	0.663	0.365	0.609
add	eketsa	0.728	0.490	0.554
added	e kentsoe	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	lemalla	0.075	0.696	0.327
addicted	e lemalla	0.156	0.712	0.483
addiction	lemalla	0.180	0.806	0.420
addictive	ho lemalla	0.302	0.683	0.472
addition	eketsa	0.562	0.373	0.471
additional	e eketsehileng	0.673	0.462	0.526
additive	kenyelletso	0.561	0.633	0.691
address	aterese	0.650	0.327	0.567
addressee	setsetsi	0.622	0.382	0.538
addresses	liaterese	0.510	0.354	0.450
