Word	Shona-sn	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	siya	0.052	0.519	0.245
abandoned	asiyiwa	0.046	0.481	0.130
abandonment	kusiya	0.128	0.430	0.202
abashed	washadzika	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	zvinyorwa	0.531	0.375	0.330
abbreviation	abbreviation	0.469	0.306	0.345
abdomen	mimba	0.469	0.462	0.471
abdominal	mimba	0.490	0.456	0.445
abduct	kubvisa	0.173	0.720	0.615
abduction	kubatwa	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	kuberekwa	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	kuvenga	0.125	0.602	0.349
abhorrence	kuvenga	0.167	0.684	0.420
abhorrent	zvinonyangadza	0.229	0.750	0.474
abide	gara	0.635	0.354	0.705
abiding	kugara	0.796	0.327	0.750
ability	kukwanisa	0.875	0.510	0.816
abject	zvinopesana	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	kupisa	0.240	0.847	0.525
able	vanogona	0.786	0.500	0.810
abnormal	zvisiri izvo	0.137	0.604	0.309
abnormality	kusakanganisika	0.092	0.655	0.383
aboard	inway	0.698	0.284	0.481
abode	vakagara	0.620	0.302	0.500
abolish	kubvisa	0.448	0.615	0.529
abolition	kubvisa	0.323	0.690	0.529
abominable	zvinonyangadza	0.120	0.731	0.482
abominate	zvinonyangadza	0.198	0.788	0.366
abomination	zvinonyangadza	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	bvisa	0.153	0.686	0.429
abortion	kubvisa pamuviri	0.082	0.770	0.283
abortive	kubvisa	0.090	0.776	0.280
abound	zvizhinji	0.704	0.490	0.681
abovementioned	zvataurwa pamusoro	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	kubvisa	0.392	0.610	0.593
abreast	inowedzera	0.635	0.380	0.519
abroad	kunze kwenyika	0.677	0.596	0.561
abrogate	abrogate	0.327	0.510	0.594
abrupt	pakarepo	0.271	0.819	0.545
abruptly	pakarepo	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	kusavapo	0.153	0.235	0.266
absent	asipo	0.177	0.221	0.116
absentee	asipo	0.235	0.330	0.279
absenteeism	kusawana	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	mhedziso	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	siya	0.684	0.449	0.660
absorb	kunyanya	0.469	0.558	0.670
absorbed	akabatwa	0.490	0.471	0.519
absorbent	absorbent	0.552	0.394	0.718
absorbing	kunyanya	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	regai	0.385	0.385	0.427
abstention	kudzikama	0.271	0.264	0.509
abstinence	kuzvidzora	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	kubvisa	0.469	0.439	0.525
absurd	zvisinganzwisisiki	0.188	0.656	0.284
absurdity	kusaziva	0.115	0.528	0.227
abundance	zvakawanda	0.812	0.690	0.852
abundant	zvakawanda	0.958	0.590	0.760
abuse	kushungurudza	0.071	0.873	0.469
abused	vanoshungurudzwa	0.021	0.874	0.235
abusive	kushungurudza	0.125	0.903	0.567
abutment	nhengo	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abhisha	0.353	0.725	0.296
academic	mudzidzi	0.781	0.420	0.812
academy	academy	0.704	0.473	0.792
accede	tsigira	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	accelerate	0.615	0.902	0.759
accelerated	kukurumidza	0.610	0.812	0.682
acceleration	kukurumidza	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	kusimbiswa	0.598	0.357	0.509
accentuate	accentuate	0.673	0.556	0.667
accept	accept	0.847	0.286	0.565
acceptable	inogamuchirika	0.812	0.286	0.583
acceptance	kubvuma	0.833	0.287	0.755
acceptances	acceptances	0.847	0.413	0.648
access	access	0.714	0.472	0.567
accessible	kufambidzana	0.796	0.410	0.645
accession	accession	0.612	0.383	0.636
accessory	accessory	0.562	0.292	0.445
accident	ngozi	0.125	0.908	0.336
accidental	kazhinji	0.319	0.784	0.307
accidentally	accidentally	0.333	0.741	0.333
acclaim	rumbidza	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	kugara	0.844	0.375	0.566
accommodation	pokugara	0.817	0.415	0.587
accompaniment	accompaniment	0.740	0.479	0.695
accompany	famba	0.833	0.406	0.585
accompanying	pamwe chete	0.787	0.460	0.582
accomplice	accomplice	0.408	0.580	0.510
accomplish	kuzadzisa	0.929	0.673	0.816
accomplished	zvakaitwa	0.870	0.520	0.798
accomplishment	kukwana	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	maererano	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	nhoroondo	0.531	0.347	0.472
accountability	kuzvidavirira	0.755	0.537	0.833
accountable	vanozvidavirira	0.709	0.282	0.777
accountant	munyori wenhoroondo	0.625	0.450	0.639
accounting	accounting	0.552	0.390	0.677
accounts	nhoroondo	0.592	0.340	0.471
accredited	akabvumirwa	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	kuwedzera	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	kuunganidza	0.573	0.536	0.607
accumulation	kuunganidza	0.479	0.527	0.600
accuracy	kururama	0.604	0.481	0.802
accurate	zvakarurama	0.743	0.360	0.737
accursed	rakatukwa	0.135	0.745	0.345
accusation	mhosva	0.073	0.718	0.564
accusative	kupomera	0.198	0.755	0.482
accuse	kupomera	0.133	0.752	0.500
accused	akapomerwa	0.130	0.670	0.420
accuser	mupomera	0.122	0.779	0.615
accusing	kupomera	0.156	0.745	0.324
accustomed	akajaira	0.542	0.365	0.441
ace	ace ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	ache	0.146	0.760	0.312
achieve	kubudirira	0.816	0.545	0.843
achieved	akabudirira	0.896	0.519	0.775
achievement	kubudirira	0.896	0.808	0.759
aching	aching	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asidi	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	kubvuma	0.786	0.370	0.661
acknowledged	akabvuma	0.714	0.443	0.765
acknowledgement	kubvuma	0.819	0.539	0.830
acknowledgment	kubvuma	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	kuzivana	0.646	0.491	0.639
acquaintance	shamwari	0.656	0.290	0.670
acquainted	vanoziva	0.906	0.358	0.632
acquiescence	acquiescence	0.542	0.480	0.554
acquire	kuwana	0.833	0.468	0.700
acquiring	kuwana	0.735	0.510	0.817
acquisition	acquisition	0.698	0.509	0.736
acquisitions	kuwanikwa	0.773	0.660	0.790
acquit	acquit	0.583	0.571	0.611
acquittal	kuregerera	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	acreage	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	chiito	0.656	0.704	0.735
acting	kuita	0.698	0.643	0.500
action	chiito	0.760	0.898	0.802
action figure	chiito chiito	0.615	0.774	0.611
actionable	canable	0.673	0.702	0.613
activate	activate	0.764	0.650	0.806
activation	kushandiswa	0.781	0.800	0.754
active	inoshanda	0.847	0.730	0.731
activist	mutungamiriri	0.531	0.653	0.877
activity	basa	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actress	0.633	0.556	0.596
actual	chaiyo	0.729	0.400	0.716
actuality	realityality	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	acuity	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	acute	0.427	0.652	0.534
acutely	acutely	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	adamant	0.344	0.529	0.575
adapt	kuchinja	0.740	0.355	0.551
adaptable	inogadziriswa	0.735	0.423	0.641
adaptation	kuchinja	0.663	0.365	0.609
add	onai	0.728	0.490	0.554
added	akawedzera	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	chiremba	0.075	0.696	0.327
addicted	addicted	0.156	0.712	0.483
addiction	addiction	0.180	0.806	0.420
addictive	addictive	0.302	0.683	0.472
addition	kuwedzera	0.562	0.373	0.471
additional	zvimwe	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	address	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	aderesi	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	kukwana	0.615	0.435	0.702
adequate	zvakakwana	0.854	0.264	0.705
adhere	kunamatira	0.633	0.339	0.554
adherence	kutevera	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	kunamatira	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
