Word	Sindhi-sd	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	عمارتون	0.427	0.490	0.437
aback	بي پناهه	0.385	0.407	0.288
abacus	عباسي	0.510	0.276	0.485
abalone	ابڙو	0.500	0.480	0.412
abandon	کلون	0.052	0.519	0.245
abandoned	ڇڏيو ويو	0.046	0.481	0.130
abandonment	ڇڏيل	0.128	0.430	0.202
abashed	ڀڄي ويو	0.177	0.644	0.307
abate	قسمت	0.255	0.696	0.604
abatement	ٽرانس	0.388	0.338	0.336
abba	ابا	0.562	0.500	0.480
abbey	ابوبڪر	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	مختصر	0.531	0.375	0.330
abbreviation	مختصر نالو	0.469	0.306	0.345
abdomen	پيٽ	0.469	0.462	0.471
abdominal	ڦيرايو	0.490	0.456	0.445
abduct	اغوا	0.173	0.720	0.615
abduction	اغوا	0.062	0.990	0.673
aberrant	افطار	0.146	0.765	0.431
aberration	وجوهات	0.125	0.816	0.417
abeyance	احسان	0.330	0.510	0.292
abhor	ابڙو	0.125	0.602	0.349
abhorrence	ابوبڪر	0.167	0.684	0.420
abhorrent	حيرت انگيز	0.229	0.750	0.474
abide	سدائين رهڻ	0.635	0.354	0.705
abiding	سدائين رھندي	0.796	0.327	0.750
ability	قابليت	0.875	0.510	0.816
abject	منسوب	0.354	0.590	0.417
ablation	ڦيري	0.418	0.500	0.500
ablaze	اڪيلو	0.240	0.847	0.525
able	لائق نه آهي	0.786	0.500	0.810
abnormal	غير معمولي	0.137	0.604	0.309
abnormality	غير معمولي	0.092	0.655	0.383
aboard	سمنڊ ۾	0.698	0.284	0.481
abode	جاء	0.620	0.302	0.500
abolish	ختم ڪرڻ	0.448	0.615	0.529
abolition	تڪرار	0.323	0.690	0.529
abominable	ڦوٽو آهي	0.120	0.731	0.482
abominate	ڦيٽو	0.198	0.788	0.366
abomination	نفرت	0.078	0.755	0.518
aboriginal	اصلي	0.448	0.427	0.542
abort	معافي ڏيندڙ	0.153	0.686	0.429
abortion	بدنام	0.082	0.770	0.283
abortive	حيرت انگيز	0.090	0.776	0.280
abound	گهرو	0.704	0.490	0.681
abovementioned	مٿي ڄاڻايل	0.541	0.298	0.509
abracadabra	ابوطالب	0.673	0.632	0.434
abrasion	گھڙندو	0.406	0.592	0.441
abrasive	خوفناڪ	0.392	0.610	0.593
abreast	ناڻو	0.635	0.380	0.519
abroad	ملڪ ۾	0.677	0.596	0.561
abrogate	معافي ڏيندڙ	0.327	0.510	0.594
abrupt	ڀريل	0.271	0.819	0.545
abruptly	بيحد آهي	0.250	0.808	0.556
abscess	غير نصابي	0.154	0.451	0.349
absence	غير موجودگي	0.153	0.235	0.266
absent	غير حاضر	0.177	0.221	0.116
absentee	غير حاضر	0.235	0.330	0.279
absenteeism	غير حاضري	0.404	0.273	0.357
absinthe	غائب	0.481	0.510	0.462
absolute	مطلق	0.526	0.510	0.827
absolution	نظريا	0.715	0.500	0.664
absolve	absolve	0.684	0.449	0.660
absorb	جذباتي	0.469	0.558	0.670
absorbed	جذباتي	0.490	0.471	0.519
absorbent	جذباتي	0.552	0.394	0.718
absorbing	جذباتي	0.490	0.490	0.578
absorption	جذباتي	0.609	0.422	0.446
abstain	نڀاڳ	0.385	0.385	0.427
abstention	نڀاڳ	0.271	0.264	0.509
abstinence	ابديس	0.260	0.392	0.429
abstract	خلاص آهي	0.438	0.292	0.444
abstraction	ڌنڌو	0.469	0.439	0.525
absurd	غائب	0.188	0.656	0.284
absurdity	غير حاضرگي	0.115	0.528	0.227
abundance	اڪثريت	0.812	0.690	0.852
abundant	وڏي پئماني تي	0.958	0.590	0.760
abuse	غلطي	0.071	0.873	0.469
abused	بدڪار	0.021	0.874	0.235
abusive	غير انساني	0.125	0.903	0.567
abutment	بيوقوف	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	عضويب آهي	0.250	0.710	0.598
abyss	حامي	0.353	0.725	0.296
academic	تعليمي	0.781	0.420	0.812
academy	اڪيڊميڊ	0.704	0.473	0.792
accede	گهڙندو	0.698	0.510	0.537
accelerant	تڪڙو	0.643	0.844	0.802
accelerate	تڪڙو	0.615	0.902	0.759
accelerated	تڪڙو	0.610	0.812	0.682
acceleration	تڪليف	0.704	0.905	0.843
accelerator	تيز ڪندڙ	0.593	0.830	0.812
accent	تلفظ	0.598	0.357	0.509
accentuate	ڌيان ڏيڻ	0.673	0.556	0.667
accept	قبول ڪيو	0.847	0.286	0.565
acceptable	قبول نه ٿيو	0.812	0.286	0.583
acceptance	قبوليت	0.833	0.287	0.755
acceptances	قبوليت	0.847	0.413	0.648
access	رسائي	0.714	0.472	0.567
accessible	رسائي	0.796	0.410	0.645
accession	رسائي	0.612	0.383	0.636
accessory	رسائي	0.562	0.292	0.445
accident	حادثا	0.125	0.908	0.336
accidental	حادثي	0.319	0.784	0.307
accidentally	حادثي طور تي	0.333	0.741	0.333
acclaim	اقليمي	0.562	0.809	0.718
accolade	تعصب	0.688	0.591	0.775
accommodate	استحڪام	0.844	0.375	0.566
accommodation	رهائش	0.817	0.415	0.587
accompaniment	گڏوگڏ	0.740	0.479	0.695
accompany	سان گڏ	0.833	0.406	0.585
accompanying	سان گڏ	0.787	0.460	0.582
accomplice	سهڪار	0.408	0.580	0.510
accomplish	ڪامياب	0.929	0.673	0.816
accomplished	ڪامياب	0.870	0.520	0.798
accomplishment	ڪاميابي	0.917	0.694	0.888
accord	اتفاق	0.898	0.264	0.382
accordance	مطابق	0.659	0.349	0.600
accordion	اتفاق	0.604	0.490	0.361
account	اڪائونٽ	0.531	0.347	0.472
accountability	احتساب	0.755	0.537	0.833
accountable	اڪائونٽبل	0.709	0.282	0.777
accountant	اڪاؤنٽ	0.625	0.450	0.639
accounting	اڪائونٽنگ	0.552	0.390	0.677
accounts	اڪائونٽ	0.592	0.340	0.471
accredited	اعتبار سان	0.669	0.479	0.768
accretion	تڪليف	0.448	0.519	0.672
accrue	تياريون	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	جمع ڪرائڻ	0.573	0.536	0.607
accumulation	جمع	0.479	0.527	0.600
accuracy	صداقت	0.604	0.481	0.802
accurate	صحيح	0.743	0.360	0.737
accursed	تي لعنت ڪئي وئي	0.135	0.745	0.345
accusation	الزام	0.073	0.718	0.564
accusative	الزام	0.198	0.755	0.482
accuse	الزام	0.133	0.752	0.500
accused	الزام	0.130	0.670	0.420
accuser	الزام	0.122	0.779	0.615
accusing	الزام لڳائڻ	0.156	0.745	0.324
accustomed	عادي	0.542	0.365	0.441
ace	ا	0.643	0.481	0.546
acetic	اڻڄاتل	0.333	0.420	0.519
acetylene	ايٿليبل	0.306	0.469	0.509
ache	اهن	0.146	0.760	0.312
achieve	حاصل ڪرڻ	0.816	0.545	0.843
achieved	حاصل ڪيو	0.896	0.519	0.775
achievement	ڪاميابي	0.896	0.808	0.759
aching	درد	0.053	0.880	0.348
achy	اڪيلي	0.167	0.840	0.373
acid	هڪڙو	0.265	0.642	0.566
acidity	امل	0.156	0.663	0.360
acknowledge	تسليم ڪيو	0.786	0.370	0.661
acknowledged	قبول ڪيو	0.714	0.443	0.765
acknowledgement	تسليم	0.819	0.539	0.830
acknowledgment	تسليم	0.796	0.528	0.777
acme	ايڪي	0.408	0.435	0.375
acne	نڀاڳو	0.167	0.474	0.308
acorn	ننڍڙو	0.448	0.198	0.192
acoustic	صوفاتي	0.542	0.462	0.536
acoustics	صوتيات	0.611	0.330	0.509
acquaint	واقف ٿيو	0.646	0.491	0.639
acquaintance	واقفيت	0.656	0.290	0.670
acquainted	واقف ٿيو	0.906	0.358	0.632
acquiescence	خوشگوار	0.542	0.480	0.554
acquire	حاصل ڪيو	0.833	0.468	0.700
acquiring	حاصل ڪرڻ	0.735	0.510	0.817
acquisition	حاصل ڪرڻ	0.698	0.509	0.736
acquisitions	حاصلات	0.773	0.660	0.790
acquit	حاصل ڪرڻ	0.583	0.571	0.611
acquittal	واقف	0.760	0.497	0.700
acre	ايڪڙ	0.583	0.387	0.423
acreage	ايجاد	0.741	0.450	0.528
acres	ايڪڙ	0.510	0.363	0.500
acrobat	ايڪوٽٽ	0.708	0.828	0.602
acrylic	هڪڪيل	0.582	0.279	0.420
act	عمل	0.656	0.704	0.735
acting	عمل	0.698	0.643	0.500
action	عمل	0.760	0.898	0.802
action figure	ڪارڪردگي جي لحاظ کان	0.615	0.774	0.611
actionable	قابل عمل	0.673	0.702	0.613
activate	چالو ڪيو	0.764	0.650	0.806
activation	چالو	0.781	0.800	0.754
active	چالو	0.847	0.730	0.731
activist	ڪارڪن	0.531	0.653	0.877
activity	سرگرمي	0.701	0.660	0.807
actor	اداڪار	0.653	0.561	0.629
actress	اداڪار	0.633	0.556	0.596
actual	اصل	0.729	0.400	0.716
actuality	عمل	0.750	0.464	0.600
actuary	عمل	0.510	0.404	0.491
acuity	ايڪو	0.469	0.378	0.741
acumen	ٻڏڻ	0.564	0.660	0.679
acupuncture	ايڪوپنڪچر	0.531	0.324	0.549
acute	غلط	0.427	0.652	0.534
acutely	بلڪل	0.417	0.543	0.491
ad	اشتهار	0.521	0.705	0.558
adage	عادل	0.517	0.415	0.566
adamant	ڄاڻي ٿو	0.344	0.529	0.575
adapt	ٺاهي	0.740	0.355	0.551
adaptable	مناسب آهي	0.735	0.423	0.641
adaptation	موافقت	0.663	0.365	0.609
add	شامل ڪيو	0.728	0.490	0.554
added	شامل ڪيو	0.562	0.405	0.509
addendum	اضافو	0.392	0.370	0.418
adder	ايڊڊر	0.388	0.461	0.588
addict	تڪرار	0.075	0.696	0.327
