Word	Somali-so	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	iska dhaaf	0.052	0.519	0.245
abandoned	ka tagay	0.046	0.481	0.130
abandonment	ka tagid	0.128	0.430	0.202
abashed	waa laga xishooday	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	dhimista	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	soo gaabin	0.531	0.375	0.330
abbreviation	gaaban	0.469	0.306	0.345
abdomen	caloosha	0.469	0.462	0.471
abdominal	caloosha	0.490	0.456	0.445
abduct	afduubka	0.173	0.720	0.615
abduction	afduub	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeenance	0.330	0.510	0.292
abhor	necbahay	0.125	0.602	0.349
abhorrence	Necbaan	0.167	0.684	0.420
abhorrent	abhorrent	0.229	0.750	0.474
abide	sii joog	0.635	0.354	0.705
abiding	u hoggaansama	0.796	0.327	0.750
ability	awoodda	0.875	0.510	0.816
abject	gardarrada	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	dabacsan	0.240	0.847	0.525
able	awood u leh	0.786	0.500	0.810
abnormal	aan caadi ahayn	0.137	0.604	0.309
abnormality	Dhibaato la'aan	0.092	0.655	0.383
aboard	ku xiran	0.698	0.284	0.481
abode	joogaa	0.620	0.302	0.500
abolish	joojiso	0.448	0.615	0.529
abolition	baabi'inta	0.323	0.690	0.529
abominable	abominable	0.120	0.731	0.482
abominate	abominate	0.198	0.788	0.366
abomination	abomin	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	soo daayo	0.153	0.686	0.429
abortion	ilmo iska soo ridid	0.082	0.770	0.283
abortive	soo dejin	0.090	0.776	0.280
abound	badisay	0.704	0.490	0.681
abovementioned	kor ku xusan	0.541	0.298	0.509
abracadabra	abracadabra	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	abrasive	0.392	0.610	0.593
abreast	xayawaanka	0.635	0.380	0.519
abroad	dibadda	0.677	0.596	0.561
abrogate	daqma	0.327	0.510	0.594
abrupt	kacsan	0.271	0.819	0.545
abruptly	si kadis ah	0.250	0.808	0.556
abscess	xayawaanka	0.154	0.451	0.349
absence	maqnaansho	0.153	0.235	0.266
absent	maqan	0.177	0.221	0.116
absentee	maqnaanshaha	0.235	0.330	0.279
absenteeism	maqnaanshaha	0.404	0.273	0.357
absinthe	maqnaashaha	0.481	0.510	0.462
absolute	isku dhafan	0.526	0.510	0.827
absolution	xayiraadda	0.715	0.500	0.664
absolve	gooyaan	0.684	0.449	0.660
absorb	nuugo	0.469	0.558	0.670
absorbed	nuugay	0.490	0.471	0.519
absorbent	nuugaya	0.552	0.394	0.718
absorbing	nuujinta	0.490	0.490	0.578
absorption	nuugista	0.609	0.422	0.446
abstain	iska dhaaf	0.385	0.385	0.427
abstention	joojinta	0.271	0.264	0.509
abstinence	dhaafis	0.260	0.392	0.429
abstract	abstract	0.438	0.292	0.444
abstraction	isdhaafsi	0.469	0.439	0.525
absurd	qarsoodi	0.188	0.656	0.284
absurdity	cillad la'aan	0.115	0.528	0.227
abundance	faro badan	0.812	0.690	0.852
abundant	badan	0.958	0.590	0.760
abuse	xadgudub	0.071	0.873	0.469
abused	lagu xadgudbay	0.021	0.874	0.235
abusive	xadgudub ah	0.125	0.903	0.567
abutment	iska-horimaadka	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	tacliin	0.781	0.420	0.812
academy	akadeemiyadda	0.704	0.473	0.792
accede	isku dhafan	0.698	0.510	0.537
accelerant	dhakhso ah	0.643	0.844	0.802
accelerate	Dheecaan	0.615	0.902	0.759
accelerated	dardargeliyey	0.610	0.812	0.682
acceleration	dardargelinta	0.704	0.905	0.843
accelerator	gawaarida	0.593	0.830	0.812
accent	muqaalka	0.598	0.357	0.509
accentuate	muujinayaan	0.673	0.556	0.667
accept	aqbalo	0.847	0.286	0.565
acceptable	la aqbali karo	0.812	0.286	0.583
acceptance	aqbalida	0.833	0.287	0.755
acceptances	aqbalida	0.847	0.413	0.648
access	helitaanka	0.714	0.472	0.567
accessible	la heli karo	0.796	0.410	0.645
accession	galitaanka	0.612	0.383	0.636
accessory	gaaban	0.562	0.292	0.445
accident	shilka	0.125	0.908	0.336
accidental	shil ahaan	0.319	0.784	0.307
accidentally	shil ahaan	0.333	0.741	0.333
acclaim	qirasho	0.562	0.809	0.718
accolade	abaalmarin	0.688	0.591	0.775
accommodate	la soco	0.844	0.375	0.566
accommodation	hoy	0.817	0.415	0.587
accompaniment	raacsan	0.740	0.479	0.695
accompany	raacaya	0.833	0.406	0.585
accompanying	raacaya	0.787	0.460	0.582
accomplice	fulin	0.408	0.580	0.510
accomplish	dhammaystir	0.929	0.673	0.816
accomplished	dhammeystiray	0.870	0.520	0.798
accomplishment	guuleysiga	0.917	0.694	0.888
accord	heshiis	0.898	0.264	0.382
accordance	raacaya	0.659	0.349	0.600
accordion	Aqoonta	0.604	0.490	0.361
account	xisaabta	0.531	0.347	0.472
accountability	xisaabtan	0.755	0.537	0.833
accountable	xisaabtan	0.709	0.282	0.777
accountant	xisaabiye	0.625	0.450	0.639
accounting	xisaabinta	0.552	0.390	0.677
accounts	xisaabaadka	0.592	0.340	0.471
accredited	la aqoonsan yahay	0.669	0.479	0.768
accretion	isku kalsoonaan	0.448	0.519	0.672
accrue	isu keenid	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	isku ururin	0.573	0.536	0.607
accumulation	isku-darka	0.479	0.527	0.600
accuracy	saxsanaanta	0.604	0.481	0.802
accurate	sax ah	0.743	0.360	0.737
accursed	ladilay	0.135	0.745	0.345
accusation	eedayn	0.073	0.718	0.564
accusative	eedeeysane	0.198	0.755	0.482
accuse	eedayn	0.133	0.752	0.500
accused	lagu eedeeyay	0.130	0.670	0.420
accuser	eedeeysane	0.122	0.779	0.615
accusing	eedeeyay	0.156	0.745	0.324
accustomed	caadaysteen	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	xanuunka	0.146	0.760	0.312
achieve	gaari	0.816	0.545	0.843
achieved	guulaystay	0.896	0.519	0.775
achievement	guuleysiga	0.896	0.808	0.759
aching	xanaaqa	0.053	0.880	0.348
achy	xanaaqa	0.167	0.840	0.373
acid	aashito	0.265	0.642	0.566
acidity	acidity	0.156	0.663	0.360
acknowledge	qirasho	0.786	0.370	0.661
acknowledged	qiray	0.714	0.443	0.765
acknowledgement	Aqoonsi	0.819	0.539	0.830
acknowledgment	Aqoonsi	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	finan	0.167	0.474	0.308
acorn	waa la furay	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	akustik	0.611	0.330	0.509
acquaint	aqoonta	0.646	0.491	0.639
acquaintance	Aqoonta	0.656	0.290	0.670
acquainted	yaqaan	0.906	0.358	0.632
acquiescence	qaadashada	0.542	0.480	0.554
acquire	helitaanka	0.833	0.468	0.700
acquiring	helitaanka	0.735	0.510	0.817
acquisition	iibsiga	0.698	0.509	0.736
acquisitions	iibsiga	0.773	0.660	0.790
acquit	ka gooyaan	0.583	0.571	0.611
acquittal	iibsashada	0.760	0.497	0.700
acre	waa	0.583	0.387	0.423
acreage	Beeridda	0.741	0.450	0.528
acres	acres	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	fal	0.656	0.704	0.735
acting	jilitaanka	0.698	0.643	0.500
action	ficil	0.760	0.898	0.802
action figure	shaxda shaqada	0.615	0.774	0.611
actionable	waxqaban kara	0.673	0.702	0.613
activate	dhaqaajiso	0.764	0.650	0.806
activation	dhaqdhaqaaqa	0.781	0.800	0.754
active	firfircoon	0.847	0.730	0.731
activist	dhaqdhaqaaqa	0.531	0.653	0.877
activity	waxqabadka	0.701	0.660	0.807
actor	jilaa	0.653	0.561	0.629
actress	actress	0.633	0.556	0.596
actual	dhab ah	0.729	0.400	0.716
actuality	dhabta ah	0.750	0.464	0.600
actuary	dhaqdhaqaaqa	0.510	0.404	0.491
acuity	qummanaanta	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	degdeg ah	0.427	0.652	0.534
acutely	si degdeg ah	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	kalsooni	0.344	0.529	0.575
adapt	la qabsadaan	0.740	0.355	0.551
adaptable	la qabsan karo	0.735	0.423	0.641
adaptation	iswaafajinta	0.663	0.365	0.609
add	ku dar	0.728	0.490	0.554
added	ku daray	0.562	0.405	0.509
addendum	Lifaaq	0.392	0.370	0.418
adder	adder	0.388	0.461	0.588
addict	isticmaalka	0.075	0.696	0.327
addicted	qabatimay	0.156	0.712	0.483
addiction	qabatinka	0.180	0.806	0.420
addictive	qabatimo	0.302	0.683	0.472
addition	iskudar	0.562	0.373	0.471
additional	dheeraad ah	0.673	0.462	0.526
additive	kudheer	0.561	0.633	0.691
address	cinwaanka	0.650	0.327	0.567
addressee	cinwaanka	0.622	0.382	0.538
addresses	cinwaanada	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
