Word	Swedish-sv	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	en rygg	0.385	0.407	0.288
abacus	kulram	0.510	0.276	0.485
abalone	havsöra	0.500	0.480	0.412
abandon	överge	0.052	0.519	0.245
abandoned	övergiven	0.046	0.481	0.130
abandonment	övergivenhet	0.128	0.430	0.202
abashed	förlägen	0.177	0.644	0.307
abate	avta	0.255	0.696	0.604
abatement	minskning	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	kloster	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	förkorta	0.531	0.375	0.330
abbreviation	förkortning	0.469	0.306	0.345
abdomen	buk	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	röva bort	0.173	0.720	0.615
abduction	bortförande	0.062	0.990	0.673
aberrant	abnorm	0.146	0.765	0.431
aberration	avvikelse	0.125	0.816	0.417
abeyance	vilande	0.330	0.510	0.292
abhor	avsky	0.125	0.602	0.349
abhorrence	avsky	0.167	0.684	0.420
abhorrent	motbjudande	0.229	0.750	0.474
abide	vistas	0.635	0.354	0.705
abiding	bestående	0.796	0.327	0.750
ability	förmåga	0.875	0.510	0.816
abject	abject	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	i lågor	0.240	0.847	0.525
able	stånd	0.786	0.500	0.810
abnormal	onormal	0.137	0.604	0.309
abnormality	abnormitet	0.092	0.655	0.383
aboard	ombord	0.698	0.284	0.481
abode	boning	0.620	0.302	0.500
abolish	avskaffa	0.448	0.615	0.529
abolition	avskaffande	0.323	0.690	0.529
abominable	avskyvärd	0.120	0.731	0.482
abominate	hata	0.198	0.788	0.366
abomination	avsky	0.078	0.755	0.518
aboriginal	ursprunglig	0.448	0.427	0.542
abort	avbryta	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	misslyckad	0.090	0.776	0.280
abound	finnas i överflöd	0.704	0.490	0.681
abovementioned	ovan nämnda	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	abrasion	0.406	0.592	0.441
abrasive	slipmedel	0.392	0.610	0.593
abreast	i bredd	0.635	0.380	0.519
abroad	utomlands	0.677	0.596	0.561
abrogate	avskaffa	0.327	0.510	0.594
abrupt	abrupt	0.271	0.819	0.545
abruptly	tvärt	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	frånvaro	0.153	0.235	0.266
absent	frånvarande	0.177	0.221	0.116
absentee	frånvarande	0.235	0.330	0.279
absenteeism	skolk	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absolut	0.526	0.510	0.827
absolution	absolution	0.715	0.500	0.664
absolve	frikänna	0.684	0.449	0.660
absorb	absorbera	0.469	0.558	0.670
absorbed	absorberad	0.490	0.471	0.519
absorbent	absorberande	0.552	0.394	0.718
absorbing	absorberande	0.490	0.490	0.578
absorption	absorption	0.609	0.422	0.446
abstain	avstå	0.385	0.385	0.427
abstention	röstnedläggelse	0.271	0.264	0.509
abstinence	nykterhet	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	abstraktion	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditet	0.115	0.528	0.227
abundance	överflöd	0.812	0.690	0.852
abundant	riklig	0.958	0.590	0.760
abuse	missbruk	0.071	0.873	0.469
abused	abused	0.021	0.874	0.235
abusive	missbruk	0.125	0.903	0.567
abutment	anliggning	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	bottenlös	0.250	0.710	0.598
abyss	avgrund	0.353	0.725	0.296
academic	akademisk	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	ansluta sig	0.698	0.510	0.537
accelerant	accelerator	0.643	0.844	0.802
accelerate	accelerera	0.615	0.902	0.759
accelerated	accelererad	0.610	0.812	0.682
acceleration	acceleration	0.704	0.905	0.843
accelerator	accelerator	0.593	0.830	0.812
accent	accent	0.598	0.357	0.509
accentuate	accentuera	0.673	0.556	0.667
accept	acceptera	0.847	0.286	0.565
acceptable	godtagbar	0.812	0.286	0.583
acceptance	godkännande	0.833	0.287	0.755
acceptances	accepter	0.847	0.413	0.648
access	tillgång	0.714	0.472	0.567
accessible	tillgänglig	0.796	0.410	0.645
accession	anslutning	0.612	0.383	0.636
accessory	tillbehör	0.562	0.292	0.445
accident	olycka	0.125	0.908	0.336
accidental	tillfällig	0.319	0.784	0.307
accidentally	av misstag	0.333	0.741	0.333
acclaim	hylla	0.562	0.809	0.718
accolade	accolade	0.688	0.591	0.775
accommodate	rymma	0.844	0.375	0.566
accommodation	boende	0.817	0.415	0.587
accompaniment	ackompanjemang	0.740	0.479	0.695
accompany	följa	0.833	0.406	0.585
accompanying	medföljande	0.787	0.460	0.582
accomplice	medbrottsling	0.408	0.580	0.510
accomplish	utföra	0.929	0.673	0.816
accomplished	skicklig	0.870	0.520	0.798
accomplishment	prestation	0.917	0.694	0.888
accord	bevilja	0.898	0.264	0.382
accordance	överensstämmelse	0.659	0.349	0.600
accordion	dragspel	0.604	0.490	0.361
account	konto	0.531	0.347	0.472
accountability	ansvarighet	0.755	0.537	0.833
accountable	ansvarig	0.709	0.282	0.777
accountant	revisor	0.625	0.450	0.639
accounting	bokföring	0.552	0.390	0.677
accounts	konton	0.592	0.340	0.471
accredited	ackrediterad	0.669	0.479	0.768
accretion	anhopning	0.448	0.519	0.672
accrue	falla	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	ackumulera	0.573	0.536	0.607
accumulation	ackumulation	0.479	0.527	0.600
accuracy	noggrannhet	0.604	0.481	0.802
accurate	exakt	0.743	0.360	0.737
accursed	förbannad	0.135	0.745	0.345
accusation	anklagelse	0.073	0.718	0.564
accusative	ackusativ	0.198	0.755	0.482
accuse	anklaga	0.133	0.752	0.500
accused	den anklagade	0.130	0.670	0.420
accuser	åklagare	0.122	0.779	0.615
accusing	anklagar	0.156	0.745	0.324
accustomed	van vid	0.542	0.365	0.441
ace	ess	0.643	0.481	0.546
acetic	ättiksyra	0.333	0.420	0.519
acetylene	acetylen	0.306	0.469	0.509
ache	värk	0.146	0.760	0.312
achieve	uppnå	0.816	0.545	0.843
achieved	uppnått	0.896	0.519	0.775
achievement	prestation	0.896	0.808	0.759
aching	värk	0.053	0.880	0.348
achy	ömmande	0.167	0.840	0.373
acid	syra	0.265	0.642	0.566
acidity	aciditet	0.156	0.663	0.360
acknowledge	erkänna	0.786	0.370	0.661
acknowledged	erkänd	0.714	0.443	0.765
acknowledgement	bekräftelse	0.819	0.539	0.830
acknowledgment	bekräftelse	0.796	0.528	0.777
acme	höjdpunkt	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	ekollon	0.448	0.198	0.192
acoustic	akustisk	0.542	0.462	0.536
acoustics	akustik	0.611	0.330	0.509
acquaint	bekanta	0.646	0.491	0.639
acquaintance	bekantskap	0.656	0.290	0.670
acquainted	bekant	0.906	0.358	0.632
acquiescence	samtycke	0.542	0.480	0.554
acquire	tillägna sig	0.833	0.468	0.700
acquiring	förvärvande	0.735	0.510	0.817
acquisition	förvärv	0.698	0.509	0.736
acquisitions	förvärv	0.773	0.660	0.790
acquit	frikänna	0.583	0.571	0.611
acquittal	frikännande	0.760	0.497	0.700
acre	tunnland	0.583	0.387	0.423
acreage	areal	0.741	0.450	0.528
acres	tunnland	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akryl-	0.582	0.279	0.420
act	spela teater	0.656	0.704	0.735
acting	verkande	0.698	0.643	0.500
action	handling	0.760	0.898	0.802
action figure	åtgärdsfigur	0.615	0.774	0.611
actionable	angripbara	0.673	0.702	0.613
activate	Aktivera	0.764	0.650	0.806
activation	aktivering	0.781	0.800	0.754
active	aktiva	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	aktivitet	0.701	0.660	0.807
actor	skådespelare	0.653	0.561	0.629
actress	skådespelerska	0.633	0.556	0.596
actual	faktisk	0.729	0.400	0.716
actuality	verklighet	0.750	0.464	0.600
actuary	aktuarie	0.510	0.404	0.491
acuity	skärpa	0.469	0.378	0.741
acumen	mannaskap	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	akut	0.427	0.652	0.534
acutely	akut	0.417	0.543	0.491
ad	a.d	0.521	0.705	0.558
adage	ordspråk	0.517	0.415	0.566
adamant	orubblig	0.344	0.529	0.575
adapt	anpassa	0.740	0.355	0.551
adaptable	anpassbar	0.735	0.423	0.641
adaptation	anpassning	0.663	0.365	0.609
add	Lägg till	0.728	0.490	0.554
added	Lagt till	0.562	0.405	0.509
addendum	tillägg	0.392	0.370	0.418
adder	huggorm	0.388	0.461	0.588
addict	missbrukare	0.075	0.696	0.327
addicted	Beroende	0.156	0.712	0.483
addiction	missbruk	0.180	0.806	0.420
addictive	beroendeframkallande	0.302	0.683	0.472
addition	tillägg	0.562	0.373	0.471
additional	ytterligare	0.673	0.462	0.526
additive	tillsats	0.561	0.633	0.691
address	adress	0.650	0.327	0.567
addressee	adressat	0.622	0.382	0.538
addresses	adresser	0.510	0.354	0.450
adept	skicklig	0.594	0.539	0.789
adequacy	lämplighet	0.615	0.435	0.702
adequate	tillräcklig	0.854	0.264	0.705
adhere	ansluta sig	0.633	0.339	0.554
adherence	efterlevnad	0.760	0.307	0.630
adherent	anhängare	0.561	0.385	0.555
adhering	vidhäftning	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	lim	0.604	0.350	0.413
adieu	adjö	0.250	0.471	0.342
adipose	adipös	0.333	0.350	0.391
