Word	Tajik-tg	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Садо Ояндасоз	0.427	0.490	0.437
aback	бесабаб нест	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	Садо Ояндасоз	0.500	0.480	0.412
abandon	тарк кунед	0.052	0.519	0.245
abandoned	партофташуда	0.046	0.481	0.130
abandonment	тарк кардан	0.128	0.430	0.202
abashed	нопадид шудааст	0.177	0.644	0.307
abate	хонд	0.255	0.696	0.604
abatement	камшавии	0.388	0.338	0.336
abba	Абба	0.562	0.500	0.480
abbey	Садо Ояндасоз	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	кӯтоҳ	0.531	0.375	0.330
abbreviation	калимаҳо	0.469	0.306	0.345
abdomen	шикам	0.469	0.462	0.471
abdominal	шикам	0.490	0.456	0.445
abduct	даст кашидан	0.173	0.720	0.615
abduction	истисмор	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	аъмол	0.125	0.816	0.417
abeyance	бадбахтӣ	0.330	0.510	0.292
abhor	нафратангез	0.125	0.602	0.349
abhorrence	нафратангез	0.167	0.684	0.420
abhorrent	Садо Ояндасоз	0.229	0.750	0.474
abide	истироҳат кунед	0.635	0.354	0.705
abiding	бодиққат бошед	0.796	0.327	0.750
ability	қобилият дорад	0.875	0.510	0.816
abject	данд	0.354	0.590	0.417
ablation	ablation	0.418	0.500	0.500
ablaze	бедор	0.240	0.847	0.525
able	қобилият доранд	0.786	0.500	0.810
abnormal	ғайриоддӣ	0.137	0.604	0.309
abnormality	бетафовутӣ	0.092	0.655	0.383
aboard	дар бар мегирад	0.698	0.284	0.481
abode	зиндагӣ мекунад	0.620	0.302	0.500
abolish	бекор карда шудааст	0.448	0.615	0.529
abolition	бекоркунӣ	0.323	0.690	0.529
abominable	вайроннашаванда	0.120	0.731	0.482
abominate	золимона	0.198	0.788	0.366
abomination	золимона	0.078	0.755	0.518
aboriginal	Аборугин	0.448	0.427	0.542
abort	бекор карда шудааст	0.153	0.686	0.429
abortion	аборт	0.082	0.770	0.283
abortive	бекор карда шудааст	0.090	0.776	0.280
abound	зиёд аст	0.704	0.490	0.681
abovementioned	дар боло қайд карда шудааст	0.541	0.298	0.509
abracadabra	Абрамакабра	0.673	0.632	0.434
abrasion	абрешим	0.406	0.592	0.441
abrasive	кист?	0.392	0.610	0.593
abreast	фароғат	0.635	0.380	0.519
abroad	дар хориҷа	0.677	0.596	0.561
abrogate	бекор кунед	0.327	0.510	0.594
abrupt	заъиф	0.271	0.819	0.545
abruptly	ҳаргиз	0.250	0.808	0.556
abscess	аҷиб	0.154	0.451	0.349
absence	набудани	0.153	0.235	0.266
absent	набуд	0.177	0.221	0.116
absentee	бесабаб нест	0.235	0.330	0.279
absenteeism	дарсгурезӣ	0.404	0.273	0.357
absinthe	пажмурда мешавад	0.481	0.510	0.462
absolute	мутлақ	0.526	0.510	0.827
absolution	Сатторӣ	0.715	0.500	0.664
absolve	аз байн меравад	0.684	0.449	0.660
absorb	кандашуда	0.469	0.558	0.670
absorbed	рабуданд	0.490	0.471	0.519
absorbent	сӯзишворӣ	0.552	0.394	0.718
absorbing	садақа кардан	0.490	0.490	0.578
absorption	истихроҷ	0.609	0.422	0.446
abstain	бедор бошед	0.385	0.385	0.427
abstention	Бештар	0.271	0.264	0.509
abstinence	бепарвоӣ	0.260	0.392	0.429
abstract	суст	0.438	0.292	0.444
abstraction	Бештар	0.469	0.439	0.525
absurd	ноком	0.188	0.656	0.284
absurdity	нокомии	0.115	0.528	0.227
abundance	фаровонӣ	0.812	0.690	0.852
abundant	фаровон аст	0.958	0.590	0.760
abuse	зӯроварӣ	0.071	0.873	0.469
abused	истифода шудааст	0.021	0.874	0.235
abusive	золимона	0.125	0.903	0.567
abutment	абутент	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	бадбахт	0.250	0.710	0.598
abyss	варақ	0.353	0.725	0.296
academic	академикӣ	0.781	0.420	0.812
academy	академик	0.704	0.473	0.792
accede	вироиш	0.698	0.510	0.537
accelerant	тезтар	0.643	0.844	0.802
accelerate	тезтар	0.615	0.902	0.759
accelerated	суръатбахш аст	0.610	0.812	0.682
acceleration	суръатбахшӣ	0.704	0.905	0.843
accelerator	суръатбахш	0.593	0.830	0.812
accent	аксуламал	0.598	0.357	0.509
accentuate	таъкид мекунад	0.673	0.556	0.667
accept	қабул кунед	0.847	0.286	0.565
acceptable	қабул карда шудааст	0.812	0.286	0.583
acceptance	қабул	0.833	0.287	0.755
acceptances	қабул	0.847	0.413	0.648
access	дастрасӣ	0.714	0.472	0.567
accessible	дастрас аст	0.796	0.410	0.645
accession	дохил шудан	0.612	0.383	0.636
accessory	дастрасӣ	0.562	0.292	0.445
accident	садама	0.125	0.908	0.336
accidental	тасодуфӣ	0.319	0.784	0.307
accidentally	тасодуфан	0.333	0.741	0.333
acclaim	гиред	0.562	0.809	0.718
accolade	тақдир	0.688	0.591	0.775
accommodate	ҷойгир кунед	0.844	0.375	0.566
accommodation	манзил	0.817	0.415	0.587
accompaniment	ҳамроҳӣ кунед	0.740	0.479	0.695
accompany	ҳамроҳӣ кунед	0.833	0.406	0.585
accompanying	ҳамроҳ шудан	0.787	0.460	0.582
accomplice	ҳамкорон	0.408	0.580	0.510
accomplish	анҷом диҳед	0.929	0.673	0.816
accomplished	анҷом ёфт	0.870	0.520	0.798
accomplishment	муваффақият	0.917	0.694	0.888
accord	шарт аст	0.898	0.264	0.382
accordance	мувофиқи	0.659	0.349	0.600
accordion	Акнун	0.604	0.490	0.361
account	ҳисоб	0.531	0.347	0.472
accountability	ҳисоботдиҳӣ	0.755	0.537	0.833
accountable	ҳисоб карда мешавад	0.709	0.282	0.777
accountant	бухгалтерӣ	0.625	0.450	0.639
accounting	ҳисобдорӣ	0.552	0.390	0.677
accounts	ҳисобҳо	0.592	0.340	0.471
accredited	аккредитатсия	0.669	0.479	0.768
accretion	Бештар	0.448	0.519	0.672
accrue	садақа кардан	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	ҷамъ меоваранд	0.573	0.536	0.607
accumulation	ҷамъоварӣ	0.479	0.527	0.600
accuracy	дақиқ	0.604	0.481	0.802
accurate	дуруст	0.743	0.360	0.737
accursed	лутфан	0.135	0.745	0.345
accusation	айбдоршаванда	0.073	0.718	0.564
accusative	айбдоршаванда	0.198	0.755	0.482
accuse	айбдор кунед	0.133	0.752	0.500
accused	айбдор карда шудааст	0.130	0.670	0.420
accuser	даъвогар	0.122	0.779	0.615
accusing	айбдоршаванда	0.156	0.745	0.324
accustomed	одат кардааст	0.542	0.365	0.441
ace	данд	0.643	0.481	0.546
acetic	антитикӣ	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	Садо Ояндасоз	0.146	0.760	0.312
achieve	ноил шудан	0.816	0.545	0.843
achieved	ба даст оварданд	0.896	0.519	0.775
achievement	дастовардҳо	0.896	0.808	0.759
aching	андеша	0.053	0.880	0.348
achy	Ачӣ	0.167	0.840	0.373
acid	кислота	0.265	0.642	0.566
acidity	кислота	0.156	0.663	0.360
acknowledge	эътироф кун	0.786	0.370	0.661
acknowledged	эътироф кард	0.714	0.443	0.765
acknowledgement	эътироф	0.819	0.539	0.830
acknowledgment	эътироф	0.796	0.528	0.777
acme	Ойини мадоро	0.408	0.435	0.375
acne	акне	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	акустикӣ	0.542	0.462	0.536
acoustics	акустика	0.611	0.330	0.509
acquaint	шинос шавед	0.646	0.491	0.639
acquaintance	шиносоӣ	0.656	0.290	0.670
acquainted	шинос шуд	0.906	0.358	0.632
acquiescence	қабули қарор	0.542	0.480	0.554
acquire	дарёфт кунед	0.833	0.468	0.700
acquiring	харидорӣ	0.735	0.510	0.817
acquisition	ба даст овардан	0.698	0.509	0.736
acquisitions	харид	0.773	0.660	0.790
acquit	ба даст овардан	0.583	0.571	0.611
acquittal	ройгон	0.760	0.497	0.700
acre	акре	0.583	0.387	0.423
acreage	акракт	0.741	0.450	0.528
acres	хекторҳо	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	акрил	0.582	0.279	0.420
act	амал	0.656	0.704	0.735
acting	амал мекунанд	0.698	0.643	0.500
action	амал	0.760	0.898	0.802
action figure	Шабакаи корӣ	0.615	0.774	0.611
actionable	амал карда мешавад	0.673	0.702	0.613
activate	фаъол гардед	0.764	0.650	0.806
activation	фаъолона	0.781	0.800	0.754
active	фаъолона	0.847	0.730	0.731
activist	фаъол	0.531	0.653	0.877
activity	фаъолият	0.701	0.660	0.807
actor	акор	0.653	0.561	0.629
actress	актриса	0.633	0.556	0.596
actual	воқеӣ	0.729	0.400	0.716
actuality	воқеӣ	0.750	0.464	0.600
actuary	амал мекунанд	0.510	0.404	0.491
acuity	сустӣ	0.469	0.378	0.741
acumen	acumen	0.564	0.660	0.679
acupuncture	acupuncture	0.531	0.324	0.549
acute	шадидтар	0.427	0.652	0.534
acutely	ба таври фаврӣ	0.417	0.543	0.491
ad	реклама	0.521	0.705	0.558
adage	адв	0.517	0.415	0.566
adamant	хомӯш	0.344	0.529	0.575
adapt	мутобиқ	0.740	0.355	0.551
adaptable	adaptable	0.735	0.423	0.641
adaptation	мутобиқсозӣ	0.663	0.365	0.609
add	илова кунед	0.728	0.490	0.554
added	илова карда шуд	0.562	0.405	0.509
addendum	замима	0.392	0.370	0.418
adder	дандон	0.388	0.461	0.588
addict	лутфан	0.075	0.696	0.327
addicted	хафа шуд	0.156	0.712	0.483
addiction	лутфан	0.180	0.806	0.420
