Word	Tamil-ta	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	Aardvark	0.427	0.490	0.437
aback	அதிர்ச்சி	0.385	0.407	0.288
abacus	அபாகஸ்	0.510	0.276	0.485
abalone	Abalone	0.500	0.480	0.412
abandon	கைவிட	0.052	0.519	0.245
abandoned	கைவிடப்பட்ட	0.046	0.481	0.130
abandonment	கைவிட்டதை	0.128	0.430	0.202
abashed	கலங்கும்	0.177	0.644	0.307
abate	Abate	0.255	0.696	0.604
abatement	தணிப்பு	0.388	0.338	0.336
abba	வாரத்திற்கான	0.562	0.500	0.480
abbey	அபே	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	சுருக்கியது	0.531	0.375	0.330
abbreviation	சுருக்கம்	0.469	0.306	0.345
abdomen	வயிறு	0.469	0.462	0.471
abdominal	வயிற்று	0.490	0.456	0.445
abduct	கடத்திச்செல்ல	0.173	0.720	0.615
abduction	கடத்தல்	0.062	0.990	0.673
aberrant	பிறழும்	0.146	0.765	0.431
aberration	பிறழ்ச்சி	0.125	0.816	0.417
abeyance	தற்காலிகமாக நிறுத்தி வைத்தல்	0.330	0.510	0.292
abhor	வெறுப்புக் கொள்	0.125	0.602	0.349
abhorrence	வெறுப்பை	0.167	0.684	0.420
abhorrent	அருவருக்கத்தக்க	0.229	0.750	0.474
abide	என்றென்றும்	0.635	0.354	0.705
abiding	நிலைத்திருப்பவனாகவும்	0.796	0.327	0.750
ability	திறன்	0.875	0.510	0.816
abject	இழிவான	0.354	0.590	0.417
ablation	நீக்கம்	0.418	0.500	0.500
ablaze	தீ	0.240	0.847	0.525
able	முடியும்	0.786	0.500	0.810
abnormal	அசாதாரண	0.137	0.604	0.309
abnormality	அசாதாரணம்	0.092	0.655	0.383
aboard	கப்பலில்	0.698	0.284	0.481
abode	உறைவிடம்	0.620	0.302	0.500
abolish	ஒழிக்கும்	0.448	0.615	0.529
abolition	ஒழித்தல்	0.323	0.690	0.529
abominable	வெறுக்கத்தக்க	0.120	0.731	0.482
abominate	வெறுப்போடு எண்ணு	0.198	0.788	0.366
abomination	அருவருப்பானது	0.078	0.755	0.518
aboriginal	பழங்குடியினர்	0.448	0.427	0.542
abort	கைவிடவோ	0.153	0.686	0.429
abortion	கருக்கலைப்பு	0.082	0.770	0.283
abortive	தோல்வியடைந்த	0.090	0.776	0.280
abound	நிரம்பியுள்ளன	0.704	0.490	0.681
abovementioned	மேலே குறிப்பிட்டுள்ள	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	சிராய்ப்பு	0.406	0.592	0.441
abrasive	சிராய்ப்பு	0.392	0.610	0.593
abreast	இணையாக	0.635	0.380	0.519
abroad	வெளிநாட்டில்	0.677	0.596	0.561
abrogate	தள்ளுபடி செய்கின்ற	0.327	0.510	0.594
abrupt	திடீர்	0.271	0.819	0.545
abruptly	திடீரென	0.250	0.808	0.556
abscess	கட்டி	0.154	0.451	0.349
absence	இல்லாத	0.153	0.235	0.266
absent	இல்லாமல்	0.177	0.221	0.116
absentee	வராதவர்	0.235	0.330	0.279
absenteeism	வராமலேயே	0.404	0.273	0.357
absinthe	அப்சிந்தே	0.481	0.510	0.462
absolute	அறுதி	0.526	0.510	0.827
absolution	குற்ற	0.715	0.500	0.664
absolve	என்றாகிவிடாது	0.684	0.449	0.660
absorb	உறிஞ்சி	0.469	0.558	0.670
absorbed	உறிஞ்சப்படுகிறது	0.490	0.471	0.519
absorbent	உறிஞ்சக்கூடிய	0.552	0.394	0.718
absorbing	உறிஞ்சும்	0.490	0.490	0.578
absorption	உறிஞ்சுதல்	0.609	0.422	0.446
abstain	தவிர்ப்பதாக	0.385	0.385	0.427
abstention	வாக்களிக்காதது	0.271	0.264	0.509
abstinence	தவிர்ப்பு	0.260	0.392	0.429
abstract	சுருக்க	0.438	0.292	0.444
abstraction	சாராம்சம்	0.469	0.439	0.525
absurd	அபத்தமான	0.188	0.656	0.284
absurdity	அபத்தத்தை	0.115	0.528	0.227
abundance	மிகுதியாக	0.812	0.690	0.852
abundant	ஏராளமாக	0.958	0.590	0.760
abuse	தவறாக	0.071	0.873	0.469
abused	தவறாக	0.021	0.874	0.235
abusive	தவறான	0.125	0.903	0.567
abutment	சார்வு	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	படு பாதாளமான	0.250	0.710	0.598
abyss	பள்ளத்தை	0.353	0.725	0.296
academic	கல்வி	0.781	0.420	0.812
academy	அகாடமி	0.704	0.473	0.792
accede	இணைவதற்கு	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	முடுக்கி	0.615	0.902	0.759
accelerated	துரிதப்படுத்தியது	0.610	0.812	0.682
acceleration	முடுக்கம்	0.704	0.905	0.843
accelerator	துரிதப்படுத்தி	0.593	0.830	0.812
accent	உச்சரிப்பு	0.598	0.357	0.509
accentuate	கொடு	0.673	0.556	0.667
accept	ஏற்க	0.847	0.286	0.565
acceptable	ஏற்கத்தக்க	0.812	0.286	0.583
acceptance	ஏற்பு	0.833	0.287	0.755
acceptances	ஏற்றுக்கொள்வதன்	0.847	0.413	0.648
access	அணுகல்	0.714	0.472	0.567
accessible	அணுக	0.796	0.410	0.645
accession	இணக்கத்திற்கான	0.612	0.383	0.636
accessory	துணை	0.562	0.292	0.445
accident	விபத்து	0.125	0.908	0.336
accidental	தற்செயலான	0.319	0.784	0.307
accidentally	தற்செயலாக	0.333	0.741	0.333
acclaim	பாராட்டை	0.562	0.809	0.718
accolade	பட்டத்திற்கு	0.688	0.591	0.775
accommodate	இடமளிக்க	0.844	0.375	0.566
accommodation	விடுதி	0.817	0.415	0.587
accompaniment	அழகுக்காக	0.740	0.479	0.695
accompany	உடன்	0.833	0.406	0.585
accompanying	அதனுடன்	0.787	0.460	0.582
accomplice	மனைவியை	0.408	0.580	0.510
accomplish	சாதிக்க	0.929	0.673	0.816
accomplished	நிறைவேற்றப்படுகிறது	0.870	0.520	0.798
accomplishment	சாதனை	0.917	0.694	0.888
accord	அக்கார்டு	0.898	0.264	0.382
accordance	ஏற்ப	0.659	0.349	0.600
accordion	துருத்தி	0.604	0.490	0.361
account	கணக்கு	0.531	0.347	0.472
accountability	பொறுப்புடைமை	0.755	0.537	0.833
accountable	கணக்கு	0.709	0.282	0.777
accountant	கணக்காளர்	0.625	0.450	0.639
accounting	கணக்கியல்	0.552	0.390	0.677
accounts	கணக்குகள்	0.592	0.340	0.471
accredited	அங்கீகாரம் பெற்ற	0.669	0.479	0.768
accretion	வளர்ச்சிப்பெருக்கத்தின்	0.448	0.519	0.672
accrue	பெறுவார்	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	குவிக்க	0.573	0.536	0.607
accumulation	குவியும்	0.479	0.527	0.600
accuracy	துல்லியம்	0.604	0.481	0.802
accurate	துல்லியமான	0.743	0.360	0.737
accursed	சபிக்கப்பட்ட	0.135	0.745	0.345
accusation	குற்றச்சாட்டு	0.073	0.718	0.564
accusative	வேற்றுமையைப்	0.198	0.755	0.482
accuse	குற்றம் சாட்ட	0.133	0.752	0.500
accused	குற்றஞ்சாட்டினார்	0.130	0.670	0.420
accuser	குற்றம் சாட்டிய அந்த	0.122	0.779	0.615
accusing	குற்றம்சாட்டி	0.156	0.745	0.324
accustomed	பழக்கமான	0.542	0.365	0.441
ace	சீட்டு	0.643	0.481	0.546
acetic	அசிட்டிக்	0.333	0.420	0.519
acetylene	அசித்திலீன்	0.306	0.469	0.509
ache	வலி	0.146	0.760	0.312
achieve	அடைய	0.816	0.545	0.843
achieved	அடைய	0.896	0.519	0.775
achievement	சாதனை	0.896	0.808	0.759
aching	வலியேற்படுத்து	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	அமிலம்	0.265	0.642	0.566
acidity	அமிலத்தன்மை	0.156	0.663	0.360
acknowledge	ஒப்புக்கொள்ள	0.786	0.370	0.661
acknowledged	ஒப்புக்	0.714	0.443	0.765
acknowledgement	ஒப்புகை	0.819	0.539	0.830
acknowledgment	ஒப்புகை	0.796	0.528	0.777
acme	உச்சகட்டமாக	0.408	0.435	0.375
acne	முகப்பரு	0.167	0.474	0.308
acorn	ஏகோர்ன்	0.448	0.198	0.192
acoustic	ஒலி	0.542	0.462	0.536
acoustics	ஒலியியல்	0.611	0.330	0.509
acquaint	தெரியப்படுத்த	0.646	0.491	0.639
acquaintance	அறிமுகம்	0.656	0.290	0.670
acquainted	அறிமுகமானார்	0.906	0.358	0.632
acquiescence	இணங்கியதை	0.542	0.480	0.554
acquire	பெறுவதற்கு	0.833	0.468	0.700
acquiring	பெறுவதற்கான	0.735	0.510	0.817
acquisition	கையகப்படுத்தல்	0.698	0.509	0.736
acquisitions	கையகப்படுத்துதல்	0.773	0.660	0.790
acquit	விடுதலை	0.583	0.571	0.611
acquittal	விடுதலையை	0.760	0.497	0.700
acre	ஏக்கர்	0.583	0.387	0.423
acreage	சூழலா	0.741	0.450	0.528
acres	ஏக்கர்	0.510	0.363	0.500
acrobat	கழைக்கூத்தாடி	0.708	0.828	0.602
acrylic	அக்ரிலிக்	0.582	0.279	0.420
act	நாடகம்	0.656	0.704	0.735
acting	நடிப்பு	0.698	0.643	0.500
action	நடவடிக்கை	0.760	0.898	0.802
action figure	நடவடிக்கை எண்ணிக்கை	0.615	0.774	0.611
actionable	இயக்கக்கூடியது	0.673	0.702	0.613
activate	செயல்படுத்த	0.764	0.650	0.806
activation	செயல்படுத்தும்	0.781	0.800	0.754
active	செயலில்	0.847	0.730	0.731
activist	ஆர்வலர்	0.531	0.653	0.877
activity	செயல்பாடு	0.701	0.660	0.807
