Word	Thai-th	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	มด	0.427	0.490	0.437
aback	ผงะ	0.385	0.407	0.288
abacus	ลูกคิด	0.510	0.276	0.485
abalone	หอยเป๋าฮื้อ	0.500	0.480	0.412
abandon	ละทิ้ง	0.052	0.519	0.245
abandoned	ถูกปล่อยปละละเลย	0.046	0.481	0.130
abandonment	การละทิ้ง	0.128	0.430	0.202
abashed	เจื่อน	0.177	0.644	0.307
abate	บรรเทา	0.255	0.696	0.604
abatement	การลด	0.388	0.338	0.336
abba	Abba	0.562	0.500	0.480
abbey	วัด	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ย่อ	0.531	0.375	0.330
abbreviation	ตัวย่อ	0.469	0.306	0.345
abdomen	ท้อง	0.469	0.462	0.471
abdominal	เกี่ยวกับท้อง	0.490	0.456	0.445
abduct	ลักพาตัว	0.173	0.720	0.615
abduction	การลักพาตัว	0.062	0.990	0.673
aberrant	ผิดปกติ	0.146	0.765	0.431
aberration	ความผิดปกติ	0.125	0.816	0.417
abeyance	การระงับชั่วคราว	0.330	0.510	0.292
abhor	เกลียดชัง	0.125	0.602	0.349
abhorrence	ความเกลียดชัง	0.167	0.684	0.420
abhorrent	น่ารังเกียจ	0.229	0.750	0.474
abide	ยึดถือ	0.635	0.354	0.705
abiding	ตลอดกาล	0.796	0.327	0.750
ability	ความสามารถ	0.875	0.510	0.816
abject	น่าสังเวช	0.354	0.590	0.417
ablation	การระเหย	0.418	0.500	0.500
ablaze	สว่าง	0.240	0.847	0.525
able	สามารถ	0.786	0.500	0.810
abnormal	ผิดปกติ	0.137	0.604	0.309
abnormality	ความผิดปกติ	0.092	0.655	0.383
aboard	บนเรือ	0.698	0.284	0.481
abode	ที่พัก	0.620	0.302	0.500
abolish	ยกเลิก	0.448	0.615	0.529
abolition	การยกเลิก	0.323	0.690	0.529
abominable	น่ารังเกียจ	0.120	0.731	0.482
abominate	รังเกียจ	0.198	0.788	0.366
abomination	สิ่งที่น่ารังเกียจ	0.078	0.755	0.518
aboriginal	พื้นเมือง	0.448	0.427	0.542
abort	ทำแท้ง	0.153	0.686	0.429
abortion	การแท้ง	0.082	0.770	0.283
abortive	ไม่สำเร็จ	0.090	0.776	0.280
abound	ดาษดื่น	0.704	0.490	0.681
abovementioned	ดังกล่าวข้างต้น	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	รอยขีดข่วน	0.406	0.592	0.441
abrasive	คม	0.392	0.610	0.593
abreast	ทัน	0.635	0.380	0.519
abroad	ในต่างประเทศ	0.677	0.596	0.561
abrogate	ยกเลิก	0.327	0.510	0.594
abrupt	ทันทีทันใด	0.271	0.819	0.545
abruptly	อย่างฉับพลัน	0.250	0.808	0.556
abscess	ฝี	0.154	0.451	0.349
absence	ขาด	0.153	0.235	0.266
absent	ขาด	0.177	0.221	0.116
absentee	ผู้ที่ขาดไป	0.235	0.330	0.279
absenteeism	ขาด	0.404	0.273	0.357
absinthe	Absinthe	0.481	0.510	0.462
absolute	แน่นอน	0.526	0.510	0.827
absolution	การอภัยโทษ	0.715	0.500	0.664
absolve	ให้อภัย	0.684	0.449	0.660
absorb	ซึมซับ	0.469	0.558	0.670
absorbed	ที่หมกมุ่น	0.490	0.471	0.519
absorbent	ซึ่งสามารถดูดซึม	0.552	0.394	0.718
absorbing	การดูดซับ	0.490	0.490	0.578
absorption	การดูดซึม	0.609	0.422	0.446
abstain	ละเว้น	0.385	0.385	0.427
abstention	การงดออกเสียง	0.271	0.264	0.509
abstinence	การละเว้น	0.260	0.392	0.429
abstract	นามธรรม	0.438	0.292	0.444
abstraction	สิ่งที่เป็นนามธรรม	0.469	0.439	0.525
absurd	บ้าบอคอแตก	0.188	0.656	0.284
absurdity	ความไร้สาระ	0.115	0.528	0.227
abundance	ความอุดมสมบูรณ์	0.812	0.690	0.852
abundant	อุดมสมบูรณ์	0.958	0.590	0.760
abuse	การละเมิด	0.071	0.873	0.469
abused	ที่ถูกทารุณกรรม	0.021	0.874	0.235
abusive	ปากหมา	0.125	0.903	0.567
abutment	ตัวค้ำ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	สุดซึ้ง	0.250	0.710	0.598
abyss	เหว	0.353	0.725	0.296
academic	วิชาการ	0.781	0.420	0.812
academy	สถานศึกษา	0.704	0.473	0.792
accede	ยอม	0.698	0.510	0.537
accelerant	เร่ง	0.643	0.844	0.802
accelerate	เร่งความเร็ว	0.615	0.902	0.759
accelerated	เร่ง	0.610	0.812	0.682
acceleration	การเร่งความเร็ว	0.704	0.905	0.843
accelerator	คันเร่ง	0.593	0.830	0.812
accent	สำเนียง	0.598	0.357	0.509
accentuate	เน้นเสียง	0.673	0.556	0.667
accept	ยอมรับ	0.847	0.286	0.565
acceptable	ยอมรับได้	0.812	0.286	0.583
acceptance	การยอมรับ	0.833	0.287	0.755
acceptances	การรับรอง	0.847	0.413	0.648
access	ทางเข้า	0.714	0.472	0.567
accessible	สามารถเข้าถึงได้	0.796	0.410	0.645
accession	การครอบครอง	0.612	0.383	0.636
accessory	อุปกรณ์	0.562	0.292	0.445
accident	อุบัติเหตุ	0.125	0.908	0.336
accidental	โดยบังเอิญ	0.319	0.784	0.307
accidentally	โดยไม่ตั้งใจ	0.333	0.741	0.333
acclaim	เสียงไชโยโห่ร้อง	0.562	0.809	0.718
accolade	การได้รับเกียรติ	0.688	0.591	0.775
accommodate	อำนวยความสะดวก	0.844	0.375	0.566
accommodation	ที่พัก	0.817	0.415	0.587
accompaniment	คลอเสียง	0.740	0.479	0.695
accompany	มากับ	0.833	0.406	0.585
accompanying	ประกอบ	0.787	0.460	0.582
accomplice	ผู้สมคบ	0.408	0.580	0.510
accomplish	ทำให้สำเร็จ	0.929	0.673	0.816
accomplished	คล่องแคล่ว	0.870	0.520	0.798
accomplishment	ความสำเร็จ	0.917	0.694	0.888
accord	สอดคล้อง	0.898	0.264	0.382
accordance	ตาม	0.659	0.349	0.600
accordion	หีบเพลง	0.604	0.490	0.361
account	บัญชี	0.531	0.347	0.472
accountability	การรับผิดชอบ	0.755	0.537	0.833
accountable	รับผิดชอบ	0.709	0.282	0.777
accountant	นักบัญชี	0.625	0.450	0.639
accounting	การบัญชี	0.552	0.390	0.677
accounts	บัญชี	0.592	0.340	0.471
accredited	ได้รับการรับรอง	0.669	0.479	0.768
accretion	การเพิ่ม	0.448	0.519	0.672
accrue	เพิ่มมากขึ้น	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	เก็บสะสม	0.573	0.536	0.607
accumulation	ขุม	0.479	0.527	0.600
accuracy	ความถูกต้อง	0.604	0.481	0.802
accurate	ถูกต้อง	0.743	0.360	0.737
accursed	ถูกสาป	0.135	0.745	0.345
accusation	การกล่าวหา	0.073	0.718	0.564
accusative	กรรมการก	0.198	0.755	0.482
accuse	กล่าวโทษ	0.133	0.752	0.500
accused	ผู้ถูกกล่าวหา	0.130	0.670	0.420
accuser	โจทก์	0.122	0.779	0.615
accusing	ที่กล่าวหา	0.156	0.745	0.324
accustomed	คุ้นเคย	0.542	0.365	0.441
ace	คนเก่ง	0.643	0.481	0.546
acetic	อะซิติก	0.333	0.420	0.519
acetylene	อะเซทิลีน	0.306	0.469	0.509
ache	ปวด	0.146	0.760	0.312
achieve	บรรลุ	0.816	0.545	0.843
achieved	ประสบความสำเร็จ	0.896	0.519	0.775
achievement	ความสำเร็จ	0.896	0.808	0.759
aching	น่าปวดหัว	0.053	0.880	0.348
achy	ปวด	0.167	0.840	0.373
acid	กรด	0.265	0.642	0.566
acidity	ความเป็นกรด	0.156	0.663	0.360
acknowledge	รับทราบ	0.786	0.370	0.661
acknowledged	ที่ยอมรับ	0.714	0.443	0.765
acknowledgement	การรับทราบ	0.819	0.539	0.830
acknowledgment	การรับทราบ	0.796	0.528	0.777
acme	จุดสุดยอด	0.408	0.435	0.375
acne	สิว	0.167	0.474	0.308
acorn	ลูกโอ๊ก	0.448	0.198	0.192
acoustic	อะคูสติก	0.542	0.462	0.536
acoustics	เสียงสะท้อน	0.611	0.330	0.509
acquaint	รู้จัก	0.646	0.491	0.639
acquaintance	คนรู้จัก	0.656	0.290	0.670
acquainted	คุ้นเคย	0.906	0.358	0.632
acquiescence	การยอมรับ	0.542	0.480	0.554
acquire	ได้รับ	0.833	0.468	0.700
acquiring	การแสวงหา	0.735	0.510	0.817
acquisition	การเข้าซื้อกิจการ	0.698	0.509	0.736
acquisitions	การเข้าซื้อกิจการ	0.773	0.660	0.790
acquit	ชำระหนี้	0.583	0.571	0.611
acquittal	การพ้นผิด	0.760	0.497	0.700
acre	เอเคอร์	0.583	0.387	0.423
acreage	พื้นที่เพาะปลูก	0.741	0.450	0.528
acres	เอเคอร์	0.510	0.363	0.500
acrobat	นักกายกรรม	0.708	0.828	0.602
acrylic	สังเคราะห์	0.582	0.279	0.420
act	การกระทำ	0.656	0.704	0.735
acting	การแสดง	0.698	0.643	0.500
action	การกระทำ	0.760	0.898	0.802
action figure	การกระทำ	0.615	0.774	0.611
actionable	การดำเนินการ	0.673	0.702	0.613
activate	กระตุ้น	0.764	0.650	0.806
activation	การกระตุ้น	0.781	0.800	0.754
active	คล่องแคล่ว	0.847	0.730	0.731
activist	กิจกรรม	0.531	0.653	0.877
activity	กิจกรรม	0.701	0.660	0.807
actor	นักแสดงชาย	0.653	0.561	0.629
actress	นักแสดงหญิง	0.633	0.556	0.596
actual	ที่จริง	0.729	0.400	0.716
actuality	ความเป็นจริง	0.750	0.464	0.600
