Word	Urdu-ur	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	حفاظت کی بابت مزید جانیں	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	ابلون	0.500	0.480	0.412
abandon	چھوڑ دو	0.052	0.519	0.245
abandoned	ترک کر دیا	0.046	0.481	0.130
abandonment	دستبرداری	0.128	0.430	0.202
abashed	ٹوٹا ہوا	0.177	0.644	0.307
abate	ہمت	0.255	0.696	0.604
abatement	بے شمار	0.388	0.338	0.336
abba	ابا	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	مختصر	0.531	0.375	0.330
abbreviation	مخفف	0.469	0.306	0.345
abdomen	پیٹ	0.469	0.462	0.471
abdominal	پیٹ	0.490	0.456	0.445
abduct	اغوا	0.173	0.720	0.615
abduction	اغوا	0.062	0.990	0.673
aberrant	الوداع	0.146	0.765	0.431
aberration	ابلاغ	0.125	0.816	0.417
abeyance	ہمت	0.330	0.510	0.292
abhor	ابھر	0.125	0.602	0.349
abhorrence	پریشانی	0.167	0.684	0.420
abhorrent	پرجوش	0.229	0.750	0.474
abide	رہو	0.635	0.354	0.705
abiding	رہنا	0.796	0.327	0.750
ability	صلاحیت	0.875	0.510	0.816
abject	منسوخ کریں	0.354	0.590	0.417
ablation	غفلت	0.418	0.500	0.500
ablaze	ابلاغ	0.240	0.847	0.525
able	قابل	0.786	0.500	0.810
abnormal	غیر معمولی	0.137	0.604	0.309
abnormality	غیر معمولی	0.092	0.655	0.383
aboard	ہموار	0.698	0.284	0.481
abode	رہائش	0.620	0.302	0.500
abolish	ختم	0.448	0.615	0.529
abolition	خاتمہ	0.323	0.690	0.529
abominable	بدمعاش	0.120	0.731	0.482
abominate	نفرت کرو	0.198	0.788	0.366
abomination	نفرت	0.078	0.755	0.518
aboriginal	اصلی	0.448	0.427	0.542
abort	بند کرو	0.153	0.686	0.429
abortion	ہراساں کرنا	0.082	0.770	0.283
abortive	بدقسمتی	0.090	0.776	0.280
abound	آس پاس	0.704	0.490	0.681
abovementioned	مذکورہ بالا	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	گھاس	0.406	0.592	0.441
abrasive	کھرچنے	0.392	0.610	0.593
abreast	abreast	0.635	0.380	0.519
abroad	بیرون ملک	0.677	0.596	0.561
abrogate	پریشان	0.327	0.510	0.594
abrupt	اچانک	0.271	0.819	0.545
abruptly	بے شک	0.250	0.808	0.556
abscess	غفلت	0.154	0.451	0.349
absence	عدم موجودگی	0.153	0.235	0.266
absent	غیر حاضر	0.177	0.221	0.116
absentee	غیر حاضر	0.235	0.330	0.279
absenteeism	غیر حاضری	0.404	0.273	0.357
absinthe	غائب	0.481	0.510	0.462
absolute	مطلق	0.526	0.510	0.827
absolution	غفلت	0.715	0.500	0.664
absolve	مطلق	0.684	0.449	0.660
absorb	جذب	0.469	0.558	0.670
absorbed	جذب	0.490	0.471	0.519
absorbent	جذباتی	0.552	0.394	0.718
absorbing	جذباتی	0.490	0.490	0.578
absorption	جذب	0.609	0.422	0.446
abstain	خلاصہ	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	بے شمار	0.260	0.392	0.429
abstract	خلاصہ	0.438	0.292	0.444
abstraction	تجری	0.469	0.439	0.525
absurd	مضحکہ خیز	0.188	0.656	0.284
absurdity	غفلت	0.115	0.528	0.227
abundance	کثرت	0.812	0.690	0.852
abundant	بہت زیادہ	0.958	0.590	0.760
abuse	بدسلوکی	0.071	0.873	0.469
abused	زیادتی	0.021	0.874	0.235
abusive	بدسلوکی	0.125	0.903	0.567
abutment	بدلہ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	تعلیمی	0.781	0.420	0.812
academy	اکیڈمی	0.704	0.473	0.792
accede	اتفاق	0.698	0.510	0.537
accelerant	تیزی سے	0.643	0.844	0.802
accelerate	تیز	0.615	0.902	0.759
accelerated	تیز	0.610	0.812	0.682
acceleration	تیز رفتار	0.704	0.905	0.843
accelerator	تیز رفتار	0.593	0.830	0.812
accent	تلفظ	0.598	0.357	0.509
accentuate	تلفظ	0.673	0.556	0.667
accept	قبول کرو	0.847	0.286	0.565
acceptable	قابل قبول	0.812	0.286	0.583
acceptance	قبولیت	0.833	0.287	0.755
acceptances	قبولیاں	0.847	0.413	0.648
access	رسائی	0.714	0.472	0.567
accessible	قابل رسائی	0.796	0.410	0.645
accession	رسائی	0.612	0.383	0.636
accessory	آلات	0.562	0.292	0.445
accident	حادثہ	0.125	0.908	0.336
accidental	حادثاتی	0.319	0.784	0.307
accidentally	غلطی سے	0.333	0.741	0.333
acclaim	تعریف	0.562	0.809	0.718
accolade	آلودہ	0.688	0.591	0.775
accommodate	ایڈجسٹ کریں	0.844	0.375	0.566
accommodation	رہائش	0.817	0.415	0.587
accompaniment	کے ساتھ	0.740	0.479	0.695
accompany	ساتھ	0.833	0.406	0.585
accompanying	ساتھ	0.787	0.460	0.582
accomplice	شراکت	0.408	0.580	0.510
accomplish	پورا	0.929	0.673	0.816
accomplished	کامیاب	0.870	0.520	0.798
accomplishment	کامیابی	0.917	0.694	0.888
accord	معاہدہ	0.898	0.264	0.382
accordance	مطابق	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	اکاؤنٹ	0.531	0.347	0.472
accountability	احتساب	0.755	0.537	0.833
accountable	جوابدہ	0.709	0.282	0.777
accountant	اکاؤنٹنٹ	0.625	0.450	0.639
accounting	اکاؤنٹنگ	0.552	0.390	0.677
accounts	اکاؤنٹس	0.592	0.340	0.471
accredited	معتبر	0.669	0.479	0.768
accretion	اقرار	0.448	0.519	0.672
accrue	جمع	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	جمع	0.573	0.536	0.607
accumulation	جمع	0.479	0.527	0.600
accuracy	درستگی	0.604	0.481	0.802
accurate	درست	0.743	0.360	0.737
accursed	لعنت	0.135	0.745	0.345
accusation	الزام	0.073	0.718	0.564
accusative	الزامات	0.198	0.755	0.482
accuse	الزام لگایا	0.133	0.752	0.500
accused	الزام لگایا	0.130	0.670	0.420
accuser	الزام لگایا	0.122	0.779	0.615
accusing	الزام لگایا	0.156	0.745	0.324
accustomed	عادی	0.542	0.365	0.441
ace	اککا	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	ایکسلیٹین	0.306	0.469	0.509
ache	آہستہ آہستہ	0.146	0.760	0.312
achieve	حاصل کریں	0.816	0.545	0.843
achieved	حاصل کیا	0.896	0.519	0.775
achievement	کامیابی	0.896	0.808	0.759
aching	درد	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	ایسڈ	0.265	0.642	0.566
acidity	تیزاب	0.156	0.663	0.360
acknowledge	تسلیم	0.786	0.370	0.661
acknowledged	اعتراف کیا	0.714	0.443	0.765
acknowledgement	اعتراف	0.819	0.539	0.830
acknowledgment	اعتراف	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	مںہاسی	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	دونک	0.542	0.462	0.536
acoustics	صوتی	0.611	0.330	0.509
acquaint	واقف	0.646	0.491	0.639
acquaintance	واقف	0.656	0.290	0.670
acquainted	واقف	0.906	0.358	0.632
acquiescence	خوشگوار	0.542	0.480	0.554
acquire	حاصل	0.833	0.468	0.700
acquiring	حاصل کرنا	0.735	0.510	0.817
acquisition	حصول	0.698	0.509	0.736
acquisitions	حصول	0.773	0.660	0.790
acquit	حاصل کرنا	0.583	0.571	0.611
acquittal	واقف	0.760	0.497	0.700
acre	ایکڑ	0.583	0.387	0.423
acreage	اکریج	0.741	0.450	0.528
acres	ایکڑ	0.510	0.363	0.500
acrobat	ایکروبیٹ	0.708	0.828	0.602
acrylic	اکیلکس	0.582	0.279	0.420
act	عمل کریں	0.656	0.704	0.735
acting	اداکاری	0.698	0.643	0.500
action	عمل	0.760	0.898	0.802
action figure	کارروائی کے اعداد و شمار	0.615	0.774	0.611
actionable	کارروائی کی	0.673	0.702	0.613
activate	چالو کریں	0.764	0.650	0.806
activation	چالو	0.781	0.800	0.754
active	فعال	0.847	0.730	0.731
activist	کارکن	0.531	0.653	0.877
activity	سرگرمی	0.701	0.660	0.807
actor	اداکار	0.653	0.561	0.629
actress	اداکارہ	0.633	0.556	0.596
actual	اصل	0.729	0.400	0.716
actuality	حقیقت	0.750	0.464	0.600
actuary	اداکارہ	0.510	0.404	0.491
acuity	ایکوئٹی	0.469	0.378	0.741
acumen	اکیلے	0.564	0.660	0.679
acupuncture	ایکیوپنکچر	0.531	0.324	0.549
acute	تیز	0.427	0.652	0.534
acutely	تیزی سے	0.417	0.543	0.491
ad	اشتھار	0.521	0.705	0.558
adage	عاجز	0.517	0.415	0.566
adamant	خوشگوار	0.344	0.529	0.575
adapt	اپنانے	0.740	0.355	0.551
adaptable	قابل اطلاق	0.735	0.423	0.641
adaptation	موافقت	0.663	0.365	0.609
add	شامل کریں	0.728	0.490	0.554
added	شامل	0.562	0.405	0.509
addendum	اضافہ	0.392	0.370	0.418
adder	ایڈڈر	0.388	0.461	0.588
addict	رواداری	0.075	0.696	0.327
addicted	عدد	0.156	0.712	0.483
addiction	لت	0.180	0.806	0.420
addictive	لت	0.302	0.683	0.472
addition	اس کے علاوہ	0.562	0.373	0.471
additional	اضافی	0.673	0.462	0.526
additive	اضافی	0.561	0.633	0.691
address	پتہ	0.650	0.327	0.567
addressee	ایڈریس	0.622	0.382	0.538
