Word	Welsh-cy	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	aback	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	gadael	0.052	0.519	0.245
abandoned	wedi'u gadael	0.046	0.481	0.130
abandonment	rhoi'r gorau iddi	0.128	0.430	0.202
abashed	gwasgu	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	lleihau	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abaty	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	abbreviate	0.531	0.375	0.330
abbreviation	byrfodd	0.469	0.306	0.345
abdomen	abdomen	0.469	0.462	0.471
abdominal	abdomenol	0.490	0.456	0.445
abduct	abduct	0.173	0.720	0.615
abduction	cipio	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	ymatal	0.330	0.510	0.292
abhor	abhor	0.125	0.602	0.349
abhorrence	abhorrence	0.167	0.684	0.420
abhorrent	yn rhyfeddol	0.229	0.750	0.474
abide	cadw atoch	0.635	0.354	0.705
abiding	yn aros	0.796	0.327	0.750
ability	gallu	0.875	0.510	0.816
abject	yn aneglur	0.354	0.590	0.417
ablation	abladiad	0.418	0.500	0.500
ablaze	ablaze	0.240	0.847	0.525
able	galluog	0.786	0.500	0.810
abnormal	annormal	0.137	0.604	0.309
abnormality	annormaledd	0.092	0.655	0.383
aboard	tramor	0.698	0.284	0.481
abode	yn byw	0.620	0.302	0.500
abolish	diddymu	0.448	0.615	0.529
abolition	diddymu	0.323	0.690	0.529
abominable	ffiaidd	0.120	0.731	0.482
abominate	ffiaidd	0.198	0.788	0.366
abomination	ffiaidd	0.078	0.755	0.518
aboriginal	aboriginal	0.448	0.427	0.542
abort	erthylu	0.153	0.686	0.429
abortion	erthyliad	0.082	0.770	0.283
abortive	yn rhy hir	0.090	0.776	0.280
abound	yn llawn	0.704	0.490	0.681
abovementioned	uchod	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	abrasiad	0.406	0.592	0.441
abrasive	sgraffiniol	0.392	0.610	0.593
abreast	wybod	0.635	0.380	0.519
abroad	dramor	0.677	0.596	0.561
abrogate	atal	0.327	0.510	0.594
abrupt	sydyn	0.271	0.819	0.545
abruptly	yn sydyn	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	absenoldeb	0.153	0.235	0.266
absent	yn absennol	0.177	0.221	0.116
absentee	absennol	0.235	0.330	0.279
absenteeism	absenoldeb	0.404	0.273	0.357
absinthe	absinthe	0.481	0.510	0.462
absolute	absoliwt	0.526	0.510	0.827
absolution	rhyddhad	0.715	0.500	0.664
absolve	rhyddhau	0.684	0.449	0.660
absorb	amsugno	0.469	0.558	0.670
absorbed	amsugno	0.490	0.471	0.519
absorbent	amsugnol	0.552	0.394	0.718
absorbing	yn amsugno	0.490	0.490	0.578
absorption	amsugno	0.609	0.422	0.446
abstain	ymatal	0.385	0.385	0.427
abstention	ymatal	0.271	0.264	0.509
abstinence	ymataliaeth	0.260	0.392	0.429
abstract	haniaethol	0.438	0.292	0.444
abstraction	tyniad	0.469	0.439	0.525
absurd	yn hurt	0.188	0.656	0.284
absurdity	anffodus	0.115	0.528	0.227
abundance	digonedd	0.812	0.690	0.852
abundant	yn helaeth	0.958	0.590	0.760
abuse	camdriniaeth	0.071	0.873	0.469
abused	camdriniaeth	0.021	0.874	0.235
abusive	camdriniol	0.125	0.903	0.567
abutment	ymylon	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	abyss	0.353	0.725	0.296
academic	academaidd	0.781	0.420	0.812
academy	academi	0.704	0.473	0.792
accede	adio	0.698	0.510	0.537
accelerant	cyflymydd	0.643	0.844	0.802
accelerate	cyflymu	0.615	0.902	0.759
accelerated	cyflymu	0.610	0.812	0.682
acceleration	cyflymiad	0.704	0.905	0.843
accelerator	cyflymydd	0.593	0.830	0.812
accent	acen	0.598	0.357	0.509
accentuate	cydsynio	0.673	0.556	0.667
accept	derbyn	0.847	0.286	0.565
acceptable	yn dderbyniol	0.812	0.286	0.583
acceptance	derbyniad	0.833	0.287	0.755
acceptances	derbyniadau	0.847	0.413	0.648
access	mynediad	0.714	0.472	0.567
accessible	hygyrch	0.796	0.410	0.645
accession	derbyniad	0.612	0.383	0.636
accessory	Affeithiwr	0.562	0.292	0.445
accident	damwain	0.125	0.908	0.336
accidental	yn ddamweiniol	0.319	0.784	0.307
accidentally	yn ddamweiniol	0.333	0.741	0.333
acclaim	canmoliaeth	0.562	0.809	0.718
accolade	gweddill	0.688	0.591	0.775
accommodate	llety	0.844	0.375	0.566
accommodation	llety	0.817	0.415	0.587
accompaniment	cyfeiliant	0.740	0.479	0.695
accompany	gyda chi	0.833	0.406	0.585
accompanying	gyda hi	0.787	0.460	0.582
accomplice	gwpl	0.408	0.580	0.510
accomplish	cyflawni	0.929	0.673	0.816
accomplished	wedi'i gyflawni	0.870	0.520	0.798
accomplishment	cyflawniad	0.917	0.694	0.888
accord	cydsynio	0.898	0.264	0.382
accordance	yn unol â	0.659	0.349	0.600
accordion	accordion	0.604	0.490	0.361
account	cyfrif	0.531	0.347	0.472
accountability	atebolrwydd	0.755	0.537	0.833
accountable	yn atebol	0.709	0.282	0.777
accountant	cyfrifydd	0.625	0.450	0.639
accounting	cyfrifyddu	0.552	0.390	0.677
accounts	cyfrifon	0.592	0.340	0.471
accredited	achrededig	0.669	0.479	0.768
accretion	accretion	0.448	0.519	0.672
accrue	cronni	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	cronni	0.573	0.536	0.607
accumulation	cronni	0.479	0.527	0.600
accuracy	cywirdeb	0.604	0.481	0.802
accurate	yn gywir	0.743	0.360	0.737
accursed	anffodus	0.135	0.745	0.345
accusation	cyhuddiad	0.073	0.718	0.564
accusative	cyhuddiadol	0.198	0.755	0.482
accuse	cyhuddo	0.133	0.752	0.500
accused	wedi'i gyhuddo	0.130	0.670	0.420
accuser	cyhuddwr	0.122	0.779	0.615
accusing	yn cyhuddo	0.156	0.745	0.324
accustomed	yn gyfarwydd	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	acetig	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	heibio	0.146	0.760	0.312
achieve	cyflawni	0.816	0.545	0.843
achieved	cyflawnwyd	0.896	0.519	0.775
achievement	cyflawniad	0.896	0.808	0.759
aching	boeni	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asid	0.265	0.642	0.566
acidity	asidedd	0.156	0.663	0.360
acknowledge	cydnabod	0.786	0.370	0.661
acknowledged	cydnabyddedig	0.714	0.443	0.765
acknowledgement	cydnabyddiaeth	0.819	0.539	0.830
acknowledgment	cydnabyddiaeth	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	acne	0.167	0.474	0.308
acorn	acorn	0.448	0.198	0.192
acoustic	acwstig	0.542	0.462	0.536
acoustics	acwsteg	0.611	0.330	0.509
acquaint	cydnabod	0.646	0.491	0.639
acquaintance	cydnabyddiaeth	0.656	0.290	0.670
acquainted	yn gyfarwydd	0.906	0.358	0.632
acquiescence	caredigrwydd	0.542	0.480	0.554
acquire	caffael	0.833	0.468	0.700
acquiring	caffael	0.735	0.510	0.817
acquisition	caffaeliad	0.698	0.509	0.736
acquisitions	caffaeliadau	0.773	0.660	0.790
acquit	caredig	0.583	0.571	0.611
acquittal	rhyddfarn	0.760	0.497	0.700
acre	acer	0.583	0.387	0.423
acreage	erwau	0.741	0.450	0.528
acres	acer	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylig	0.582	0.279	0.420
act	act	0.656	0.704	0.735
acting	gweithredu	0.698	0.643	0.500
action	gweithredu	0.760	0.898	0.802
action figure	ffigwr gweithredu	0.615	0.774	0.611
actionable	yn ymarferol	0.673	0.702	0.613
activate	gweithredu	0.764	0.650	0.806
activation	activation	0.781	0.800	0.754
active	yn weithredol	0.847	0.730	0.731
activist	actifydd	0.531	0.653	0.877
activity	gweithgaredd	0.701	0.660	0.807
actor	actor	0.653	0.561	0.629
actress	actores	0.633	0.556	0.596
actual	gwirioneddol	0.729	0.400	0.716
actuality	gwirionedd	0.750	0.464	0.600
actuary	actiwari	0.510	0.404	0.491
acuity	aflonyddwch	0.469	0.378	0.741
acumen	craffter	0.564	0.660	0.679
acupuncture	aciwbigo	0.531	0.324	0.549
acute	aciwt	0.427	0.652	0.534
acutely	yn iawn	0.417	0.543	0.491
ad	ad	0.521	0.705	0.558
adage	adage	0.517	0.415	0.566
adamant	braidd	0.344	0.529	0.575
adapt	addasu	0.740	0.355	0.551
adaptable	addasadwy	0.735	0.423	0.641
adaptation	addasiad	0.663	0.365	0.609
add	ychwanegu	0.728	0.490	0.554
added	wedi adio	0.562	0.405	0.509
addendum	atodiad	0.392	0.370	0.418
adder	gwyn	0.388	0.461	0.588
addict	addict	0.075	0.696	0.327
addicted	yn gaeth	0.156	0.712	0.483
addiction	dibyniaeth	0.180	0.806	0.420
addictive	caethiwus	0.302	0.683	0.472
addition	ychwanegol	0.562	0.373	0.471
additional	ychwanegol	0.673	0.462	0.526
additive	ychwanegyn	0.561	0.633	0.691
address	cyfeiriad	0.650	0.327	0.567
addressee	mynegwyr	0.622	0.382	0.538
addresses	Cyfeiriadau	0.510	0.354	0.450
adept	adnabyddus	0.594	0.539	0.789
adequacy	digonolrwydd	0.615	0.435	0.702
