Word	Xhosa-xh	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	i-aardvark	0.427	0.490	0.437
aback	ukuphazamiseka	0.385	0.407	0.288
abacus	abacus	0.510	0.276	0.485
abalone	abalone	0.500	0.480	0.412
abandon	ukushiya	0.052	0.519	0.245
abandoned	lahliwe	0.046	0.481	0.130
abandonment	ukushiya	0.128	0.430	0.202
abashed	zihlazo	0.177	0.644	0.307
abate	kuphelisa	0.255	0.696	0.604
abatement	ukuxothwa	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	abbey	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	ezifingqiweyo	0.531	0.375	0.330
abbreviation	ngcaciso	0.469	0.306	0.345
abdomen	esiswini	0.469	0.462	0.471
abdominal	esiswini	0.490	0.456	0.445
abduct	ku thabatha	0.173	0.720	0.615
abduction	kuthathwa	0.062	0.990	0.673
aberrant	elimnyama	0.146	0.765	0.431
aberration	ukuhlutha	0.125	0.816	0.417
abeyance	ukunyanzela	0.330	0.510	0.292
abhor	uyanyanyeka	0.125	0.602	0.349
abhorrence	ukunyanyeka	0.167	0.684	0.420
abhorrent	ku nyelisa	0.229	0.750	0.474
abide	kuhlala	0.635	0.354	0.705
abiding	ukuhlala	0.796	0.327	0.750
ability	amandla	0.875	0.510	0.816
abject	ephazamisayo	0.354	0.590	0.417
ablation	ku pheliswa	0.418	0.500	0.500
ablaze	sitshisa	0.240	0.847	0.525
able	unakho	0.786	0.500	0.810
abnormal	engavamile	0.137	0.604	0.309
abnormality	okungaqhelekanga	0.092	0.655	0.383
aboard	ngenelo	0.698	0.284	0.481
abode	kuhlala	0.620	0.302	0.500
abolish	phelisa	0.448	0.615	0.529
abolition	ku pheliswa	0.323	0.690	0.529
abominable	sikizi	0.120	0.731	0.482
abominate	sikizi	0.198	0.788	0.366
abomination	sikizi	0.078	0.755	0.518
aboriginal	oomthonyama	0.448	0.427	0.542
abort	ukukhupha	0.153	0.686	0.429
abortion	isisu	0.082	0.770	0.283
abortive	ku khusela	0.090	0.776	0.280
abound	lileyo	0.704	0.490	0.681
abovementioned	ngasentla	0.541	0.298	0.509
abracadabra	NO TRANSLATION	0.673	0.632	0.434
abrasion	kubhubha	0.406	0.592	0.441
abrasive	ngokukhawuleza	0.392	0.610	0.593
abreast	ezifanelekileyo	0.635	0.380	0.519
abroad	phesheya	0.677	0.596	0.561
abrogate	rhoxiswa	0.327	0.510	0.594
abrupt	ngokukhawuleza	0.271	0.819	0.545
abruptly	ngokukhawuleza	0.250	0.808	0.556
abscess	ikhefu	0.154	0.451	0.349
absence	ukungabikho	0.153	0.235	0.266
absent	engekhoyo	0.177	0.221	0.116
absentee	engekhoyo	0.235	0.330	0.279
absenteeism	ukungabikho	0.404	0.273	0.357
absinthe	i-absinthe	0.481	0.510	0.462
absolute	ngokupheleleyo	0.526	0.510	0.827
absolution	ukungabikho	0.715	0.500	0.664
absolve	ukuphelisa	0.684	0.449	0.660
absorb	ukufumana	0.469	0.558	0.670
absorbed	zifunyenwe	0.490	0.471	0.519
absorbent	umxube	0.552	0.394	0.718
absorbing	ukuxhamla	0.490	0.490	0.578
absorption	u kufakwa	0.609	0.422	0.446
abstain	ziyeke	0.385	0.385	0.427
abstention	ukungabikho	0.271	0.264	0.509
abstinence	ukuziyeka	0.260	0.392	0.429
abstract	ezingabonakaliyo	0.438	0.292	0.444
abstraction	ukukhutshwa	0.469	0.439	0.525
absurd	nganto	0.188	0.656	0.284
absurdity	nganto	0.115	0.528	0.227
abundance	buninzi	0.812	0.690	0.852
abundant	eninzi	0.958	0.590	0.760
abuse	xhatshazwa	0.071	0.873	0.469
abused	xhatshazwa	0.021	0.874	0.235
abusive	kakubi	0.125	0.903	0.567
abutment	nxu lumano	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	zihlazo	0.250	0.710	0.598
abyss	ngxolongo	0.353	0.725	0.296
academic	zemfundo	0.781	0.420	0.812
academy	sikolo	0.704	0.473	0.792
accede	vumela	0.698	0.510	0.537
accelerant	kha wuleza	0.643	0.844	0.802
accelerate	kha wuleza	0.615	0.902	0.759
accelerated	kha wuleza	0.610	0.812	0.682
acceleration	ukukhawuleza	0.704	0.905	0.843
accelerator	msinya	0.593	0.830	0.812
accent	ukugxila	0.598	0.357	0.509
accentuate	ukugxininisa	0.673	0.556	0.667
accept	kwamkela	0.847	0.286	0.565
acceptable	yamkelekile	0.812	0.286	0.583
acceptance	kwamkelwa	0.833	0.287	0.755
acceptances	kwamkela	0.847	0.413	0.648
access	fi kelelo	0.714	0.472	0.567
accessible	fi keleleka	0.796	0.410	0.645
accession	ufikelelo	0.612	0.383	0.636
accessory	accessory	0.562	0.292	0.445
accident	ngengozi	0.125	0.908	0.336
accidental	ngengozi	0.319	0.784	0.307
accidentally	ngengozi	0.333	0.741	0.333
acclaim	uzuko	0.562	0.809	0.718
accolade	ukuxhamla	0.688	0.591	0.775
accommodate	ukuhlala	0.844	0.375	0.566
accommodation	yokuhlala	0.817	0.415	0.587
accompaniment	uhambelane	0.740	0.479	0.695
accompany	kuhamba kunye	0.833	0.406	0.585
accompanying	ndiyakhapha	0.787	0.460	0.582
accomplice	nxaxheba	0.408	0.580	0.510
accomplish	kufezekisa	0.929	0.673	0.816
accomplished	kufezekiswe	0.870	0.520	0.798
accomplishment	ukufezekiswa	0.917	0.694	0.888
accord	ngokuvumelana	0.898	0.264	0.382
accordance	ngokungqinelanayo	0.659	0.349	0.600
accordion	igrordion	0.604	0.490	0.361
account	akhawunti	0.531	0.347	0.472
accountability	ukuphendula	0.755	0.537	0.833
accountable	xanduva	0.709	0.282	0.777
accountant	umgcini-mali	0.625	0.450	0.639
accounting	ingxelo	0.552	0.390	0.677
accounts	akhawunti	0.592	0.340	0.471
accredited	zivunywe	0.669	0.479	0.768
accretion	mvume	0.448	0.519	0.672
accrue	kuhambelana	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	qo kelela	0.573	0.536	0.607
accumulation	ukuqokelela	0.479	0.527	0.600
accuracy	kuchaneka	0.604	0.481	0.802
accurate	echanileyo	0.743	0.360	0.737
accursed	uqalekisiwe	0.135	0.745	0.345
accusation	ityala	0.073	0.718	0.564
accusative	ngetyala	0.198	0.755	0.482
accuse	zimela	0.133	0.752	0.500
accused	utyholwa	0.130	0.670	0.420
accuser	ummangali	0.122	0.779	0.615
accusing	ukumangalela	0.156	0.745	0.324
accustomed	qhe lekile	0.542	0.365	0.441
ace	acece	0.643	0.481	0.546
acetic	acetic	0.333	0.420	0.519
acetylene	acetylene	0.306	0.469	0.509
ache	buhlungu	0.146	0.760	0.312
achieve	phu melela	0.816	0.545	0.843
achieved	phu me lekile	0.896	0.519	0.775
achievement	mpu melelo	0.896	0.808	0.759
aching	ukugula	0.053	0.880	0.348
achy	achy	0.167	0.840	0.373
acid	asidi	0.265	0.642	0.566
acidity	asidi	0.156	0.663	0.360
acknowledge	yavuma	0.786	0.370	0.661
acknowledged	yavuma	0.714	0.443	0.765
acknowledgement	ukuvuma	0.819	0.539	0.830
acknowledgment	ukuvuma	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	intsimbi	0.167	0.474	0.308
acorn	i-acorn	0.448	0.198	0.192
acoustic	acoustic	0.542	0.462	0.536
acoustics	acoustics	0.611	0.330	0.509
acquaint	qhelana	0.646	0.491	0.639
acquaintance	owaziwayo	0.656	0.290	0.670
acquainted	baziyo	0.906	0.358	0.632
acquiescence	kuzuza	0.542	0.480	0.554
acquire	fumana	0.833	0.468	0.700
acquiring	kuzuza	0.735	0.510	0.817
acquisition	kuzuza	0.698	0.509	0.736
acquisitions	ukufunyanwa	0.773	0.660	0.790
acquit	ku hla wulelwa	0.583	0.571	0.611
acquittal	ukuxolelwa	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	i-acreage	0.741	0.450	0.528
acres	iihektare	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	isenzo	0.656	0.704	0.735
acting	sebenza	0.698	0.643	0.500
action	nyathelo	0.760	0.898	0.802
action figure	umfanekiso wesenzo	0.615	0.774	0.611
actionable	ku sebenza	0.673	0.702	0.613
activate	kusebenze	0.764	0.650	0.806
activation	ku sebenza	0.781	0.800	0.754
active	esebenzayo	0.847	0.730	0.731
activist	umbhikisho	0.531	0.653	0.877
activity	msebenzi	0.701	0.660	0.807
actor	umdlali	0.653	0.561	0.629
actress	umdlali	0.633	0.556	0.596
actual	ngokwenene	0.729	0.400	0.716
actuality	ekhoyo	0.750	0.464	0.600
actuary	i-actuary	0.510	0.404	0.491
acuity	ubuncwane	0.469	0.378	0.741
acumen	i-acumen	0.564	0.660	0.679
acupuncture	i-acupuncture	0.531	0.324	0.549
acute	sibi	0.427	0.652	0.534
acutely	kakhulu	0.417	0.543	0.491
ad	isikhangiso	0.521	0.705	0.558
adage	idilesi	0.517	0.415	0.566
adamant	ngqinela	0.344	0.529	0.575
adapt	zi lungele	0.740	0.355	0.551
adaptable	zi lungele	0.735	0.423	0.641
adaptation	ulungelelaniso	0.663	0.365	0.609
add	yongeza	0.728	0.490	0.554
added	wongezwa	0.562	0.405	0.509
addendum	isongezelelo	0.392	0.370	0.418
adder	isongeza	0.388	0.461	0.588
addict	umlutha	0.075	0.696	0.327
addicted	umlutha	0.156	0.712	0.483
addiction	umlutha	0.180	0.806	0.420
addictive	umlutha	0.302	0.683	0.472
addition	Ukongeza	0.562	0.373	0.471
additional	eyongezelelweyo	0.673	0.462	0.526
additive	kongeza	0.561	0.633	0.691
