Word	Yiddish-yi	Valence	Arousal	Dominance
aaaaaaah	אַאַאַאַאַאַאַה	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	אַבאַק	0.385	0.407	0.288
abacus	אַבאַקוס	0.510	0.276	0.485
abalone	אַבאַלאָון	0.500	0.480	0.412
abandon	פאַרלאָזן	0.052	0.519	0.245
abandoned	פארלאזן	0.046	0.481	0.130
abandonment	פארלאנגט	0.128	0.430	0.202
abashed	אַבאַשעד	0.177	0.644	0.307
abate	abate	0.255	0.696	0.604
abatement	abatement	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	אַבי	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	אַבריוויייט	0.531	0.375	0.330
abbreviation	אַבריווייישאַן	0.469	0.306	0.345
abdomen	בויך	0.469	0.462	0.471
abdominal	אַבדאָמינאַל	0.490	0.456	0.445
abduct	אַבדאַקט	0.173	0.720	0.615
abduction	אַבדאַקשאַן	0.062	0.990	0.673
aberrant	aberrant	0.146	0.765	0.431
aberration	aberration	0.125	0.816	0.417
abeyance	abeyance	0.330	0.510	0.292
abhor	פאַרטראָגן	0.125	0.602	0.349
abhorrence	אַבאָררענסע	0.167	0.684	0.420
abhorrent	אַבלאָרענט	0.229	0.750	0.474
abide	בלייַבן	0.635	0.354	0.705
abiding	בלייַבן	0.796	0.327	0.750
ability	ability	0.875	0.510	0.816
abject	אַבדזשעקט	0.354	0.590	0.417
ablation	אַבלאַטיאָן	0.418	0.500	0.500
ablaze	אַבלייז	0.240	0.847	0.525
able	קענען	0.786	0.500	0.810
abnormal	אַבנאָרמאַל	0.137	0.604	0.309
abnormality	אַבנאָרמאַלאַטיז	0.092	0.655	0.383
aboard	אַבאָרד	0.698	0.284	0.481
abode	abode	0.620	0.302	0.500
abolish	אָפּשאַפן	0.448	0.615	0.529
abolition	אַבאַלישאַן	0.323	0.690	0.529
abominable	אַבאַמאַנאַבאַל	0.120	0.731	0.482
