English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Afrikaans Word
aback	0	0	0	0	0	0	0	0	0	0	verstom
abacus	0	0	0	0	0	0	0	0	0	1	telraam
abandon	0	0	0	1	0	1	0	1	0	0	verlaat
abandoned	1	0	0	1	0	1	0	1	0	0	verlate
abandonment	1	0	0	1	0	1	0	1	1	0	verlating
abate	0	0	0	0	0	0	0	0	0	0	afneem
abatement	0	0	0	0	0	0	0	0	0	0	verlaging
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abt
abbreviate	0	0	0	0	0	0	0	0	0	0	verkort
abbreviation	0	0	0	0	0	0	0	0	0	0	afkorting
abdomen	0	0	0	0	0	0	0	0	0	0	buik
abdominal	0	0	0	0	0	0	0	0	0	0	abdominale
abduction	0	0	0	1	0	1	0	1	1	0	ontvoering
aberrant	0	0	0	0	0	1	0	0	0	0	afwykend
aberration	0	0	1	0	0	1	0	0	0	0	aberrasie
abeyance	0	0	0	0	0	0	0	0	0	0	afwagting
abhor	1	0	1	1	0	1	0	0	0	0	verafsku
abhorrent	1	0	1	1	0	1	0	0	0	0	afskuwelik
abide	0	0	0	0	0	0	0	0	0	0	bly
ability	0	0	0	0	0	0	1	0	0	0	vermoë
abject	0	0	1	0	0	1	0	0	0	0	afskuwelik
ablation	0	0	0	0	0	0	0	0	0	0	ablasie
ablaze	0	0	0	0	0	0	0	0	0	0	brand
abnormal	0	0	1	0	0	1	0	0	0	0	abnormaal
aboard	0	0	0	0	0	0	0	0	0	0	aanboord
abode	0	0	0	0	0	0	0	0	0	0	blyplek
abolish	1	0	0	0	0	1	0	0	0	0	afskaf
abolition	0	0	0	0	0	1	0	0	0	0	afskaffing
abominable	0	0	1	1	0	1	0	0	0	0	afskuwelik
abomination	1	0	1	1	0	1	0	0	0	0	gruwel
aboriginal	0	0	0	0	0	0	0	0	0	0	inheemse
abort	0	0	0	0	0	1	0	0	0	0	aborteer
abortion	0	0	1	1	0	1	0	1	0	0	aborsie
abortive	0	0	0	0	0	1	0	1	0	0	abortief
abound	0	0	0	0	0	0	0	0	0	0	oorvloedig
abovementioned	0	0	0	0	0	0	1	0	0	0	bogenoemde
abrasion	0	0	0	0	0	1	0	0	0	0	skuur
abroad	0	0	0	0	0	0	0	0	0	0	in die buiteland
abrogate	0	0	0	0	0	1	0	0	0	0	herroep
abrupt	0	0	0	0	0	0	0	0	1	0	skielik
abruptly	0	0	0	0	0	0	0	0	0	0	skielik
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	afwesigheid
absent	0	0	0	0	0	1	0	1	0	0	afwesig
absentee	0	0	0	0	0	1	0	1	0	0	afwesig
absenteeism	0	0	0	0	0	1	0	0	0	0	afwesigheid
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absoluut
absolution	0	0	0	0	1	0	1	0	0	1	absolusie
absorbed	0	0	0	0	0	0	1	0	0	0	geabsorbeer
absorbent	0	0	0	0	0	0	0	0	0	0	absorberend
absorbing	0	0	0	0	0	0	0	0	0	0	absorberend
absorption	0	0	0	0	0	0	0	0	0	0	absorpsie
abstain	0	0	0	0	0	0	0	0	0	0	onthou
abstention	0	0	0	0	0	0	0	0	0	0	onthouding
abstinence	0	0	0	0	0	0	0	0	0	0	onthouding
abstract	0	0	0	0	0	0	0	0	0	0	abstrak
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksie
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditeit
abundance	0	1	1	0	1	1	1	0	0	1	oorvloed
abundant	0	0	0	0	1	0	1	0	0	0	oorvloedig
abuse	1	0	1	1	0	1	0	1	0	0	misbruik
abutment	0	0	0	0	0	0	0	0	0	0	aanslag
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	afgrondelik
abyss	0	0	0	1	0	1	0	1	0	0	afgrond
academic	0	0	0	0	0	0	1	0	0	1	akademies
academy	0	0	0	0	0	0	1	0	0	0	Akademie
accede	0	0	0	0	0	0	0	0	0	0	toetree
accelerate	0	1	0	0	0	0	0	0	0	0	versnel
acceleration	0	0	0	0	0	0	0	0	0	0	versnelling
accent	0	0	0	0	0	0	0	0	0	0	aksent
accentuate	0	0	0	0	0	0	0	0	0	0	beklemtoon
accept	0	0	0	0	0	0	0	0	0	0	aanvaar
acceptable	0	0	0	0	0	0	1	0	0	0	aanvaarbaar
acceptance	0	0	0	0	0	0	1	0	0	0	aanvaarding
access	0	0	0	0	0	0	0	0	0	0	toegang
accessible	0	0	0	0	0	0	1	0	0	0	toeganklik
accession	0	0	0	0	0	0	0	0	0	0	toetreding
accessory	0	0	0	0	0	0	0	0	0	0	bykomstigheid
accident	0	0	0	1	0	1	0	1	1	0	ongeluk
accidental	0	0	0	1	0	1	0	0	1	0	toevallig
accidentally	0	0	0	0	0	0	0	0	1	0	per ongeluk
accolade	0	1	0	0	1	0	1	0	1	1	eerbewys
accommodate	0	0	0	0	0	0	0	0	0	0	akkommodeer
accommodation	0	0	0	0	0	0	1	0	0	0	verblyf
accompaniment	0	1	0	0	1	0	1	0	0	1	begeleiding
accompany	0	0	0	0	0	0	0	0	0	0	vergesel
accompanying	0	0	0	0	0	0	0	0	0	0	begeleidende
accomplice	0	0	0	0	0	0	0	0	0	0	medepligtige
accomplish	0	0	0	0	1	0	1	0	0	0	bereik
accomplished	0	0	0	0	1	0	1	0	0	0	volbring
accomplishment	0	0	0	0	0	0	1	0	0	0	prestasie
accord	0	0	0	0	0	0	1	0	0	1	ooreenkom
accordance	0	0	0	0	0	0	0	0	0	0	ooreenstemming
accordion	0	0	0	0	0	0	0	0	0	0	trekklavier
account	0	0	0	0	0	0	0	0	0	1	rekening
accountability	0	0	0	0	0	0	1	0	0	1	aanspreeklikheid
accountable	0	0	0	0	0	0	1	0	0	1	verantwoordbaar
accountant	0	0	0	0	0	0	0	0	0	1	rekenmeester
accounting	0	0	0	0	0	0	0	0	0	0	Rekeningkunde
accounts	0	0	0	0	0	0	0	0	0	1	rekeninge
accredited	0	0	0	0	0	0	1	0	0	1	geakkrediteer
accretion	0	0	0	0	0	0	0	0	0	0	aanwas
accrue	0	0	0	0	0	0	0	0	0	0	oploop
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	versamel
accumulation	0	0	0	0	0	0	0	0	0	0	akkumulasie
accuracy	0	0	0	0	0	0	0	0	0	0	akkuraatheid
accurate	0	0	0	0	0	0	1	0	0	1	akkuraat
