English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Albanian Word
aback	0	0	0	0	0	0	0	0	0	0	i befasuar
abacus	0	0	0	0	0	0	0	0	0	1	numëratore
abandon	0	0	0	1	0	1	0	1	0	0	braktis
abandoned	1	0	0	1	0	1	0	1	0	0	i braktisur
abandonment	1	0	0	1	0	1	0	1	1	0	braktisje
abate	0	0	0	0	0	0	0	0	0	0	pakësoj
abatement	0	0	0	0	0	0	0	0	0	0	pakësim
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	igumeni
abbreviate	0	0	0	0	0	0	0	0	0	0	shkurtuar
abbreviation	0	0	0	0	0	0	0	0	0	0	shkurtim
abdomen	0	0	0	0	0	0	0	0	0	0	barku
abdominal	0	0	0	0	0	0	0	0	0	0	barkut
abduction	0	0	0	1	0	1	0	1	1	0	rrëmbimi
aberrant	0	0	0	0	0	1	0	0	0	0	i zhdrejtë
aberration	0	0	1	0	0	1	0	0	0	0	lajthitje
abeyance	0	0	0	0	0	0	0	0	0	0	pezullim
abhor	1	0	1	1	0	1	0	0	0	0	urrej
abhorrent	1	0	1	1	0	1	0	0	0	0	i urryer
abide	0	0	0	0	0	0	0	0	0	0	qëndrojnë
ability	0	0	0	0	0	0	1	0	0	0	aftësia
abject	0	0	1	0	0	1	0	0	0	0	i poshtër
ablation	0	0	0	0	0	0	0	0	0	0	ablacioni
ablaze	0	0	0	0	0	0	0	0	0	0	flakë
abnormal	0	0	1	0	0	1	0	0	0	0	jonormal
aboard	0	0	0	0	0	0	0	0	0	0	në bord
abode	0	0	0	0	0	0	0	0	0	0	vendbanimi
abolish	1	0	0	0	0	1	0	0	0	0	shfuqizojnë
abolition	0	0	0	0	0	1	0	0	0	0	shfuqizimi
abominable	0	0	1	1	0	1	0	0	0	0	e neveritshme
abomination	1	0	1	1	0	1	0	0	0	0	neveri
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigjene
abort	0	0	0	0	0	1	0	0	0	0	abort
abortion	0	0	1	1	0	1	0	1	0	0	aborti
abortive	0	0	0	0	0	1	0	1	0	0	dështuar
abound	0	0	0	0	0	0	0	0	0	0	bollëk
abovementioned	0	0	0	0	0	0	1	0	0	0	permendur me larte
abrasion	0	0	0	0	0	1	0	0	0	0	gërryerje
abroad	0	0	0	0	0	0	0	0	0	0	jashtë vendit
abrogate	0	0	0	0	0	1	0	0	0	0	shfuqizoj
abrupt	0	0	0	0	0	0	0	0	1	0	i papritur
abruptly	0	0	0	0	0	0	0	0	0	0	befas
abscess	0	0	0	0	0	1	0	1	0	0	abscesi
absence	0	0	0	1	0	1	0	1	0	0	mungesa
absent	0	0	0	0	0	1	0	1	0	0	mungon
absentee	0	0	0	0	0	1	0	1	0	0	i munguar
absenteeism	0	0	0	0	0	1	0	0	0	0	mungesa në punë
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	absolute
absolution	0	0	0	0	1	0	1	0	0	1	shfajësim
absorbed	0	0	0	0	0	0	1	0	0	0	absorbohet
absorbent	0	0	0	0	0	0	0	0	0	0	absorbues
absorbing	0	0	0	0	0	0	0	0	0	0	thithëse
absorption	0	0	0	0	0	0	0	0	0	0	thithjen
abstain	0	0	0	0	0	0	0	0	0	0	abstenojnë
abstention	0	0	0	0	0	0	0	0	0	0	abstenim
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencë
abstract	0	0	0	0	0	0	0	0	0	0	abstrakte
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksioni
absurd	0	0	0	0	0	1	0	0	0	0	absurde
