English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Arabic Word
aback	0	0	0	0	0	0	0	0	0	0	فوجئ
abacus	0	0	0	0	0	0	0	0	0	1	طبلية تاج
abandon	0	0	0	1	0	1	0	1	0	0	تخلى
abandoned	1	0	0	1	0	1	0	1	0	0	مهجور
abandonment	1	0	0	1	0	1	0	1	1	0	التخلي عن
abate	0	0	0	0	0	0	0	0	0	0	خف
abatement	0	0	0	0	0	0	0	0	0	0	تخفيف
abba	0	0	0	0	0	0	1	0	0	0	أبا
abbot	0	0	0	0	0	0	0	0	0	1	رئيس الدير
abbreviate	0	0	0	0	0	0	0	0	0	0	اختصر
abbreviation	0	0	0	0	0	0	0	0	0	0	اختصار
abdomen	0	0	0	0	0	0	0	0	0	0	البطن
abdominal	0	0	0	0	0	0	0	0	0	0	البطني
abduction	0	0	0	1	0	1	0	1	1	0	اختطاف
aberrant	0	0	0	0	0	1	0	0	0	0	ضلال
aberration	0	0	1	0	0	1	0	0	0	0	انحراف
abeyance	0	0	0	0	0	0	0	0	0	0	تعليق
abhor	1	0	1	1	0	1	0	0	0	0	يبغض
abhorrent	1	0	1	1	0	1	0	0	0	0	مقيت
abide	0	0	0	0	0	0	0	0	0	0	يلتزم
ability	0	0	0	0	0	0	1	0	0	0	قدرة
abject	0	0	1	0	0	1	0	0	0	0	حقير
ablation	0	0	0	0	0	0	0	0	0	0	استئصال
ablaze	0	0	0	0	0	0	0	0	0	0	مشتعل
abnormal	0	0	1	0	0	1	0	0	0	0	غير طبيعي
aboard	0	0	0	0	0	0	0	0	0	0	على متن سفينة
abode	0	0	0	0	0	0	0	0	0	0	مسكن
abolish	1	0	0	0	0	1	0	0	0	0	تلغي
abolition	0	0	0	0	0	1	0	0	0	0	إلغاء
abominable	0	0	1	1	0	1	0	0	0	0	بغيضة
abomination	1	0	1	1	0	1	0	0	0	0	رجس - مقت شديد، عمل بغيض
aboriginal	0	0	0	0	0	0	0	0	0	0	من السكان الأصليين
abort	0	0	0	0	0	1	0	0	0	0	إجهاض
abortion	0	0	1	1	0	1	0	1	0	0	إجهاض
abortive	0	0	0	0	0	1	0	1	0	0	مجهض
abound	0	0	0	0	0	0	0	0	0	0	يزخر
abovementioned	0	0	0	0	0	0	1	0	0	0	المذكورة أعلاه
abrasion	0	0	0	0	0	1	0	0	0	0	تآكل
abroad	0	0	0	0	0	0	0	0	0	0	خارج البلاد
abrogate	0	0	0	0	0	1	0	0	0	0	فسخ
abrupt	0	0	0	0	0	0	0	0	1	0	شديد الأنحدار
abruptly	0	0	0	0	0	0	0	0	0	0	بشكل مفاجئ
abscess	0	0	0	0	0	1	0	1	0	0	خراج
absence	0	0	0	1	0	1	0	1	0	0	غياب
absent	0	0	0	0	0	1	0	1	0	0	غائب
absentee	0	0	0	0	0	1	0	1	0	0	متغيب عن العمل
absenteeism	0	0	0	0	0	1	0	0	0	0	التغيب
absinthe	0	0	0	0	0	0	0	0	0	0	الأفسنتين
absolute	0	0	0	0	0	0	1	0	0	0	مطلق
absolution	0	0	0	0	1	0	1	0	0	1	الغفران
absorbed	0	0	0	0	0	0	1	0	0	0	يمتص
absorbent	0	0	0	0	0	0	0	0	0	0	ماص
absorbing	0	0	0	0	0	0	0	0	0	0	تمتص
absorption	0	0	0	0	0	0	0	0	0	0	استيعاب
abstain	0	0	0	0	0	0	0	0	0	0	امتنع
abstention	0	0	0	0	0	0	0	0	0	0	الامتناع
abstinence	0	0	0	0	0	0	0	0	0	0	الامتناع
abstract	0	0	0	0	0	0	0	0	0	0	نبذة مختصرة
abstraction	0	0	0	0	0	0	0	0	0	0	التجريد
absurd	0	0	0	0	0	1	0	0	0	0	سخيف
absurdity	0	0	0	0	0	1	0	0	0	0	سخافة
abundance	0	1	1	0	1	1	1	0	0	1	وفرة
abundant	0	0	0	0	1	0	1	0	0	0	وفير
abuse	1	0	1	1	0	1	0	1	0	0	تعاطي
abutment	0	0	0	0	0	0	0	0	0	0	دعامة
aby	0	0	0	0	0	0	0	0	0	0	أبي
abysmal	0	0	0	0	0	1	0	1	0	0	سيئ
abyss	0	0	0	1	0	1	0	1	0	0	هاوية
academic	0	0	0	0	0	0	1	0	0	1	أكاديمي
academy	0	0	0	0	0	0	1	0	0	0	الأكاديمية
accede	0	0	0	0	0	0	0	0	0	0	تنضم
accelerate	0	1	0	0	0	0	0	0	0	0	تسريع
acceleration	0	0	0	0	0	0	0	0	0	0	التسريع
accent	0	0	0	0	0	0	0	0	0	0	لهجة
accentuate	0	0	0	0	0	0	0	0	0	0	إبراز
accept	0	0	0	0	0	0	0	0	0	0	قبول
acceptable	0	0	0	0	0	0	1	0	0	0	مقبول
acceptance	0	0	0	0	0	0	1	0	0	0	قبول
access	0	0	0	0	0	0	0	0	0	0	التمكن من
accessible	0	0	0	0	0	0	1	0	0	0	يمكن الوصول
accession	0	0	0	0	0	0	0	0	0	0	انضمام
accessory	0	0	0	0	0	0	0	0	0	0	ملحق
accident	0	0	0	1	0	1	0	1	1	0	حادثة
accidental	0	0	0	1	0	1	0	0	1	0	عرضي
accidentally	0	0	0	0	0	0	0	0	1	0	بطريق الخطأ
accolade	0	1	0	0	1	0	1	0	1	1	احتضان
accommodate	0	0	0	0	0	0	0	0	0	0	يستوعب
accommodation	0	0	0	0	0	0	1	0	0	0	الإقامة
accompaniment	0	1	0	0	1	0	1	0	0	1	مرافقة
accompany	0	0	0	0	0	0	0	0	0	0	مرافقة
accompanying	0	0	0	0	0	0	0	0	0	0	مصاحب
accomplice	0	0	0	0	0	0	0	0	0	0	شريك
accomplish	0	0	0	0	1	0	1	0	0	0	ينجز
accomplished	0	0	0	0	1	0	1	0	0	0	مُتَفَوِّق
accomplishment	0	0	0	0	0	0	1	0	0	0	إنجاز
accord	0	0	0	0	0	0	1	0	0	1	اتفاق
accordance	0	0	0	0	0	0	0	0	0	0	وفقا
accordion	0	0	0	0	0	0	0	0	0	0	الأكورديون
account	0	0	0	0	0	0	0	0	0	1	الحساب
accountability	0	0	0	0	0	0	1	0	0	1	مسئولية
accountable	0	0	0	0	0	0	1	0	0	1	مسؤول
accountant	0	0	0	0	0	0	0	0	0	1	محاسب
accounting	0	0	0	0	0	0	0	0	0	0	محاسبة
accounts	0	0	0	0	0	0	0	0	0	1	حسابات
accredited	0	0	0	0	0	0	1	0	0	1	معتمد
accretion	0	0	0	0	0	0	0	0	0	0	التراكم
accrue	0	0	0	0	0	0	0	0	0	0	تعود
accueil	0	0	0	0	0	0	1	0	0	0	Accueil
accumulate	0	0	0	0	0	0	0	0	0	0	جمع
accumulation	0	0	0	0	0	0	0	0	0	0	تراكم
accuracy	0	0	0	0	0	0	0	0	0	0	صحة
accurate	0	0	0	0	0	0	1	0	0	1	دقيق
accursed	1	0	0	1	0	1	0	1	0	0	ملعون
accusation	1	0	1	0	0	1	0	0	0	0	الاتهام
accusative	0	0	0	0	0	1	0	0	0	0	حالة النصب
accused	1	0	0	1	0	1	0	0	0	0	المتهم
accuser	1	0	0	1	0	1	0	0	0	0	المتهم
accusing	1	0	0	1	0	1	0	0	0	0	يتهم
accustomed	0	0	0	0	0	0	0	0	0	0	معتاد
ace	0	0	0	0	0	0	1	0	0	0	أجاد
acetic	0	0	0	0	0	0	0	0	0	0	اسيتيك
ache	0	0	0	0	0	1	0	1	0	0	وجع
achieve	0	0	0	0	1	0	1	0	0	1	التوصل
achievement	0	1	0	0	1	0	1	0	0	1	إنجاز
aching	0	0	0	0	0	1	0	1	0	0	وجع
acid	0	0	0	0	0	1	0	0	0	0	حامض
acidity	0	0	0	0	0	0	0	0	0	0	حموضة
acknowledge	0	0	0	0	0	0	0	0	0	0	يُقرّ
acknowledged	0	0	0	0	0	0	0	0	0	0	اعترف
acknowledgment	0	0	0	0	0	0	1	0	0	0	إعتراف
acme	0	0	0	0	0	0	0	0	0	0	ذروة
acoustic	0	0	0	0	0	0	0	0	0	0	صوتي
acoustics	0	0	0	0	0	0	0	0	0	0	الصوتيات
acquaint	0	0	0	0	0	0	0	0	0	0	إطلاع الشخص علي
acquaintance	0	0	0	0	0	0	0	0	0	0	التعارف
acquainted	0	0	0	0	0	0	0	0	0	0	تعرف
acquiescence	0	0	0	0	0	0	0	0	0	0	إذعان على مضض
acquire	0	0	0	0	0	0	1	0	0	0	يستحوذ على
acquiring	0	1	0	0	0	0	1	0	0	0	الحصول
acquisition	0	0	0	0	0	0	0	0	0	0	استحواذ
acquisitions	0	0	0	0	0	0	0	0	0	0	المقتنيات
