English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Armenian Word
aback	0	0	0	0	0	0	0	0	0	0	ապշած
abacus	0	0	0	0	0	0	0	0	0	1	աբակուս
abandon	0	0	0	1	0	1	0	1	0	0	հրաժարվել
abandoned	1	0	0	1	0	1	0	1	0	0	լքված
abandonment	1	0	0	1	0	1	0	1	1	0	լքվածություն
abate	0	0	0	0	0	0	0	0	0	0	նվազեցնել
abatement	0	0	0	0	0	0	0	0	0	0	նվազեցում
abba	0	0	0	0	0	0	1	0	0	0	աբբա
abbot	0	0	0	0	0	0	0	0	0	1	վանահայր
abbreviate	0	0	0	0	0	0	0	0	0	0	կրճատել
abbreviation	0	0	0	0	0	0	0	0	0	0	հապավումը
abdomen	0	0	0	0	0	0	0	0	0	0	որովայնը
abdominal	0	0	0	0	0	0	0	0	0	0	որովայնային
abduction	0	0	0	1	0	1	0	1	1	0	առեւանգում
aberrant	0	0	0	0	0	1	0	0	0	0	շեղված
aberration	0	0	1	0	0	1	0	0	0	0	շեղում
abeyance	0	0	0	0	0	0	0	0	0	0	հանդարտություն
abhor	1	0	1	1	0	1	0	0	0	0	զզվել
abhorrent	1	0	1	1	0	1	0	0	0	0	զզվելի
abide	0	0	0	0	0	0	0	0	0	0	պահպանիր
ability	0	0	0	0	0	0	1	0	0	0	կարողություն
abject	0	0	1	0	0	1	0	0	0	0	ստոր
ablation	0	0	0	0	0	0	0	0	0	0	աբլացիա
ablaze	0	0	0	0	0	0	0	0	0	0	վառվել
abnormal	0	0	1	0	0	1	0	0	0	0	աննորմալ
aboard	0	0	0	0	0	0	0	0	0	0	նավի վրա
abode	0	0	0	0	0	0	0	0	0	0	բնակություն
abolish	1	0	0	0	0	1	0	0	0	0	վերացնել
abolition	0	0	0	0	0	1	0	0	0	0	վերացումը
abominable	0	0	1	1	0	1	0	0	0	0	զզվելի
abomination	1	0	1	1	0	1	0	0	0	0	զզվելիություն
aboriginal	0	0	0	0	0	0	0	0	0	0	աբորիգեն
abort	0	0	0	0	0	1	0	0	0	0	ընդհատել
abortion	0	0	1	1	0	1	0	1	0	0	աբորտ
abortive	0	0	0	0	0	1	0	1	0	0	վիժող
abound	0	0	0	0	0	0	0	0	0	0	առատ
abovementioned	0	0	0	0	0	0	1	0	0	0	վերը նշված
abrasion	0	0	0	0	0	1	0	0	0	0	քայքայում
abroad	0	0	0	0	0	0	0	0	0	0	արտասահմանում
abrogate	0	0	0	0	0	1	0	0	0	0	չեղյալ համարել
abrupt	0	0	0	0	0	0	0	0	1	0	կտրուկ
abruptly	0	0	0	0	0	0	0	0	0	0	կտրուկ
abscess	0	0	0	0	0	1	0	1	0	0	թարախակույտ
absence	0	0	0	1	0	1	0	1	0	0	բացակայությունը
absent	0	0	0	0	0	1	0	1	0	0	բացակայում է
absentee	0	0	0	0	0	1	0	1	0	0	բացակայող
