English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Azerbaijani Word
aback	0	0	0	0	0	0	0	0	0	0	heyrətdə
abacus	0	0	0	0	0	0	0	0	0	1	abak
abandon	0	0	0	1	0	1	0	1	0	0	tərk etmək
abandoned	1	0	0	1	0	1	0	1	0	0	tərk edilmiş
abandonment	1	0	0	1	0	1	0	1	1	0	tərk etmə
abate	0	0	0	0	0	0	0	0	0	0	azalmaq
abatement	0	0	0	0	0	0	0	0	0	0	azaldılması
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbat
abbreviate	0	0	0	0	0	0	0	0	0	0	qısaltmaq
abbreviation	0	0	0	0	0	0	0	0	0	0	abbreviatura
abdomen	0	0	0	0	0	0	0	0	0	0	qarın
abdominal	0	0	0	0	0	0	0	0	0	0	qarın
abduction	0	0	0	1	0	1	0	1	1	0	qaçırma
aberrant	0	0	0	0	0	1	0	0	0	0	anormal
aberration	0	0	1	0	0	1	0	0	0	0	aberasiya
abeyance	0	0	0	0	0	0	0	0	0	0	fasilə
abhor	1	0	1	1	0	1	0	0	0	0	nifrət etmək
abhorrent	1	0	1	1	0	1	0	0	0	0	iyrənc
abide	0	0	0	0	0	0	0	0	0	0	qalmaq
ability	0	0	0	0	0	0	1	0	0	0	bacarığı
abject	0	0	1	0	0	1	0	0	0	0	alçaq
ablation	0	0	0	0	0	0	0	0	0	0	ablasyon
ablaze	0	0	0	0	0	0	0	0	0	0	alovlanır
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	göyərtədə
abode	0	0	0	0	0	0	0	0	0	0	məskən
abolish	1	0	0	0	0	1	0	0	0	0	ləğv etmək
abolition	0	0	0	0	0	1	0	0	0	0	ləğvi
abominable	0	0	1	1	0	1	0	0	0	0	iyrənc
abomination	1	0	1	1	0	1	0	0	0	0	iyrənclik
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
