English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Basque Word
aback	0	0	0	0	0	0	0	0	0	0	harrituta
abacus	0	0	0	0	0	0	0	0	0	1	abakoa
abandon	0	0	0	1	0	1	0	1	0	0	abandonatu
abandoned	1	0	0	1	0	1	0	1	0	0	abandonatu
abandonment	1	0	0	1	0	1	0	1	1	0	abandonatzea
abate	0	0	0	0	0	0	0	0	0	0	apaldu
abatement	0	0	0	0	0	0	0	0	0	0	apaltzea
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abade
abbreviate	0	0	0	0	0	0	0	0	0	0	laburtu
abbreviation	0	0	0	0	0	0	0	0	0	0	laburdura
abdomen	0	0	0	0	0	0	0	0	0	0	sabelaldea
abdominal	0	0	0	0	0	0	0	0	0	0	sabelekoa
abduction	0	0	0	1	0	1	0	1	1	0	bahiketa
aberrant	0	0	0	0	0	1	0	0	0	0	aberrantea
aberration	0	0	1	0	0	1	0	0	0	0	aberrazioa
abeyance	0	0	0	0	0	0	0	0	0	0	geldialdia
abhor	1	0	1	1	0	1	0	0	0	0	gaitzetsi
abhorrent	1	0	1	1	0	1	0	0	0	0	higuingarria
abide	0	0	0	0	0	0	0	0	0	0	eutsi
ability	0	0	0	0	0	0	1	0	0	0	gaitasuna
abject	0	0	1	0	0	1	0	0	0	0	ikaragarria
ablation	0	0	0	0	0	0	0	0	0	0	ablazioa
ablaze	0	0	0	0	0	0	0	0	0	0	sutan
abnormal	0	0	1	0	0	1	0	0	0	0	anormala
aboard	0	0	0	0	0	0	0	0	0	0	itsasontzian
abode	0	0	0	0	0	0	0	0	0	0	egoitza
abolish	1	0	0	0	0	1	0	0	0	0	deuseztatu
abolition	0	0	0	0	0	1	0	0	0	0	abolizioa
abominable	0	0	1	1	0	1	0	0	0	0	higuingarria
abomination	1	0	1	1	0	1	0	0	0	0	higuingarria
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigena
abort	0	0	0	0	0	1	0	0	0	0	abortatu
abortion	0	0	1	1	0	1	0	1	0	0	abortua
abortive	0	0	0	0	0	1	0	1	0	0	abortua
abound	0	0	0	0	0	0	0	0	0	0	ugari
abovementioned	0	0	0	0	0	0	1	0	0	0	gorago aipatua
abrasion	0	0	0	0	0	1	0	0	0	0	urradura
abroad	0	0	0	0	0	0	0	0	0	0	atzerrian
abrogate	0	0	0	0	0	1	0	0	0	0	indargabetu
abrupt	0	0	0	0	0	0	0	0	1	0	bat-batekoa
abruptly	0	0	0	0	0	0	0	0	0	0	bat-batean
abscess	0	0	0	0	0	1	0	1	0	0	abszesoa
absence	0	0	0	1	0	1	0	1	0	0	absentzia
absent	0	0	0	0	0	1	0	1	0	0	faltan
absentee	0	0	0	0	0	1	0	1	0	0	absentea
absenteeism	0	0	0	0	0	1	0	0	0	0	absentismoa
absinthe	0	0	0	0	0	0	0	0	0	0	absintoa
absolute	0	0	0	0	0	0	1	0	0	0	absolutua
absolution	0	0	0	0	1	0	1	0	0	1	absoluzioa
absorbed	0	0	0	0	0	0	1	0	0	0	xurgatu
absorbent	0	0	0	0	0	0	0	0	0	0	xurgatzailea
absorbing	0	0	0	0	0	0	0	0	0	0	xurgatzen
absorption	0	0	0	0	0	0	0	0	0	0	xurgapena
abstain	0	0	0	0	0	0	0	0	0	0	abstenitu
abstention	0	0	0	0	0	0	0	0	0	0	abstentzioa
abstinence	0	0	0	0	0	0	0	0	0	0	abstinentzia
abstract	0	0	0	0	0	0	0	0	0	0	abstraktua
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakzioa
absurd	0	0	0	0	0	1	0	0	0	0	absurdoa
absurdity	0	0	0	0	0	1	0	0	0	0	absurdoa
