English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Belarusian Word
aback	0	0	0	0	0	0	0	0	0	0	у спіну
abacus	0	0	0	0	0	0	0	0	0	1	абак
abandon	0	0	0	1	0	1	0	1	0	0	адмовіцца
abandoned	1	0	0	1	0	1	0	1	0	0	закінуты
abandonment	1	0	0	1	0	1	0	1	1	0	закінутасць
abate	0	0	0	0	0	0	0	0	0	0	сціхаць
abatement	0	0	0	0	0	0	0	0	0	0	паслабленне
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	настаяцель
abbreviate	0	0	0	0	0	0	0	0	0	0	скарачаць
abbreviation	0	0	0	0	0	0	0	0	0	0	абрэвіятура
abdomen	0	0	0	0	0	0	0	0	0	0	жывот
abdominal	0	0	0	0	0	0	0	0	0	0	брушной
abduction	0	0	0	1	0	1	0	1	1	0	выкраданне
aberrant	0	0	0	0	0	1	0	0	0	0	аберрантны
aberration	0	0	1	0	0	1	0	0	0	0	аберацыя
abeyance	0	0	0	0	0	0	0	0	0	0	прыпыненне
abhor	1	0	1	1	0	1	0	0	0	0	гідзіцца
abhorrent	1	0	1	1	0	1	0	0	0	0	агідны
abide	0	0	0	0	0	0	0	0	0	0	выконваць
ability	0	0	0	0	0	0	1	0	0	0	здольнасць
abject	0	0	1	0	0	1	0	0	0	0	панізна
ablation	0	0	0	0	0	0	0	0	0	0	абляцыя
ablaze	0	0	0	0	0	0	0	0	0	0	палаючы
abnormal	0	0	1	0	0	1	0	0	0	0	ненармальны
aboard	0	0	0	0	0	0	0	0	0	0	на борце
abode	0	0	0	0	0	0	0	0	0	0	месца жыхарства
abolish	1	0	0	0	0	1	0	0	0	0	скасаваць
abolition	0	0	0	0	0	1	0	0	0	0	адмена
abominable	0	0	1	1	0	1	0	0	0	0	агідны
abomination	1	0	1	1	0	1	0	0	0	0	агіднасць
aboriginal	0	0	0	0	0	0	0	0	0	0	першабытнік
abort	0	0	0	0	0	1	0	0	0	0	перапыніць
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	абартыўна
abound	0	0	0	0	0	0	0	0	0	0	багата
abovementioned	0	0	0	0	0	0	1	0	0	0	вышэйзгаданы
abrasion	0	0	0	0	0	1	0	0	0	0	пацёртасць
abroad	0	0	0	0	0	0	0	0	0	0	за мяжой
abrogate	0	0	0	0	0	1	0	0	0	0	адмяніць
abrupt	0	0	0	0	0	0	0	0	1	0	рэзкі
abruptly	0	0	0	0	0	0	0	0	0	0	рэзка
abscess	0	0	0	0	0	1	0	1	0	0	абсцэс
absence	0	0	0	1	0	1	0	1	0	0	адсутнасць
absent	0	0	0	0	0	1	0	1	0	0	адсутнічае
absentee	0	0	0	0	0	1	0	1	0	0	завочны
absenteeism	0	0	0	0	0	1	0	0	0	0	прагулы
absinthe	0	0	0	0	0	0	0	0	0	0	абсэнт
absolute	0	0	0	0	0	0	1	0	0	0	абсалютны
absolution	0	0	0	0	1	0	1	0	0	1	адпушчэнне
absorbed	0	0	0	0	0	0	1	0	0	0	паглынаецца
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	паглынальны
absorption	0	0	0	0	0	0	0	0	0	0	паглынанне
abstain	0	0	0	0	0	0	0	0	0	0	устрымацца
abstention	0	0	0	0	0	0	0	0	0	0	устрыманне
abstinence	0	0	0	0	0	0	0	0	0	0	ўстрыманне
abstract	0	0	0	0	0	0	0	0	0	0	анатацыя
abstraction	0	0	0	0	0	0	0	0	0	0	абстракцыя
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурд
abundance	0	1	1	0	1	1	1	0	0	1	багацце
abundant	0	0	0	0	1	0	1	0	0	0	багаты
abuse	1	0	1	1	0	1	0	1	0	0	злоўжыванне
abutment	0	0	0	0	0	0	0	0	0	0	абатмент
aby	0	0	0	0	0	0	0	0	0	0	абы
abysmal	0	0	0	0	0	1	0	1	0	0	бездань
abyss	0	0	0	1	0	1	0	1	0	0	бездань
academic	0	0	0	0	0	0	1	0	0	1	акадэмічны
academy	0	0	0	0	0	0	1	0	0	0	акадэміі
accede	0	0	0	0	0	0	0	0	0	0	далучыцца
accelerate	0	1	0	0	0	0	0	0	0	0	паскорыць
acceleration	0	0	0	0	0	0	0	0	0	0	паскарэнне
accent	0	0	0	0	0	0	0	0	0	0	акцэнт
accentuate	0	0	0	0	0	0	0	0	0	0	акцэнтаваць
accept	0	0	0	0	0	0	0	0	0	0	прыняць
acceptable	0	0	0	0	0	0	1	0	0	0	прымальна
acceptance	0	0	0	0	0	0	1	0	0	0	прыняцце
access	0	0	0	0	0	0	0	0	0	0	доступ
accessible	0	0	0	0	0	0	1	0	0	0	даступныя
accession	0	0	0	0	0	0	0	0	0	0	далучэнне
accessory	0	0	0	0	0	0	0	0	0	0	аксэсуар
accident	0	0	0	1	0	1	0	1	1	0	няшчасны выпадак
accidental	0	0	0	1	0	1	0	0	1	0	выпадковая
accidentally	0	0	0	0	0	0	0	0	1	0	выпадкова
accolade	0	1	0	0	1	0	1	0	1	1	пахвала
accommodate	0	0	0	0	0	0	0	0	0	0	размяшчаць
accommodation	0	0	0	0	0	0	1	0	0	0	пражыванне
accompaniment	0	1	0	0	1	0	1	0	0	1	суправаджэнне
accompany	0	0	0	0	0	0	0	0	0	0	суправаджаць
accompanying	0	0	0	0	0	0	0	0	0	0	суправаджальны
accomplice	0	0	0	0	0	0	0	0	0	0	саўдзельнік
accomplish	0	0	0	0	1	0	1	0	0	0	выканаць
accomplished	0	0	0	0	1	0	1	0	0	0	выканана
accomplishment	0	0	0	0	0	0	1	0	0	0	дасягненне
accord	0	0	0	0	0	0	1	0	0	1	згода
accordance	0	0	0	0	0	0	0	0	0	0	адпаведнасці
accordion	0	0	0	0	0	0	0	0	0	0	акардэон
account	0	0	0	0	0	0	0	0	0	1	рахунак
accountability	0	0	0	0	0	0	1	0	0	1	падсправаздачнасць
accountable	0	0	0	0	0	0	1	0	0	1	падсправаздачны
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтар
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтэрыя
accounts	0	0	0	0	0	0	0	0	0	1	рахункі
accredited	0	0	0	0	0	0	1	0	0	1	акрэдытаваны
accretion	0	0	0	0	0	0	0	0	0	0	нарастанне
accrue	0	0	0	0	0	0	0	0	0	0	налічаць
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	назапашваць
accumulation	0	0	0	0	0	0	0	0	0	0	назапашванне
accuracy	0	0	0	0	0	0	0	0	0	0	дакладнасць
accurate	0	0	0	0	0	0	1	0	0	1	дакладны
accursed	1	0	0	1	0	1	0	1	0	0	пракляты
accusation	1	0	1	0	0	1	0	0	0	0	абвінавачванне
accusative	0	0	0	0	0	1	0	0	0	0	вінавальны склон
accused	1	0	0	1	0	1	0	0	0	0	абвінавачаны
accuser	1	0	0	1	0	1	0	0	0	0	абвінаваўца
accusing	1	0	0	1	0	1	0	0	0	0	абвінавачваючы
accustomed	0	0	0	0	0	0	0	0	0	0	прызвычаіліся
ace	0	0	0	0	0	0	1	0	0	0	туз
acetic	0	0	0	0	0	0	0	0	0	0	воцатная
ache	0	0	0	0	0	1	0	1	0	0	балець
achieve	0	0	0	0	1	0	1	0	0	1	дасягнуць
achievement	0	1	0	0	1	0	1	0	0	1	дасягненне
aching	0	0	0	0	0	1	0	1	0	0	ныючы
acid	0	0	0	0	0	1	0	0	0	0	кіслата
acidity	0	0	0	0	0	0	0	0	0	0	кіслотнасць
acknowledge	0	0	0	0	0	0	0	0	0	0	прызнаць
acknowledged	0	0	0	0	0	0	0	0	0	0	прызнаў
acknowledgment	0	0	0	0	0	0	1	0	0	0	прызнанне
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустычны
acoustics	0	0	0	0	0	0	0	0	0	0	акустыка
acquaint	0	0	0	0	0	0	0	0	0	0	знаёміць
acquaintance	0	0	0	0	0	0	0	0	0	0	знаёмства
acquainted	0	0	0	0	0	0	0	0	0	0	знаёмыя
acquiescence	0	0	0	0	0	0	0	0	0	0	пагадлівасць
acquire	0	0	0	0	0	0	1	0	0	0	набываць
acquiring	0	1	0	0	0	0	1	0	0	0	набыццё
acquisition	0	0	0	0	0	0	0	0	0	0	набыццё
acquisitions	0	0	0	0	0	0	0	0	0	0	набыткі
acreage	0	0	0	0	0	0	0	0	0	0	пасяўная плошча
acres	0	0	0	0	0	0	0	0	0	0	акраў
acrobat	0	0	0	1	1	0	1	0	0	1	акрабат
act	0	0	0	0	0	0	0	0	0	0	дзейнічаць
acting	0	0	0	0	0	0	0	0	0	0	акцёрскі
action	0	0	0	0	0	0	1	0	0	0	дзеянне
actionable	1	0	1	0	0	1	0	0	0	0	дзейсныя
active	0	0	0	0	0	0	0	0	0	0	актыўны
activity	0	0	0	0	0	0	0	0	0	0	дзейнасць
actor	0	0	0	0	0	0	0	0	0	0	акцёр
actual	0	0	0	0	0	0	1	0	0	0	фактычны
actuality	0	0	0	0	0	0	0	0	0	0	актуальнасць
actuary	0	0	0	0	0	0	0	0	0	0	актуарый
acuity	0	0	0	0	0	0	1	0	0	0	вастрыня
acumen	0	0	0	0	0	0	1	0	0	0	праніклівасць
acupuncture	0	0	0	0	0	0	0	0	0	0	іглаўколванне
acutely	0	0	0	0	0	0	0	0	0	0	востра
adage	0	0	0	0	0	0	0	0	0	0	прыказка
adamant	0	0	0	0	0	0	0	0	0	0	непахісны
adapt	0	0	0	0	0	0	1	0	0	0	адаптаваць
adaptable	0	0	0	0	0	0	1	0	0	0	адаптыўны
add	0	0	0	0	0	0	0	0	0	0	дадаць
added	0	0	0	0	0	0	0	0	0	0	дададзены
addendum	0	0	0	0	0	0	0	0	0	0	дадатак
adder	1	0	1	1	0	1	0	1	0	0	суматар
addiction	0	0	0	0	0	1	0	0	0	0	наркаманія
addition	0	0	0	0	0	0	0	0	0	0	дадатак
additional	0	0	0	0	0	0	0	0	0	0	дадатковыя
additive	0	0	0	0	0	0	0	0	0	0	дабаўка
address	0	0	0	0	0	0	0	0	0	0	адрас
addressee	0	0	0	0	0	0	0	0	0	0	адрасат
addresses	0	1	0	0	0	0	1	0	0	0	адрасы
adept	0	0	0	0	0	0	1	0	0	0	адэпт
adequacy	0	0	0	0	0	0	1	0	0	0	адэкватнасць
adequate	0	0	0	0	0	0	0	0	0	0	адэкватны
adhere	0	0	0	0	0	0	0	0	0	0	прытрымлівацца
adherence	0	0	0	0	0	0	0	0	0	0	прыхільнасць
adherent	0	0	0	0	0	0	0	0	0	0	адэпт
adhering	0	0	0	0	0	0	0	0	0	1	прытрымліваючыся
adhesion	0	0	0	0	0	0	0	0	0	0	адгезія
adhesive	0	0	0	0	0	0	0	0	0	0	клейкі
adieu	0	0	0	0	0	0	0	0	0	0	развітанне
adipose	0	0	0	0	0	1	0	0	0	0	тлушчавай
adjacency	0	0	0	0	0	0	0	0	0	0	сумежнасць
adjacent	0	0	0	0	0	0	0	0	0	0	сумежныя
adjective	0	0	0	0	0	0	0	0	0	0	прыметнік
adjoining	0	0	0	0	0	0	0	0	0	0	прылеглыя
adjourn	0	0	0	0	0	0	0	0	0	0	адкласці
adjournment	0	0	0	0	0	0	0	0	0	0	адтэрміноўка
adjudicate	0	0	0	1	0	1	0	0	0	0	вынесці прысуд
adjudication	0	0	0	0	0	0	0	0	0	0	вынясенне судовага рашэння
adjunct	0	0	0	0	0	0	1	0	0	0	дапаўненне
adjust	0	0	0	0	0	0	0	0	0	0	наладзіць
adjustment	0	0	0	0	0	0	0	0	0	0	карэкціроўка
adjuvant	0	0	0	0	0	0	0	0	0	0	ад'ювант
administer	0	0	0	0	0	0	0	0	0	0	адміністраваць
administration	0	0	0	0	0	0	0	0	0	0	адміністрацыі
administrative	0	0	0	0	0	0	0	0	0	1	адміністрацыйны
admirable	0	0	0	0	1	0	1	0	0	1	варты захаплення
admiral	0	0	0	0	0	0	1	0	0	1	адмірал
admiralty	0	0	0	0	0	0	0	0	0	0	адміралцейства
admiration	0	0	0	0	1	0	1	0	0	1	захапленне
admire	0	0	0	0	0	0	1	0	0	1	захапляцца
