English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bengali Word
aback	0	0	0	0	0	0	0	0	0	0	বিস্মিত
abacus	0	0	0	0	0	0	0	0	0	1	অ্যাবাকাস
abandon	0	0	0	1	0	1	0	1	0	0	পরিত্যাগ করা
abandoned	1	0	0	1	0	1	0	1	0	0	পরিত্যক্ত
abandonment	1	0	0	1	0	1	0	1	1	0	পরিত্যাগ
abate	0	0	0	0	0	0	0	0	0	0	হ্রাস করা
abatement	0	0	0	0	0	0	0	0	0	0	হ্রাস
abba	0	0	0	0	0	0	1	0	0	0	আব্বা
abbot	0	0	0	0	0	0	0	0	0	1	মঠ
abbreviate	0	0	0	0	0	0	0	0	0	0	সংক্ষিপ্ত করা
abbreviation	0	0	0	0	0	0	0	0	0	0	সংক্ষেপণ
abdomen	0	0	0	0	0	0	0	0	0	0	পেট
abdominal	0	0	0	0	0	0	0	0	0	0	পেট
abduction	0	0	0	1	0	1	0	1	1	0	অপহরণ
aberrant	0	0	0	0	0	1	0	0	0	0	বিভ্রান্ত
aberration	0	0	1	0	0	1	0	0	0	0	বিকৃতি
abeyance	0	0	0	0	0	0	0	0	0	0	স্থগিত
abhor	1	0	1	1	0	1	0	0	0	0	ঘৃণা
abhorrent	1	0	1	1	0	1	0	0	0	0	ঘৃণ্য
abide	0	0	0	0	0	0	0	0	0	0	মেনে চলা
ability	0	0	0	0	0	0	1	0	0	0	ক্ষমতা
abject	0	0	1	0	0	1	0	0	0	0	অবজেক্ট
ablation	0	0	0	0	0	0	0	0	0	0	বিমোচন
ablaze	0	0	0	0	0	0	0	0	0	0	জ্বলন্ত
abnormal	0	0	1	0	0	1	0	0	0	0	অস্বাভাবিক
aboard	0	0	0	0	0	0	0	0	0	0	BIDESH
abode	0	0	0	0	0	0	0	0	0	0	বাসস্থান
abolish	1	0	0	0	0	1	0	0	0	0	বাতিল করা
abolition	0	0	0	0	0	1	0	0	0	0	বিলুপ্তি
abominable	0	0	1	1	0	1	0	0	0	0	জঘন্য
abomination	1	0	1	1	0	1	0	0	0	0	ঘৃণ্য
aboriginal	0	0	0	0	0	0	0	0	0	0	আদিবাসী
abort	0	0	0	0	0	1	0	0	0	0	গর্ভপাত
abortion	0	0	1	1	0	1	0	1	0	0	গর্ভপাত
abortive	0	0	0	0	0	1	0	1	0	0	নিষ্ক্রিয়
abound	0	0	0	0	0	0	0	0	0	0	প্রচুর
