English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bosnian Word
aback	0	0	0	0	0	0	0	0	0	0	zapanjen
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	napustiti
abandoned	1	0	0	1	0	1	0	1	0	0	napušteno
abandonment	1	0	0	1	0	1	0	1	1	0	napuštanje
abate	0	0	0	0	0	0	0	0	0	0	smanjiti
abatement	0	0	0	0	0	0	0	0	0	0	smanjenje
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	skraćeno
abbreviation	0	0	0	0	0	0	0	0	0	0	skraćenica
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominalni
abduction	0	0	0	1	0	1	0	1	1	0	otmica
aberrant	0	0	0	0	0	1	0	0	0	0	aberantno
aberration	0	0	1	0	0	1	0	0	0	0	aberacija
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	gnušati se
abhorrent	1	0	1	1	0	1	0	0	0	0	odvratno
abide	0	0	0	0	0	0	0	0	0	0	pridržavati se
ability	0	0	0	0	0	0	1	0	0	0	sposobnost
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablacija
ablaze	0	0	0	0	0	0	0	0	0	0	blaze
abnormal	0	0	1	0	0	1	0	0	0	0	abnormalno
aboard	0	0	0	0	0	0	0	0	0	0	na brodu
abode	0	0	0	0	0	0	0	0	0	0	prebivalište
abolish	1	0	0	0	0	1	0	0	0	0	ukinuti
abolition	0	0	0	0	0	1	0	0	0	0	ukidanje
abominable	0	0	1	1	0	1	0	0	0	0	odvratno
abomination	1	0	1	1	0	1	0	0	0	0	odvratnost
aboriginal	0	0	0	0	0	0	0	0	0	0	aboridžina
abort	0	0	0	0	0	1	0	0	0	0	prekinuti
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	neuspješan
abound	0	0	0	0	0	0	0	0	0	0	obiluju
abovementioned	0	0	0	0	0	0	1	0	0	0	gore pomenuto
abrasion	0	0	0	0	0	1	0	0	0	0	abrazija
abroad	0	0	0	0	0	0	0	0	0	0	u inostranstvu
abrogate	0	0	0	0	0	1	0	0	0	0	ukinuti
abrupt	0	0	0	0	0	0	0	0	1	0	naglo
abruptly	0	0	0	0	0	0	0	0	0	0	iznenada
abscess	0	0	0	0	0	1	0	1	0	0	apsces
absence	0	0	0	1	0	1	0	1	0	0	odsustvo
absent	0	0	0	0	0	1	0	1	0	0	odsutan
absentee	0	0	0	0	0	1	0	1	0	0	odsutan
absenteeism	0	0	0	0	0	1	0	0	0	0	izostanak sa posla
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	apsolutno
absolution	0	0	0	0	1	0	1	0	0	1	oproštenje
absorbed	0	0	0	0	0	0	1	0	0	0	apsorbuje
absorbent	0	0	0	0	0	0	0	0	0	0	upijajuće
absorbing	0	0	0	0	0	0	0	0	0	0	upijajući
absorption	0	0	0	0	0	0	0	0	0	0	apsorpcija
abstain	0	0	0	0	0	0	0	0	0	0	uzdržati se
abstention	0	0	0	0	0	0	0	0	0	0	apstinencija
abstinence	0	0	0	0	0	0	0	0	0	0	apstinencija
abstract	0	0	0	0	0	0	0	0	0	0	apstraktno
abstraction	0	0	0	0	0	0	0	0	0	0	apstrakcija
absurd	0	0	0	0	0	1	0	0	0	0	apsurdno
absurdity	0	0	0	0	0	1	0	0	0	0	apsurda
abundance	0	1	1	0	1	1	1	0	0	1	obilje
abundant	0	0	0	0	1	0	1	0	0	0	u izobilju
abuse	1	0	1	1	0	1	0	1	0	0	zlostavljanje
abutment	0	0	0	0	0	0	0	0	0	0	uporište
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bezdan
abyss	0	0	0	1	0	1	0	1	0	0	ponor
academic	0	0	0	0	0	0	1	0	0	1	akademski
academy	0	0	0	0	0	0	1	0	0	0	akademija
accede	0	0	0	0	0	0	0	0	0	0	pristupiti
accelerate	0	1	0	0	0	0	0	0	0	0	ubrzati
acceleration	0	0	0	0	0	0	0	0	0	0	ubrzanje
accent	0	0	0	0	0	0	0	0	0	0	akcenat
accentuate	0	0	0	0	0	0	0	0	0	0	naglasiti
accept	0	0	0	0	0	0	0	0	0	0	prihvatiti
acceptable	0	0	0	0	0	0	1	0	0	0	prihvatljivo
acceptance	0	0	0	0	0	0	1	0	0	0	prihvatanje
access	0	0	0	0	0	0	0	0	0	0	pristup
accessible	0	0	0	0	0	0	1	0	0	0	pristupačno
accession	0	0	0	0	0	0	0	0	0	0	pristupanje
accessory	0	0	0	0	0	0	0	0	0	0	pribor
accident	0	0	0	1	0	1	0	1	1	0	nezgoda
accidental	0	0	0	1	0	1	0	0	1	0	slučajno
accidentally	0	0	0	0	0	0	0	0	1	0	slučajno
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	smjestiti
accommodation	0	0	0	0	0	0	1	0	0	0	smještaj
accompaniment	0	1	0	0	1	0	1	0	0	1	pratnja
accompany	0	0	0	0	0	0	0	0	0	0	pratiti
accompanying	0	0	0	0	0	0	0	0	0	0	prateći
accomplice	0	0	0	0	0	0	0	0	0	0	saučesnik
accomplish	0	0	0	0	1	0	1	0	0	0	ostvariti
accomplished	0	0	0	0	1	0	1	0	0	0	ostvareno
accomplishment	0	0	0	0	0	0	1	0	0	0	postignuće
