English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bulgarian Word
aback	0	0	0	0	0	0	0	0	0	0	назад
abacus	0	0	0	0	0	0	0	0	0	1	Абак
abandon	0	0	0	1	0	1	0	1	0	0	изоставям
abandoned	1	0	0	1	0	1	0	1	0	0	изоставен
abandonment	1	0	0	1	0	1	0	1	1	0	изоставяне
abate	0	0	0	0	0	0	0	0	0	0	отслабвам
abatement	0	0	0	0	0	0	0	0	0	0	намаляване
abba	0	0	0	0	0	0	1	0	0	0	абба
abbot	0	0	0	0	0	0	0	0	0	1	игумен
abbreviate	0	0	0	0	0	0	0	0	0	0	съкращавам
abbreviation	0	0	0	0	0	0	0	0	0	0	съкращение
abdomen	0	0	0	0	0	0	0	0	0	0	корема
abdominal	0	0	0	0	0	0	0	0	0	0	коремна
abduction	0	0	0	1	0	1	0	1	1	0	отвличане
aberrant	0	0	0	0	0	1	0	0	0	0	нетипичен
aberration	0	0	1	0	0	1	0	0	0	0	аберация
abeyance	0	0	0	0	0	0	0	0	0	0	пасивност
abhor	1	0	1	1	0	1	0	0	0	0	отвращавам се
abhorrent	1	0	1	1	0	1	0	0	0	0	отвратителен
abide	0	0	0	0	0	0	0	0	0	0	търпя
ability	0	0	0	0	0	0	1	0	0	0	способност
abject	0	0	1	0	0	1	0	0	0	0	жалко
ablation	0	0	0	0	0	0	0	0	0	0	аблация
ablaze	0	0	0	0	0	0	0	0	0	0	пламнал
abnormal	0	0	1	0	0	1	0	0	0	0	ненормален
aboard	0	0	0	0	0	0	0	0	0	0	на борда
abode	0	0	0	0	0	0	0	0	0	0	жилище
abolish	1	0	0	0	0	1	0	0	0	0	премахвам
abolition	0	0	0	0	0	1	0	0	0	0	премахване
abominable	0	0	1	1	0	1	0	0	0	0	отвратителен
abomination	1	0	1	1	0	1	0	0	0	0	мерзост
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	прекъсвам
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	абортивен
abound	0	0	0	0	0	0	0	0	0	0	изобилстват
abovementioned	0	0	0	0	0	0	1	0	0	0	гореспоменат
abrasion	0	0	0	0	0	1	0	0	0	0	абразия
abroad	0	0	0	0	0	0	0	0	0	0	в чужбина
abrogate	0	0	0	0	0	1	0	0	0	0	анулирам
abrupt	0	0	0	0	0	0	0	0	1	0	рязко
abruptly	0	0	0	0	0	0	0	0	0	0	рязко
abscess	0	0	0	0	0	1	0	1	0	0	абсцес
absence	0	0	0	1	0	1	0	1	0	0	отсъствие
absent	0	0	0	0	0	1	0	1	0	0	отсъстващ
absentee	0	0	0	0	0	1	0	1	0	0	неприсъствен
absenteeism	0	0	0	0	0	1	0	0	0	0	отсъствие от работа
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	абсолютен
absolution	0	0	0	0	1	0	1	0	0	1	опрощение
absorbed	0	0	0	0	0	0	1	0	0	0	усвоени
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	абсорбиращ
absorption	0	0	0	0	0	0	0	0	0	0	абсорбция
abstain	0	0	0	0	0	0	0	0	0	0	въздържам се
abstention	0	0	0	0	0	0	0	0	0	0	въздържание
abstinence	0	0	0	0	0	0	0	0	0	0	въздържание
abstract	0	0	0	0	0	0	0	0	0	0	абстрактно
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурд
abundance	0	1	1	0	1	1	1	0	0	1	изобилие
abundant	0	0	0	0	1	0	1	0	0	0	изобилен
abuse	1	0	1	1	0	1	0	1	0	0	злоупотреба
abutment	0	0	0	0	0	0	0	0	0	0	абатмент
aby	0	0	0	0	0	0	0	0	0	0	аби
abysmal	0	0	0	0	0	1	0	1	0	0	бездна
abyss	0	0	0	1	0	1	0	1	0	0	бездна
academic	0	0	0	0	0	0	1	0	0	1	академичен
academy	0	0	0	0	0	0	1	0	0	0	академия
accede	0	0	0	0	0	0	0	0	0	0	да изпълня
accelerate	0	1	0	0	0	0	0	0	0	0	ускорявам
acceleration	0	0	0	0	0	0	0	0	0	0	ускорение
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	акцентирам
accept	0	0	0	0	0	0	0	0	0	0	приемам
acceptable	0	0	0	0	0	0	1	0	0	0	приемливо
acceptance	0	0	0	0	0	0	1	0	0	0	приемане
access	0	0	0	0	0	0	0	0	0	0	достъп
accessible	0	0	0	0	0	0	1	0	0	0	достъпен
accession	0	0	0	0	0	0	0	0	0	0	присъединяване
accessory	0	0	0	0	0	0	0	0	0	0	аксесоар
accident	0	0	0	1	0	1	0	1	1	0	злополука
accidental	0	0	0	1	0	1	0	0	1	0	случаен
accidentally	0	0	0	0	0	0	0	0	1	0	случайно
accolade	0	1	0	0	1	0	1	0	1	1	похвала
accommodate	0	0	0	0	0	0	0	0	0	0	настанявам
accommodation	0	0	0	0	0	0	1	0	0	0	настаняване
accompaniment	0	1	0	0	1	0	1	0	0	1	акомпанимент
accompany	0	0	0	0	0	0	0	0	0	0	придружавам
accompanying	0	0	0	0	0	0	0	0	0	0	придружаващ
accomplice	0	0	0	0	0	0	0	0	0	0	съучастник
accomplish	0	0	0	0	1	0	1	0	0	0	постигне
accomplished	0	0	0	0	1	0	1	0	0	0	изпълнено
accomplishment	0	0	0	0	0	0	1	0	0	0	постижение
accord	0	0	0	0	0	0	1	0	0	1	съгласие
accordance	0	0	0	0	0	0	0	0	0	0	съответствие
accordion	0	0	0	0	0	0	0	0	0	0	акордеон
account	0	0	0	0	0	0	0	0	0	1	сметка
accountability	0	0	0	0	0	0	1	0	0	1	отчетност
accountable	0	0	0	0	0	0	1	0	0	1	отговорен
accountant	0	0	0	0	0	0	0	0	0	1	касиер счетоводител
accounting	0	0	0	0	0	0	0	0	0	0	счетоводство
accounts	0	0	0	0	0	0	0	0	0	1	сметки
accredited	0	0	0	0	0	0	1	0	0	1	акредитиран
accretion	0	0	0	0	0	0	0	0	0	0	натрупване
accrue	0	0	0	0	0	0	0	0	0	0	натрупват се
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	натрупвам
accumulation	0	0	0	0	0	0	0	0	0	0	натрупване
accuracy	0	0	0	0	0	0	0	0	0	0	точност
accurate	0	0	0	0	0	0	1	0	0	1	точен
accursed	1	0	0	1	0	1	0	1	0	0	прокълнат
accusation	1	0	1	0	0	1	0	0	0	0	обвинение
accusative	0	0	0	0	0	1	0	0	0	0	винителен падеж
accused	1	0	0	1	0	1	0	0	0	0	обвиняем
accuser	1	0	0	1	0	1	0	0	0	0	обвинител
accusing	1	0	0	1	0	1	0	0	0	0	обвинителен
accustomed	0	0	0	0	0	0	0	0	0	0	свикнал
ace	0	0	0	0	0	0	1	0	0	0	асо
acetic	0	0	0	0	0	0	0	0	0	0	оцетна киселина
ache	0	0	0	0	0	1	0	1	0	0	болка
achieve	0	0	0	0	1	0	1	0	0	1	постигам
achievement	0	1	0	0	1	0	1	0	0	1	постижение
aching	0	0	0	0	0	1	0	1	0	0	болки
acid	0	0	0	0	0	1	0	0	0	0	киселина
acidity	0	0	0	0	0	0	0	0	0	0	киселинност
acknowledge	0	0	0	0	0	0	0	0	0	0	признавам
acknowledged	0	0	0	0	0	0	0	0	0	0	признати
acknowledgment	0	0	0	0	0	0	1	0	0	0	признание
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустичен
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	запознавам се
acquaintance	0	0	0	0	0	0	0	0	0	0	познанство
acquainted	0	0	0	0	0	0	0	0	0	0	запознати
acquiescence	0	0	0	0	0	0	0	0	0	0	съгласие
acquire	0	0	0	0	0	0	1	0	0	0	придобивам
acquiring	0	1	0	0	0	0	1	0	0	0	придобиване
acquisition	0	0	0	0	0	0	0	0	0	0	придобиване
acquisitions	0	0	0	0	0	0	0	0	0	0	придобивания
acreage	0	0	0	0	0	0	0	0	0	0	площ в акра
acres	0	0	0	0	0	0	0	0	0	0	акра
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	акт
acting	0	0	0	0	0	0	0	0	0	0	действащ
action	0	0	0	0	0	0	1	0	0	0	действие
actionable	1	0	1	0	0	1	0	0	0	0	подлежащ на действие
active	0	0	0	0	0	0	0	0	0	0	активен
activity	0	0	0	0	0	0	0	0	0	0	дейност
actor	0	0	0	0	0	0	0	0	0	0	актьор
actual	0	0	0	0	0	0	1	0	0	0	действителен
actuality	0	0	0	0	0	0	0	0	0	0	актуалност
actuary	0	0	0	0	0	0	0	0	0	0	актюер
acuity	0	0	0	0	0	0	1	0	0	0	острота
acumen	0	0	0	0	0	0	1	0	0	0	проницателност
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	остро
adage	0	0	0	0	0	0	0	0	0	0	поговорка
adamant	0	0	0	0	0	0	0	0	0	0	непреклонен
adapt	0	0	0	0	0	0	1	0	0	0	адаптирам се
adaptable	0	0	0	0	0	0	1	0	0	0	адаптивен
add	0	0	0	0	0	0	0	0	0	0	добавете
added	0	0	0	0	0	0	0	0	0	0	добавен
addendum	0	0	0	0	0	0	0	0	0	0	допълнение
adder	1	0	1	1	0	1	0	1	0	0	суматор
addiction	0	0	0	0	0	1	0	0	0	0	пристрастяване
addition	0	0	0	0	0	0	0	0	0	0	допълнение
additional	0	0	0	0	0	0	0	0	0	0	допълнителен
additive	0	0	0	0	0	0	0	0	0	0	добавка
address	0	0	0	0	0	0	0	0	0	0	адрес
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	адреси
adept	0	0	0	0	0	0	1	0	0	0	адепт
adequacy	0	0	0	0	0	0	1	0	0	0	адекватност
adequate	0	0	0	0	0	0	0	0	0	0	адекватен
adhere	0	0	0	0	0	0	0	0	0	0	се придържат
adherence	0	0	0	0	0	0	0	0	0	0	придържане
adherent	0	0	0	0	0	0	0	0	0	0	привърженик
adhering	0	0	0	0	0	0	0	0	0	1	придържайки се
adhesion	0	0	0	0	0	0	0	0	0	0	адхезия
adhesive	0	0	0	0	0	0	0	0	0	0	лепило
adieu	0	0	0	0	0	0	0	0	0	0	сбогом
adipose	0	0	0	0	0	1	0	0	0	0	мастна
adjacency	0	0	0	0	0	0	0	0	0	0	съседство
adjacent	0	0	0	0	0	0	0	0	0	0	съседен
adjective	0	0	0	0	0	0	0	0	0	0	прилагателно
adjoining	0	0	0	0	0	0	0	0	0	0	прилежащи
adjourn	0	0	0	0	0	0	0	0	0	0	отлагам
adjournment	0	0	0	0	0	0	0	0	0	0	отлагане
adjudicate	0	0	0	1	0	1	0	0	0	0	отсъждам
adjudication	0	0	0	0	0	0	0	0	0	0	отсъждане
adjunct	0	0	0	0	0	0	1	0	0	0	допълнение
adjust	0	0	0	0	0	0	0	0	0	0	коригирайте
adjustment	0	0	0	0	0	0	0	0	0	0	корекция
adjuvant	0	0	0	0	0	0	0	0	0	0	адювант
administer	0	0	0	0	0	0	0	0	0	0	администрирам
administration	0	0	0	0	0	0	0	0	0	0	администрация
administrative	0	0	0	0	0	0	0	0	0	1	административен
admirable	0	0	0	0	1	0	1	0	0	1	възхитителен
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралтейство
admiration	0	0	0	0	1	0	1	0	0	1	възхищение
admire	0	0	0	0	0	0	1	0	0	1	възхищавам се
admirer	0	0	0	0	0	0	1	0	0	0	обожател
admissibility	0	0	0	0	0	0	0	0	0	0	допустимост
admissible	0	0	0	0	0	0	1	0	0	1	допустимо
admission	0	0	0	0	0	0	0	0	0	0	допускане
admit	0	0	0	0	0	0	0	0	0	0	признавам
admittance	0	0	0	0	0	0	0	0	0	0	допускане
admitted	0	0	0	0	0	0	0	0	0	0	допуснати
admitting	0	0	0	0	0	0	0	0	0	0	признаване
admixture	0	0	0	0	0	0	0	0	0	0	примес
admonition	0	0	0	1	0	1	0	0	0	0	предупреждение
ado	0	0	0	0	0	0	0	0	0	0	шум
adobe	0	0	0	0	0	0	0	0	0	0	кирпич
adolescence	0	0	0	0	0	0	0	0	0	0	юношеството
adolescent	0	0	0	0	0	0	0	0	0	0	юноша
adopt	0	0	0	0	0	0	0	0	0	0	осиновявам
adoption	0	0	0	0	0	0	0	0	0	0	осиновяване
adorable	0	0	0	0	1	0	1	0	0	0	очарователен
adoration	0	0	0	0	1	0	1	0	0	1	обожание
adore	0	1	0	0	1	0	1	0	0	1	обожавам
adorn	0	0	0	0	0	0	0	0	0	0	украсявам
adornment	0	0	0	0	0	0	0	0	0	0	украса
adrift	0	1	0	1	0	1	0	1	0	0	по течението
adult	0	0	0	0	0	0	0	0	0	0	възрастен
adulterated	0	0	0	0	0	1	0	0	0	0	подправени
adultery	0	0	1	0	0	1	0	1	0	0	прелюбодеяние
advance	0	1	0	1	1	0	1	0	1	0	аванс
advanced	0	0	0	0	0	0	1	0	0	0	напреднал
advancement	0	0	0	0	0	0	1	0	0	0	напредък
advancing	0	0	0	0	0	0	0	0	0	0	напредване
advantage	0	0	0	0	0	0	1	0	0	0	предимство
advantageous	0	0	0	0	0	0	1	0	0	0	изгодно
advent	0	1	0	0	1	0	1	0	0	1	идване
adventure	0	1	0	0	0	0	1	0	0	0	приключение
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	приключенски
adversary	1	0	0	0	0	1	0	0	0	0	противник
adverse	1	0	1	1	0	1	0	1	0	0	неблагоприятен
adversity	1	0	0	1	0	1	0	1	0	0	несгоди
advertise	0	0	0	0	0	0	0	0	0	0	рекламирам
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	съвет
advisable	0	0	0	0	0	0	1	0	0	1	препоръчително
