English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Catalan Word
aback	0	0	0	0	0	0	0	0	0	0	descoratjat
abacus	0	0	0	0	0	0	0	0	0	1	àbac
abandon	0	0	0	1	0	1	0	1	0	0	abandonar
abandoned	1	0	0	1	0	1	0	1	0	0	abandonat
abandonment	1	0	0	1	0	1	0	1	1	0	abandonament
abate	0	0	0	0	0	0	0	0	0	0	disminuir
abatement	0	0	0	0	0	0	0	0	0	0	reducció
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abat
abbreviate	0	0	0	0	0	0	0	0	0	0	abreujar
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviatura
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	abducció
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberració
abeyance	0	0	0	0	0	0	0	0	0	0	suspensió
abhor	1	0	1	1	0	1	0	0	0	0	aborrecer
abhorrent	1	0	1	1	0	1	0	0	0	0	repugnant
abide	0	0	0	0	0	0	0	0	0	0	acatar
ability	0	0	0	0	0	0	1	0	0	0	capacitat
abject	0	0	1	0	0	1	0	0	0	0	abjecte
ablation	0	0	0	0	0	0	0	0	0	0	ablació
ablaze	0	0	0	0	0	0	0	0	0	0	ardent
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	a bord
abode	0	0	0	0	0	0	0	0	0	0	residència
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolició
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abominació
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigen
abort	0	0	0	0	0	1	0	0	0	0	avortar
abortion	0	0	1	1	0	1	0	1	0	0	l'avortament
abortive	0	0	0	0	0	1	0	1	0	0	avortat
abound	0	0	0	0	0	0	0	0	0	0	abunden
abovementioned	0	0	0	0	0	0	1	0	0	0	esmentat abans
abrasion	0	0	0	0	0	1	0	0	0	0	abrasió
abroad	0	0	0	0	0	0	0	0	0	0	a l'estranger
abrogate	0	0	0	0	0	1	0	0	0	0	abrogar
abrupt	0	0	0	0	0	0	0	0	1	0	abrupte
abruptly	0	0	0	0	0	0	0	0	0	0	bruscament
abscess	0	0	0	0	0	1	0	1	0	0	abscés
absence	0	0	0	1	0	1	0	1	0	0	absència
absent	0	0	0	0	0	1	0	1	0	0	absent
absentee	0	0	0	0	0	1	0	1	0	0	absent
absenteeism	0	0	0	0	0	1	0	0	0	0	absentisme
absinthe	0	0	0	0	0	0	0	0	0	0	absenta
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	l'absolució
absorbed	0	0	0	0	0	0	1	0	0	0	absorbit
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	absorbent
absorption	0	0	0	0	0	0	0	0	0	0	absorció
abstain	0	0	0	0	0	0	0	0	0	0	abstenir-se
abstention	0	0	0	0	0	0	0	0	0	0	abstenció
abstinence	0	0	0	0	0	0	0	0	0	0	abstinència
abstract	0	0	0	0	0	0	0	0	0	0	abstracte
abstraction	0	0	0	0	0	0	0	0	0	0	abstracció
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditat
abundance	0	1	1	0	1	1	1	0	0	1	abundància
abundant	0	0	0	0	1	0	1	0	0	0	abundants
abuse	1	0	1	1	0	1	0	1	0	0	abús
