English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Cebuano Word
aback	0	0	0	0	0	0	0	0	0	0	katingala
abacus	0	0	0	0	0	0	0	0	0	1	abako
abandon	0	0	0	1	0	1	0	1	0	0	biyaan
abandoned	1	0	0	1	0	1	0	1	0	0	gibiyaan
abandonment	1	0	0	1	0	1	0	1	1	0	pagbiya
abate	0	0	0	0	0	0	0	0	0	0	mihinay
abatement	0	0	0	0	0	0	0	0	0	0	pagminus
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	minubo
abbreviation	0	0	0	0	0	0	0	0	0	0	abbreviation
abdomen	0	0	0	0	0	0	0	0	0	0	tiyan
abdominal	0	0	0	0	0	0	0	0	0	0	tiyan
abduction	0	0	0	1	0	1	0	1	1	0	pagdagit
aberrant	0	0	0	0	0	1	0	0	0	0	nagtipas
aberration	0	0	1	0	0	1	0	0	0	0	aberasyon
abeyance	0	0	0	0	0	0	0	0	0	0	pagpaubos
abhor	1	0	1	1	0	1	0	0	0	0	pagdumot
abhorrent	1	0	1	1	0	1	0	0	0	0	salawayon
abide	0	0	0	0	0	0	0	0	0	0	magpabilin
ability	0	0	0	0	0	0	1	0	0	0	abilidad
abject	0	0	1	0	0	1	0	0	0	0	talamayon
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	nagdilaab
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
aboard	0	0	0	0	0	0	0	0	0	0	sakay
abode	0	0	0	0	0	0	0	0	0	0	pinuy-anan
abolish	1	0	0	0	0	1	0	0	0	0	wagtangon
abolition	0	0	0	0	0	1	0	0	0	0	pagwagtang
abominable	0	0	1	1	0	1	0	0	0	0	salawayon
abomination	1	0	1	1	0	1	0	0	0	0	dulumtanan
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	abort
abortion	0	0	1	1	0	1	0	1	0	0	aborsyon
abortive	0	0	0	0	0	1	0	1	0	0	abortive
abound	0	0	0	0	0	0	0	0	0	0	abunda
abovementioned	0	0	0	0	0	0	1	0	0	0	gihisgutan sa ibabaw
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	sa gawas sa nasud
