English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chichewa Word
aback	0	0	0	0	0	0	0	0	0	0	aback
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	kusiya
abandoned	1	0	0	1	0	1	0	1	0	0	kusiyidwa
abandonment	1	0	0	1	0	1	0	1	1	0	kusiyidwa
abate	0	0	0	0	0	0	0	0	0	0	chepetsa
abatement	0	0	0	0	0	0	0	0	0	0	kuchepetsa
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abambo
abbreviate	0	0	0	0	0	0	0	0	0	0	chidule
abbreviation	0	0	0	0	0	0	0	0	0	0	chidule
abdomen	0	0	0	0	0	0	0	0	0	0	pamimba
abdominal	0	0	0	0	0	0	0	0	0	0	m'mimba
abduction	0	0	0	1	0	1	0	1	1	0	kulanda
aberrant	0	0	0	0	0	1	0	0	0	0	wosokoneza
aberration	0	0	1	0	0	1	0	0	0	0	kusokonekera
abeyance	0	0	0	0	0	0	0	0	0	0	kusiya
abhor	1	0	1	1	0	1	0	0	0	0	kunyansidwa
abhorrent	1	0	1	1	0	1	0	0	0	0	zonyansa
abide	0	0	0	0	0	0	0	0	0	0	khalani
ability	0	0	0	0	0	0	1	0	0	0	luso
abject	0	0	1	0	0	1	0	0	0	0	woipa
ablation	0	0	0	0	0	0	0	0	0	0	kuchotsa
ablaze	0	0	0	0	0	0	0	0	0	0	kuyaka
abnormal	0	0	1	0	0	1	0	0	0	0	zachilendo
aboard	0	0	0	0	0	0	0	0	0	0	kukwera
abode	0	0	0	0	0	0	0	0	0	0	kukhala
abolish	1	0	0	0	0	1	0	0	0	0	kuthetsa
abolition	0	0	0	0	0	1	0	0	0	0	kuthetsedwa
abominable	0	0	1	1	0	1	0	0	0	0	zonyansa
abomination	1	0	1	1	0	1	0	0	0	0	chonyansa
aboriginal	0	0	0	0	0	0	0	0	0	0	wachiaborijini
abort	0	0	0	0	0	1	0	0	0	0	kuchotsa mimba
abortion	0	0	1	1	0	1	0	1	0	0	kuchotsa mimba
abortive	0	0	0	0	0	1	0	1	0	0	wochotsa mimba
abound	0	0	0	0	0	0	0	0	0	0	kuchuluka
abovementioned	0	0	0	0	0	0	1	0	0	0	zotchulidwa pamwambapa
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	kunja
abrogate	0	0	0	0	0	1	0	0	0	0	kufufuta
abrupt	0	0	0	0	0	0	0	0	1	0	mwadzidzidzi
abruptly	0	0	0	0	0	0	0	0	0	0	mwadzidzidzi
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	kusapezeka
absent	0	0	0	0	0	1	0	1	0	0	palibe
absentee	0	0	0	0	0	1	0	1	0	0	kulibe
absenteeism	0	0	0	0	0	1	0	0	0	0	kusagwira ntchito
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	mtheradi
absolution	0	0	0	0	1	0	1	0	0	1	kukhululukidwa
absorbed	0	0	0	0	0	0	1	0	0	0	kutengeka
absorbent	0	0	0	0	0	0	0	0	0	0	kuyamwa
absorbing	0	0	0	0	0	0	0	0	0	0	kuyamwa
absorption	0	0	0	0	0	0	0	0	0	0	kuyamwa
abstain	0	0	0	0	0	0	0	0	0	0	pewa
abstention	0	0	0	0	0	0	0	0	0	0	kudziletsa
abstinence	0	0	0	0	0	0	0	0	0	0	kudziletsa
abstract	0	0	0	0	0	0	0	0	0	0	mwatsatanetsatane
abstraction	0	0	0	0	0	0	0	0	0	0	kufotokoza
absurd	0	0	0	0	0	1	0	0	0	0	zosamveka
absurdity	0	0	0	0	0	1	0	0	0	0	zopanda pake
abundance	0	1	1	0	1	1	1	0	0	1	kuchuluka
abundant	0	0	0	0	1	0	1	0	0	0	zambiri
abuse	1	0	1	1	0	1	0	1	0	0	nkhanza
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	pa
abysmal	0	0	0	0	0	1	0	1	0	0	zonyansa
abyss	0	0	0	1	0	1	0	1	0	0	phompho
academic	0	0	0	0	0	0	1	0	0	1	maphunziro
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	vomereza
accelerate	0	1	0	0	0	0	0	0	0	0	fulumira
acceleration	0	0	0	0	0	0	0	0	0	0	kuthamangitsa
accent	0	0	0	0	0	0	0	0	0	0	katchulidwe ka mawu
accentuate	0	0	0	0	0	0	0	0	0	0	tsindika
accept	0	0	0	0	0	0	0	0	0	0	kuvomereza
acceptable	0	0	0	0	0	0	1	0	0	0	chovomerezeka
acceptance	0	0	0	0	0	0	1	0	0	0	kuvomereza
access	0	0	0	0	0	0	0	0	0	0	mwayi
accessible	0	0	0	0	0	0	1	0	0	0	chofikika
accession	0	0	0	0	0	0	0	0	0	0	kulowa
accessory	0	0	0	0	0	0	0	0	0	0	chowonjezera
accident	0	0	0	1	0	1	0	1	1	0	ngozi
accidental	0	0	0	1	0	1	0	0	1	0	mwangozi
accidentally	0	0	0	0	0	0	0	0	1	0	mwangozi
accolade	0	1	0	0	1	0	1	0	1	1	kuyamikira
accommodate	0	0	0	0	0	0	0	0	0	0	khalamo
accommodation	0	0	0	0	0	0	1	0	0	0	malo ogona
accompaniment	0	1	0	0	1	0	1	0	0	1	kutsagana
accompany	0	0	0	0	0	0	0	0	0	0	perekeza
accompanying	0	0	0	0	0	0	0	0	0	0	motsatana ndi
accomplice	0	0	0	0	0	0	0	0	0	0	kuthandizira
accomplish	0	0	0	0	1	0	1	0	0	0	kukwaniritsa
accomplished	0	0	0	0	1	0	1	0	0	0	zakwaniritsidwa
