English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chinese-Simplified Word
aback	0	0	0	0	0	0	0	0	0	0	吃惊
abacus	0	0	0	0	0	0	0	0	0	1	算盘
abandon	0	0	0	1	0	1	0	1	0	0	放弃
abandoned	1	0	0	1	0	1	0	1	0	0	弃
abandonment	1	0	0	1	0	1	0	1	1	0	放弃
abate	0	0	0	0	0	0	0	0	0	0	减弱
abatement	0	0	0	0	0	0	0	0	0	0	减排
abba	0	0	0	0	0	0	1	0	0	0	阿爸
abbot	0	0	0	0	0	0	0	0	0	1	方丈
abbreviate	0	0	0	0	0	0	0	0	0	0	缩写
abbreviation	0	0	0	0	0	0	0	0	0	0	缩写
abdomen	0	0	0	0	0	0	0	0	0	0	腹部
abdominal	0	0	0	0	0	0	0	0	0	0	腹部
abduction	0	0	0	1	0	1	0	1	1	0	绑架
aberrant	0	0	0	0	0	1	0	0	0	0	异常
aberration	0	0	1	0	0	1	0	0	0	0	像差
abeyance	0	0	0	0	0	0	0	0	0	0	暂停
abhor	1	0	1	1	0	1	0	0	0	0	痛恨
abhorrent	1	0	1	1	0	1	0	0	0	0	可恶的
abide	0	0	0	0	0	0	0	0	0	0	遵守
ability	0	0	0	0	0	0	1	0	0	0	能力
abject	0	0	1	0	0	1	0	0	0	0	下贱的
ablation	0	0	0	0	0	0	0	0	0	0	消融
ablaze	0	0	0	0	0	0	0	0	0	0	燃烧的
abnormal	0	0	1	0	0	1	0	0	0	0	异常
aboard	0	0	0	0	0	0	0	0	0	0	船上
abode	0	0	0	0	0	0	0	0	0	0	住所
abolish	1	0	0	0	0	1	0	0	0	0	废除
abolition	0	0	0	0	0	1	0	0	0	0	废除
abominable	0	0	1	1	0	1	0	0	0	0	可恶
abomination	1	0	1	1	0	1	0	0	0	0	厌恶
aboriginal	0	0	0	0	0	0	0	0	0	0	土著
abort	0	0	0	0	0	1	0	0	0	0	中止
abortion	0	0	1	1	0	1	0	1	0	0	流产
abortive	0	0	0	0	0	1	0	1	0	0	未遂
abound	0	0	0	0	0	0	0	0	0	0	盛产
abovementioned	0	0	0	0	0	0	1	0	0	0	上述
abrasion	0	0	0	0	0	1	0	0	0	0	磨损
abroad	0	0	0	0	0	0	0	0	0	0	国外
abrogate	0	0	0	0	0	1	0	0	0	0	废除
abrupt	0	0	0	0	0	0	0	0	1	0	突然
abruptly	0	0	0	0	0	0	0	0	0	0	突然
abscess	0	0	0	0	0	1	0	1	0	0	脓肿
absence	0	0	0	1	0	1	0	1	0	0	缺席
absent	0	0	0	0	0	1	0	1	0	0	缺席的
absentee	0	0	0	0	0	1	0	1	0	0	缺席者
absenteeism	0	0	0	0	0	1	0	0	0	0	旷工
absinthe	0	0	0	0	0	0	0	0	0	0	苦艾酒
absolute	0	0	0	0	0	0	1	0	0	0	绝对
absolution	0	0	0	0	1	0	1	0	0	1	赦免
absorbed	0	0	0	0	0	0	1	0	0	0	吸收
absorbent	0	0	0	0	0	0	0	0	0	0	吸水
absorbing	0	0	0	0	0	0	0	0	0	0	吸收
absorption	0	0	0	0	0	0	0	0	0	0	吸收
abstain	0	0	0	0	0	0	0	0	0	0	弃权
abstention	0	0	0	0	0	0	0	0	0	0	弃权
abstinence	0	0	0	0	0	0	0	0	0	0	节制
abstract	0	0	0	0	0	0	0	0	0	0	抽象的
abstraction	0	0	0	0	0	0	0	0	0	0	抽象
absurd	0	0	0	0	0	1	0	0	0	0	荒诞
absurdity	0	0	0	0	0	1	0	0	0	0	荒谬
abundance	0	1	1	0	1	1	1	0	0	1	丰富
abundant	0	0	0	0	1	0	1	0	0	0	丰富
abuse	1	0	1	1	0	1	0	1	0	0	虐待
abutment	0	0	0	0	0	0	0	0	0	0	邻接
aby	0	0	0	0	0	0	0	0	0	0	阿比
abysmal	0	0	0	0	0	1	0	1	0	0	糟糕透了
abyss	0	0	0	1	0	1	0	1	0	0	深渊
academic	0	0	0	0	0	0	1	0	0	1	学术的
academy	0	0	0	0	0	0	1	0	0	0	学院
accede	0	0	0	0	0	0	0	0	0	0	加入
accelerate	0	1	0	0	0	0	0	0	0	0	加速
acceleration	0	0	0	0	0	0	0	0	0	0	加速度
accent	0	0	0	0	0	0	0	0	0	0	口音
accentuate	0	0	0	0	0	0	0	0	0	0	强调
accept	0	0	0	0	0	0	0	0	0	0	接受
acceptable	0	0	0	0	0	0	1	0	0	0	可接受的
acceptance	0	0	0	0	0	0	1	0	0	0	验收
access	0	0	0	0	0	0	0	0	0	0	使用权
accessible	0	0	0	0	0	0	1	0	0	0	无障碍
accession	0	0	0	0	0	0	0	0	0	0	加入
accessory	0	0	0	0	0	0	0	0	0	0	配饰
accident	0	0	0	1	0	1	0	1	1	0	事故
accidental	0	0	0	1	0	1	0	0	1	0	偶然
accidentally	0	0	0	0	0	0	0	0	1	0	偶然
accolade	0	1	0	0	1	0	1	0	1	1	荣誉
accommodate	0	0	0	0	0	0	0	0	0	0	容纳
accommodation	0	0	0	0	0	0	1	0	0	0	住宿
accompaniment	0	1	0	0	1	0	1	0	0	1	伴奏
accompany	0	0	0	0	0	0	0	0	0	0	陪伴
accompanying	0	0	0	0	0	0	0	0	0	0	随同
accomplice	0	0	0	0	0	0	0	0	0	0	同案犯
accomplish	0	0	0	0	1	0	1	0	0	0	完成
accomplished	0	0	0	0	1	0	1	0	0	0	完成
accomplishment	0	0	0	0	0	0	1	0	0	0	成就
accord	0	0	0	0	0	0	1	0	0	1	符合
accordance	0	0	0	0	0	0	0	0	0	0	按照
accordion	0	0	0	0	0	0	0	0	0	0	手风琴
account	0	0	0	0	0	0	0	0	0	1	帐户
accountability	0	0	0	0	0	0	1	0	0	1	问责制
accountable	0	0	0	0	0	0	1	0	0	1	负责任的
accountant	0	0	0	0	0	0	0	0	0	1	会计
accounting	0	0	0	0	0	0	0	0	0	0	会计
accounts	0	0	0	0	0	0	0	0	0	1	帐户
accredited	0	0	0	0	0	0	1	0	0	1	认可的
accretion	0	0	0	0	0	0	0	0	0	0	吸积
accrue	0	0	0	0	0	0	0	0	0	0	累积
