English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chinese-Traditional Word
aback	0	0	0	0	0	0	0	0	0	0	吃驚
abacus	0	0	0	0	0	0	0	0	0	1	算盤
abandon	0	0	0	1	0	1	0	1	0	0	放棄
abandoned	1	0	0	1	0	1	0	1	0	0	棄
abandonment	1	0	0	1	0	1	0	1	1	0	放棄
abate	0	0	0	0	0	0	0	0	0	0	減弱
abatement	0	0	0	0	0	0	0	0	0	0	減排
abba	0	0	0	0	0	0	1	0	0	0	阿爸
abbot	0	0	0	0	0	0	0	0	0	1	方丈
abbreviate	0	0	0	0	0	0	0	0	0	0	縮寫
abbreviation	0	0	0	0	0	0	0	0	0	0	縮寫
abdomen	0	0	0	0	0	0	0	0	0	0	腹部
abdominal	0	0	0	0	0	0	0	0	0	0	腹部
abduction	0	0	0	1	0	1	0	1	1	0	綁架
aberrant	0	0	0	0	0	1	0	0	0	0	異常
aberration	0	0	1	0	0	1	0	0	0	0	像差
abeyance	0	0	0	0	0	0	0	0	0	0	暫停
abhor	1	0	1	1	0	1	0	0	0	0	痛恨
abhorrent	1	0	1	1	0	1	0	0	0	0	可惡的
abide	0	0	0	0	0	0	0	0	0	0	遵守
ability	0	0	0	0	0	0	1	0	0	0	能力
abject	0	0	1	0	0	1	0	0	0	0	下賤的
ablation	0	0	0	0	0	0	0	0	0	0	消融
ablaze	0	0	0	0	0	0	0	0	0	0	燃燒的
abnormal	0	0	1	0	0	1	0	0	0	0	異常
aboard	0	0	0	0	0	0	0	0	0	0	船上
abode	0	0	0	0	0	0	0	0	0	0	住所
abolish	1	0	0	0	0	1	0	0	0	0	廢除
abolition	0	0	0	0	0	1	0	0	0	0	廢除
abominable	0	0	1	1	0	1	0	0	0	0	可惡
abomination	1	0	1	1	0	1	0	0	0	0	厭惡
aboriginal	0	0	0	0	0	0	0	0	0	0	土著
abort	0	0	0	0	0	1	0	0	0	0	中止
abortion	0	0	1	1	0	1	0	1	0	0	流產
abortive	0	0	0	0	0	1	0	1	0	0	未遂
abound	0	0	0	0	0	0	0	0	0	0	盛產
abovementioned	0	0	0	0	0	0	1	0	0	0	上述
abrasion	0	0	0	0	0	1	0	0	0	0	磨損
abroad	0	0	0	0	0	0	0	0	0	0	國外
abrogate	0	0	0	0	0	1	0	0	0	0	廢除
abrupt	0	0	0	0	0	0	0	0	1	0	突然
abruptly	0	0	0	0	0	0	0	0	0	0	突然
abscess	0	0	0	0	0	1	0	1	0	0	膿腫
absence	0	0	0	1	0	1	0	1	0	0	缺席
