English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Corsican Word
aback	0	0	0	0	0	0	0	0	0	0	sbagghiatu
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	abbandunà
abandoned	1	0	0	1	0	1	0	1	0	0	abbandunatu
abandonment	1	0	0	1	0	1	0	1	1	0	abbandunamentu
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	abbattimentu
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbé
abbreviate	0	0	0	0	0	0	0	0	0	0	abbreviate
abbreviation	0	0	0	0	0	0	0	0	0	0	abbreviazione
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	addominali
abduction	0	0	0	1	0	1	0	1	1	0	rapimentu
aberrant	0	0	0	0	0	1	0	0	0	0	aberrante
aberration	0	0	1	0	0	1	0	0	0	0	aberrazione
abeyance	0	0	0	0	0	0	0	0	0	0	sospesa
abhor	1	0	1	1	0	1	0	0	0	0	detesta
abhorrent	1	0	1	1	0	1	0	0	0	0	abominevole
abide	0	0	0	0	0	0	0	0	0	0	aspittà
ability	0	0	0	0	0	0	1	0	0	0	capacità
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablazione
ablaze	0	0	0	0	0	0	0	0	0	0	ardente
abnormal	0	0	1	0	0	1	0	0	0	0	anormali
aboard	0	0	0	0	0	0	0	0	0	0	à bordu
abode	0	0	0	0	0	0	0	0	0	0	dimora
abolish	1	0	0	0	0	1	0	0	0	0	abulisce
abolition	0	0	0	0	0	1	0	0	0	0	abulizioni
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abominazione
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigeni
abort	0	0	0	0	0	1	0	0	0	0	abortu
abortion	0	0	1	1	0	1	0	1	0	0	abortu
abortive	0	0	0	0	0	1	0	1	0	0	abortivu
abound	0	0	0	0	0	0	0	0	0	0	abbundanza
abovementioned	0	0	0	0	0	0	1	0	0	0	sopra citatu
abrasion	0	0	0	0	0	1	0	0	0	0	abrasione
abroad	0	0	0	0	0	0	0	0	0	0	fora
abrogate	0	0	0	0	0	1	0	0	0	0	abrogà
abrupt	0	0	0	0	0	0	0	0	1	0	bruscu
abruptly	0	0	0	0	0	0	0	0	0	0	bruscamente
abscess	0	0	0	0	0	1	0	1	0	0	ascessu
absence	0	0	0	1	0	1	0	1	0	0	assenza
absent	0	0	0	0	0	1	0	1	0	0	assente
absentee	0	0	0	0	0	1	0	1	0	0	assente
absenteeism	0	0	0	0	0	1	0	0	0	0	assenteismu
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	assolutu
absolution	0	0	0	0	1	0	1	0	0	1	assoluzione
absorbed	0	0	0	0	0	0	1	0	0	0	assorbita
absorbent	0	0	0	0	0	0	0	0	0	0	assorbente
absorbing	0	0	0	0	0	0	0	0	0	0	assorbenti
absorption	0	0	0	0	0	0	0	0	0	0	assorbimentu
abstain	0	0	0	0	0	0	0	0	0	0	astene
abstention	0	0	0	0	0	0	0	0	0	0	astensione
abstinence	0	0	0	0	0	0	0	0	0	0	astinenza
abstract	0	0	0	0	0	0	0	0	0	0	astrattu
abstraction	0	0	0	0	0	0	0	0	0	0	astrazzioni
absurd	0	0	0	0	0	1	0	0	0	0	assurdu
absurdity	0	0	0	0	0	1	0	0	0	0	assurdità
abundance	0	1	1	0	1	1	1	0	0	1	abbundanza
abundant	0	0	0	0	1	0	1	0	0	0	abbundante
abuse	1	0	1	1	0	1	0	1	0	0	abusu
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismalu
abyss	0	0	0	1	0	1	0	1	0	0	abissu
academic	0	0	0	0	0	0	1	0	0	1	accademicu
academy	0	0	0	0	0	0	1	0	0	0	accademia
accede	0	0	0	0	0	0	0	0	0	0	accede
accelerate	0	1	0	0	0	0	0	0	0	0	accelerà
acceleration	0	0	0	0	0	0	0	0	0	0	accelerazione
accent	0	0	0	0	0	0	0	0	0	0	accentu
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	accettà
acceptable	0	0	0	0	0	0	1	0	0	0	accettabile
acceptance	0	0	0	0	0	0	1	0	0	0	accettazione
access	0	0	0	0	0	0	0	0	0	0	accessu
accessible	0	0	0	0	0	0	1	0	0	0	accessìbule
accession	0	0	0	0	0	0	0	0	0	0	adesione
accessory	0	0	0	0	0	0	0	0	0	0	accessori
accident	0	0	0	1	0	1	0	1	1	0	accidente
accidental	0	0	0	1	0	1	0	0	1	0	accidintali
accidentally	0	0	0	0	0	0	0	0	1	0	accidentalmente
accolade	0	1	0	0	1	0	1	0	1	1	accoltu
accommodate	0	0	0	0	0	0	0	0	0	0	accoglie
accommodation	0	0	0	0	0	0	1	0	0	0	alloghju
accompaniment	0	1	0	0	1	0	1	0	0	1	accumpagnamentu
accompany	0	0	0	0	0	0	0	0	0	0	accumpagna
accompanying	0	0	0	0	0	0	0	0	0	0	accumpagna
accomplice	0	0	0	0	0	0	0	0	0	0	complice
accomplish	0	0	0	0	1	0	1	0	0	0	compie
accomplished	0	0	0	0	1	0	1	0	0	0	compie
accomplishment	0	0	0	0	0	0	1	0	0	0	realizazione
accord	0	0	0	0	0	0	1	0	0	1	accordu
accordance	0	0	0	0	0	0	0	0	0	0	cunfurmità
accordion	0	0	0	0	0	0	0	0	0	0	fisarmonica
account	0	0	0	0	0	0	0	0	0	1	contu
accountability	0	0	0	0	0	0	1	0	0	1	accountability
accountable	0	0	0	0	0	0	1	0	0	1	rispunsevuli
accountant	0	0	0	0	0	0	0	0	0	1	contabile
accounting	0	0	0	0	0	0	0	0	0	0	cuntabilità
accounts	0	0	0	0	0	0	0	0	0	1	cunti
accredited	0	0	0	0	0	0	1	0	0	1	accreditatu
accretion	0	0	0	0	0	0	0	0	0	0	accrescimentu
accrue	0	0	0	0	0	0	0	0	0	0	accurtà
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	accumulà
