English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Croatian Word
aback	0	0	0	0	0	0	0	0	0	0	zatečen
abacus	0	0	0	0	0	0	0	0	0	1	abakus
abandon	0	0	0	1	0	1	0	1	0	0	napustiti
abandoned	1	0	0	1	0	1	0	1	0	0	napuštena
abandonment	1	0	0	1	0	1	0	1	1	0	napuštanje
abate	0	0	0	0	0	0	0	0	0	0	ublažiti se
abatement	0	0	0	0	0	0	0	0	0	0	smanjenje
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	skratiti
abbreviation	0	0	0	0	0	0	0	0	0	0	skraćenica
abdomen	0	0	0	0	0	0	0	0	0	0	trbuh
abdominal	0	0	0	0	0	0	0	0	0	0	trbušni
abduction	0	0	0	1	0	1	0	1	1	0	otmica
aberrant	0	0	0	0	0	1	0	0	0	0	nenormalan
aberration	0	0	1	0	0	1	0	0	0	0	aberacija
abeyance	0	0	0	0	0	0	0	0	0	0	mirovanje
abhor	1	0	1	1	0	1	0	0	0	0	gnušati se
abhorrent	1	0	1	1	0	1	0	0	0	0	odvratan
abide	0	0	0	0	0	0	0	0	0	0	pridržavati se
ability	0	0	0	0	0	0	1	0	0	0	sposobnost
abject	0	0	1	0	0	1	0	0	0	0	abjekat
ablation	0	0	0	0	0	0	0	0	0	0	ablacija
ablaze	0	0	0	0	0	0	0	0	0	0	u plamenu
abnormal	0	0	1	0	0	1	0	0	0	0	nenormalan
aboard	0	0	0	0	0	0	0	0	0	0	na brodu
abode	0	0	0	0	0	0	0	0	0	0	prebivalište
abolish	1	0	0	0	0	1	0	0	0	0	ukinuti
abolition	0	0	0	0	0	1	0	0	0	0	ukidanje
abominable	0	0	1	1	0	1	0	0	0	0	odvratan
abomination	1	0	1	1	0	1	0	0	0	0	odvratnost
aboriginal	0	0	0	0	0	0	0	0	0	0	starosjedilac
abort	0	0	0	0	0	1	0	0	0	0	prekid
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	prijevremen
abound	0	0	0	0	0	0	0	0	0	0	obilovati
abovementioned	0	0	0	0	0	0	1	0	0	0	gore rečeno
abrasion	0	0	0	0	0	1	0	0	0	0	abrazija
abroad	0	0	0	0	0	0	0	0	0	0	u inozemstvu
abrogate	0	0	0	0	0	1	0	0	0	0	poništiti
abrupt	0	0	0	0	0	0	0	0	1	0	isprekidan
