English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Czech Word
aback	0	0	0	0	0	0	0	0	0	0	zaražený
abacus	0	0	0	0	0	0	0	0	0	1	počitadlo
abandon	0	0	0	1	0	1	0	1	0	0	opustit
abandoned	1	0	0	1	0	1	0	1	0	0	opuštěný
abandonment	1	0	0	1	0	1	0	1	1	0	opuštění
abate	0	0	0	0	0	0	0	0	0	0	polevit
abatement	0	0	0	0	0	0	0	0	0	0	snížení
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	opat
abbreviate	0	0	0	0	0	0	0	0	0	0	zkrátit
abbreviation	0	0	0	0	0	0	0	0	0	0	zkratka
abdomen	0	0	0	0	0	0	0	0	0	0	břicho
abdominal	0	0	0	0	0	0	0	0	0	0	břišní
abduction	0	0	0	1	0	1	0	1	1	0	únos
aberrant	0	0	0	0	0	1	0	0	0	0	odchylný
aberration	0	0	1	0	0	1	0	0	0	0	aberace
abeyance	0	0	0	0	0	0	0	0	0	0	suspenze
abhor	1	0	1	1	0	1	0	0	0	0	hnusit si
abhorrent	1	0	1	1	0	1	0	0	0	0	odporný
abide	0	0	0	0	0	0	0	0	0	0	dodržet
ability	0	0	0	0	0	0	1	0	0	0	schopnost
abject	0	0	1	0	0	1	0	0	0	0	ubohý
ablation	0	0	0	0	0	0	0	0	0	0	ablace
ablaze	0	0	0	0	0	0	0	0	0	0	hořet
abnormal	0	0	1	0	0	1	0	0	0	0	abnormální
aboard	0	0	0	0	0	0	0	0	0	0	na palubě
abode	0	0	0	0	0	0	0	0	0	0	příbytek
abolish	1	0	0	0	0	1	0	0	0	0	zrušit
abolition	0	0	0	0	0	1	0	0	0	0	zrušení
abominable	0	0	1	1	0	1	0	0	0	0	odporný
abomination	1	0	1	1	0	1	0	0	0	0	ohavnost
aboriginal	0	0	0	0	0	0	0	0	0	0	domorodý
abort	0	0	0	0	0	1	0	0	0	0	přerušit
abortion	0	0	1	1	0	1	0	1	0	0	potrat
abortive	0	0	0	0	0	1	0	1	0	0	neúspěšný
abound	0	0	0	0	0	0	0	0	0	0	oplývat
abovementioned	0	0	0	0	0	0	1	0	0	0	výše zmíněné
abrasion	0	0	0	0	0	1	0	0	0	0	oděru
abroad	0	0	0	0	0	0	0	0	0	0	v cizině
abrogate	0	0	0	0	0	1	0	0	0	0	zrušit
abrupt	0	0	0	0	0	0	0	0	1	0	náhlý
abruptly	0	0	0	0	0	0	0	0	0	0	náhle
abscess	0	0	0	0	0	1	0	1	0	0	absces
absence	0	0	0	1	0	1	0	1	0	0	absence
absent	0	0	0	0	0	1	0	1	0	0	nepřítomný
absentee	0	0	0	0	0	1	0	1	0	0	nepřítomný
absenteeism	0	0	0	0	0	1	0	0	0	0	absentérství
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolutní
absolution	0	0	0	0	1	0	1	0	0	1	rozhřešení
absorbed	0	0	0	0	0	0	1	0	0	0	absorbován
absorbent	0	0	0	0	0	0	0	0	0	0	savý
absorbing	0	0	0	0	0	0	0	0	0	0	pohlcující
absorption	0	0	0	0	0	0	0	0	0	0	vstřebávání
abstain	0	0	0	0	0	0	0	0	0	0	zdržet se hlasování
abstention	0	0	0	0	0	0	0	0	0	0	zdržení se hlasování
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	abstraktní
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakce
absurd	0	0	0	0	0	1	0	0	0	0	absurdní
absurdity	0	0	0	0	0	1	0	0	0	0	nesmyslnost
abundance	0	1	1	0	1	1	1	0	0	1	hojnost
abundant	0	0	0	0	1	0	1	0	0	0	hojný
abuse	1	0	1	1	0	1	0	1	0	0	zneužívání
abutment	0	0	0	0	0	0	0	0	0	0	opěra
aby	0	0	0	0	0	0	0	0	0	0	propast
abysmal	0	0	0	0	0	1	0	1	0	0	propastný
abyss	0	0	0	1	0	1	0	1	0	0	propast
academic	0	0	0	0	0	0	1	0	0	1	akademický
academy	0	0	0	0	0	0	1	0	0	0	akademie
accede	0	0	0	0	0	0	0	0	0	0	přistoupit
accelerate	0	1	0	0	0	0	0	0	0	0	urychlit
acceleration	0	0	0	0	0	0	0	0	0	0	akcelerace
accent	0	0	0	0	0	0	0	0	0	0	přízvuk
accentuate	0	0	0	0	0	0	0	0	0	0	zdůraznit
accept	0	0	0	0	0	0	0	0	0	0	akceptovat
acceptable	0	0	0	0	0	0	1	0	0	0	přijatelný
acceptance	0	0	0	0	0	0	1	0	0	0	přijetí
access	0	0	0	0	0	0	0	0	0	0	přístup
accessible	0	0	0	0	0	0	1	0	0	0	přístupný
accession	0	0	0	0	0	0	0	0	0	0	přistoupení
accessory	0	0	0	0	0	0	0	0	0	0	příslušenství
accident	0	0	0	1	0	1	0	1	1	0	nehoda
accidental	0	0	0	1	0	1	0	0	1	0	náhodné
accidentally	0	0	0	0	0	0	0	0	1	0	náhodou
accolade	0	1	0	0	1	0	1	0	1	1	vyznamenání
accommodate	0	0	0	0	0	0	0	0	0	0	ubytovat
accommodation	0	0	0	0	0	0	1	0	0	0	ubytování
accompaniment	0	1	0	0	1	0	1	0	0	1	doprovod
accompany	0	0	0	0	0	0	0	0	0	0	doprovázet
accompanying	0	0	0	0	0	0	0	0	0	0	doprovázející
accomplice	0	0	0	0	0	0	0	0	0	0	spolupachatel
accomplish	0	0	0	0	1	0	1	0	0	0	splnit
accomplished	0	0	0	0	1	0	1	0	0	0	dokonalý
accomplishment	0	0	0	0	0	0	1	0	0	0	dosažení
accord	0	0	0	0	0	0	1	0	0	1	souhlas
accordance	0	0	0	0	0	0	0	0	0	0	soulad
accordion	0	0	0	0	0	0	0	0	0	0	akordeon
account	0	0	0	0	0	0	0	0	0	1	účet
accountability	0	0	0	0	0	0	1	0	0	1	odpovědnost
accountable	0	0	0	0	0	0	1	0	0	1	odpovědný
accountant	0	0	0	0	0	0	0	0	0	1	účetní
accounting	0	0	0	0	0	0	0	0	0	0	účetnictví
accounts	0	0	0	0	0	0	0	0	0	1	účty
accredited	0	0	0	0	0	0	1	0	0	1	akreditovat, pověřit, zplnomocnit
accretion	0	0	0	0	0	0	0	0	0	0	navýšení
accrue	0	0	0	0	0	0	0	0	0	0	narůstat
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akumulovat
accumulation	0	0	0	0	0	0	0	0	0	0	nashromáždění
accuracy	0	0	0	0	0	0	0	0	0	0	přesnost
accurate	0	0	0	0	0	0	1	0	0	1	přesný
accursed	1	0	0	1	0	1	0	1	0	0	prokletý
accusation	1	0	1	0	0	1	0	0	0	0	obvinění
accusative	0	0	0	0	0	1	0	0	0	0	akuzativ
accused	1	0	0	1	0	1	0	0	0	0	obžalovaný
accuser	1	0	0	1	0	1	0	0	0	0	žalobce
accusing	1	0	0	1	0	1	0	0	0	0	obviňující
accustomed	0	0	0	0	0	0	0	0	0	0	zvyklý
ace	0	0	0	0	0	0	1	0	0	0	eso
acetic	0	0	0	0	0	0	0	0	0	0	octový
