English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Danish Word
aback	0	0	0	0	0	0	0	0	0	0	overrasket
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	opgive
abandoned	1	0	0	1	0	1	0	1	0	0	forladt
abandonment	1	0	0	1	0	1	0	1	1	0	opgivelse
abate	0	0	0	0	0	0	0	0	0	0	aftage
abatement	0	0	0	0	0	0	0	0	0	0	reduktion
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbed
abbreviate	0	0	0	0	0	0	0	0	0	0	forkorte
abbreviation	0	0	0	0	0	0	0	0	0	0	forkortelse
abdomen	0	0	0	0	0	0	0	0	0	0	mave
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	bortførelse
aberrant	0	0	0	0	0	1	0	0	0	0	afvigende
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	afholdenhed
abhor	1	0	1	1	0	1	0	0	0	0	afsky
abhorrent	1	0	1	1	0	1	0	0	0	0	afskyeligt
abide	0	0	0	0	0	0	0	0	0	0	overholde
ability	0	0	0	0	0	0	1	0	0	0	evne
abject	0	0	1	0	0	1	0	0	0	0	afskyeligt
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	i flammer
abnormal	0	0	1	0	0	1	0	0	0	0	abnorm
aboard	0	0	0	0	0	0	0	0	0	0	ombord
abode	0	0	0	0	0	0	0	0	0	0	opholdssted
abolish	1	0	0	0	0	1	0	0	0	0	afskaffe
abolition	0	0	0	0	0	1	0	0	0	0	afskaffelse
abominable	0	0	1	1	0	1	0	0	0	0	afskyeligt
abomination	1	0	1	1	0	1	0	0	0	0	vederstyggelighed
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	abort
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	mislykket
abound	0	0	0	0	0	0	0	0	0	0	bugne
abovementioned	0	0	0	0	0	0	1	0	0	0	ovennævnte
abrasion	0	0	0	0	0	1	0	0	0	0	slid
abroad	0	0	0	0	0	0	0	0	0	0	i udlandet
abrogate	0	0	0	0	0	1	0	0	0	0	ophæve
abrupt	0	0	0	0	0	0	0	0	1	0	brat
abruptly	0	0	0	0	0	0	0	0	0	0	brat
abscess	0	0	0	0	0	1	0	1	0	0	byld
absence	0	0	0	1	0	1	0	1	0	0	fravær
absent	0	0	0	0	0	1	0	1	0	0	fraværende
absentee	0	0	0	0	0	1	0	1	0	0	fraværende
absenteeism	0	0	0	0	0	1	0	0	0	0	fravær
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	absorberet
absorbent	0	0	0	0	0	0	0	0	0	0	absorberende
absorbing	0	0	0	0	0	0	0	0	0	0	absorberende
absorption	0	0	0	0	0	0	0	0	0	0	absorption
abstain	0	0	0	0	0	0	0	0	0	0	afholde sig
abstention	0	0	0	0	0	0	0	0	0	0	undladelse
abstinence	0	0	0	0	0	0	0	0	0	0	afholdenhed
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	abstraktion
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditet
abundance	0	1	1	0	1	1	1	0	0	1	overflod
abundant	0	0	0	0	1	0	1	0	0	0	rigelig
abuse	1	0	1	1	0	1	0	1	0	0	misbrug
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	afgrundsdyb
abyss	0	0	0	1	0	1	0	1	0	0	afgrunden
academic	0	0	0	0	0	0	1	0	0	1	akademisk
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	tiltræde
accelerate	0	1	0	0	0	0	0	0	0	0	fremskynde
acceleration	0	0	0	0	0	0	0	0	0	0	acceleration
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	fremhæve
accept	0	0	0	0	0	0	0	0	0	0	acceptere
acceptable	0	0	0	0	0	0	1	0	0	0	acceptabelt
acceptance	0	0	0	0	0	0	1	0	0	0	accept
access	0	0	0	0	0	0	0	0	0	0	adgang
accessible	0	0	0	0	0	0	1	0	0	0	tilgængelig
accession	0	0	0	0	0	0	0	0	0	0	tiltrædelse
accessory	0	0	0	0	0	0	0	0	0	0	tilbehør
accident	0	0	0	1	0	1	0	1	1	0	ulykke
accidental	0	0	0	1	0	1	0	0	1	0	tilfældig
accidentally	0	0	0	0	0	0	0	0	1	0	ved en fejltagelse
accolade	0	1	0	0	1	0	1	0	1	1	anerkendelse
accommodate	0	0	0	0	0	0	0	0	0	0	imødekomme
accommodation	0	0	0	0	0	0	1	0	0	0	indkvartering
accompaniment	0	1	0	0	1	0	1	0	0	1	akkompagnement
accompany	0	0	0	0	0	0	0	0	0	0	ledsage
accompanying	0	0	0	0	0	0	0	0	0	0	medfølgende
accomplice	0	0	0	0	0	0	0	0	0	0	medskyldig
accomplish	0	0	0	0	1	0	1	0	0	0	opnå
accomplished	0	0	0	0	1	0	1	0	0	0	gennemført
accomplishment	0	0	0	0	0	0	1	0	0	0	præstation
accord	0	0	0	0	0	0	1	0	0	1	aftale
accordance	0	0	0	0	0	0	0	0	0	0	overensstemmelse
accordion	0	0	0	0	0	0	0	0	0	0	harmonika
account	0	0	0	0	0	0	0	0	0	1	konto
accountability	0	0	0	0	0	0	1	0	0	1	ansvarlighed
accountable	0	0	0	0	0	0	1	0	0	1	ansvarlig
accountant	0	0	0	0	0	0	0	0	0	1	revisor
accounting	0	0	0	0	0	0	0	0	0	0	regnskab
accounts	0	0	0	0	0	0	0	0	0	1	regnskaber
accredited	0	0	0	0	0	0	1	0	0	1	akkrediteret
accretion	0	0	0	0	0	0	0	0	0	0	tilvækst
accrue	0	0	0	0	0	0	0	0	0	0	tilfalde
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ophobe
accumulation	0	0	0	0	0	0	0	0	0	0	akkumulering
accuracy	0	0	0	0	0	0	0	0	0	0	nøjagtighed
accurate	0	0	0	0	0	0	1	0	0	1	nøjagtig
accursed	1	0	0	1	0	1	0	1	0	0	forbandet
accusation	1	0	1	0	0	1	0	0	0	0	anklage
accusative	0	0	0	0	0	1	0	0	0	0	akkusativ
accused	1	0	0	1	0	1	0	0	0	0	anklagede
accuser	1	0	0	1	0	1	0	0	0	0	anklager
accusing	1	0	0	1	0	1	0	0	0	0	anklagende
accustomed	0	0	0	0	0	0	0	0	0	0	vant
ace	0	0	0	0	0	0	1	0	0	0	es
acetic	0	0	0	0	0	0	0	0	0	0	eddikesyre
ache	0	0	0	0	0	1	0	1	0	0	smerte
achieve	0	0	0	0	1	0	1	0	0	1	opnå
achievement	0	1	0	0	1	0	1	0	0	1	præstation
aching	0	0	0	0	0	1	0	1	0	0	ømme
acid	0	0	0	0	0	1	0	0	0	0	syre
acidity	0	0	0	0	0	0	0	0	0	0	surhedsgrad
acknowledge	0	0	0	0	0	0	0	0	0	0	anerkende
