English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Dutch Word
aback	0	0	0	0	0	0	0	0	0	0	verbijsterd
abacus	0	0	0	0	0	0	0	0	0	1	telraam
abandon	0	0	0	1	0	1	0	1	0	0	in de steek laten
abandoned	1	0	0	1	0	1	0	1	0	0	verlaten
abandonment	1	0	0	1	0	1	0	1	1	0	in de steek laten
abate	0	0	0	0	0	0	0	0	0	0	verminderen
abatement	0	0	0	0	0	0	0	0	0	0	vermindering
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abt
abbreviate	0	0	0	0	0	0	0	0	0	0	afkorten
abbreviation	0	0	0	0	0	0	0	0	0	0	afkorting
abdomen	0	0	0	0	0	0	0	0	0	0	buikspier
abdominal	0	0	0	0	0	0	0	0	0	0	buik
abduction	0	0	0	1	0	1	0	1	1	0	ontvoering
aberrant	0	0	0	0	0	1	0	0	0	0	afwijkend
aberration	0	0	1	0	0	1	0	0	0	0	aberratie
abeyance	0	0	0	0	0	0	0	0	0	0	opschorting
abhor	1	0	1	1	0	1	0	0	0	0	verafschuwen
abhorrent	1	0	1	1	0	1	0	0	0	0	weerzinwekkend
abide	0	0	0	0	0	0	0	0	0	0	zich houden aan
ability	0	0	0	0	0	0	1	0	0	0	vermogen
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablatie
ablaze	0	0	0	0	0	0	0	0	0	0	in vuur en vlam
abnormal	0	0	1	0	0	1	0	0	0	0	abnormaal
aboard	0	0	0	0	0	0	0	0	0	0	aan boord
abode	0	0	0	0	0	0	0	0	0	0	verblijfplaats
abolish	1	0	0	0	0	1	0	0	0	0	vernietigen
abolition	0	0	0	0	0	1	0	0	0	0	afschaffing
abominable	0	0	1	1	0	1	0	0	0	0	afschuwelijk
abomination	1	0	1	1	0	1	0	0	0	0	gruwel
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	afbreken
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	mislukt
abound	0	0	0	0	0	0	0	0	0	0	in overvloed
abovementioned	0	0	0	0	0	0	1	0	0	0	bovengenoemde
abrasion	0	0	0	0	0	1	0	0	0	0	slijtage
abroad	0	0	0	0	0	0	0	0	0	0	Buitenland
abrogate	0	0	0	0	0	1	0	0	0	0	afschaffen
abrupt	0	0	0	0	0	0	0	0	1	0	abrupt
abruptly	0	0	0	0	0	0	0	0	0	0	abrupt
abscess	0	0	0	0	0	1	0	1	0	0	abces
absence	0	0	0	1	0	1	0	1	0	0	afwezigheid
absent	0	0	0	0	0	1	0	1	0	0	afwezig
absentee	0	0	0	0	0	1	0	1	0	0	afwezige
absenteeism	0	0	0	0	0	1	0	0	0	0	verzuim
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absoluut
absolution	0	0	0	0	1	0	1	0	0	1	absolutie
absorbed	0	0	0	0	0	0	1	0	0	0	geabsorbeerd
absorbent	0	0	0	0	0	0	0	0	0	0	absorberend
absorbing	0	0	0	0	0	0	0	0	0	0	absorberend
absorption	0	0	0	0	0	0	0	0	0	0	absorptie
abstain	0	0	0	0	0	0	0	0	0	0	onthouden
abstention	0	0	0	0	0	0	0	0	0	0	onthouding
abstinence	0	0	0	0	0	0	0	0	0	0	onthouding
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstractie
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditeit
abundance	0	1	1	0	1	1	1	0	0	1	overvloed
abundant	0	0	0	0	1	0	1	0	0	0	overvloedig
abuse	1	0	1	1	0	1	0	1	0	0	misbruik
abutment	0	0	0	0	0	0	0	0	0	0	steunpunt
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	verschrikkelijk
abyss	0	0	0	1	0	1	0	1	0	0	afgrond
academic	0	0	0	0	0	0	1	0	0	1	academisch
academy	0	0	0	0	0	0	1	0	0	0	academie
accede	0	0	0	0	0	0	0	0	0	0	toetreden
accelerate	0	1	0	0	0	0	0	0	0	0	versnellen
acceleration	0	0	0	0	0	0	0	0	0	0	versnelling
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentueren
accept	0	0	0	0	0	0	0	0	0	0	aanvaarden
acceptable	0	0	0	0	0	0	1	0	0	0	aanvaardbaar
acceptance	0	0	0	0	0	0	1	0	0	0	aanvaarding
access	0	0	0	0	0	0	0	0	0	0	toegang
accessible	0	0	0	0	0	0	1	0	0	0	beschikbaar
accession	0	0	0	0	0	0	0	0	0	0	toetreding
accessory	0	0	0	0	0	0	0	0	0	0	accessoire
accident	0	0	0	1	0	1	0	1	1	0	ongeluk
accidental	0	0	0	1	0	1	0	0	1	0	toevallig
accidentally	0	0	0	0	0	0	0	0	1	0	per ongeluk
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	accommoderen
accommodation	0	0	0	0	0	0	1	0	0	0	accommodatie
accompaniment	0	1	0	0	1	0	1	0	0	1	begeleiding
accompany	0	0	0	0	0	0	0	0	0	0	begeleiden
accompanying	0	0	0	0	0	0	0	0	0	0	begeleidend
accomplice	0	0	0	0	0	0	0	0	0	0	medeplichtige
accomplish	0	0	0	0	1	0	1	0	0	0	bereiken
accomplished	0	0	0	0	1	0	1	0	0	0	volbracht
accomplishment	0	0	0	0	0	0	1	0	0	0	prestatie
accord	0	0	0	0	0	0	1	0	0	1	overeenstemming
accordance	0	0	0	0	0	0	0	0	0	0	overeenstemming
accordion	0	0	0	0	0	0	0	0	0	0	accordeon
account	0	0	0	0	0	0	0	0	0	1	account
accountability	0	0	0	0	0	0	1	0	0	1	verantwoordelijkheid
accountable	0	0	0	0	0	0	1	0	0	1	verantwoordelijk
accountant	0	0	0	0	0	0	0	0	0	1	accountant
accounting	0	0	0	0	0	0	0	0	0	0	boekhouding
accounts	0	0	0	0	0	0	0	0	0	1	rekeningen
accredited	0	0	0	0	0	0	1	0	0	1	geaccrediteerd
accretion	0	0	0	0	0	0	0	0	0	0	aanwas
