English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Esperanto Word
aback	0	0	0	0	0	0	0	0	0	0	surprizite
abacus	0	0	0	0	0	0	0	0	0	1	abako
abandon	0	0	0	1	0	1	0	1	0	0	forlasi
abandoned	1	0	0	1	0	1	0	1	0	0	forlasita
abandonment	1	0	0	1	0	1	0	1	1	0	forlaso
abate	0	0	0	0	0	0	0	0	0	0	abate
abatement	0	0	0	0	0	0	0	0	0	0	malpliigo
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abato
abbreviate	0	0	0	0	0	0	0	0	0	0	mallongigi
abbreviation	0	0	0	0	0	0	0	0	0	0	mallongigo
abdomen	0	0	0	0	0	0	0	0	0	0	abdomeno
abdominal	0	0	0	0	0	0	0	0	0	0	abdominales
abduction	0	0	0	1	0	1	0	1	1	0	forkapto
aberrant	0	0	0	0	0	1	0	0	0	0	aberra
aberration	0	0	1	0	0	1	0	0	0	0	aberacio
abeyance	0	0	0	0	0	0	0	0	0	0	haltigo
abhor	1	0	1	1	0	1	0	0	0	0	abomeno
abhorrent	1	0	1	1	0	1	0	0	0	0	abomeninda
abide	0	0	0	0	0	0	0	0	0	0	restadi
ability	0	0	0	0	0	0	1	0	0	0	kapableco
abject	0	0	1	0	0	1	0	0	0	0	abomena
ablation	0	0	0	0	0	0	0	0	0	0	ablacio
ablaze	0	0	0	0	0	0	0	0	0	0	flame
abnormal	0	0	1	0	0	1	0	0	0	0	nenormala
aboard	0	0	0	0	0	0	0	0	0	0	surŝipe
abode	0	0	0	0	0	0	0	0	0	0	restadejo
abolish	1	0	0	0	0	1	0	0	0	0	aboli
abolition	0	0	0	0	0	1	0	0	0	0	abolicio
abominable	0	0	1	1	0	1	0	0	0	0	abomeninda
abomination	1	0	1	1	0	1	0	0	0	0	abomeno
aboriginal	0	0	0	0	0	0	0	0	0	0	aborigeno
abort	0	0	0	0	0	1	0	0	0	0	aborti
abortion	0	0	1	1	0	1	0	1	0	0	abortigo
abortive	0	0	0	0	0	1	0	1	0	0	abortita
abound	0	0	0	0	0	0	0	0	0	0	abundas
abovementioned	0	0	0	0	0	0	1	0	0	0	supre menciita
abrasion	0	0	0	0	0	1	0	0	0	0	abrazio
abroad	0	0	0	0	0	0	0	0	0	0	eksterlande
abrogate	0	0	0	0	0	1	0	0	0	0	abrogi
abrupt	0	0	0	0	0	0	0	0	1	0	abrupta
abruptly	0	0	0	0	0	0	0	0	0	0	abrupte
abscess	0	0	0	0	0	1	0	1	0	0	absceso
absence	0	0	0	1	0	1	0	1	0	0	foresto
absent	0	0	0	0	0	1	0	1	0	0	forestanta
absentee	0	0	0	0	0	1	0	1	0	0	forestanto
absenteeism	0	0	0	0	0	1	0	0	0	0	foresto
absinthe	0	0	0	0	0	0	0	0	0	0	absinto
absolute	0	0	0	0	0	0	1	0	0	0	absoluta
absolution	0	0	0	0	1	0	1	0	0	1	absolvo
absorbed	0	0	0	0	0	0	1	0	0	0	absorbita
absorbent	0	0	0	0	0	0	0	0	0	0	sorba
absorbing	0	0	0	0	0	0	0	0	0	0	absorbanta
absorption	0	0	0	0	0	0	0	0	0	0	sorbado
abstain	0	0	0	0	0	0	0	0	0	0	sindeteni
abstention	0	0	0	0	0	0	0	0	0	0	sindeteno
abstinence	0	0	0	0	0	0	0	0	0	0	abstinado
abstract	0	0	0	0	0	0	0	0	0	0	abstraktaĵo
abstraction	0	0	0	0	0	0	0	0	0	0	abstraktado
absurd	0	0	0	0	0	1	0	0	0	0	absurda
absurdity	0	0	0	0	0	1	0	0	0	0	absurdaĵo
abundance	0	1	1	0	1	1	1	0	0	1	abundo
abundant	0	0	0	0	1	0	1	0	0	0	abunda
abuse	1	0	1	1	0	1	0	1	0	0	misuzo
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismaj
abyss	0	0	0	1	0	1	0	1	0	0	abismo
academic	0	0	0	0	0	0	1	0	0	1	akademiano
academy	0	0	0	0	0	0	1	0	0	0	akademio
accede	0	0	0	0	0	0	0	0	0	0	konsenti
accelerate	0	1	0	0	0	0	0	0	0	0	akceli
acceleration	0	0	0	0	0	0	0	0	0	0	akcelo
accent	0	0	0	0	0	0	0	0	0	0	akcento
accentuate	0	0	0	0	0	0	0	0	0	0	akcenti
accept	0	0	0	0	0	0	0	0	0	0	akcepti
acceptable	0	0	0	0	0	0	1	0	0	0	akceptebla
acceptance	0	0	0	0	0	0	1	0	0	0	akcepto
access	0	0	0	0	0	0	0	0	0	0	aliro
accessible	0	0	0	0	0	0	1	0	0	0	atingebla
accession	0	0	0	0	0	0	0	0	0	0	aliĝo
accessory	0	0	0	0	0	0	0	0	0	0	akcesoraĵo
accident	0	0	0	1	0	1	0	1	1	0	akcidento
accidental	0	0	0	1	0	1	0	0	1	0	hazarde
accidentally	0	0	0	0	0	0	0	0	1	0	akcidente
accolade	0	1	0	0	1	0	1	0	1	1	laŭdon
accommodate	0	0	0	0	0	0	0	0	0	0	akomodi
accommodation	0	0	0	0	0	0	1	0	0	0	loĝejo
accompaniment	0	1	0	0	1	0	1	0	0	1	akompano
accompany	0	0	0	0	0	0	0	0	0	0	akompani
accompanying	0	0	0	0	0	0	0	0	0	0	akompananta
accomplice	0	0	0	0	0	0	0	0	0	0	komplico
accomplish	0	0	0	0	1	0	1	0	0	0	plenumi
accomplished	0	0	0	0	1	0	1	0	0	0	plenumita
accomplishment	0	0	0	0	0	0	1	0	0	0	realigo
accord	0	0	0	0	0	0	1	0	0	1	akordo
accordance	0	0	0	0	0	0	0	0	0	0	konforme
accordion	0	0	0	0	0	0	0	0	0	0	akordiono
account	0	0	0	0	0	0	0	0	0	1	konto
accountability	0	0	0	0	0	0	1	0	0	1	respondigebleco
accountable	0	0	0	0	0	0	1	0	0	1	respondeca
accountant	0	0	0	0	0	0	0	0	0	1	librotenisto
accounting	0	0	0	0	0	0	0	0	0	0	kontado
accounts	0	0	0	0	0	0	0	0	0	1	kontoj
accredited	0	0	0	0	0	0	1	0	0	1	akreditita
accretion	0	0	0	0	0	0	0	0	0	0	surkresko
accrue	0	0	0	0	0	0	0	0	0	0	akumuliĝi
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	amasigi
accumulation	0	0	0	0	0	0	0	0	0	0	amasiĝo
accuracy	0	0	0	0	0	0	0	0	0	0	precizeco
accurate	0	0	0	0	0	0	1	0	0	1	preciza
accursed	1	0	0	1	0	1	0	1	0	0	malbenita
accusation	1	0	1	0	0	1	0	0	0	0	akuzo
accusative	0	0	0	0	0	1	0	0	0	0	akuzativo
accused	1	0	0	1	0	1	0	0	0	0	akuzita
accuser	1	0	0	1	0	1	0	0	0	0	akuzanto
accusing	1	0	0	1	0	1	0	0	0	0	akuzante
accustomed	0	0	0	0	0	0	0	0	0	0	kutima
ace	0	0	0	0	0	0	1	0	0	0	aso
acetic	0	0	0	0	0	0	0	0	0	0	aceto
ache	0	0	0	0	0	1	0	1	0	0	doloras
achieve	0	0	0	0	1	0	1	0	0	1	atingi
achievement	0	1	0	0	1	0	1	0	0	1	atingo
aching	0	0	0	0	0	1	0	1	0	0	doloranta
acid	0	0	0	0	0	1	0	0	0	0	acido
acidity	0	0	0	0	0	0	0	0	0	0	acideco
acknowledge	0	0	0	0	0	0	0	0	0	0	agnoski
acknowledged	0	0	0	0	0	0	0	0	0	0	agnoskita
acknowledgment	0	0	0	0	0	0	1	0	0	0	agnosko
