English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Estonian Word
aback	0	0	0	0	0	0	0	0	0	0	hämmeldunud
abacus	0	0	0	0	0	0	0	0	0	1	aabits
abandon	0	0	0	1	0	1	0	1	0	0	hülgama
abandoned	1	0	0	1	0	1	0	1	0	0	mahajäetud
abandonment	1	0	0	1	0	1	0	1	1	0	hülgamine
abate	0	0	0	0	0	0	0	0	0	0	raugema
abatement	0	0	0	0	0	0	0	0	0	0	vähendamine
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abt
abbreviate	0	0	0	0	0	0	0	0	0	0	lühendada
abbreviation	0	0	0	0	0	0	0	0	0	0	lühend
abdomen	0	0	0	0	0	0	0	0	0	0	kõht
abdominal	0	0	0	0	0	0	0	0	0	0	kõhuõõne
abduction	0	0	0	1	0	1	0	1	1	0	röövimine
aberrant	0	0	0	0	0	1	0	0	0	0	kõrvalekalduv
aberration	0	0	1	0	0	1	0	0	0	0	aberratsioon
abeyance	0	0	0	0	0	0	0	0	0	0	ärajäämine
abhor	1	0	1	1	0	1	0	0	0	0	jälestus
abhorrent	1	0	1	1	0	1	0	0	0	0	vastik
abide	0	0	0	0	0	0	0	0	0	0	kinni pidama
ability	0	0	0	0	0	0	1	0	0	0	võime
abject	0	0	1	0	0	1	0	0	0	0	alatu
ablation	0	0	0	0	0	0	0	0	0	0	ablatsioon
ablaze	0	0	0	0	0	0	0	0	0	0	leekides
abnormal	0	0	1	0	0	1	0	0	0	0	ebanormaalne
aboard	0	0	0	0	0	0	0	0	0	0	pardal
abode	0	0	0	0	0	0	0	0	0	0	elukoht
abolish	1	0	0	0	0	1	0	0	0	0	tühistada
abolition	0	0	0	0	0	1	0	0	0	0	tühistamine
abominable	0	0	1	1	0	1	0	0	0	0	jälk
abomination	1	0	1	1	0	1	0	0	0	0	jälkus
aboriginal	0	0	0	0	0	0	0	0	0	0	põlisrahvas
abort	0	0	0	0	0	1	0	0	0	0	katkestada
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	katkendlik
abound	0	0	0	0	0	0	0	0	0	0	külluses
abovementioned	0	0	0	0	0	0	1	0	0	0	eespool mainitud
abrasion	0	0	0	0	0	1	0	0	0	0	hõõrdumine
abroad	0	0	0	0	0	0	0	0	0	0	välismaal
abrogate	0	0	0	0	0	1	0	0	0	0	tühistada
abrupt	0	0	0	0	0	0	0	0	1	0	äkiline
abruptly	0	0	0	0	0	0	0	0	0	0	järsult
abscess	0	0	0	0	0	1	0	1	0	0	abstsess
absence	0	0	0	1	0	1	0	1	0	0	puudumine
absent	0	0	0	0	0	1	0	1	0	0	puudub
absentee	0	0	0	0	0	1	0	1	0	0	puuduja
absenteeism	0	0	0	0	0	1	0	0	0	0	töölt puudumine
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absoluutne
absolution	0	0	0	0	1	0	1	0	0	1	absolutsioon
absorbed	0	0	0	0	0	0	1	0	0	0	imendunud
absorbent	0	0	0	0	0	0	0	0	0	0	imav
absorbing	0	0	0	0	0	0	0	0	0	0	neelavad
absorption	0	0	0	0	0	0	0	0	0	0	imendumine
abstain	0	0	0	0	0	0	0	0	0	0	hoiduma
abstention	0	0	0	0	0	0	0	0	0	0	hääletamisest
abstinence	0	0	0	0	0	0	0	0	0	0	karskus
abstract	0	0	0	0	0	0	0	0	0	0	abstraktne
abstraction	0	0	0	0	0	0	0	0	0	0	abstraktsioon
absurd	0	0	0	0	0	1	0	0	0	0	absurdne
absurdity	0	0	0	0	0	1	0	0	0	0	absurdsus
abundance	0	1	1	0	1	1	1	0	0	1	küllus
abundant	0	0	0	0	1	0	1	0	0	0	rohke
abuse	1	0	1	1	0	1	0	1	0	0	kuritarvitamine
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	kuristik
abyss	0	0	0	1	0	1	0	1	0	0	kuristik
academic	0	0	0	0	0	0	1	0	0	1	Akadeemiline
academy	0	0	0	0	0	0	1	0	0	0	akadeemia
accede	0	0	0	0	0	0	0	0	0	0	ühinema
accelerate	0	1	0	0	0	0	0	0	0	0	kiirendada
acceleration	0	0	0	0	0	0	0	0	0	0	kiirendus
accent	0	0	0	0	0	0	0	0	0	0	aktsent
accentuate	0	0	0	0	0	0	0	0	0	0	rõhutama
accept	0	0	0	0	0	0	0	0	0	0	aktsepteerima
acceptable	0	0	0	0	0	0	1	0	0	0	vastuvõetav
acceptance	0	0	0	0	0	0	1	0	0	0	vastuvõtmine
access	0	0	0	0	0	0	0	0	0	0	juurdepääs
accessible	0	0	0	0	0	0	1	0	0	0	ligipääsetav
accession	0	0	0	0	0	0	0	0	0	0	ühinemine
accessory	0	0	0	0	0	0	0	0	0	0	tarvik
accident	0	0	0	1	0	1	0	1	1	0	õnnetus
accidental	0	0	0	1	0	1	0	0	1	0	juhuslik
accidentally	0	0	0	0	0	0	0	0	1	0	kogemata
accolade	0	1	0	0	1	0	1	0	1	1	tunnustus
accommodate	0	0	0	0	0	0	0	0	0	0	majutama
accommodation	0	0	0	0	0	0	1	0	0	0	majutus
accompaniment	0	1	0	0	1	0	1	0	0	1	saatel
accompany	0	0	0	0	0	0	0	0	0	0	kaasas olema
accompanying	0	0	0	0	0	0	0	0	0	0	kaasasolevad
accomplice	0	0	0	0	0	0	0	0	0	0	kaasosaline
accomplish	0	0	0	0	1	0	1	0	0	0	täita
accomplished	0	0	0	0	1	0	1	0	0	0	saavutatud
accomplishment	0	0	0	0	0	0	1	0	0	0	saavutus
accord	0	0	0	0	0	0	1	0	0	1	kokkuleppel
accordance	0	0	0	0	0	0	0	0	0	0	kooskõlas
accordion	0	0	0	0	0	0	0	0	0	0	akordion
account	0	0	0	0	0	0	0	0	0	1	konto
accountability	0	0	0	0	0	0	1	0	0	1	vastutus
accountable	0	0	0	0	0	0	1	0	0	1	vastutav
accountant	0	0	0	0	0	0	0	0	0	1	raamatupidaja
accounting	0	0	0	0	0	0	0	0	0	0	raamatupidamine
accounts	0	0	0	0	0	0	0	0	0	1	kontosid
accredited	0	0	0	0	0	0	1	0	0	1	akrediteeritud
accretion	0	0	0	0	0	0	0	0	0	0	lisandumine
accrue	0	0	0	0	0	0	0	0	0	0	koguneda
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	koguneda
accumulation	0	0	0	0	0	0	0	0	0	0	kogunemine
accuracy	0	0	0	0	0	0	0	0	0	0	täpsust
accurate	0	0	0	0	0	0	1	0	0	1	täpne
accursed	1	0	0	1	0	1	0	1	0	0	neetud
accusation	1	0	1	0	0	1	0	0	0	0	süüdistus
accusative	0	0	0	0	0	1	0	0	0	0	süüdistav
accused	1	0	0	1	0	1	0	0	0	0	süüdistatav
accuser	1	0	0	1	0	1	0	0	0	0	süüdistaja
accusing	1	0	0	1	0	1	0	0	0	0	süüdistades
accustomed	0	0	0	0	0	0	0	0	0	0	harjunud
ace	0	0	0	0	0	0	1	0	0	0	äss
acetic	0	0	0	0	0	0	0	0	0	0	äädikhape
ache	0	0	0	0	0	1	0	1	0	0	valutama
achieve	0	0	0	0	1	0	1	0	0	1	saavutada
achievement	0	1	0	0	1	0	1	0	0	1	saavutus
aching	0	0	0	0	0	1	0	1	0	0	valutavad
acid	0	0	0	0	0	1	0	0	0	0	hape
acidity	0	0	0	0	0	0	0	0	0	0	happesus
acknowledge	0	0	0	0	0	0	0	0	0	0	tunnistama
acknowledged	0	0	0	0	0	0	0	0	0	0	tunnistasid
acknowledgment	0	0	0	0	0	0	1	0	0	0	tunnustus
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustiline
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	tutvuma
acquaintance	0	0	0	0	0	0	0	0	0	0	tuttav
acquainted	0	0	0	0	0	0	0	0	0	0	tutvustatud
acquiescence	0	0	0	0	0	0	0	0	0	0	nõustumine
acquire	0	0	0	0	0	0	1	0	0	0	omandada
acquiring	0	1	0	0	0	0	1	0	0	0	omandamine
acquisition	0	0	0	0	0	0	0	0	0	0	omandamine
acquisitions	0	0	0	0	0	0	0	0	0	0	omandamised
acreage	0	0	0	0	0	0	0	0	0	0	pindala
acres	0	0	0	0	0	0	0	0	0	0	aakrit
acrobat	0	0	0	1	1	0	1	0	0	1	akrobaat
act	0	0	0	0	0	0	0	0	0	0	tegutsema
acting	0	0	0	0	0	0	0	0	0	0	näitlemine
action	0	0	0	0	0	0	1	0	0	0	tegevust
actionable	1	0	1	0	0	1	0	0	0	0	tegevuskõlbulik
active	0	0	0	0	0	0	0	0	0	0	aktiivne
activity	0	0	0	0	0	0	0	0	0	0	tegevust
actor	0	0	0	0	0	0	0	0	0	0	näitleja
actual	0	0	0	0	0	0	1	0	0	0	tegelik
actuality	0	0	0	0	0	0	0	0	0	0	tegelikkus
actuary	0	0	0	0	0	0	0	0	0	0	aktuaar
acuity	0	0	0	0	0	0	1	0	0	0	teravus
acumen	0	0	0	0	0	0	1	0	0	0	taiplikkus
acupuncture	0	0	0	0	0	0	0	0	0	0	nõelravi
acutely	0	0	0	0	0	0	0	0	0	0	ägedalt
adage	0	0	0	0	0	0	0	0	0	0	kõnekäänd
adamant	0	0	0	0	0	0	0	0	0	0	vankumatu
adapt	0	0	0	0	0	0	1	0	0	0	kohaneda
adaptable	0	0	0	0	0	0	1	0	0	0	kohandatav
add	0	0	0	0	0	0	0	0	0	0	lisama
added	0	0	0	0	0	0	0	0	0	0	lisatud
addendum	0	0	0	0	0	0	0	0	0	0	lisa
adder	1	0	1	1	0	1	0	1	0	0	liitja
addiction	0	0	0	0	0	1	0	0	0	0	sõltuvus
addition	0	0	0	0	0	0	0	0	0	0	lisamine
additional	0	0	0	0	0	0	0	0	0	0	lisaks
additive	0	0	0	0	0	0	0	0	0	0	lisand
address	0	0	0	0	0	0	0	0	0	0	aadress
addressee	0	0	0	0	0	0	0	0	0	0	adressaat
addresses	0	1	0	0	0	0	1	0	0	0	aadressid
adept	0	0	0	0	0	0	1	0	0	0	vilunud
adequacy	0	0	0	0	0	0	1	0	0	0	piisavus
adequate	0	0	0	0	0	0	0	0	0	0	piisav
adhere	0	0	0	0	0	0	0	0	0	0	kinni pidama
adherence	0	0	0	0	0	0	0	0	0	0	kinnipidamine
adherent	0	0	0	0	0	0	0	0	0	0	kleepuv
adhering	0	0	0	0	0	0	0	0	0	1	kleepuv
adhesion	0	0	0	0	0	0	0	0	0	0	adhesioon
adhesive	0	0	0	0	0	0	0	0	0	0	liim
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	rasvunud
adjacency	0	0	0	0	0	0	0	0	0	0	külgnevus
adjacent	0	0	0	0	0	0	0	0	0	0	külgnevad
adjective	0	0	0	0	0	0	0	0	0	0	omadussõna
adjoining	0	0	0	0	0	0	0	0	0	0	külgnevad
adjourn	0	0	0	0	0	0	0	0	0	0	edasi lükata
adjournment	0	0	0	0	0	0	0	0	0	0	edasilükkamine
adjudicate	0	0	0	1	0	1	0	0	0	0	otsustada
adjudication	0	0	0	0	0	0	0	0	0	0	kohtuotsus
adjunct	0	0	0	0	0	0	1	0	0	0	lisand
adjust	0	0	0	0	0	0	0	0	0	0	kohandada
adjustment	0	0	0	0	0	0	0	0	0	0	reguleerimine
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administreerida
administration	0	0	0	0	0	0	0	0	0	0	administreerimine
administrative	0	0	0	0	0	0	0	0	0	1	administratiivne
admirable	0	0	0	0	1	0	1	0	0	1	imetlusväärne
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiraliteedi
admiration	0	0	0	0	1	0	1	0	0	1	imetlust
admire	0	0	0	0	0	0	1	0	0	1	imetleda
admirer	0	0	0	0	0	0	1	0	0	0	austaja
admissibility	0	0	0	0	0	0	0	0	0	0	vastuvõetavust
admissible	0	0	0	0	0	0	1	0	0	1	vastuvõetav
admission	0	0	0	0	0	0	0	0	0	0	sissepääs
admit	0	0	0	0	0	0	0	0	0	0	tunnistama
admittance	0	0	0	0	0	0	0	0	0	0	sissepääs
admitted	0	0	0	0	0	0	0	0	0	0	tunnistas
admitting	0	0	0	0	0	0	0	0	0	0	tunnistades
admixture	0	0	0	0	0	0	0	0	0	0	lisand
admonition	0	0	0	1	0	1	0	0	0	0	manitsus
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	noorukieas
adolescent	0	0	0	0	0	0	0	0	0	0	nooruk
adopt	0	0	0	0	0	0	0	0	0	0	adopteerida
adoption	0	0	0	0	0	0	0	0	0	0	lapsendamine
adorable	0	0	0	0	1	0	1	0	0	0	jumalik
adoration	0	0	0	0	1	0	1	0	0	1	jumaldamine
adore	0	1	0	0	1	0	1	0	0	1	jumaldan
adorn	0	0	0	0	0	0	0	0	0	0	kaunistama
adornment	0	0	0	0	0	0	0	0	0	0	kaunistus
adrift	0	1	0	1	0	1	0	1	0	0	triivima
adult	0	0	0	0	0	0	0	0	0	0	täiskasvanud
adulterated	0	0	0	0	0	1	0	0	0	0	võltsitud
adultery	0	0	1	0	0	1	0	1	0	0	abielurikkumine
advance	0	1	0	1	1	0	1	0	1	0	ettemaks
advanced	0	0	0	0	0	0	1	0	0	0	edasijõudnud
advancement	0	0	0	0	0	0	1	0	0	0	areng
advancing	0	0	0	0	0	0	0	0	0	0	edeneb
advantage	0	0	0	0	0	0	1	0	0	0	eelis
advantageous	0	0	0	0	0	0	1	0	0	0	soodne
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	seiklus
adventurer	0	0	0	0	0	0	0	0	0	0	seikleja
adventurous	0	0	0	0	0	0	1	0	0	0	seiklushimuline
adversary	1	0	0	0	0	1	0	0	0	0	vastane
adverse	1	0	1	1	0	1	0	1	0	0	ebasoodne
adversity	1	0	0	1	0	1	0	1	0	0	vastasseis
advertise	0	0	0	0	0	0	0	0	0	0	reklaamima
advertisement	0	0	0	0	0	0	0	0	0	0	reklaam
advice	0	0	0	0	0	0	0	0	0	1	nõuanne
advisable	0	0	0	0	0	0	1	0	0	1	soovitatav
advise	0	0	0	0	0	0	1	0	0	1	nõu anda
advised	0	0	0	0	0	0	0	0	0	1	soovitas
advisement	0	0	0	0	0	0	0	0	0	0	nõuannet
adviser	0	0	0	0	0	0	1	0	0	1	nõunik
advocacy	1	1	0	0	1	0	1	0	0	1	propageerimine
advocate	0	0	0	0	0	0	0	0	0	1	advokaat
aegis	0	0	0	0	0	0	0	0	0	0	egis
aeration	0	0	0	0	0	0	0	0	0	0	õhutamine
aerial	0	0	0	0	0	0	0	0	0	0	antenn
aerodrome	0	0	0	0	0	0	0	0	0	0	lennuväli
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodünaamika
aeronautics	0	0	0	0	0	0	0	0	0	0	lennundus
aeroplane	0	0	0	0	0	0	0	0	0	0	lennuk
aesthetic	0	0	0	0	0	0	1	0	0	0	esteetiline
aesthetics	0	0	0	0	1	0	1	0	0	0	esteetika
aetiology	0	0	0	0	0	0	0	0	0	0	etioloogia
afar	0	0	0	0	0	0	0	0	0	0	kaugelt
affable	0	0	0	0	0	0	1	0	0	0	sõbralik
affair	0	0	0	0	0	0	0	0	0	0	afäär
affecting	0	0	0	0	0	0	0	0	0	0	mõjutades
affection	0	0	0	0	1	0	1	0	0	1	kiindumust
affections	0	0	0	0	0	0	0	0	0	0	kiindumused
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	vandetunnistus
affiliated	0	0	0	0	0	0	1	0	0	0	seotud
affiliation	0	0	0	0	0	0	0	0	0	0	kuuluvus
affinity	0	0	0	0	0	0	0	0	0	0	afiinsus
affirm	0	0	0	0	0	0	1	0	0	1	kinnitama
affirmation	0	0	0	0	0	0	1	0	0	0	kinnitus
affirmative	0	0	0	0	0	0	1	0	0	0	jaatav
affirmatively	0	0	0	0	0	0	1	0	0	1	jaatavalt
affix	0	0	0	0	0	0	0	0	0	0	kinnitada
afflict	0	0	0	1	0	1	0	1	0	0	vaevama
afflicted	0	0	0	0	0	1	0	0	0	0	vaevatud
affliction	0	0	1	1	0	1	0	1	0	0	viletsus
affluence	0	0	0	0	1	0	1	0	0	0	jõukus
affluent	0	0	0	0	0	0	1	0	0	0	jõukas
afford	0	0	0	0	0	0	1	0	0	0	endale lubada
affront	1	0	1	1	0	1	0	1	1	0	solvav
afield	0	0	0	0	0	0	0	0	0	0	väljapoole
afore	0	0	0	0	0	0	0	0	0	0	enne
aforementioned	0	0	0	0	0	0	0	0	0	0	eelnimetatud
aforesaid	0	0	0	0	0	0	0	0	0	0	eelpool mainitud
afraid	0	0	0	1	0	1	0	0	0	0	kardan
afresh	0	0	0	0	0	0	0	0	0	0	uuesti
aft	0	0	0	0	0	0	0	0	0	0	ahtri
aftermath	1	0	1	1	0	1	0	1	0	0	järelmõju
afternoon	0	0	0	0	0	0	0	0	0	0	pärastlõunal
aftertaste	0	0	0	0	0	1	0	0	0	0	järelmaitse
afterthought	0	0	0	0	0	0	0	0	0	0	järelmõte
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ahhaat
age	0	0	0	0	0	0	0	0	0	0	vanus
aged	0	0	0	0	0	0	0	0	0	0	vanuses
agency	0	0	0	0	0	0	0	0	0	0	agentuur
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	linnastu
aggravated	1	0	0	0	0	1	0	0	0	0	süvenenud
aggravating	1	0	0	0	0	1	0	1	0	0	raskendav
aggravation	1	0	1	0	0	1	0	0	0	0	süvenemine
aggregate	0	0	0	0	0	0	0	0	0	0	agregaat
aggregation	0	0	0	0	0	0	0	0	0	0	liitmine
aggression	1	0	0	1	0	1	0	0	0	0	agressioon
aggressive	1	0	0	1	0	1	0	0	0	0	agressiivne
