English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Filipino Word
aback	0	0	0	0	0	0	0	0	0	0	nabigla
abacus	0	0	0	0	0	0	0	0	0	1	abako
abandon	0	0	0	1	0	1	0	1	0	0	iwanan
abandoned	1	0	0	1	0	1	0	1	0	0	inabandona
abandonment	1	0	0	1	0	1	0	1	1	0	pag-abandona
abate	0	0	0	0	0	0	0	0	0	0	humina
abatement	0	0	0	0	0	0	0	0	0	0	pagbabawas
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbot
abbreviate	0	0	0	0	0	0	0	0	0	0	paikliin
abbreviation	0	0	0	0	0	0	0	0	0	0	pagdadaglat
abdomen	0	0	0	0	0	0	0	0	0	0	tiyan
abdominal	0	0	0	0	0	0	0	0	0	0	tiyan
abduction	0	0	0	1	0	1	0	1	1	0	pagdukot
aberrant	0	0	0	0	0	1	0	0	0	0	naliligaw
aberration	0	0	1	0	0	1	0	0	0	0	pagkaligaw
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	kasuklam-suklam
abhorrent	1	0	1	1	0	1	0	0	0	0	kasuklam-suklam
abide	0	0	0	0	0	0	0	0	0	0	manatili
ability	0	0	0	0	0	0	1	0	0	0	kakayahan
abject	0	0	1	0	0	1	0	0	0	0	kasuklam-suklam
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	nagliliyab
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
aboard	0	0	0	0	0	0	0	0	0	0	sakay
abode	0	0	0	0	0	0	0	0	0	0	tirahan
abolish	1	0	0	0	0	1	0	0	0	0	buwagin
abolition	0	0	0	0	0	1	0	0	0	0	abolisyon
abominable	0	0	1	1	0	1	0	0	0	0	kasuklam-suklam
abomination	1	0	1	1	0	1	0	0	0	0	kasuklamsuklam
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	ipalaglag
abortion	0	0	1	1	0	1	0	1	0	0	pagpapalaglag
abortive	0	0	0	0	0	1	0	1	0	0	nagpapalaglag
abound	0	0	0	0	0	0	0	0	0	0	sagana
abovementioned	0	0	0	0	0	0	1	0	0	0	sa mga nasabi
abrasion	0	0	0	0	0	1	0	0	0	0	hadhad
abroad	0	0	0	0	0	0	0	0	0	0	sa ibang bansa
abrogate	0	0	0	0	0	1	0	0	0	0	pawalang-bisa
abrupt	0	0	0	0	0	0	0	0	1	0	biglaan
abruptly	0	0	0	0	0	0	0	0	0	0	biglang
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	kawalan
absent	0	0	0	0	0	1	0	1	0	0	wala
absentee	0	0	0	0	0	1	0	1	0	0	lumiban
absenteeism	0	0	0	0	0	1	0	0	0	0	pagliban
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ganap
absolution	0	0	0	0	1	0	1	0	0	1	pagpapatawad
absorbed	0	0	0	0	0	0	1	0	0	0	hinihigop
absorbent	0	0	0	0	0	0	0	0	0	0	sumisipsip
absorbing	0	0	0	0	0	0	0	0	0	0	sumisipsip
absorption	0	0	0	0	0	0	0	0	0	0	pagsipsip
abstain	0	0	0	0	0	0	0	0	0	0	umiwas
abstention	0	0	0	0	0	0	0	0	0	0	abstention
abstinence	0	0	0	0	0	0	0	0	0	0	pag-iwas
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	walang katotohanan
absurdity	0	0	0	0	0	1	0	0	0	0	kahangalan
abundance	0	1	1	0	1	1	1	0	0	1	kasaganaan
abundant	0	0	0	0	1	0	1	0	0	0	sagana
abuse	1	0	1	1	0	1	0	1	0	0	pang-aabuso
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	bangin
academic	0	0	0	0	0	0	1	0	0	1	akademiko
academy	0	0	0	0	0	0	1	0	0	0	akademya
accede	0	0	0	0	0	0	0	0	0	0	pumayag
accelerate	0	1	0	0	0	0	0	0	0	0	pabilisin
acceleration	0	0	0	0	0	0	0	0	0	0	acceleration
accent	0	0	0	0	0	0	0	0	0	0	impit
accentuate	0	0	0	0	0	0	0	0	0	0	magpatingkad
accept	0	0	0	0	0	0	0	0	0	0	tanggapin
acceptable	0	0	0	0	0	0	1	0	0	0	katanggap-tanggap
acceptance	0	0	0	0	0	0	1	0	0	0	pagtanggap
access	0	0	0	0	0	0	0	0	0	0	access
accessible	0	0	0	0	0	0	1	0	0	0	naa-access
accession	0	0	0	0	0	0	0	0	0	0	pag-akyat
accessory	0	0	0	0	0	0	0	0	0	0	accessory
accident	0	0	0	1	0	1	0	1	1	0	aksidente
accidental	0	0	0	1	0	1	0	0	1	0	hindi sinasadya
accidentally	0	0	0	0	0	0	0	0	1	0	hindi sinasadya
accolade	0	1	0	0	1	0	1	0	1	1	parangal
accommodate	0	0	0	0	0	0	0	0	0	0	mapaunlakan
accommodation	0	0	0	0	0	0	1	0	0	0	tirahan
accompaniment	0	1	0	0	1	0	1	0	0	1	saliw
accompany	0	0	0	0	0	0	0	0	0	0	samahan
accompanying	0	0	0	0	0	0	0	0	0	0	sinasamahan
accomplice	0	0	0	0	0	0	0	0	0	0	kasabwat
accomplish	0	0	0	0	1	0	1	0	0	0	matupad
accomplished	0	0	0	0	1	0	1	0	0	0	nagawa
accomplishment	0	0	0	0	0	0	1	0	0	0	tagumpay
accord	0	0	0	0	0	0	1	0	0	1	kasunduan
accordance	0	0	0	0	0	0	0	0	0	0	alinsunod
accordion	0	0	0	0	0	0	0	0	0	0	akurdyon
account	0	0	0	0	0	0	0	0	0	1	account
accountability	0	0	0	0	0	0	1	0	0	1	pananagutan
accountable	0	0	0	0	0	0	1	0	0	1	may pananagutan
accountant	0	0	0	0	0	0	0	0	0	1	accountant
accounting	0	0	0	0	0	0	0	0	0	0	accounting
accounts	0	0	0	0	0	0	0	0	0	1	mga account
accredited	0	0	0	0	0	0	1	0	0	1	akreditado
accretion	0	0	0	0	0	0	0	0	0	0	pagdaragdag
accrue	0	0	0	0	0	0	0	0	0	0	mag-ipon nang
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	makaipon
accumulation	0	0	0	0	0	0	0	0	0	0	akumulasyon
accuracy	0	0	0	0	0	0	0	0	0	0	katumpakan
accurate	0	0	0	0	0	0	1	0	0	1	tumpak
accursed	1	0	0	1	0	1	0	1	0	0	isinumpa
accusation	1	0	1	0	0	1	0	0	0	0	paratang
accusative	0	0	0	0	0	1	0	0	0	0	accusative
accused	1	0	0	1	0	1	0	0	0	0	inakusahan
accuser	1	0	0	1	0	1	0	0	0	0	nag-aakusa
accusing	1	0	0	1	0	1	0	0	0	0	nag-aakusa
accustomed	0	0	0	0	0	0	0	0	0	0	nakasanayan na
ace	0	0	0	0	0	0	1	0	0	0	alas
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	sakit
achieve	0	0	0	0	1	0	1	0	0	1	makamit
achievement	0	1	0	0	1	0	1	0	0	1	tagumpay
aching	0	0	0	0	0	1	0	1	0	0	masakit
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	kaasiman
acknowledge	0	0	0	0	0	0	0	0	0	0	kilalanin
acknowledged	0	0	0	0	0	0	0	0	0	0	kinilala
acknowledgment	0	0	0	0	0	0	1	0	0	0	pagkilala
