English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Finnish Word
aback	0	0	0	0	0	0	0	0	0	0	hämmästynyt
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	luopua
abandoned	1	0	0	1	0	1	0	1	0	0	hylätty
abandonment	1	0	0	1	0	1	0	1	1	0	hylkääminen
abate	0	0	0	0	0	0	0	0	0	0	laantua
abatement	0	0	0	0	0	0	0	0	0	0	vähentäminen
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	apotti
abbreviate	0	0	0	0	0	0	0	0	0	0	lyhentää
abbreviation	0	0	0	0	0	0	0	0	0	0	lyhenne
abdomen	0	0	0	0	0	0	0	0	0	0	vatsa
abdominal	0	0	0	0	0	0	0	0	0	0	vatsan-
abduction	0	0	0	1	0	1	0	1	1	0	sieppaus
aberrant	0	0	0	0	0	1	0	0	0	0	poikkeava
aberration	0	0	1	0	0	1	0	0	0	0	poikkeama
abeyance	0	0	0	0	0	0	0	0	0	0	keskeytys
abhor	1	0	1	1	0	1	0	0	0	0	inhoaa
abhorrent	1	0	1	1	0	1	0	0	0	0	vastenmielistä
abide	0	0	0	0	0	0	0	0	0	0	pysyä
ability	0	0	0	0	0	0	1	0	0	0	kyky
abject	0	0	1	0	0	1	0	0	0	0	surkea
ablation	0	0	0	0	0	0	0	0	0	0	ablaatio
ablaze	0	0	0	0	0	0	0	0	0	0	ilmiliekeissä
abnormal	0	0	1	0	0	1	0	0	0	0	epänormaalia
aboard	0	0	0	0	0	0	0	0	0	0	kyytiin
abode	0	0	0	0	0	0	0	0	0	0	asuinpaikka
abolish	1	0	0	0	0	1	0	0	0	0	poistaa
abolition	0	0	0	0	0	1	0	0	0	0	poistaminen
abominable	0	0	1	1	0	1	0	0	0	0	inhottavaa
abomination	1	0	1	1	0	1	0	0	0	0	kauhistus
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginaali
abort	0	0	0	0	0	1	0	0	0	0	keskeyttää
abortion	0	0	1	1	0	1	0	1	0	0	abortti
abortive	0	0	0	0	0	1	0	1	0	0	epäonnistunut
abound	0	0	0	0	0	0	0	0	0	0	runsaasti
abovementioned	0	0	0	0	0	0	1	0	0	0	yllämainittu
abrasion	0	0	0	0	0	1	0	0	0	0	hankausta
abroad	0	0	0	0	0	0	0	0	0	0	ulkomailla
abrogate	0	0	0	0	0	1	0	0	0	0	kumota
abrupt	0	0	0	0	0	0	0	0	1	0	äkillinen
abruptly	0	0	0	0	0	0	0	0	0	0	yhtäkkiä
abscess	0	0	0	0	0	1	0	1	0	0	paise
absence	0	0	0	1	0	1	0	1	0	0	poissaolo
absent	0	0	0	0	0	1	0	1	0	0	poissa
absentee	0	0	0	0	0	1	0	1	0	0	poissaolija
absenteeism	0	0	0	0	0	1	0	0	0	0	poissaolot
absinthe	0	0	0	0	0	0	0	0	0	0	absintti
absolute	0	0	0	0	0	0	1	0	0	0	ehdoton
absolution	0	0	0	0	1	0	1	0	0	1	anteeksianto
absorbed	0	0	0	0	0	0	1	0	0	0	imeytyy
absorbent	0	0	0	0	0	0	0	0	0	0	imukykyinen
absorbing	0	0	0	0	0	0	0	0	0	0	imevää
absorption	0	0	0	0	0	0	0	0	0	0	imeytyminen
abstain	0	0	0	0	0	0	0	0	0	0	pidättäytyä äänestämästä
abstention	0	0	0	0	0	0	0	0	0	0	tyhjää
abstinence	0	0	0	0	0	0	0	0	0	0	raittiutta
abstract	0	0	0	0	0	0	0	0	0	0	abstrakti
abstraction	0	0	0	0	0	0	0	0	0	0	abstraktio
absurd	0	0	0	0	0	1	0	0	0	0	absurdia
absurdity	0	0	0	0	0	1	0	0	0	0	absurdia
abundance	0	1	1	0	1	1	1	0	0	1	yltäkylläisyys
abundant	0	0	0	0	1	0	1	0	0	0	runsas
abuse	1	0	1	1	0	1	0	1	0	0	väärinkäyttö
abutment	0	0	0	0	0	0	0	0	0	0	abutmentti
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	synkkä
abyss	0	0	0	1	0	1	0	1	0	0	kuiluun
academic	0	0	0	0	0	0	1	0	0	1	akateeminen
academy	0	0	0	0	0	0	1	0	0	0	akatemia
accede	0	0	0	0	0	0	0	0	0	0	liittyä
accelerate	0	1	0	0	0	0	0	0	0	0	kiihdyttää
acceleration	0	0	0	0	0	0	0	0	0	0	kiihtyvyys
accent	0	0	0	0	0	0	0	0	0	0	aksentti
accentuate	0	0	0	0	0	0	0	0	0	0	korostaa
accept	0	0	0	0	0	0	0	0	0	0	hyväksyä
acceptable	0	0	0	0	0	0	1	0	0	0	hyväksyttävää
acceptance	0	0	0	0	0	0	1	0	0	0	hyväksyminen
access	0	0	0	0	0	0	0	0	0	0	pääsy
accessible	0	0	0	0	0	0	1	0	0	0	saatavilla
accession	0	0	0	0	0	0	0	0	0	0	liittyminen
accessory	0	0	0	0	0	0	0	0	0	0	lisävaruste
accident	0	0	0	1	0	1	0	1	1	0	onnettomuus
accidental	0	0	0	1	0	1	0	0	1	0	vahingossa
accidentally	0	0	0	0	0	0	0	0	1	0	vahingossa
accolade	0	1	0	0	1	0	1	0	1	1	kunnianosoitus
accommodate	0	0	0	0	0	0	0	0	0	0	majoittaa
accommodation	0	0	0	0	0	0	1	0	0	0	majoitus
accompaniment	0	1	0	0	1	0	1	0	0	1	säestys
accompany	0	0	0	0	0	0	0	0	0	0	mukana
accompanying	0	0	0	0	0	0	0	0	0	0	mukana
accomplice	0	0	0	0	0	0	0	0	0	0	rikoskumppani
accomplish	0	0	0	0	1	0	1	0	0	0	saavuttaa
accomplished	0	0	0	0	1	0	1	0	0	0	saavutettu
accomplishment	0	0	0	0	0	0	1	0	0	0	saavutus
accord	0	0	0	0	0	0	1	0	0	1	sopimusta
accordance	0	0	0	0	0	0	0	0	0	0	mukaisesti
accordion	0	0	0	0	0	0	0	0	0	0	harmonikka
account	0	0	0	0	0	0	0	0	0	1	tili
accountability	0	0	0	0	0	0	1	0	0	1	vastuullisuus
accountable	0	0	0	0	0	0	1	0	0	1	vastuussa
accountant	0	0	0	0	0	0	0	0	0	1	kirjanpitäjä
accounting	0	0	0	0	0	0	0	0	0	0	kirjanpito
accounts	0	0	0	0	0	0	0	0	0	1	tilit
accredited	0	0	0	0	0	0	1	0	0	1	akkreditoitu
accretion	0	0	0	0	0	0	0	0	0	0	vesijättö
accrue	0	0	0	0	0	0	0	0	0	0	kertyä
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	kerääntyä
accumulation	0	0	0	0	0	0	0	0	0	0	kertyminen
accuracy	0	0	0	0	0	0	0	0	0	0	tarkkuus
accurate	0	0	0	0	0	0	1	0	0	1	tarkka
accursed	1	0	0	1	0	1	0	1	0	0	kirottu
accusation	1	0	1	0	0	1	0	0	0	0	syytös
accusative	0	0	0	0	0	1	0	0	0	0	akkusatiivi
accused	1	0	0	1	0	1	0	0	0	0	syytetty
accuser	1	0	0	1	0	1	0	0	0	0	syyttäjä
accusing	1	0	0	1	0	1	0	0	0	0	syyttävä
accustomed	0	0	0	0	0	0	0	0	0	0	tottunut
ace	0	0	0	0	0	0	1	0	0	0	ässä
acetic	0	0	0	0	0	0	0	0	0	0	etikka
ache	0	0	0	0	0	1	0	1	0	0	särky
achieve	0	0	0	0	1	0	1	0	0	1	saavuttaa
achievement	0	1	0	0	1	0	1	0	0	1	saavutus
aching	0	0	0	0	0	1	0	1	0	0	kipeä
acid	0	0	0	0	0	1	0	0	0	0	happoa
acidity	0	0	0	0	0	0	0	0	0	0	happamuus
acknowledge	0	0	0	0	0	0	0	0	0	0	tunnustaa
acknowledged	0	0	0	0	0	0	0	0	0	0	tunnustettu
acknowledgment	0	0	0	0	0	0	1	0	0	0	tunnustus
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustinen
acoustics	0	0	0	0	0	0	0	0	0	0	akustiikka
acquaint	0	0	0	0	0	0	0	0	0	0	tutustua
acquaintance	0	0	0	0	0	0	0	0	0	0	tuttavuus
acquainted	0	0	0	0	0	0	0	0	0	0	tuttu
acquiescence	0	0	0	0	0	0	0	0	0	0	suostumus
acquire	0	0	0	0	0	0	1	0	0	0	hankkia
acquiring	0	1	0	0	0	0	1	0	0	0	hankkiminen
acquisition	0	0	0	0	0	0	0	0	0	0	hankinta
acquisitions	0	0	0	0	0	0	0	0	0	0	hankinnat
acreage	0	0	0	0	0	0	0	0	0	0	pinta-ala
acres	0	0	0	0	0	0	0	0	0	0	eekkeriä
acrobat	0	0	0	1	1	0	1	0	0	1	akrobaatti
act	0	0	0	0	0	0	0	0	0	0	toimia
acting	0	0	0	0	0	0	0	0	0	0	näytteleminen
action	0	0	0	0	0	0	1	0	0	0	toiminta
actionable	1	0	1	0	0	1	0	0	0	0	toimintakelpoinen
active	0	0	0	0	0	0	0	0	0	0	aktiivinen
activity	0	0	0	0	0	0	0	0	0	0	toiminta
actor	0	0	0	0	0	0	0	0	0	0	näyttelijä
actual	0	0	0	0	0	0	1	0	0	0	todellinen
actuality	0	0	0	0	0	0	0	0	0	0	todellisuus
actuary	0	0	0	0	0	0	0	0	0	0	aktuaari
acuity	0	0	0	0	0	0	1	0	0	0	terävyys
acumen	0	0	0	0	0	0	1	0	0	0	älykkyyttä
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktio
acutely	0	0	0	0	0	0	0	0	0	0	akuutisti
adage	0	0	0	0	0	0	0	0	0	0	Sanonta
adamant	0	0	0	0	0	0	0	0	0	0	järkkymätön
adapt	0	0	0	0	0	0	1	0	0	0	sopeutua
adaptable	0	0	0	0	0	0	1	0	0	0	mukautuva
add	0	0	0	0	0	0	0	0	0	0	lisätä
added	0	0	0	0	0	0	0	0	0	0	lisätty
addendum	0	0	0	0	0	0	0	0	0	0	lisäys
adder	1	0	1	1	0	1	0	1	0	0	lisäin
addiction	0	0	0	0	0	1	0	0	0	0	riippuvuus
addition	0	0	0	0	0	0	0	0	0	0	lisäys
additional	0	0	0	0	0	0	0	0	0	0	lisää
additive	0	0	0	0	0	0	0	0	0	0	lisäaine
address	0	0	0	0	0	0	0	0	0	0	osoite
addressee	0	0	0	0	0	0	0	0	0	0	vastaanottaja
addresses	0	1	0	0	0	0	1	0	0	0	osoitteita
adept	0	0	0	0	0	0	1	0	0	0	taitava
adequacy	0	0	0	0	0	0	1	0	0	0	riittävyyttä
