English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	French Word
aback	0	0	0	0	0	0	0	0	0	0	surpris
abacus	0	0	0	0	0	0	0	0	0	1	abaque
abandon	0	0	0	1	0	1	0	1	0	0	abandonner
abandoned	1	0	0	1	0	1	0	1	0	0	abandonné
abandonment	1	0	0	1	0	1	0	1	1	0	abandon
abate	0	0	0	0	0	0	0	0	0	0	diminuer
abatement	0	0	0	0	0	0	0	0	0	0	réduction
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abbé
abbreviate	0	0	0	0	0	0	0	0	0	0	abréger
abbreviation	0	0	0	0	0	0	0	0	0	0	abréviation
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	enlèvement
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberration
abeyance	0	0	0	0	0	0	0	0	0	0	situation en suspens
abhor	1	0	1	1	0	1	0	0	0	0	abhorrer
abhorrent	1	0	1	1	0	1	0	0	0	0	odieux
abide	0	0	0	0	0	0	0	0	0	0	se conformer
ability	0	0	0	0	0	0	1	0	0	0	aptitude
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablation
ablaze	0	0	0	0	0	0	0	0	0	0	en feu
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	une planche
abode	0	0	0	0	0	0	0	0	0	0	demeure
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolition
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abomination
aboriginal	0	0	0	0	0	0	0	0	0	0	Aborigène
abort	0	0	0	0	0	1	0	0	0	0	avorter
abortion	0	0	1	1	0	1	0	1	0	0	Avortement
abortive	0	0	0	0	0	1	0	1	0	0	abortif
abound	0	0	0	0	0	0	0	0	0	0	abonder
abovementioned	0	0	0	0	0	0	1	0	0	0	mentionné ci-dessus
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	à l'étranger
abrogate	0	0	0	0	0	1	0	0	0	0	abroger
abrupt	0	0	0	0	0	0	0	0	1	0	brusque
abruptly	0	0	0	0	0	0	0	0	0	0	brusquement
abscess	0	0	0	0	0	1	0	1	0	0	abcès
absence	0	0	0	1	0	1	0	1	0	0	absence
absent	0	0	0	0	0	1	0	1	0	0	absent
absentee	0	0	0	0	0	1	0	1	0	0	absent
absenteeism	0	0	0	0	0	1	0	0	0	0	absentéisme
absinthe	0	0	0	0	0	0	0	0	0	0	Absinthe
absolute	0	0	0	0	0	0	1	0	0	0	absolu
absolution	0	0	0	0	1	0	1	0	0	1	absolution
absorbed	0	0	0	0	0	0	1	0	0	0	absorbé
absorbent	0	0	0	0	0	0	0	0	0	0	absorbant
absorbing	0	0	0	0	0	0	0	0	0	0	absorbant
absorption	0	0	0	0	0	0	0	0	0	0	absorption
abstain	0	0	0	0	0	0	0	0	0	0	abstention
abstention	0	0	0	0	0	0	0	0	0	0	abstention
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	abstrait
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	absurde
absurdity	0	0	0	0	0	1	0	0	0	0	absurdité
abundance	0	1	1	0	1	1	1	0	0	1	abondance
abundant	0	0	0	0	1	0	1	0	0	0	abondant
abuse	1	0	1	1	0	1	0	1	0	0	abuser de
abutment	0	0	0	0	0	0	0	0	0	0	butée
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	épouvantable
abyss	0	0	0	1	0	1	0	1	0	0	abîme
academic	0	0	0	0	0	0	1	0	0	1	académique
academy	0	0	0	0	0	0	1	0	0	0	académie
accede	0	0	0	0	0	0	0	0	0	0	adhérer
accelerate	0	1	0	0	0	0	0	0	0	0	accélérer
acceleration	0	0	0	0	0	0	0	0	0	0	accélération
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentuer
accept	0	0	0	0	0	0	0	0	0	0	J'accepte
acceptable	0	0	0	0	0	0	1	0	0	0	acceptable
acceptance	0	0	0	0	0	0	1	0	0	0	acceptation
access	0	0	0	0	0	0	0	0	0	0	accéder
accessible	0	0	0	0	0	0	1	0	0	0	accessible
accession	0	0	0	0	0	0	0	0	0	0	accession
accessory	0	0	0	0	0	0	0	0	0	0	accessoire
accident	0	0	0	1	0	1	0	1	1	0	accident
accidental	0	0	0	1	0	1	0	0	1	0	accidentel
accidentally	0	0	0	0	0	0	0	0	1	0	accidentellement
accolade	0	1	0	0	1	0	1	0	1	1	accolade
accommodate	0	0	0	0	0	0	0	0	0	0	accommoder
accommodation	0	0	0	0	0	0	1	0	0	0	logement
