English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Frisian Word
aback	0	0	0	0	0	0	0	0	0	0	fernuvere
abacus	0	0	0	0	0	0	0	0	0	1	abacus
abandon	0	0	0	1	0	1	0	1	0	0	ferlitte
abandoned	1	0	0	1	0	1	0	1	0	0	ferlitten
abandonment	1	0	0	1	0	1	0	1	1	0	ferlitten
abate	0	0	0	0	0	0	0	0	0	0	ôfnimme
abatement	0	0	0	0	0	0	0	0	0	0	fermindering
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abt
abbreviate	0	0	0	0	0	0	0	0	0	0	ôfkoarte
abbreviation	0	0	0	0	0	0	0	0	0	0	ôfkoarting
abdomen	0	0	0	0	0	0	0	0	0	0	abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	abdominal
abduction	0	0	0	1	0	1	0	1	1	0	ûntfiering
aberrant	0	0	0	0	0	1	0	0	0	0	aberrant
aberration	0	0	1	0	0	1	0	0	0	0	aberraasje
abeyance	0	0	0	0	0	0	0	0	0	0	abeyance
abhor	1	0	1	1	0	1	0	0	0	0	ôfgryslik
abhorrent	1	0	1	1	0	1	0	0	0	0	ôfgryslik
abide	0	0	0	0	0	0	0	0	0	0	bliuwe
ability	0	0	0	0	0	0	1	0	0	0	fermogen
abject	0	0	1	0	0	1	0	0	0	0	abject
ablation	0	0	0	0	0	0	0	0	0	0	ablaasje
ablaze	0	0	0	0	0	0	0	0	0	0	ablaze
abnormal	0	0	1	0	0	1	0	0	0	0	abnormaal
aboard	0	0	0	0	0	0	0	0	0	0	oan board
abode	0	0	0	0	0	0	0	0	0	0	wenne
abolish	1	0	0	0	0	1	0	0	0	0	ôfskaffe
abolition	0	0	0	0	0	1	0	0	0	0	ôfskaffing
abominable	0	0	1	1	0	1	0	0	0	0	ôfgryslik
abomination	1	0	1	1	0	1	0	0	0	0	grouwel
aboriginal	0	0	0	0	0	0	0	0	0	0	aboriginal
abort	0	0	0	0	0	1	0	0	0	0	ôfbrekke
abortion	0	0	1	1	0	1	0	1	0	0	abortus
abortive	0	0	0	0	0	1	0	1	0	0	abortive
abound	0	0	0	0	0	0	0	0	0	0	oerfloedich
abovementioned	0	0	0	0	0	0	1	0	0	0	niisneamd
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	bûtenlân
abrogate	0	0	0	0	0	1	0	0	0	0	ôfbrekke
abrupt	0	0	0	0	0	0	0	0	1	0	abrupt
abruptly	0	0	0	0	0	0	0	0	0	0	abrupt
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	ôfwêzigens
absent	0	0	0	0	0	1	0	1	0	0	ôfwêzich
absentee	0	0	0	0	0	1	0	1	0	0	ôfwêzich
absenteeism	0	0	0	0	0	1	0	0	0	0	ôfwêzigens
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	absolút
absolution	0	0	0	0	1	0	1	0	0	1	absolúsje
absorbed	0	0	0	0	0	0	1	0	0	0	opnomd
absorbent	0	0	0	0	0	0	0	0	0	0	absorberend
absorbing	0	0	0	0	0	0	0	0	0	0	absorbearjend
absorption	0	0	0	0	0	0	0	0	0	0	absorption
abstain	0	0	0	0	0	0	0	0	0	0	ûnthâlde
abstention	0	0	0	0	0	0	0	0	0	0	ûnthâlding
abstinence	0	0	0	0	0	0	0	0	0	0	abstinens
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksje
absurd	0	0	0	0	0	1	0	0	0	0	ûnsinnich
absurdity	0	0	0	0	0	1	0	0	0	0	absurditeit
abundance	0	1	1	0	1	1	1	0	0	1	oerfloed
