English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Galician Word
aback	0	0	0	0	0	0	0	0	0	0	desconcertado
abacus	0	0	0	0	0	0	0	0	0	1	ábaco
abandon	0	0	0	1	0	1	0	1	0	0	abandonar
abandoned	1	0	0	1	0	1	0	1	0	0	abandonado
abandonment	1	0	0	1	0	1	0	1	1	0	abandono
abate	0	0	0	0	0	0	0	0	0	0	diminuír
abatement	0	0	0	0	0	0	0	0	0	0	diminución
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	abade
abbreviate	0	0	0	0	0	0	0	0	0	0	abreviar
abbreviation	0	0	0	0	0	0	0	0	0	0	abreviatura
abdomen	0	0	0	0	0	0	0	0	0	0	abdome
abdominal	0	0	0	0	0	0	0	0	0	0	abdominais
abduction	0	0	0	1	0	1	0	1	1	0	secuestro
aberrant	0	0	0	0	0	1	0	0	0	0	aberrante
aberration	0	0	1	0	0	1	0	0	0	0	aberración
abeyance	0	0	0	0	0	0	0	0	0	0	suspenso
abhor	1	0	1	1	0	1	0	0	0	0	aborrecer
abhorrent	1	0	1	1	0	1	0	0	0	0	aborrecible
abide	0	0	0	0	0	0	0	0	0	0	acatar
ability	0	0	0	0	0	0	1	0	0	0	capacidade
abject	0	0	1	0	0	1	0	0	0	0	abxecto
ablation	0	0	0	0	0	0	0	0	0	0	ablación
ablaze	0	0	0	0	0	0	0	0	0	0	arder
abnormal	0	0	1	0	0	1	0	0	0	0	anormal
aboard	0	0	0	0	0	0	0	0	0	0	a bordo
abode	0	0	0	0	0	0	0	0	0	0	morada
abolish	1	0	0	0	0	1	0	0	0	0	abolir
abolition	0	0	0	0	0	1	0	0	0	0	abolición
abominable	0	0	1	1	0	1	0	0	0	0	abominable
abomination	1	0	1	1	0	1	0	0	0	0	abominación
aboriginal	0	0	0	0	0	0	0	0	0	0	aborixe
abort	0	0	0	0	0	1	0	0	0	0	abortar
abortion	0	0	1	1	0	1	0	1	0	0	aborto
abortive	0	0	0	0	0	1	0	1	0	0	abortivo
abound	0	0	0	0	0	0	0	0	0	0	abundan
abovementioned	0	0	0	0	0	0	1	0	0	0	anteriormente mencionados
abrasion	0	0	0	0	0	1	0	0	0	0	abrasión
abroad	0	0	0	0	0	0	0	0	0	0	no estranxeiro
abrogate	0	0	0	0	0	1	0	0	0	0	derogar
abrupt	0	0	0	0	0	0	0	0	1	0	brusco
abruptly	0	0	0	0	0	0	0	0	0	0	bruscamente
abscess	0	0	0	0	0	1	0	1	0	0	absceso
absence	0	0	0	1	0	1	0	1	0	0	ausencia
absent	0	0	0	0	0	1	0	1	0	0	ausente
absentee	0	0	0	0	0	1	0	1	0	0	ausente
absenteeism	0	0	0	0	0	1	0	0	0	0	absentismo
absinthe	0	0	0	0	0	0	0	0	0	0	absinto
absolute	0	0	0	0	0	0	1	0	0	0	absoluto
absolution	0	0	0	0	1	0	1	0	0	1	absolución
absorbed	0	0	0	0	0	0	1	0	0	0	absorbido
absorbent	0	0	0	0	0	0	0	0	0	0	absorbente
absorbing	0	0	0	0	0	0	0	0	0	0	absorbente
absorption	0	0	0	0	0	0	0	0	0	0	absorción
abstain	0	0	0	0	0	0	0	0	0	0	absterse
abstention	0	0	0	0	0	0	0	0	0	0	abstención
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencia
abstract	0	0	0	0	0	0	0	0	0	0	abstracto
abstraction	0	0	0	0	0	0	0	0	0	0	abstracción
absurd	0	0	0	0	0	1	0	0	0	0	absurdo
absurdity	0	0	0	0	0	1	0	0	0	0	absurdo
abundance	0	1	1	0	1	1	1	0	0	1	abundancia
abundant	0	0	0	0	1	0	1	0	0	0	abundante
abuse	1	0	1	1	0	1	0	1	0	0	abuso
abutment	0	0	0	0	0	0	0	0	0	0	pilar
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
abyss	0	0	0	1	0	1	0	1	0	0	abismo
academic	0	0	0	0	0	0	1	0	0	1	académico
academy	0	0	0	0	0	0	1	0	0	0	academia
accede	0	0	0	0	0	0	0	0	0	0	acceder
accelerate	0	1	0	0	0	0	0	0	0	0	acelerar
acceleration	0	0	0	0	0	0	0	0	0	0	aceleración
accent	0	0	0	0	0	0	0	0	0	0	acento
accentuate	0	0	0	0	0	0	0	0	0	0	acentuar
accept	0	0	0	0	0	0	0	0	0	0	aceptar
acceptable	0	0	0	0	0	0	1	0	0	0	aceptable
acceptance	0	0	0	0	0	0	1	0	0	0	aceptación
access	0	0	0	0	0	0	0	0	0	0	acceso
accessible	0	0	0	0	0	0	1	0	0	0	accesible
accession	0	0	0	0	0	0	0	0	0	0	adhesión
accessory	0	0	0	0	0	0	0	0	0	0	accesorio
accident	0	0	0	1	0	1	0	1	1	0	accidente
accidental	0	0	0	1	0	1	0	0	1	0	accidental
accidentally	0	0	0	0	0	0	0	0	1	0	accidentalmente
accolade	0	1	0	0	1	0	1	0	1	1	eloxio
accommodate	0	0	0	0	0	0	0	0	0	0	acomodar
accommodation	0	0	0	0	0	0	1	0	0	0	aloxamento
accompaniment	0	1	0	0	1	0	1	0	0	1	acompañamento
accompany	0	0	0	0	0	0	0	0	0	0	acompañar
accompanying	0	0	0	0	0	0	0	0	0	0	Acompañando
accomplice	0	0	0	0	0	0	0	0	0	0	cómplice
accomplish	0	0	0	0	1	0	1	0	0	0	realizar
accomplished	0	0	0	0	1	0	1	0	0	0	conseguido
accomplishment	0	0	0	0	0	0	1	0	0	0	realización
accord	0	0	0	0	0	0	1	0	0	1	acordo
accordance	0	0	0	0	0	0	0	0	0	0	de acordo
accordion	0	0	0	0	0	0	0	0	0	0	acordeón
account	0	0	0	0	0	0	0	0	0	1	conta
accountability	0	0	0	0	0	0	1	0	0	1	responsabilidade
accountable	0	0	0	0	0	0	1	0	0	1	responsable
accountant	0	0	0	0	0	0	0	0	0	1	contable
accounting	0	0	0	0	0	0	0	0	0	0	contabilidade
accounts	0	0	0	0	0	0	0	0	0	1	contas
accredited	0	0	0	0	0	0	1	0	0	1	acreditado
accretion	0	0	0	0	0	0	0	0	0	0	acreción
accrue	0	0	0	0	0	0	0	0	0	0	acumular
accueil	0	0	0	0	0	0	1	0	0	0	acollida
accumulate	0	0	0	0	0	0	0	0	0	0	acumular
accumulation	0	0	0	0	0	0	0	0	0	0	acumulación
accuracy	0	0	0	0	0	0	0	0	0	0	precisión
accurate	0	0	0	0	0	0	1	0	0	1	preciso
accursed	1	0	0	1	0	1	0	1	0	0	maldito
accusation	1	0	1	0	0	1	0	0	0	0	acusación
accusative	0	0	0	0	0	1	0	0	0	0	acusativo
accused	1	0	0	1	0	1	0	0	0	0	acusado
accuser	1	0	0	1	0	1	0	0	0	0	acusador
accusing	1	0	0	1	0	1	0	0	0	0	acusando
accustomed	0	0	0	0	0	0	0	0	0	0	afeito
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acético
ache	0	0	0	0	0	1	0	1	0	0	dor
achieve	0	0	0	0	1	0	1	0	0	1	acadar
achievement	0	1	0	0	1	0	1	0	0	1	logro
aching	0	0	0	0	0	1	0	1	0	0	dor
acid	0	0	0	0	0	1	0	0	0	0	ácido
acidity	0	0	0	0	0	0	0	0	0	0	acidez
acknowledge	0	0	0	0	0	0	0	0	0	0	recoñecer
acknowledged	0	0	0	0	0	0	0	0	0	0	recoñecido
acknowledgment	0	0	0	0	0	0	1	0	0	0	recoñecemento
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acústica
acoustics	0	0	0	0	0	0	0	0	0	0	acústica
acquaint	0	0	0	0	0	0	0	0	0	0	coñecer
acquaintance	0	0	0	0	0	0	0	0	0	0	coñecido
acquainted	0	0	0	0	0	0	0	0	0	0	coñecido
acquiescence	0	0	0	0	0	0	0	0	0	0	aquiescencia
acquire	0	0	0	0	0	0	1	0	0	0	adquirir
acquiring	0	1	0	0	0	0	1	0	0	0	adquirindo
acquisition	0	0	0	0	0	0	0	0	0	0	adquisición
acquisitions	0	0	0	0	0	0	0	0	0	0	adquisicións
acreage	0	0	0	0	0	0	0	0	0	0	superficie
acres	0	0	0	0	0	0	0	0	0	0	hectáreas
acrobat	0	0	0	1	1	0	1	0	0	1	acróbata
act	0	0	0	0	0	0	0	0	0	0	actuar
acting	0	0	0	0	0	0	0	0	0	0	interpretación
action	0	0	0	0	0	0	1	0	0	0	acción
actionable	1	0	1	0	0	1	0	0	0	0	accionable
active	0	0	0	0	0	0	0	0	0	0	activo
activity	0	0	0	0	0	0	0	0	0	0	actividade
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	real
actuality	0	0	0	0	0	0	0	0	0	0	actualidade
actuary	0	0	0	0	0	0	0	0	0	0	actuario
acuity	0	0	0	0	0	0	1	0	0	0	agudeza
acumen	0	0	0	0	0	0	1	0	0	0	perspicacia
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	agudamente
adage	0	0	0	0	0	0	0	0	0	0	adaxio
adamant	0	0	0	0	0	0	0	0	0	0	inflexible
adapt	0	0	0	0	0	0	1	0	0	0	adaptar
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	engadir
added	0	0	0	0	0	0	0	0	0	0	engadido
addendum	0	0	0	0	0	0	0	0	0	0	addenda
adder	1	0	1	1	0	1	0	1	0	0	sumador
addiction	0	0	0	0	0	1	0	0	0	0	adicción
addition	0	0	0	0	0	0	0	0	0	0	adición
additional	0	0	0	0	0	0	0	0	0	0	adicional
additive	0	0	0	0	0	0	0	0	0	0	aditivo
address	0	0	0	0	0	0	0	0	0	0	enderezo
addressee	0	0	0	0	0	0	0	0	0	0	destinatario
addresses	0	1	0	0	0	0	1	0	0	0	enderezos
adept	0	0	0	0	0	0	1	0	0	0	adepto
adequacy	0	0	0	0	0	0	1	0	0	0	adecuación
adequate	0	0	0	0	0	0	0	0	0	0	adecuada
adhere	0	0	0	0	0	0	0	0	0	0	adherirse
adherence	0	0	0	0	0	0	0	0	0	0	adhesión
adherent	0	0	0	0	0	0	0	0	0	0	adherente
adhering	0	0	0	0	0	0	0	0	0	1	adherindo
adhesion	0	0	0	0	0	0	0	0	0	0	adhesión
adhesive	0	0	0	0	0	0	0	0	0	0	adhesivo
adieu	0	0	0	0	0	0	0	0	0	0	adeus
adipose	0	0	0	0	0	1	0	0	0	0	adiposo
adjacency	0	0	0	0	0	0	0	0	0	0	adxacencia
adjacent	0	0	0	0	0	0	0	0	0	0	adxacentes
adjective	0	0	0	0	0	0	0	0	0	0	adxectivo
adjoining	0	0	0	0	0	0	0	0	0	0	contiguo
adjourn	0	0	0	0	0	0	0	0	0	0	aprazar
adjournment	0	0	0	0	0	0	0	0	0	0	aprazamento
adjudicate	0	0	0	1	0	1	0	0	0	0	xulgar
adjudication	0	0	0	0	0	0	0	0	0	0	adxudicación
adjunct	0	0	0	0	0	0	1	0	0	0	adxunto
adjust	0	0	0	0	0	0	0	0	0	0	Axustar
adjustment	0	0	0	0	0	0	0	0	0	0	axuste
adjuvant	0	0	0	0	0	0	0	0	0	0	adxuvante
administer	0	0	0	0	0	0	0	0	0	0	administrar
administration	0	0	0	0	0	0	0	0	0	0	administración
administrative	0	0	0	0	0	0	0	0	0	1	administrativo
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	almirante
admiralty	0	0	0	0	0	0	0	0	0	0	almirantazgo
admiration	0	0	0	0	1	0	1	0	0	1	admiración
admire	0	0	0	0	0	0	1	0	0	1	admirar
admirer	0	0	0	0	0	0	1	0	0	0	admirador
admissibility	0	0	0	0	0	0	0	0	0	0	admisibilidade
admissible	0	0	0	0	0	0	1	0	0	1	admisible
admission	0	0	0	0	0	0	0	0	0	0	admisión
admit	0	0	0	0	0	0	0	0	0	0	admitir
admittance	0	0	0	0	0	0	0	0	0	0	admisión
admitted	0	0	0	0	0	0	0	0	0	0	admitido
admitting	0	0	0	0	0	0	0	0	0	0	admitindo
admixture	0	0	0	0	0	0	0	0	0	0	mestura
admonition	0	0	0	1	0	1	0	0	0	0	advertencia
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescencia
adolescent	0	0	0	0	0	0	0	0	0	0	adolescente
adopt	0	0	0	0	0	0	0	0	0	0	adoptar
adoption	0	0	0	0	0	0	0	0	0	0	adopción
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adoración
adore	0	1	0	0	1	0	1	0	0	1	adorar
adorn	0	0	0	0	0	0	0	0	0	0	adornar
adornment	0	0	0	0	0	0	0	0	0	0	adorno
adrift	0	1	0	1	0	1	0	1	0	0	á deriva
adult	0	0	0	0	0	0	0	0	0	0	adulto
adulterated	0	0	0	0	0	1	0	0	0	0	adulterado
adultery	0	0	1	0	0	1	0	1	0	0	adulterio
advance	0	1	0	1	1	0	1	0	1	0	adiantado
advanced	0	0	0	0	0	0	1	0	0	0	avanzado
advancement	0	0	0	0	0	0	1	0	0	0	avance
advancing	0	0	0	0	0	0	0	0	0	0	avanzando
advantage	0	0	0	0	0	0	1	0	0	0	vantaxe
advantageous	0	0	0	0	0	0	1	0	0	0	vantaxoso
