English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Georgian Word
aback	0	0	0	0	0	0	0	0	0	0	დაბრუნდა
abacus	0	0	0	0	0	0	0	0	0	1	აბაკუსი
abandon	0	0	0	1	0	1	0	1	0	0	მიტოვება
abandoned	1	0	0	1	0	1	0	1	0	0	მიტოვებული
abandonment	1	0	0	1	0	1	0	1	1	0	მიტოვება
abate	0	0	0	0	0	0	0	0	0	0	შემცირება
abatement	0	0	0	0	0	0	0	0	0	0	შემცირება
abba	0	0	0	0	0	0	1	0	0	0	აბა
abbot	0	0	0	0	0	0	0	0	0	1	აბატი
abbreviate	0	0	0	0	0	0	0	0	0	0	შემოკლება
abbreviation	0	0	0	0	0	0	0	0	0	0	აბრევიატურა
abdomen	0	0	0	0	0	0	0	0	0	0	მუცელი
abdominal	0	0	0	0	0	0	0	0	0	0	მუცლის
abduction	0	0	0	1	0	1	0	1	1	0	გატაცება
aberrant	0	0	0	0	0	1	0	0	0	0	გადახრილი
aberration	0	0	1	0	0	1	0	0	0	0	აბერაცია
abeyance	0	0	0	0	0	0	0	0	0	0	მორჩენა
abhor	1	0	1	1	0	1	0	0	0	0	ზიზღი
abhorrent	1	0	1	1	0	1	0	0	0	0	საზიზღარი
abide	0	0	0	0	0	0	0	0	0	0	დაიცვან
ability	0	0	0	0	0	0	1	0	0	0	უნარი
abject	0	0	1	0	0	1	0	0	0	0	საზიზღარი
ablation	0	0	0	0	0	0	0	0	0	0	აბლაცია
ablaze	0	0	0	0	0	0	0	0	0	0	ცეცხლმოკიდებული
abnormal	0	0	1	0	0	1	0	0	0	0	არანორმალური
aboard	0	0	0	0	0	0	0	0	0	0	გემზე
abode	0	0	0	0	0	0	0	0	0	0	სამყოფელი
abolish	1	0	0	0	0	1	0	0	0	0	გააუქმოს
abolition	0	0	0	0	0	1	0	0	0	0	გაუქმება
abominable	0	0	1	1	0	1	0	0	0	0	საზიზღარი
abomination	1	0	1	1	0	1	0	0	0	0	საზიზღრობა
aboriginal	0	0	0	0	0	0	0	0	0	0	აბორიგენი
abort	0	0	0	0	0	1	0	0	0	0	გაუქმება
abortion	0	0	1	1	0	1	0	1	0	0	აბორტი
abortive	0	0	0	0	0	1	0	1	0	0	აბორტი
abound	0	0	0	0	0	0	0	0	0	0	უხვად
