English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	German Word
aback	0	0	0	0	0	0	0	0	0	0	verblüfft
abacus	0	0	0	0	0	0	0	0	0	1	Abakus
abandon	0	0	0	1	0	1	0	1	0	0	aufgeben
abandoned	1	0	0	1	0	1	0	1	0	0	verlassen
abandonment	1	0	0	1	0	1	0	1	1	0	Aufgabe
abate	0	0	0	0	0	0	0	0	0	0	nachlassen
abatement	0	0	0	0	0	0	0	0	0	0	Minderung
abba	0	0	0	0	0	0	1	0	0	0	Abb
abbot	0	0	0	0	0	0	0	0	0	1	Abt
abbreviate	0	0	0	0	0	0	0	0	0	0	abkürzen
abbreviation	0	0	0	0	0	0	0	0	0	0	Abkürzung
abdomen	0	0	0	0	0	0	0	0	0	0	Abdomen
abdominal	0	0	0	0	0	0	0	0	0	0	Bauch
abduction	0	0	0	1	0	1	0	1	1	0	Entführung
aberrant	0	0	0	0	0	1	0	0	0	0	abweichend
aberration	0	0	1	0	0	1	0	0	0	0	Abweichung
abeyance	0	0	0	0	0	0	0	0	0	0	Schwebezustand
abhor	1	0	1	1	0	1	0	0	0	0	verabscheuen
abhorrent	1	0	1	1	0	1	0	0	0	0	abscheulich
abide	0	0	0	0	0	0	0	0	0	0	bleiben
ability	0	0	0	0	0	0	1	0	0	0	Fähigkeit
abject	0	0	1	0	0	1	0	0	0	0	erbärmlich
ablation	0	0	0	0	0	0	0	0	0	0	Abtragung
ablaze	0	0	0	0	0	0	0	0	0	0	in Flammen
abnormal	0	0	1	0	0	1	0	0	0	0	abnormal
aboard	0	0	0	0	0	0	0	0	0	0	an Bord
abode	0	0	0	0	0	0	0	0	0	0	Aufenthalt
abolish	1	0	0	0	0	1	0	0	0	0	abschaffen
abolition	0	0	0	0	0	1	0	0	0	0	Abschaffung
abominable	0	0	1	1	0	1	0	0	0	0	abscheulich
abomination	1	0	1	1	0	1	0	0	0	0	Gräuel
aboriginal	0	0	0	0	0	0	0	0	0	0	Ureinwohner
abort	0	0	0	0	0	1	0	0	0	0	abbrechen
abortion	0	0	1	1	0	1	0	1	0	0	Abbruch
abortive	0	0	0	0	0	1	0	1	0	0	abortiv
abound	0	0	0	0	0	0	0	0	0	0	reichlich
abovementioned	0	0	0	0	0	0	1	0	0	0	oben erwähnt
abrasion	0	0	0	0	0	1	0	0	0	0	Abrieb
abroad	0	0	0	0	0	0	0	0	0	0	im Ausland
abrogate	0	0	0	0	0	1	0	0	0	0	aufheben
abrupt	0	0	0	0	0	0	0	0	1	0	abrupt
abruptly	0	0	0	0	0	0	0	0	0	0	plötzlich
abscess	0	0	0	0	0	1	0	1	0	0	Abszess
absence	0	0	0	1	0	1	0	1	0	0	Abwesenheit
absent	0	0	0	0	0	1	0	1	0	0	abwesend
absentee	0	0	0	0	0	1	0	1	0	0	abwesend
absenteeism	0	0	0	0	0	1	0	0	0	0	Fehlzeiten
absinthe	0	0	0	0	0	0	0	0	0	0	Absinth
absolute	0	0	0	0	0	0	1	0	0	0	absolut
absolution	0	0	0	0	1	0	1	0	0	1	Absolution
absorbed	0	0	0	0	0	0	1	0	0	0	absorbiert
absorbent	0	0	0	0	0	0	0	0	0	0	saugfähig
absorbing	0	0	0	0	0	0	0	0	0	0	absorbierend
absorption	0	0	0	0	0	0	0	0	0	0	Absorption
abstain	0	0	0	0	0	0	0	0	0	0	verzichten
abstention	0	0	0	0	0	0	0	0	0	0	Enthaltung
abstinence	0	0	0	0	0	0	0	0	0	0	Abstinenz
abstract	0	0	0	0	0	0	0	0	0	0	abstrakt
abstraction	0	0	0	0	0	0	0	0	0	0	Abstraktion
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	Absurdität
abundance	0	1	1	0	1	1	1	0	0	1	Fülle
abundant	0	0	0	0	1	0	1	0	0	0	reichlich
